2023-05-09 09:44:45,951 INFO Starting...
2023-05-09 09:44:45,951 INFO Tickers: ['SBUX']
2023-05-09 09:46:05,117 INFO in_r2: 0.09734849914299827 , std 0.18012525374477423 
2023-05-09 09:46:05,117 INFO os_r2: -0.11305383546397299 , std 0.15067131302429013 
2023-05-09 09:46:05,117 INFO intercept: -2.7740703916138445e-06 , std 0.00010800791137110617 
2023-05-09 09:46:05,117 INFO ofi_add_1_1: -1.999683194609014e-06 , std 2.2827692784710496e-05 
2023-05-09 09:46:05,117 INFO ofi_add_2_1: -1.0161737557916104e-06 , std 1.7846221643823624e-05 
2023-05-09 09:46:05,117 INFO ofi_add_3_1: -3.921994551963057e-07 , std 1.6669131392364107e-05 
2023-05-09 09:46:05,117 INFO ofi_add_4_1: -4.986160903978371e-07 , std 1.745170979920014e-05 
2023-05-09 09:46:05,117 INFO ofi_add_5_1: -5.104673233559145e-07 , std 1.7249846222421156e-05 
2023-05-09 09:46:05,117 INFO ofi_add_6_1: -4.783025103822615e-07 , std 1.3893486328722521e-05 
2023-05-09 09:46:05,117 INFO ofi_add_7_1: -2.68473620942973e-07 , std 1.1741397534870309e-05 
2023-05-09 09:46:05,117 INFO ofi_add_8_1: -2.2168010156796675e-07 , std 1.0188042814470266e-05 
2023-05-09 09:46:05,117 INFO ofi_add_9_1: -2.7648924795984686e-07 , std 1.2628389941773272e-05 
2023-05-09 09:46:05,118 INFO ofi_add_10_1: -2.961855633537569e-07 , std 1.276740523480333e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_1_1: -1.8604294781721062e-07 , std 1.7068485401926698e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_2_1: 7.839358582439591e-09 , std 1.2989224483698996e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_3_1: -3.551532965123767e-07 , std 1.4756364247065956e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_4_1: -3.056720179143761e-07 , std 1.5088933152605228e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_5_1: -3.017170725765564e-07 , std 1.153904650432587e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_6_1: -1.7042818956362895e-07 , std 9.728521593602947e-06 
2023-05-09 09:46:05,118 INFO ofi_cancel_7_1: -9.267001188918153e-08 , std 6.808553367215865e-06 
2023-05-09 09:46:05,118 INFO ofi_cancel_8_1: -1.021418380826112e-07 , std 7.658940342839516e-06 
2023-05-09 09:46:05,118 INFO ofi_cancel_9_1: -9.504484432994566e-08 , std 6.88318565971158e-06 
2023-05-09 09:46:05,118 INFO ofi_cancel_10_1: -1.2086488470097587e-07 , std 7.775258058143448e-06 
2023-05-09 09:46:05,118 INFO ofi_trade_1_1: 6.087954980974448e-10 , std 7.895732977313706e-06 
2023-05-09 09:46:05,118 INFO ofi_trade_2_1: -3.1439876954649697e-07 , std 1.2993098594589765e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_3_1: -2.779751578618256e-07 , std 1.2997209856605127e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_4_1: -3.9502782261201397e-07 , std 1.3384929862830509e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_5_1: -2.698179842306845e-07 , std 1.1323105978703321e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_6_1: -2.327800646932181e-07 , std 9.657251954661864e-06 
2023-05-09 09:46:05,118 INFO ofi_trade_7_1: -2.182967736969617e-07 , std 8.627587570913576e-06 
2023-05-09 09:46:05,118 INFO ofi_trade_8_1: -1.4577261718785934e-07 , std 8.678357288428619e-06 
2023-05-09 09:46:05,118 INFO ofi_trade_9_1: -1.6764092877424925e-07 , std 8.634966660210391e-06 
2023-05-09 09:46:05,118 INFO ofi_trade_10_1: -2.3260644776587315e-07 , std 1.088898246623264e-05 
2023-05-09 09:46:05,118 INFO ofi_add_1_2: -2.3567673749417855e-06 , std 2.0424729888294877e-05 
2023-05-09 09:46:05,118 INFO ofi_add_2_2: -9.191746209637356e-07 , std 1.8068393682406194e-05 
2023-05-09 09:46:05,118 INFO ofi_add_3_2: -4.731985072546986e-07 , std 1.6630966057681762e-05 
2023-05-09 09:46:05,118 INFO ofi_add_4_2: -6.392880138976277e-07 , std 1.9152991482788858e-05 
2023-05-09 09:46:05,118 INFO ofi_add_5_2: -5.35196331091397e-07 , std 1.7049644986247563e-05 
2023-05-09 09:46:05,118 INFO ofi_add_6_2: -5.409426782054798e-07 , std 1.4848613711804563e-05 
2023-05-09 09:46:05,118 INFO ofi_add_7_2: -4.3095548055401974e-07 , std 1.5279357277877324e-05 
2023-05-09 09:46:05,118 INFO ofi_add_8_2: -2.734247355731427e-07 , std 1.5007029594172984e-05 
2023-05-09 09:46:05,118 INFO ofi_add_9_2: -4.4049325573479097e-07 , std 1.4669875788099483e-05 
2023-05-09 09:46:05,118 INFO ofi_add_10_2: -4.273799801914519e-07 , std 1.538689441445682e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_1_2: -1.6262132524559643e-07 , std 1.817073800453725e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_2_2: -1.1484732594427867e-07 , std 1.5494685537020296e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_3_2: -5.181956924553951e-07 , std 1.688233878708543e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_4_2: -5.733466067612407e-07 , std 1.6942650174617268e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_5_2: -3.3711845164426166e-07 , std 1.4898617139251664e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_6_2: -2.2303121835794345e-07 , std 1.010641548168738e-05 
2023-05-09 09:46:05,118 INFO ofi_cancel_7_2: -1.35474807480218e-07 , std 8.270019494116698e-06 
2023-05-09 09:46:05,118 INFO ofi_cancel_8_2: -1.3940596790051017e-07 , std 7.91708559793343e-06 
2023-05-09 09:46:05,118 INFO ofi_cancel_9_2: -8.74586381883738e-08 , std 6.700037915407042e-06 
2023-05-09 09:46:05,118 INFO ofi_cancel_10_2: -1.1700726996695563e-07 , std 7.464157866598852e-06 
2023-05-09 09:46:05,118 INFO ofi_trade_1_2: -7.588460690952163e-08 , std 1.0619666117723398e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_2_2: -4.0190024370773303e-07 , std 1.5175548483150876e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_3_2: -4.2098911405887443e-07 , std 1.3859446381497301e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_4_2: -5.452257130720807e-07 , std 1.5827903255958994e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_5_2: -4.194964209842081e-07 , std 1.1708211704445212e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_6_2: -2.5769352845188997e-07 , std 1.0643269633872087e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_7_2: -2.4995351530650584e-07 , std 1.0468995372815091e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_8_2: -2.7192168037662237e-07 , std 1.0627423343769876e-05 
2023-05-09 09:46:05,118 INFO ofi_trade_9_2: -2.3977375388695545e-07 , std 9.779750837742513e-06 
2023-05-09 09:46:05,118 INFO ofi_trade_10_2: -2.4225398345963447e-07 , std 1.074518707848612e-05 
2023-05-09 09:46:05,118 INFO ofi_add_1_3: -2.8465604498528868e-06 , std 2.036448607050751e-05 
2023-05-09 09:46:05,118 INFO ofi_add_2_3: -9.128324373213272e-07 , std 1.8907609698247144e-05 
2023-05-09 09:46:05,118 INFO ofi_add_3_3: -6.550957685823274e-07 , std 1.995903880194988e-05 
2023-05-09 09:46:05,119 INFO ofi_add_4_3: -4.2977586129243653e-07 , std 2.0762762150672362e-05 
2023-05-09 09:46:05,119 INFO ofi_add_5_3: -5.865941339968364e-07 , std 2.0056931409650574e-05 
2023-05-09 09:46:05,119 INFO ofi_add_6_3: -7.26304901740932e-07 , std 1.6206979668200763e-05 
2023-05-09 09:46:05,119 INFO ofi_add_7_3: -5.936527342790073e-07 , std 1.5970870700336952e-05 
2023-05-09 09:46:05,119 INFO ofi_add_8_3: -4.083292095960881e-07 , std 1.6587645745883654e-05 
2023-05-09 09:46:05,119 INFO ofi_add_9_3: -5.841544830005534e-07 , std 1.696942636833804e-05 
2023-05-09 09:46:05,119 INFO ofi_add_10_3: -5.711221365534176e-07 , std 1.757092491496278e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_1_3: 1.5887682204636218e-07 , std 2.055271392877882e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_2_3: -3.449587617924552e-07 , std 1.719447984335497e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_3_3: -5.992328717784622e-07 , std 1.9976720457644837e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_4_3: -8.272341422032512e-07 , std 2.098114453303713e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_5_3: -4.904252535658265e-07 , std 1.901152200781104e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_6_3: -2.448113803396284e-07 , std 1.2891983472568319e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_7_3: -1.7215968295729185e-07 , std 1.1447826514670307e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_8_3: -1.7279994186067895e-07 , std 1.2119091939685313e-05 
2023-05-09 09:46:05,119 INFO ofi_cancel_9_3: -1.3719334367588666e-07 , std 9.392695523852187e-06 
2023-05-09 09:46:05,119 INFO ofi_cancel_10_3: -1.0337090328264927e-07 , std 8.2349267486189e-06 
