2023-05-09 10:33:15,480 INFO Starting...
2023-05-09 10:33:15,480 INFO Tickers: ['SO']
2023-05-09 10:34:36,595 INFO in_r2: 0.09226248884923603 , std 0.17397346213050174 
2023-05-09 10:34:36,596 INFO os_r2: -0.24517497660842685 , std 3.048496045316578 
2023-05-09 10:34:36,596 INFO intercept: 1.675463288251631e-06 , std 9.274243229170055e-05 
2023-05-09 10:34:36,596 INFO ofi_add_1_1: -2.3129906189136747e-06 , std 2.7213500230839842e-05 
2023-05-09 10:34:36,596 INFO ofi_add_2_1: -1.562072239233141e-06 , std 2.4442948953968503e-05 
2023-05-09 10:34:36,596 INFO ofi_add_3_1: -8.309551998093589e-07 , std 2.145749402439915e-05 
2023-05-09 10:34:36,596 INFO ofi_add_4_1: -5.252487060449131e-07 , std 1.9246403977560783e-05 
2023-05-09 10:34:36,596 INFO ofi_add_5_1: -5.689323609831734e-07 , std 1.851043026491831e-05 
2023-05-09 10:34:36,596 INFO ofi_add_6_1: -5.118437916082099e-07 , std 1.725973996471648e-05 
2023-05-09 10:34:36,596 INFO ofi_add_7_1: -7.757765861734082e-07 , std 2.0386532249590126e-05 
2023-05-09 10:34:36,596 INFO ofi_add_8_1: -3.1713721860816644e-07 , std 1.4670421132845497e-05 
2023-05-09 10:34:36,596 INFO ofi_add_9_1: -3.0185622375639533e-07 , std 1.416514108739422e-05 
2023-05-09 10:34:36,596 INFO ofi_add_10_1: -2.857245935588994e-07 , std 1.476061548486756e-05 
2023-05-09 10:34:36,596 INFO ofi_cancel_1_1: -3.156507666684315e-07 , std 2.6098449627166577e-05 
2023-05-09 10:34:36,596 INFO ofi_cancel_2_1: -2.993583907712948e-07 , std 2.196021537180317e-05 
2023-05-09 10:34:36,596 INFO ofi_cancel_3_1: -6.205816522081241e-07 , std 2.6081936991384224e-05 
2023-05-09 10:34:36,596 INFO ofi_cancel_4_1: -4.6085427643538754e-07 , std 1.7854893407266013e-05 
2023-05-09 10:34:36,596 INFO ofi_cancel_5_1: -3.330693905815796e-07 , std 1.5675692001087476e-05 
2023-05-09 10:34:36,596 INFO ofi_cancel_6_1: -2.860400045774531e-07 , std 1.4622922860974868e-05 
2023-05-09 10:34:36,596 INFO ofi_cancel_7_1: -2.1622511044644816e-07 , std 1.3757797415893012e-05 
2023-05-09 10:34:36,596 INFO ofi_cancel_8_1: -2.0222494620480782e-07 , std 1.0823861911967611e-05 
2023-05-09 10:34:36,596 INFO ofi_cancel_9_1: -7.558194549137148e-08 , std 1.0979404033496499e-05 
2023-05-09 10:34:36,596 INFO ofi_cancel_10_1: -8.933110350207995e-08 , std 8.932253898100596e-06 
2023-05-09 10:34:36,596 INFO ofi_trade_1_1: -2.4460325475668083e-08 , std 8.865097715362327e-06 
2023-05-09 10:34:36,596 INFO ofi_trade_2_1: -5.796896021218766e-07 , std 1.8958225549220733e-05 
2023-05-09 10:34:36,596 INFO ofi_trade_3_1: -5.354296357376864e-07 , std 1.7124751988536257e-05 
2023-05-09 10:34:36,596 INFO ofi_trade_4_1: -3.9082927710234443e-07 , std 1.4962518151478148e-05 
2023-05-09 10:34:36,596 INFO ofi_trade_5_1: -3.3082903409824454e-07 , std 1.3907955287710316e-05 
2023-05-09 10:34:36,596 INFO ofi_trade_6_1: -2.23769246642684e-07 , std 1.2826046925091204e-05 
2023-05-09 10:34:36,596 INFO ofi_trade_7_1: -1.3162538948183453e-07 , std 9.580459580337655e-06 
2023-05-09 10:34:36,596 INFO ofi_trade_8_1: -6.69070670648112e-08 , std 8.186981178015061e-06 
2023-05-09 10:34:36,596 INFO ofi_trade_9_1: -7.71718369915336e-08 , std 9.498846593446831e-06 
2023-05-09 10:34:36,596 INFO ofi_trade_10_1: -1.0356558736173503e-07 , std 7.287678466412074e-06 
2023-05-09 10:34:36,596 INFO ofi_add_1_2: -2.3474351713021214e-06 , std 2.580552970892024e-05 
2023-05-09 10:34:36,596 INFO ofi_add_2_2: -1.4268193755906188e-06 , std 2.512205469018368e-05 
2023-05-09 10:34:36,596 INFO ofi_add_3_2: -9.60749778986507e-07 , std 2.4836754561045886e-05 
2023-05-09 10:34:36,596 INFO ofi_add_4_2: -6.727518025536026e-07 , std 2.3126790284325555e-05 
2023-05-09 10:34:36,596 INFO ofi_add_5_2: -5.782113640213804e-07 , std 2.1036145850879947e-05 
2023-05-09 10:34:36,596 INFO ofi_add_6_2: -6.266921560460242e-07 , std 2.227962413101129e-05 
2023-05-09 10:34:36,596 INFO ofi_add_7_2: -9.189027271274278e-07 , std 2.0618924264676335e-05 
2023-05-09 10:34:36,596 INFO ofi_add_8_2: -4.626276702296654e-07 , std 1.7276838350116662e-05 
2023-05-09 10:34:36,597 INFO ofi_add_9_2: -5.217611404586834e-07 , std 1.8345303486630542e-05 
2023-05-09 10:34:36,597 INFO ofi_add_10_2: -3.7385971238206686e-07 , std 2.0874321468205724e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_1_2: -3.7049223051133195e-07 , std 2.587990142781567e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_2_2: -6.459518927045171e-07 , std 2.415986578522098e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_3_2: -7.069820377636607e-07 , std 2.1718864473138365e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_4_2: -8.028734197882152e-07 , std 1.8406153084396582e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_5_2: -5.504285559206005e-07 , std 1.8607186041395e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_6_2: -4.0756090452479803e-07 , std 1.5281605294288306e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_7_2: -8.358960582368166e-08 , std 1.4633063931952006e-05 
2023-05-09 10:34:36,597 INFO ofi_cancel_8_2: -1.62801645614851e-07 , std 1.1365991689247075e-05 
