2023-05-09 10:11:05,765 INFO Starting...
2023-05-09 10:11:05,765 INFO Tickers: ['TFC']
2023-05-09 10:11:11,196 INFO in_r2: 0.10344751954299382 , std 0.19043619279434648 
2023-05-09 10:11:11,196 INFO os_r2: -0.08657182318123834 , std 0.016796246854628858 
2023-05-09 10:11:11,196 INFO intercept: 9.525593217668138e-06 , std 0.00010481274661332063 
2023-05-09 10:11:11,196 INFO ofi_add_1_1: 3.745772792634861e-07 , std 2.316505110399144e-05 
2023-05-09 10:11:11,196 INFO ofi_add_2_1: -6.708639883359532e-07 , std 1.0863901318172557e-05 
2023-05-09 10:11:11,196 INFO ofi_add_3_1: -3.0002986903664563e-07 , std 3.0707597911698894e-05 
2023-05-09 10:11:11,196 INFO ofi_add_4_1: 6.715725740341999e-07 , std 1.6629994755113035e-05 
2023-05-09 10:11:11,196 INFO ofi_add_5_1: -8.659725625605087e-07 , std 1.1806510468902258e-05 
2023-05-09 10:11:11,196 INFO ofi_add_6_1: -3.6070501836857515e-06 , std 2.3180638041198914e-05 
2023-05-09 10:11:11,196 INFO ofi_add_7_1: 4.1688047013248854e-08 , std 5.685977400314194e-06 
2023-05-09 10:11:11,196 INFO ofi_add_8_1: -3.756977206712546e-08 , std 1.168721601759635e-06 
2023-05-09 10:11:11,196 INFO ofi_add_9_1: -9.097007763750068e-09 , std 9.423405912338166e-07 
2023-05-09 10:11:11,196 INFO ofi_add_10_1: 5.707247158553081e-09 , std 5.877208688085642e-07 
2023-05-09 10:11:11,196 INFO ofi_cancel_1_1: -5.005615884942057e-06 , std 2.8870083458595757e-05 
2023-05-09 10:11:11,197 INFO ofi_cancel_2_1: -1.6330808100150486e-07 , std 1.1378650201347567e-05 
2023-05-09 10:11:11,197 INFO ofi_cancel_3_1: -4.913796615571711e-08 , std 2.4845806816609013e-06 
2023-05-09 10:11:11,197 INFO ofi_cancel_4_1: -8.484826855297225e-07 , std 1.2509957365121239e-05 
2023-05-09 10:11:11,197 INFO ofi_cancel_5_1: -2.5974830809743027e-07 , std 1.1677689458150358e-05 
2023-05-09 10:11:11,197 INFO ofi_cancel_6_1: 9.109521002208037e-08 , std 1.7141885252837588e-05 
2023-05-09 10:11:11,197 INFO ofi_cancel_7_1: -9.672307282453555e-08 , std 3.416790370741613e-06 
2023-05-09 10:11:11,197 INFO ofi_cancel_8_1: -1.805028415858902e-07 , std 4.948353475753953e-06 
2023-05-09 10:11:11,197 INFO ofi_cancel_9_1: 0.0 , std 0.0 
2023-05-09 10:11:11,197 INFO ofi_cancel_10_1: -1.6093793574621491e-07 , std 7.16121906541328e-06 
2023-05-09 10:11:11,197 INFO ofi_trade_1_1: 0.0 , std 0.0 
2023-05-09 10:11:11,197 INFO ofi_trade_2_1: -1.730159684492649e-07 , std 6.676264541563097e-06 
2023-05-09 10:11:11,197 INFO ofi_trade_3_1: 2.2396440397356205e-07 , std 6.862433690851233e-06 
2023-05-09 10:11:11,197 INFO ofi_trade_4_1: 3.982711496923845e-08 , std 7.352488398099739e-06 
2023-05-09 10:11:11,197 INFO ofi_trade_5_1: -5.75346846569487e-07 , std 3.207443239841101e-05 
2023-05-09 10:11:11,197 INFO ofi_trade_6_1: 2.487862701522213e-07 , std 6.075636761689259e-06 
2023-05-09 10:11:11,197 INFO ofi_trade_7_1: -4.0034274388860294e-07 , std 1.1925495675908982e-05 
2023-05-09 10:11:11,197 INFO ofi_trade_8_1: 0.0 , std 0.0 
2023-05-09 10:11:11,197 INFO ofi_trade_9_1: 0.0 , std 0.0 
2023-05-09 10:11:11,197 INFO ofi_trade_10_1: 0.0 , std 0.0 
2023-05-09 10:11:11,197 INFO ofi_add_1_2: -2.0318377022511922e-06 , std 1.7657175892858e-05 
2023-05-09 10:11:11,197 INFO ofi_add_2_2: -2.106977264642594e-06 , std 3.224986457911707e-05 
2023-05-09 10:11:11,197 INFO ofi_add_3_2: -1.2901216730867132e-06 , std 1.8896216746112706e-05 
2023-05-09 10:11:11,197 INFO ofi_add_4_2: 1.50880329218455e-06 , std 2.3285370400684067e-05 
2023-05-09 10:11:11,197 INFO ofi_add_5_2: -4.110507777506006e-07 , std 2.1105866914597737e-05 
2023-05-09 10:11:11,197 INFO ofi_add_6_2: -1.3279160140160127e-07 , std 1.4110491302570538e-05 
