2023-05-09 10:34:37,286 INFO Starting...
2023-05-09 10:34:37,286 INFO Tickers: ['TGT']
2023-05-09 10:35:54,100 INFO in_r2: 0.09556741030038787 , std 0.17970180907403874 
2023-05-09 10:35:54,101 INFO os_r2: -0.10518780262976937 , std 0.1733687675527026 
2023-05-09 10:35:54,101 INFO intercept: -1.271123375776642e-06 , std 0.000139911854284085 
2023-05-09 10:35:54,101 INFO ofi_add_1_1: -1.43481999918434e-06 , std 1.7118917766912053e-05 
2023-05-09 10:35:54,101 INFO ofi_add_2_1: -8.046778157507866e-07 , std 1.5613717930212595e-05 
2023-05-09 10:35:54,101 INFO ofi_add_3_1: -4.2957145686332895e-07 , std 1.2834044341743914e-05 
2023-05-09 10:35:54,101 INFO ofi_add_4_1: -4.885020156337352e-07 , std 1.3037801931916487e-05 
2023-05-09 10:35:54,101 INFO ofi_add_5_1: -6.045146907766607e-07 , std 1.3515697812303407e-05 
2023-05-09 10:35:54,101 INFO ofi_add_6_1: -5.859852089614742e-07 , std 1.2144782928169364e-05 
2023-05-09 10:35:54,101 INFO ofi_add_7_1: -4.882997066908203e-07 , std 1.1903605817661876e-05 
2023-05-09 10:35:54,101 INFO ofi_add_8_1: -4.278555391104673e-07 , std 1.1947265251924611e-05 
2023-05-09 10:35:54,101 INFO ofi_add_9_1: -3.1875551943720757e-07 , std 1.0917459663046664e-05 
2023-05-09 10:35:54,101 INFO ofi_add_10_1: -4.1900138195335497e-07 , std 1.1303402630882607e-05 
2023-05-09 10:35:54,101 INFO ofi_cancel_1_1: -1.0454286152752167e-07 , std 1.1508480358997038e-05 
2023-05-09 10:35:54,101 INFO ofi_cancel_2_1: -2.721894132039454e-07 , std 1.2310783162095712e-05 
2023-05-09 10:35:54,101 INFO ofi_cancel_3_1: -4.2038661981196863e-07 , std 1.2753474792373938e-05 
2023-05-09 10:35:54,101 INFO ofi_cancel_4_1: -5.594076523607459e-07 , std 1.19518360692874e-05 
2023-05-09 10:35:54,101 INFO ofi_cancel_5_1: -3.883108187394425e-07 , std 1.1318768160448062e-05 
2023-05-09 10:35:54,101 INFO ofi_cancel_6_1: -3.481331616733969e-07 , std 1.077472280369643e-05 
