2023-05-09 10:15:10,075 INFO Starting...
2023-05-09 10:15:10,075 INFO Tickers: ['TJX']
2023-05-09 10:16:28,754 INFO in_r2: 0.09407049599598373 , std 0.1787850533709625 
2023-05-09 10:16:28,754 INFO os_r2: -0.10649301882372363 , std 0.11172088992311438 
2023-05-09 10:16:28,754 INFO intercept: 7.11864801305377e-07 , std 0.0001256983391521905 
2023-05-09 10:16:28,754 INFO ofi_add_1_1: -1.5276514424008838e-06 , std 1.932556034173128e-05 
2023-05-09 10:16:28,754 INFO ofi_add_2_1: -1.0015022295240044e-06 , std 1.73759544635997e-05 
2023-05-09 10:16:28,754 INFO ofi_add_3_1: -6.034347185930899e-07 , std 1.5200003561197146e-05 
2023-05-09 10:16:28,754 INFO ofi_add_4_1: -6.503126994825925e-07 , std 1.50007950700525e-05 
2023-05-09 10:16:28,755 INFO ofi_add_5_1: -5.655016854972563e-07 , std 1.3678458511019839e-05 
2023-05-09 10:16:28,755 INFO ofi_add_6_1: -6.01344892762743e-07 , std 1.3860261581678421e-05 
2023-05-09 10:16:28,755 INFO ofi_add_7_1: -5.634940916095915e-07 , std 1.5543554933852017e-05 
2023-05-09 10:16:28,755 INFO ofi_add_8_1: -3.3948229466231415e-07 , std 1.2739573720764469e-05 
2023-05-09 10:16:28,755 INFO ofi_add_9_1: -2.78268533234099e-07 , std 1.3542778188154983e-05 
2023-05-09 10:16:28,755 INFO ofi_add_10_1: -4.141715112608081e-07 , std 1.3635078177121773e-05 
2023-05-09 10:16:28,755 INFO ofi_cancel_1_1: -2.922106139295251e-07 , std 1.5169932317924846e-05 
2023-05-09 10:16:28,755 INFO ofi_cancel_2_1: -2.8143854043780625e-07 , std 1.425056494932491e-05 
2023-05-09 10:16:28,755 INFO ofi_cancel_3_1: -4.3944602468315336e-07 , std 1.154711723706995e-05 
2023-05-09 10:16:28,755 INFO ofi_cancel_4_1: -5.501174890389422e-07 , std 1.3238914665808142e-05 
2023-05-09 10:16:28,755 INFO ofi_cancel_5_1: -4.608838586272653e-07 , std 1.3428020809687626e-05 
2023-05-09 10:16:28,755 INFO ofi_cancel_6_1: -3.1586186699696923e-07 , std 1.1444224927230676e-05 
2023-05-09 10:16:28,755 INFO ofi_cancel_7_1: -1.570652407081831e-07 , std 1.0252879105951395e-05 
2023-05-09 10:16:28,755 INFO ofi_cancel_8_1: -1.7974266572500229e-07 , std 9.977413139775125e-06 
2023-05-09 10:16:28,755 INFO ofi_cancel_9_1: -1.1229360425343604e-07 , std 8.758202526930734e-06 
2023-05-09 10:16:28,755 INFO ofi_cancel_10_1: -2.2994208523856802e-07 , std 9.631284253467989e-06 
2023-05-09 10:16:28,755 INFO ofi_trade_1_1: -1.7530807654863503e-08 , std 4.066523261705611e-06 
2023-05-09 10:16:28,755 INFO ofi_trade_2_1: -2.113037215506146e-07 , std 1.060187321925493e-05 
2023-05-09 10:16:28,755 INFO ofi_trade_3_1: -1.9304099370022288e-07 , std 1.0471240214812636e-05 
2023-05-09 10:16:28,755 INFO ofi_trade_4_1: -2.732784037951319e-07 , std 1.0237790418456565e-05 
2023-05-09 10:16:28,755 INFO ofi_trade_5_1: -2.981189577913976e-07 , std 1.1230394707386888e-05 
2023-05-09 10:16:28,755 INFO ofi_trade_6_1: -1.5135579131286065e-07 , std 7.980615864129591e-06 
