2023-05-09 09:41:35,037 INFO Starting...
2023-05-09 09:41:35,037 INFO Tickers: ['TXN']
2023-05-09 09:42:55,589 INFO in_r2: 0.09401423400755836 , std 0.17963540776219838 
2023-05-09 09:42:55,589 INFO os_r2: -0.15631473183884084 , std 0.9167115683934631 
2023-05-09 09:42:55,589 INFO intercept: -7.43904771263443e-07 , std 0.0001349194825700931 
2023-05-09 09:42:55,589 INFO ofi_add_1_1: -5.65049428847516e-07 , std 1.1918874440720998e-05 
2023-05-09 09:42:55,589 INFO ofi_add_2_1: -3.88676186886962e-07 , std 1.1010805206577709e-05 
2023-05-09 09:42:55,589 INFO ofi_add_3_1: -3.209890371504165e-07 , std 9.747692166495621e-06 
2023-05-09 09:42:55,589 INFO ofi_add_4_1: -3.7432725743542845e-07 , std 9.666250921121716e-06 
2023-05-09 09:42:55,589 INFO ofi_add_5_1: -3.75104321803867e-07 , std 1.0245166240145437e-05 
2023-05-09 09:42:55,589 INFO ofi_add_6_1: -4.6591894001805334e-07 , std 1.0279135832368568e-05 
2023-05-09 09:42:55,589 INFO ofi_add_7_1: -3.971707294974117e-07 , std 9.994693000483954e-06 
2023-05-09 09:42:55,589 INFO ofi_add_8_1: -3.979858600237972e-07 , std 8.937918449307196e-06 
2023-05-09 09:42:55,589 INFO ofi_add_9_1: -2.66906808325927e-07 , std 8.71395966749402e-06 
2023-05-09 09:42:55,589 INFO ofi_add_10_1: -4.0389274103130373e-07 , std 1.0245610857001835e-05 
2023-05-09 09:42:55,589 INFO ofi_cancel_1_1: -4.775441148800806e-08 , std 7.633018499624444e-06 
2023-05-09 09:42:55,589 INFO ofi_cancel_2_1: -2.08572095537818e-07 , std 9.18878801815493e-06 
2023-05-09 09:42:55,589 INFO ofi_cancel_3_1: -3.0003627135217656e-07 , std 8.690083049219508e-06 
2023-05-09 09:42:55,589 INFO ofi_cancel_4_1: -3.33705182440988e-07 , std 9.531738971089143e-06 
2023-05-09 09:42:55,589 INFO ofi_cancel_5_1: -3.063231250491286e-07 , std 9.353781932819433e-06 
2023-05-09 09:42:55,589 INFO ofi_cancel_6_1: -3.3777890699946526e-07 , std 9.054552946281876e-06 
2023-05-09 09:42:55,589 INFO ofi_cancel_7_1: -2.480617749553125e-07 , std 8.485039031984282e-06 
2023-05-09 09:42:55,589 INFO ofi_cancel_8_1: -2.6859930896537747e-07 , std 8.473846511232037e-06 
2023-05-09 09:42:55,589 INFO ofi_cancel_9_1: -2.1968647823719293e-07 , std 7.5254021372181826e-06 
2023-05-09 09:42:55,589 INFO ofi_cancel_10_1: -1.8168267917911785e-07 , std 7.2341182513131635e-06 
2023-05-09 09:42:55,589 INFO ofi_trade_1_1: -1.0128915239129561e-08 , std 2.525518095777859e-06 
2023-05-09 09:42:55,589 INFO ofi_trade_2_1: -8.397716791413219e-08 , std 5.650288597874917e-06 
2023-05-09 09:42:55,589 INFO ofi_trade_3_1: -1.2374234422272798e-07 , std 6.347232697199803e-06 
2023-05-09 09:42:55,589 INFO ofi_trade_4_1: -1.7377616831061946e-07 , std 7.081912571531154e-06 
2023-05-09 09:42:55,589 INFO ofi_trade_5_1: -2.2821378666197793e-07 , std 8.458321824978233e-06 
2023-05-09 09:42:55,589 INFO ofi_trade_6_1: -2.235055544804462e-07 , std 7.965720718785337e-06 
2023-05-09 09:42:55,589 INFO ofi_trade_7_1: -1.7032421899482504e-07 , std 7.389758347481281e-06 
2023-05-09 09:42:55,589 INFO ofi_trade_8_1: -1.0591396322612654e-07 , std 6.4753127116371065e-06 
2023-05-09 09:42:55,589 INFO ofi_trade_9_1: -8.92764331456255e-08 , std 4.557390084205645e-06 
2023-05-09 09:42:55,589 INFO ofi_trade_10_1: -9.057872176932274e-08 , std 5.737924652240854e-06 
2023-05-09 09:42:55,589 INFO ofi_add_1_2: -6.005848944417526e-07 , std 1.2135505883460563e-05 
2023-05-09 09:42:55,589 INFO ofi_add_2_2: -5.35439202083059e-07 , std 1.1267145887520198e-05 
2023-05-09 09:42:55,589 INFO ofi_add_3_2: -4.411769995974936e-07 , std 1.0509147419136201e-05 
2023-05-09 09:42:55,589 INFO ofi_add_4_2: -4.861874710595946e-07 , std 1.1677534612593336e-05 
2023-05-09 09:42:55,589 INFO ofi_add_5_2: -5.842691051447929e-07 , std 1.0637458829367478e-05 
2023-05-09 09:42:55,590 INFO ofi_add_6_2: -4.553377848961605e-07 , std 1.0377290713130864e-05 
2023-05-09 09:42:55,590 INFO ofi_add_7_2: -4.858394776134915e-07 , std 1.0063916644383473e-05 
2023-05-09 09:42:55,590 INFO ofi_add_8_2: -3.637715573867034e-07 , std 9.73279359273125e-06 
2023-05-09 09:42:55,590 INFO ofi_add_9_2: -3.4803955712699064e-07 , std 9.990048893304992e-06 
2023-05-09 09:42:55,590 INFO ofi_add_10_2: -5.481381096883494e-07 , std 1.0757648819607596e-05 
2023-05-09 09:42:55,590 INFO ofi_cancel_1_2: -1.0215326982360055e-07 , std 9.697198148504571e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_2_2: -2.5284570364176385e-07 , std 9.855693378848503e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_3_2: -2.958107582900386e-07 , std 9.86549096821547e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_4_2: -4.0879089384946383e-07 , std 1.011021071606705e-05 
2023-05-09 09:42:55,590 INFO ofi_cancel_5_2: -2.7874112823359425e-07 , std 1.0306019998608137e-05 
2023-05-09 09:42:55,590 INFO ofi_cancel_6_2: -3.104575724949912e-07 , std 9.038600972256977e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_7_2: -2.3581069851629327e-07 , std 8.923348779964991e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_8_2: -2.2566420916946156e-07 , std 8.292567570544756e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_9_2: -2.1258388371107798e-07 , std 7.573132914877024e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_10_2: -2.1052961816136715e-07 , std 8.01840314906295e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_1_2: -2.3093057202156306e-08 , std 3.7620364288562543e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_2_2: -1.3219406222509627e-07 , std 7.984824043519852e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_3_2: -1.736874709918744e-07 , std 7.026029573266974e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_4_2: -2.006606395785691e-07 , std 7.18474985768888e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_5_2: -2.1945108944817517e-07 , std 7.72928810358266e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_6_2: -2.566760922358589e-07 , std 7.739244394663784e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_7_2: -1.9345245276262397e-07 , std 6.663851197367066e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_8_2: -1.1068728698138425e-07 , std 5.664385202705468e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_9_2: -9.092655930767571e-08 , std 5.730291579593162e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_10_2: -6.404982342854171e-08 , std 4.689558134992649e-06 
2023-05-09 09:42:55,590 INFO ofi_add_1_3: -5.269718944673762e-07 , std 1.2863833871901735e-05 
2023-05-09 09:42:55,590 INFO ofi_add_2_3: -4.79472630186394e-07 , std 1.2556740478542291e-05 
2023-05-09 09:42:55,590 INFO ofi_add_3_3: -3.5879929698680254e-07 , std 1.212294258022375e-05 
2023-05-09 09:42:55,590 INFO ofi_add_4_3: -4.905420139427018e-07 , std 1.1228496850382197e-05 
2023-05-09 09:42:55,590 INFO ofi_add_5_3: -5.953380951729554e-07 , std 1.2039605436239428e-05 
2023-05-09 09:42:55,590 INFO ofi_add_6_3: -6.553327798762266e-07 , std 1.1534482108094877e-05 
2023-05-09 09:42:55,590 INFO ofi_add_7_3: -6.066914615039195e-07 , std 1.1515887390847586e-05 
2023-05-09 09:42:55,590 INFO ofi_add_8_3: -4.715884678258433e-07 , std 1.0702029981152762e-05 
2023-05-09 09:42:55,590 INFO ofi_add_9_3: -5.859538913051471e-07 , std 1.2323674647663195e-05 
2023-05-09 09:42:55,590 INFO ofi_add_10_3: -6.14068294681011e-07 , std 1.182697296359078e-05 
2023-05-09 09:42:55,590 INFO ofi_cancel_1_3: -2.2247627676607654e-07 , std 1.2869887845001794e-05 
2023-05-09 09:42:55,590 INFO ofi_cancel_2_3: -4.774677143716994e-07 , std 1.175252355074646e-05 
2023-05-09 09:42:55,590 INFO ofi_cancel_3_3: -4.817565237346189e-07 , std 1.0516030799992704e-05 
2023-05-09 09:42:55,590 INFO ofi_cancel_4_3: -4.5213178716716e-07 , std 1.139232861267808e-05 
2023-05-09 09:42:55,590 INFO ofi_cancel_5_3: -4.537380239946751e-07 , std 1.0860006857700088e-05 
2023-05-09 09:42:55,590 INFO ofi_cancel_6_3: -3.8241580201512803e-07 , std 1.0384556510310325e-05 
2023-05-09 09:42:55,590 INFO ofi_cancel_7_3: -2.857513781835292e-07 , std 9.712861287363315e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_8_3: -2.741814369311947e-07 , std 8.988039965792275e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_9_3: -2.9635476710828957e-07 , std 9.419323351994044e-06 
2023-05-09 09:42:55,590 INFO ofi_cancel_10_3: -3.131163443228356e-07 , std 9.749921307827384e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_1_3: -2.142414989997618e-08 , std 4.435165254012022e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_2_3: -8.390738049549658e-08 , std 7.166293416954229e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_3_3: -1.7493164638948166e-07 , std 8.556188888153685e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_4_3: -2.1488472676603637e-07 , std 8.261718582408645e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_5_3: -3.0764253252305613e-07 , std 8.934739312214614e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_6_3: -2.5852477527773477e-07 , std 8.768159985393055e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_7_3: -2.357441986082858e-07 , std 8.096459704792074e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_8_3: -1.2692213539879157e-07 , std 7.752454372358794e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_9_3: -1.3769324999890303e-07 , std 7.103722403196975e-06 
2023-05-09 09:42:55,590 INFO ofi_trade_10_3: -1.194308361353245e-07 , std 7.825870506932377e-06 
2023-05-09 09:42:55,591 INFO used_intercept: 0.9875509766044216 , std 0.11087851555677856 
2023-05-09 09:42:55,591 INFO used_ofi_add_1_1: 0.019856329319139804 , std 0.13950647119438464 
2023-05-09 09:42:55,591 INFO used_ofi_add_2_1: 0.018751170235599822 , std 0.13564499198420626 
2023-05-09 09:42:55,591 INFO used_ofi_add_3_1: 0.013787087905814873 , std 0.1166061924294426 
2023-05-09 09:42:55,591 INFO used_ofi_add_4_1: 0.015312390112022943 , std 0.12279218550494231 
2023-05-09 09:42:55,591 INFO used_ofi_add_5_1: 0.01919871399670279 , std 0.13722289669576138 
2023-05-09 09:42:55,591 INFO used_ofi_add_6_1: 0.02196161170555274 , std 0.14655817724319328 
2023-05-09 09:42:55,591 INFO used_ofi_add_7_1: 0.019038876939166016 , std 0.136661618986683 
2023-05-09 09:42:55,591 INFO used_ofi_add_8_1: 0.015102318550688897 , std 0.1219599873937449 
2023-05-09 09:42:55,591 INFO used_ofi_add_9_1: 0.012965068752768606 , std 0.11312371875519558 
2023-05-09 09:42:55,591 INFO used_ofi_add_10_1: 0.01570056582318368 , std 0.12431435177008149 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_1_1: 0.004320167326565376 , std 0.06558584817501298 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_2_1: 0.007813748727012007 , std 0.08804938419911364 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_3_1: 0.00773154681170738 , std 0.0875886407909482 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_4_1: 0.009699826005945938 , std 0.09800887399312529 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_5_1: 0.01043050969754262 , std 0.10159583734086787 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_6_1: 0.011120092431486987 , std 0.1048638926218275 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_7_1: 0.009042210683508925 , std 0.09465964879220692 
2023-05-09 09:42:55,591 INFO used_ofi_cancel_8_1: 0.007873116776954237 , std 0.0883806019959735 
