2023-05-09 10:05:47,527 INFO Starting...
2023-05-09 10:05:47,527 INFO Tickers: ['UPS']
2023-05-09 10:07:03,659 INFO in_r2: 0.09351159652943068 , std 0.17981749206268913 
2023-05-09 10:07:03,660 INFO os_r2: -0.11066973106723056 , std 0.13519838468671477 
2023-05-09 10:07:03,660 INFO intercept: 2.5913266502277925e-07 , std 0.00011628069982209726 
2023-05-09 10:07:03,660 INFO ofi_add_1_1: -3.6158393200343923e-07 , std 9.280528752385703e-06 
2023-05-09 10:07:03,660 INFO ofi_add_2_1: -4.020773472911153e-07 , std 9.402379522554868e-06 
2023-05-09 10:07:03,660 INFO ofi_add_3_1: -4.643865718733959e-07 , std 9.660673794524536e-06 
2023-05-09 10:07:03,660 INFO ofi_add_4_1: -4.984158459169747e-07 , std 9.828846152806242e-06 
2023-05-09 10:07:03,660 INFO ofi_add_5_1: -5.073136499274881e-07 , std 9.754497883862156e-06 
2023-05-09 10:07:03,660 INFO ofi_add_6_1: -4.886372786511827e-07 , std 9.081439499821338e-06 
2023-05-09 10:07:03,660 INFO ofi_add_7_1: -4.965792480047711e-07 , std 9.717509678468203e-06 
2023-05-09 10:07:03,660 INFO ofi_add_8_1: -4.4774738548169346e-07 , std 9.36983294000786e-06 
2023-05-09 10:07:03,660 INFO ofi_add_9_1: -3.839453264259095e-07 , std 8.75952044387079e-06 
2023-05-09 10:07:03,660 INFO ofi_add_10_1: -4.2657282488785545e-07 , std 9.76524204723385e-06 
2023-05-09 10:07:03,660 INFO ofi_cancel_1_1: -1.0630322293401458e-07 , std 6.721008980628687e-06 
2023-05-09 10:07:03,660 INFO ofi_cancel_2_1: -2.59392160537775e-07 , std 8.26314851660866e-06 
2023-05-09 10:07:03,660 INFO ofi_cancel_3_1: -3.099404221558341e-07 , std 8.672452978588329e-06 
2023-05-09 10:07:03,660 INFO ofi_cancel_4_1: -3.6289221392577066e-07 , std 8.480761267121735e-06 
2023-05-09 10:07:03,660 INFO ofi_cancel_5_1: -3.04882964031505e-07 , std 9.637117082867477e-06 
2023-05-09 10:07:03,660 INFO ofi_cancel_6_1: -3.6415560010694556e-07 , std 9.027925372695092e-06 
2023-05-09 10:07:03,660 INFO ofi_cancel_7_1: -2.587187851114239e-07 , std 9.005805762410295e-06 
2023-05-09 10:07:03,660 INFO ofi_cancel_8_1: -2.6988868449321334e-07 , std 9.268897431550446e-06 
2023-05-09 10:07:03,660 INFO ofi_cancel_9_1: -2.2136574273439987e-07 , std 7.690323868404223e-06 
2023-05-09 10:07:03,660 INFO ofi_cancel_10_1: -2.3641162880510928e-07 , std 8.102295719106305e-06 
2023-05-09 10:07:03,660 INFO ofi_trade_1_1: -1.58864163881783e-08 , std 1.7263704074538564e-06 
2023-05-09 10:07:03,660 INFO ofi_trade_2_1: -5.203493193790437e-08 , std 3.878831168392468e-06 
2023-05-09 10:07:03,660 INFO ofi_trade_3_1: -6.97200449521005e-08 , std 4.896303788299214e-06 
2023-05-09 10:07:03,660 INFO ofi_trade_4_1: -9.232825140355984e-08 , std 5.6848290989999974e-06 
2023-05-09 10:07:03,660 INFO ofi_trade_5_1: -1.1664185590052375e-07 , std 6.140918626749861e-06 
2023-05-09 10:07:03,660 INFO ofi_trade_6_1: -1.21045165600049e-07 , std 5.394403670497453e-06 
2023-05-09 10:07:03,660 INFO ofi_trade_7_1: -8.963284977829579e-08 , std 5.142081884546805e-06 
2023-05-09 10:07:03,660 INFO ofi_trade_8_1: -7.449502881786939e-08 , std 4.144724470867638e-06 
2023-05-09 10:07:03,660 INFO ofi_trade_9_1: -4.854610432204646e-08 , std 5.3110069239623136e-06 
2023-05-09 10:07:03,660 INFO ofi_trade_10_1: -6.312150731705153e-08 , std 4.2312859838236744e-06 
2023-05-09 10:07:03,660 INFO ofi_add_1_2: -2.775240131620635e-07 , std 8.878230211266573e-06 
