2023-05-09 09:37:36,527 INFO Starting...
2023-05-09 09:37:36,527 INFO Tickers: ['UTX']
2023-05-09 09:38:55,297 INFO in_r2: 0.09177845819107075 , std 0.17672841034207684 
2023-05-09 09:38:55,297 INFO os_r2: -0.12241512948146223 , std 0.27034246962327996 
2023-05-09 09:38:55,297 INFO intercept: 9.038358303827728e-07 , std 0.00011352370192279661 
2023-05-09 09:38:55,297 INFO ofi_add_1_1: -2.128517739529364e-07 , std 8.754042801036688e-06 
2023-05-09 09:38:55,297 INFO ofi_add_2_1: -3.5612231383117185e-07 , std 9.626365649364659e-06 
2023-05-09 09:38:55,297 INFO ofi_add_3_1: -4.7255084000159757e-07 , std 9.68548545813946e-06 
2023-05-09 09:38:55,297 INFO ofi_add_4_1: -3.953345768763718e-07 , std 9.257527843777382e-06 
2023-05-09 09:38:55,297 INFO ofi_add_5_1: -4.2797861631565456e-07 , std 9.173763366984874e-06 
2023-05-09 09:38:55,297 INFO ofi_add_6_1: -4.6212573907881104e-07 , std 9.00052726167948e-06 
2023-05-09 09:38:55,297 INFO ofi_add_7_1: -5.47359562038633e-07 , std 9.74048192098084e-06 
2023-05-09 09:38:55,297 INFO ofi_add_8_1: -4.0479366248694374e-07 , std 8.924396473661381e-06 
2023-05-09 09:38:55,297 INFO ofi_add_9_1: -3.933091400732918e-07 , std 9.738938339692789e-06 
2023-05-09 09:38:55,297 INFO ofi_add_10_1: -4.462552236665988e-07 , std 9.679395856244185e-06 
2023-05-09 09:38:55,297 INFO ofi_cancel_1_1: -1.1904679934571849e-07 , std 7.038899052080381e-06 
2023-05-09 09:38:55,297 INFO ofi_cancel_2_1: -2.682348945809078e-07 , std 8.739479575170776e-06 
2023-05-09 09:38:55,297 INFO ofi_cancel_3_1: -2.787594885891422e-07 , std 9.153308927610252e-06 
2023-05-09 09:38:55,297 INFO ofi_cancel_4_1: -3.2985069355516136e-07 , std 8.478379072841304e-06 
2023-05-09 09:38:55,297 INFO ofi_cancel_5_1: -3.675265066618613e-07 , std 9.043107750215225e-06 
2023-05-09 09:38:55,297 INFO ofi_cancel_6_1: -3.226419138599287e-07 , std 9.004859855393249e-06 
2023-05-09 09:38:55,297 INFO ofi_cancel_7_1: -2.0020372132340862e-07 , std 9.034525957855993e-06 
2023-05-09 09:38:55,297 INFO ofi_cancel_8_1: -2.0003038135664423e-07 , std 8.51763542857004e-06 
2023-05-09 09:38:55,297 INFO ofi_cancel_9_1: -2.1081257408807786e-07 , std 7.70601654606058e-06 
2023-05-09 09:38:55,297 INFO ofi_cancel_10_1: -1.6636283542292657e-07 , std 8.36342224219004e-06 
2023-05-09 09:38:55,297 INFO ofi_trade_1_1: -2.225433538489454e-08 , std 2.8789531631886147e-06 
2023-05-09 09:38:55,297 INFO ofi_trade_2_1: -5.2382797157861303e-08 , std 6.370212416377602e-06 
2023-05-09 09:38:55,297 INFO ofi_trade_3_1: -6.059149669236186e-08 , std 4.840611390587977e-06 
2023-05-09 09:38:55,297 INFO ofi_trade_4_1: -1.2176649602431567e-07 , std 5.691822499508872e-06 
2023-05-09 09:38:55,297 INFO ofi_trade_5_1: -1.665818001637212e-07 , std 6.715954658043263e-06 
2023-05-09 09:38:55,297 INFO ofi_trade_6_1: -1.3860366429657259e-07 , std 6.435393508793715e-06 
2023-05-09 09:38:55,297 INFO ofi_trade_7_1: -6.011752517176398e-08 , std 5.562647383801682e-06 
2023-05-09 09:38:55,297 INFO ofi_trade_8_1: -6.640260481408183e-08 , std 4.871662150860533e-06 
2023-05-09 09:38:55,297 INFO ofi_trade_9_1: -5.384094750426291e-08 , std 5.216652768645939e-06 
2023-05-09 09:38:55,297 INFO ofi_trade_10_1: -4.415511499993763e-08 , std 3.716700675951498e-06 
2023-05-09 09:38:55,297 INFO ofi_add_1_2: -3.3800791673676816e-07 , std 9.849905505222384e-06 
2023-05-09 09:38:55,297 INFO ofi_add_2_2: -4.223221068650636e-07 , std 9.429566890319952e-06 
2023-05-09 09:38:55,297 INFO ofi_add_3_2: -4.1401182059789194e-07 , std 1.0130297890486907e-05 
2023-05-09 09:38:55,297 INFO ofi_add_4_2: -5.31549079666629e-07 , std 1.0307546015461314e-05 
2023-05-09 09:38:55,298 INFO ofi_add_5_2: -5.27999313472133e-07 , std 9.518763693827474e-06 
2023-05-09 09:38:55,298 INFO ofi_add_6_2: -5.080103523576921e-07 , std 9.332917791185558e-06 
2023-05-09 09:38:55,298 INFO ofi_add_7_2: -4.763317450313196e-07 , std 9.054907367757465e-06 
2023-05-09 09:38:55,298 INFO ofi_add_8_2: -3.9930541105859596e-07 , std 9.981639537831121e-06 
2023-05-09 09:38:55,298 INFO ofi_add_9_2: -3.562401902173133e-07 , std 8.651688560819299e-06 
2023-05-09 09:38:55,298 INFO ofi_add_10_2: -5.21210103908695e-07 , std 9.807556360718534e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_1_2: -1.4154829847047115e-07 , std 8.803035008343262e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_2_2: -3.6178618942688793e-07 , std 9.743024006152263e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_3_2: -4.019007001185915e-07 , std 1.015273992940245e-05 
2023-05-09 09:38:55,298 INFO ofi_cancel_4_2: -4.7201755621425263e-07 , std 9.967850231353006e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_5_2: -4.1390135423341534e-07 , std 9.600266107921405e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_6_2: -5.254729345484493e-07 , std 1.0036902000752347e-05 
2023-05-09 09:38:55,298 INFO ofi_cancel_7_2: -2.008913081825743e-07 , std 8.565706520188203e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_8_2: -2.501495108453158e-07 , std 8.352369941808616e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_9_2: -2.2799965197656674e-07 , std 8.0950517989046e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_10_2: -2.1871637874838898e-07 , std 8.258501860927411e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_1_2: -3.5773921676785934e-08 , std 3.333963507523002e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_2_2: -8.788559040810662e-08 , std 6.026264002194517e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_3_2: -1.3198794292465357e-07 , std 5.651928681359904e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_4_2: -2.0782185048671652e-07 , std 7.9713590411237e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_5_2: -1.915710851242443e-07 , std 6.643503496247359e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_6_2: -2.041956586146045e-07 , std 8.368276484587409e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_7_2: -1.3850180564208857e-07 , std 5.4395555279541425e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_8_2: -1.044970484266594e-07 , std 5.435449330745405e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_9_2: -5.632162885873509e-08 , std 4.938027882280469e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_10_2: -7.465563919393302e-08 , std 5.3510847290825335e-06 
2023-05-09 09:38:55,298 INFO ofi_add_1_3: -2.696727646530899e-07 , std 1.200554413477833e-05 
2023-05-09 09:38:55,298 INFO ofi_add_2_3: -4.276501164385598e-07 , std 1.1454291580264325e-05 
2023-05-09 09:38:55,298 INFO ofi_add_3_3: -4.7461384275477047e-07 , std 1.1840739932114064e-05 
2023-05-09 09:38:55,298 INFO ofi_add_4_3: -5.595783479861429e-07 , std 1.1040504778000883e-05 
2023-05-09 09:38:55,298 INFO ofi_add_5_3: -4.904619601217227e-07 , std 1.0699184383503425e-05 
2023-05-09 09:38:55,298 INFO ofi_add_6_3: -4.5620554737915754e-07 , std 1.0258620764885905e-05 
2023-05-09 09:38:55,298 INFO ofi_add_7_3: -5.316449068013595e-07 , std 1.0468623660205763e-05 
2023-05-09 09:38:55,298 INFO ofi_add_8_3: -4.701541475227198e-07 , std 1.0050630189495662e-05 
2023-05-09 09:38:55,298 INFO ofi_add_9_3: -4.351488164695607e-07 , std 9.853682593501657e-06 
2023-05-09 09:38:55,298 INFO ofi_add_10_3: -5.927476120274828e-07 , std 1.1170267031277429e-05 
2023-05-09 09:38:55,298 INFO ofi_cancel_1_3: -3.4711132868291856e-07 , std 1.1372021551154325e-05 
2023-05-09 09:38:55,298 INFO ofi_cancel_2_3: -4.531846474564942e-07 , std 1.0945370039816715e-05 
2023-05-09 09:38:55,298 INFO ofi_cancel_3_3: -5.80187707521994e-07 , std 1.1191610419740215e-05 
2023-05-09 09:38:55,298 INFO ofi_cancel_4_3: -5.25082338715784e-07 , std 1.0258627254851063e-05 
2023-05-09 09:38:55,298 INFO ofi_cancel_5_3: -5.01024657716707e-07 , std 1.026067980245849e-05 
2023-05-09 09:38:55,298 INFO ofi_cancel_6_3: -4.3589742774631757e-07 , std 9.930446983487681e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_7_3: -2.825350544377559e-07 , std 9.357074369622272e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_8_3: -3.1188992906123966e-07 , std 9.294839735287092e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_9_3: -2.9311044768938777e-07 , std 9.718109070988697e-06 
2023-05-09 09:38:55,298 INFO ofi_cancel_10_3: -1.8599442259478676e-07 , std 1.004652931986148e-05 
2023-05-09 09:38:55,298 INFO ofi_trade_1_3: -2.4254006271340498e-08 , std 3.437895510750126e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_2_3: -1.1605619317622327e-07 , std 7.073641586349512e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_3_3: -1.026226942547124e-07 , std 6.282033948169964e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_4_3: -2.0719949508769803e-07 , std 7.289180971018002e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_5_3: -2.0227648745179975e-07 , std 8.145240096258387e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_6_3: -2.8478985473543715e-07 , std 9.009025045781609e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_7_3: -1.310218904588415e-07 , std 7.327308002832057e-06 
2023-05-09 09:38:55,298 INFO ofi_trade_8_3: -1.2495392203753095e-07 , std 6.742758834157161e-06 
2023-05-09 09:38:55,299 INFO ofi_trade_9_3: -9.305136248340193e-08 , std 7.17773900790341e-06 
2023-05-09 09:38:55,299 INFO ofi_trade_10_3: -6.583289349173042e-08 , std 5.163830483426609e-06 
2023-05-09 09:38:55,299 INFO used_intercept: 0.984477538326643 , std 0.12361842442353062 
2023-05-09 09:38:55,299 INFO used_ofi_add_1_1: 0.01024327200157097 , std 0.10068936080973404 
2023-05-09 09:38:55,299 INFO used_ofi_add_2_1: 0.014321400355294944 , std 0.11881202736742735 
2023-05-09 09:38:55,299 INFO used_ofi_add_3_1: 0.015257588835153192 , std 0.12257566976398944 
2023-05-09 09:38:55,299 INFO used_ofi_add_4_1: 0.017134532567942166 , std 0.12977264874240757 
2023-05-09 09:38:55,299 INFO used_ofi_add_5_1: 0.019413352331109315 , std 0.13797272948803155 
2023-05-09 09:38:55,299 INFO used_ofi_add_6_1: 0.019276349138934938 , std 0.1374946235414637 
2023-05-09 09:38:55,299 INFO used_ofi_add_7_1: 0.019979632192096742 , std 0.13993014860838704 
2023-05-09 09:38:55,299 INFO used_ofi_add_8_1: 0.016951861645042997 , std 0.12909103776719094 
2023-05-09 09:38:55,299 INFO used_ofi_add_9_1: 0.01558182972329922 , std 0.1238508631611961 
2023-05-09 09:38:55,299 INFO used_ofi_add_10_1: 0.016641321076114407 , std 0.12792336576621205 
2023-05-09 09:38:55,299 INFO used_ofi_cancel_1_1: 0.003927424842332159 , std 0.06254598449492975 
2023-05-09 09:38:55,299 INFO used_ofi_cancel_2_1: 0.00779091486164961 , std 0.08792164982112279 
2023-05-09 09:38:55,299 INFO used_ofi_cancel_3_1: 0.008745370433797774 , std 0.09310686832760211 
2023-05-09 09:38:55,299 INFO used_ofi_cancel_4_1: 0.01054924579742708 , std 0.10216633110047825 
2023-05-09 09:38:55,299 INFO used_ofi_cancel_5_1: 0.010996789558530047 , std 0.1042873922290487 
2023-05-09 09:38:55,299 INFO used_ofi_cancel_6_1: 0.01110639211226955 , std 0.10480000079445642 
2023-05-09 09:38:55,299 INFO used_ofi_cancel_7_1: 0.010476177428267413 , std 0.10181565270015644 
2023-05-09 09:38:55,299 INFO used_ofi_cancel_8_1: 0.008914341037479507 , std 0.09399401875304095 
2023-05-09 09:38:55,299 INFO used_ofi_cancel_9_1: 0.007763514223214734 , std 0.08776811533877593 
2023-05-09 09:38:55,299 INFO used_ofi_cancel_10_1: 0.008366328268781996 , std 0.09108420730335734 
2023-05-09 09:38:55,299 INFO used_ofi_trade_1_1: 0.00029227347663867234 , std 0.017093509085425552 
2023-05-09 09:38:55,299 INFO used_ofi_trade_2_1: 0.0007717846492489942 , std 0.02777028983831783 
2023-05-09 09:38:55,299 INFO used_ofi_trade_3_1: 0.0011279929489023761 , std 0.033566658767437696 
2023-05-09 09:38:55,299 INFO used_ofi_trade_4_1: 0.0017399405406145964 , std 0.041676289992389225 
2023-05-09 09:38:55,299 INFO used_ofi_trade_5_1: 0.0023153539477469825 , std 0.04806238741306589 
2023-05-09 09:38:55,299 INFO used_ofi_trade_6_1: 0.0022103181670799594 , std 0.04696203424767966 
2023-05-09 09:38:55,299 INFO used_ofi_trade_7_1: 0.0014385335178309655 , std 0.037900714230064886 
