2023-05-09 08:54:46,716 INFO Starting...
2023-05-09 08:54:46,716 INFO Tickers: ['VZ']
2023-05-09 08:56:05,918 INFO in_r2: 0.09282876628596458 , std 0.17705196660252703 
2023-05-09 08:56:05,918 INFO os_r2: -0.1284660284963024 , std 0.4116975066453702 
2023-05-09 08:56:05,918 INFO intercept: -6.463085410397037e-07 , std 0.00010836753524466851 
2023-05-09 08:56:05,918 INFO ofi_add_1_1: -1.8722440648567692e-06 , std 2.068655395262466e-05 
2023-05-09 08:56:05,918 INFO ofi_add_2_1: -1.0231945813617882e-06 , std 1.72984095063927e-05 
2023-05-09 08:56:05,918 INFO ofi_add_3_1: -4.3276466583648146e-07 , std 1.6120097734107453e-05 
2023-05-09 08:56:05,918 INFO ofi_add_4_1: -3.7749810101378597e-07 , std 1.8410814295312425e-05 
2023-05-09 08:56:05,918 INFO ofi_add_5_1: -5.985288461997557e-07 , std 1.559049851737895e-05 
2023-05-09 08:56:05,918 INFO ofi_add_6_1: -3.5177034897116163e-07 , std 1.2949036842785002e-05 
2023-05-09 08:56:05,918 INFO ofi_add_7_1: -2.7054877562048504e-07 , std 1.1283277601694797e-05 
2023-05-09 08:56:05,918 INFO ofi_add_8_1: -2.0481526348870524e-07 , std 1.3881184997641985e-05 
2023-05-09 08:56:05,918 INFO ofi_add_9_1: -2.2933147109128428e-07 , std 1.0589840162619668e-05 
2023-05-09 08:56:05,918 INFO ofi_add_10_1: -1.2448725601758655e-07 , std 1.2352547910650945e-05 
2023-05-09 08:56:05,918 INFO ofi_cancel_1_1: -2.7320775439838887e-07 , std 1.6291204267298416e-05 
2023-05-09 08:56:05,918 INFO ofi_cancel_2_1: -4.865499914443721e-08 , std 1.4949871713708082e-05 
2023-05-09 08:56:05,918 INFO ofi_cancel_3_1: -4.1022893233320553e-07 , std 1.4031515103707635e-05 
2023-05-09 08:56:05,918 INFO ofi_cancel_4_1: -4.964625759916427e-07 , std 1.757297927260973e-05 
2023-05-09 08:56:05,918 INFO ofi_cancel_5_1: -1.831662556689911e-07 , std 1.1576825337223607e-05 
2023-05-09 08:56:05,918 INFO ofi_cancel_6_1: -1.2404368762805566e-07 , std 8.263556922168959e-06 
2023-05-09 08:56:05,918 INFO ofi_cancel_7_1: -4.790266308606326e-08 , std 6.413118882047406e-06 
2023-05-09 08:56:05,918 INFO ofi_cancel_8_1: -2.3864471361199174e-08 , std 5.789879765682031e-06 
2023-05-09 08:56:05,918 INFO ofi_cancel_9_1: -4.810588379825871e-08 , std 5.566910379264164e-06 
2023-05-09 08:56:05,918 INFO ofi_cancel_10_1: -7.219429368363359e-08 , std 6.222577098800596e-06 
2023-05-09 08:56:05,918 INFO ofi_trade_1_1: 1.1142732699457248e-09 , std 6.3597546118880584e-06 
2023-05-09 08:56:05,918 INFO ofi_trade_2_1: -2.31894142957464e-07 , std 1.1139029057866857e-05 
2023-05-09 08:56:05,918 INFO ofi_trade_3_1: -3.1881288203388535e-07 , std 1.1681764979920797e-05 
2023-05-09 08:56:05,918 INFO ofi_trade_4_1: -4.485392210012956e-07 , std 1.3928327628813066e-05 
2023-05-09 08:56:05,918 INFO ofi_trade_5_1: -2.247695138645406e-07 , std 1.1278923316399245e-05 
2023-05-09 08:56:05,918 INFO ofi_trade_6_1: -1.6919256985692526e-07 , std 9.659727814159467e-06 
2023-05-09 08:56:05,918 INFO ofi_trade_7_1: -1.1557942240454789e-07 , std 9.462933116367513e-06 
2023-05-09 08:56:05,918 INFO ofi_trade_8_1: -8.144094013565131e-08 , std 7.180036968921557e-06 
2023-05-09 08:56:05,919 INFO ofi_trade_9_1: -8.82919484419675e-08 , std 6.625897957718901e-06 
2023-05-09 08:56:05,919 INFO ofi_trade_10_1: -7.632285995279743e-08 , std 6.084850677963612e-06 
2023-05-09 08:56:05,919 INFO ofi_add_1_2: -2.3249802869762944e-06 , std 1.9092892708038323e-05 
2023-05-09 08:56:05,919 INFO ofi_add_2_2: -1.2413071651526569e-06 , std 1.8035919397256907e-05 
2023-05-09 08:56:05,919 INFO ofi_add_3_2: -4.049465184507331e-07 , std 1.728356769646145e-05 
2023-05-09 08:56:05,919 INFO ofi_add_4_2: -6.486783530901708e-07 , std 1.8896706546302127e-05 
2023-05-09 08:56:05,919 INFO ofi_add_5_2: -7.166266755506195e-07 , std 1.689453294867551e-05 
2023-05-09 08:56:05,919 INFO ofi_add_6_2: -5.210465275381225e-07 , std 1.598515855091515e-05 
2023-05-09 08:56:05,919 INFO ofi_add_7_2: -3.4480999459765624e-07 , std 1.3092545068483586e-05 
2023-05-09 08:56:05,919 INFO ofi_add_8_2: -2.604458855823582e-07 , std 1.214412205318163e-05 
2023-05-09 08:56:05,919 INFO ofi_add_9_2: -3.2549034344019933e-07 , std 1.2109760547240683e-05 
2023-05-09 08:56:05,919 INFO ofi_add_10_2: -1.7608806372430867e-07 , std 1.1874410391793264e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_1_2: -8.645893456324249e-08 , std 1.7224419450915722e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_2_2: -1.1065344154273051e-07 , std 1.703285500367727e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_3_2: -5.140206823888055e-07 , std 1.6587896918246578e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_4_2: -6.464391670214225e-07 , std 1.9698351533389193e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_5_2: -3.6777573362906327e-07 , std 1.4611613766176136e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_6_2: -1.4221062948652737e-07 , std 1.0722577543842952e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_7_2: -1.1396917501557172e-08 , std 7.946036909358819e-06 
2023-05-09 08:56:05,919 INFO ofi_cancel_8_2: -1.0046407287769661e-07 , std 7.415269797853873e-06 
2023-05-09 08:56:05,919 INFO ofi_cancel_9_2: -5.911187820432345e-08 , std 6.5748600851856166e-06 
2023-05-09 08:56:05,919 INFO ofi_cancel_10_2: -2.0351936326208067e-08 , std 5.0847092020690035e-06 
2023-05-09 08:56:05,919 INFO ofi_trade_1_2: -1.9377302564984643e-08 , std 6.477097346567796e-06 
2023-05-09 08:56:05,919 INFO ofi_trade_2_2: -3.718572097148501e-07 , std 1.3061044263711626e-05 
2023-05-09 08:56:05,919 INFO ofi_trade_3_2: -5.267837971165279e-07 , std 1.3610499310499981e-05 
2023-05-09 08:56:05,919 INFO ofi_trade_4_2: -6.266361955467157e-07 , std 1.5425095222851074e-05 
2023-05-09 08:56:05,919 INFO ofi_trade_5_2: -3.06006364289668e-07 , std 1.324193177371379e-05 
2023-05-09 08:56:05,919 INFO ofi_trade_6_2: -1.3014991339599872e-07 , std 8.402113543186226e-06 
2023-05-09 08:56:05,919 INFO ofi_trade_7_2: -1.4309872860143338e-07 , std 9.28982166922005e-06 
2023-05-09 08:56:05,919 INFO ofi_trade_8_2: -1.4556629294386578e-07 , std 7.745831921328404e-06 
2023-05-09 08:56:05,919 INFO ofi_trade_9_2: -1.2875628597333183e-07 , std 9.190214392839982e-06 
2023-05-09 08:56:05,919 INFO ofi_trade_10_2: -9.625319286470383e-08 , std 8.567309407280658e-06 
2023-05-09 08:56:05,919 INFO ofi_add_1_3: -2.4569152512656173e-06 , std 1.8203862542426015e-05 
2023-05-09 08:56:05,919 INFO ofi_add_2_3: -1.0053571419398758e-06 , std 1.9077612996700465e-05 
2023-05-09 08:56:05,919 INFO ofi_add_3_3: -3.250374927446473e-07 , std 1.86828550333139e-05 
2023-05-09 08:56:05,919 INFO ofi_add_4_3: -4.5464429008920935e-07 , std 1.9937075084336232e-05 
2023-05-09 08:56:05,919 INFO ofi_add_5_3: -6.369271689969991e-07 , std 1.8774461419700527e-05 
2023-05-09 08:56:05,919 INFO ofi_add_6_3: -7.419381828406012e-07 , std 1.7877260075437225e-05 
2023-05-09 08:56:05,919 INFO ofi_add_7_3: -7.205662717839698e-07 , std 1.6206004103951303e-05 
2023-05-09 08:56:05,919 INFO ofi_add_8_3: -4.360451169796281e-07 , std 1.4885316260960058e-05 
2023-05-09 08:56:05,919 INFO ofi_add_9_3: -4.799734124736515e-07 , std 1.5411083380940914e-05 
2023-05-09 08:56:05,919 INFO ofi_add_10_3: -4.748623620342292e-07 , std 1.601912083594719e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_1_3: 1.758818780356409e-07 , std 1.9986288270894976e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_2_3: -4.2789808559316563e-07 , std 1.8620741524027424e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_3_3: -8.527303085156261e-07 , std 1.9877924929479855e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_4_3: -8.526008744267512e-07 , std 1.932949447716266e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_5_3: -4.3582196585410507e-07 , std 1.5555330727740075e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_6_3: -1.4761391169983414e-07 , std 1.3133801215988442e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_7_3: -5.1809249866841297e-08 , std 8.311652648210764e-06 
2023-05-09 08:56:05,919 INFO ofi_cancel_8_3: -2.239289740512978e-08 , std 1.014960760355765e-05 
2023-05-09 08:56:05,919 INFO ofi_cancel_9_3: -5.4309059318195936e-08 , std 6.378123516125512e-06 
2023-05-09 08:56:05,919 INFO ofi_cancel_10_3: -6.282014428484372e-08 , std 6.1231532568347424e-06 
2023-05-09 08:56:05,919 INFO ofi_trade_1_3: -5.87220836888581e-08 , std 1.050739446742912e-05 
2023-05-09 08:56:05,919 INFO ofi_trade_2_3: -3.243584821987657e-07 , std 1.6314616401961154e-05 
2023-05-09 08:56:05,919 INFO ofi_trade_3_3: -5.596290545517638e-07 , std 1.6087956227482345e-05 
2023-05-09 08:56:05,920 INFO ofi_trade_4_3: -5.021604638800711e-07 , std 1.6500098895690656e-05 
2023-05-09 08:56:05,920 INFO ofi_trade_5_3: -2.4965100350761816e-07 , std 1.3976105908305674e-05 
2023-05-09 08:56:05,920 INFO ofi_trade_6_3: -2.0332401869290311e-07 , std 1.21648228863568e-05 
2023-05-09 08:56:05,920 INFO ofi_trade_7_3: -1.1401104433413919e-07 , std 1.0250716916076922e-05 
2023-05-09 08:56:05,920 INFO ofi_trade_8_3: -1.2722595951088436e-07 , std 1.000296228134014e-05 
2023-05-09 08:56:05,920 INFO ofi_trade_9_3: -1.733769934166312e-07 , std 1.0387168778259893e-05 
2023-05-09 08:56:05,920 INFO ofi_trade_10_3: -3.658632406760281e-08 , std 9.821689895336356e-06 
2023-05-09 08:56:05,920 INFO used_intercept: 0.9784904988286227 , std 0.1450752995197177 
2023-05-09 08:56:05,920 INFO used_ofi_add_1_1: 0.08672302064638106 , std 0.2814287446874402 
2023-05-09 08:56:05,920 INFO used_ofi_add_2_1: 0.021938777840190344 , std 0.1464836778179368 
2023-05-09 08:56:05,920 INFO used_ofi_add_3_1: 0.01576450064619839 , std 0.12456316135027404 
2023-05-09 08:56:05,920 INFO used_ofi_add_4_1: 0.029843862028651934 , std 0.17015641606435747 
2023-05-09 08:56:05,920 INFO used_ofi_add_5_1: 0.013321277052421988 , std 0.11464650291271251 
2023-05-09 08:56:05,920 INFO used_ofi_add_6_1: 0.0070830650354153256 , std 0.0838623588096555 
2023-05-09 08:56:05,920 INFO used_ofi_add_7_1: 0.005329424175583291 , std 0.07280811365184515 
2023-05-09 08:56:05,920 INFO used_ofi_add_8_1: 0.004361268284217689 , std 0.0658957329663368 
2023-05-09 08:56:05,920 INFO used_ofi_add_9_1: 0.004667242080073799 , std 0.06815760362160472 
2023-05-09 08:56:05,920 INFO used_ofi_add_10_1: 0.004913847825987679 , std 0.06992640363647135 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_1_1: 0.01624857859188119 , std 0.12643006875591203 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_2_1: 0.00778634808857713 , std 0.0878960799582134 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_3_1: 0.010686248989601457 , std 0.10282048955404609 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_4_1: 0.016202910861156397 , std 0.12625520401465365 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_5_1: 0.004776844633813301 , std 0.06894944807000059 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_6_1: 0.0020824485210505406 , std 0.04558631295912969 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_7_1: 0.0012604293680042746 , std 0.03548014495196639 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_8_1: 0.0009818562105830399 , std 0.031319198089427194 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_9_1: 0.0010138236220903947 , std 0.0318244526072906 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_10_1: 0.000895087522205934 , std 0.02990462072211459 
2023-05-09 08:56:05,920 INFO used_ofi_trade_1_1: 0.0002785731574212346 , std 0.01668818607330344 
2023-05-09 08:56:05,920 INFO used_ofi_trade_2_1: 0.002557392920588383 , std 0.050505966598394174 
2023-05-09 08:56:05,920 INFO used_ofi_trade_3_1: 0.004237965411260749 , std 0.06496156602510214 
2023-05-09 08:56:05,920 INFO used_ofi_trade_4_1: 0.006722289962689464 , std 0.08171352874736834 
2023-05-09 08:56:05,920 INFO used_ofi_trade_5_1: 0.002730930297342595 , std 0.052186897944346625 
2023-05-09 08:56:05,920 INFO used_ofi_trade_6_1: 0.0016531718522374904 , std 0.0406255938426069 
2023-05-09 08:56:05,920 INFO used_ofi_trade_7_1: 0.0012969635525841086 , std 0.03599001859026162 
2023-05-09 08:56:05,920 INFO used_ofi_trade_8_1: 0.0010594913528151873 , std 0.03253258106711636 
2023-05-09 08:56:05,920 INFO used_ofi_trade_9_1: 0.0010914587643225421 , std 0.033019198689373516 
2023-05-09 08:56:05,920 INFO used_ofi_trade_10_1: 0.0010138236220903947 , std 0.03182445260729061 
2023-05-09 08:56:05,920 INFO used_ofi_add_1_2: 0.11281756198252753 , std 0.31636965671638945 
2023-05-09 08:56:05,920 INFO used_ofi_add_2_2: 0.033848922013216244 , std 0.18084018494726065 
2023-05-09 08:56:05,920 INFO used_ofi_add_3_2: 0.02662428701255406 , std 0.16098271445601606 
2023-05-09 08:56:05,920 INFO used_ofi_add_4_2: 0.04522018696368959 , std 0.2077867215552008 
2023-05-09 08:56:05,920 INFO used_ofi_add_5_2: 0.022176250039959263 , std 0.14725645647687055 
2023-05-09 08:56:05,920 INFO used_ofi_add_6_2: 0.0121521831458673 , std 0.10956508381166236 
2023-05-09 08:56:05,920 INFO used_ofi_add_7_2: 0.00932078384093016 , std 0.096093219477343 
2023-05-09 08:56:05,920 INFO used_ofi_add_8_2: 0.0079690190114763 , std 0.08891295601581936 
2023-05-09 08:56:05,920 INFO used_ofi_add_9_2: 0.008288693126549848 , std 0.090664164325293 
2023-05-09 08:56:05,920 INFO used_ofi_add_10_2: 0.008512465007101332 , std 0.09186948865975149 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_1_2: 0.025368424417622264 , std 0.15724143048252154 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_2_2: 0.01319340740639257 , std 0.11410232866774242 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_3_2: 0.01814378941696008 , std 0.13347131647868427 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_4_2: 0.025811401405652752 , std 0.1585722956986151 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_5_2: 0.009466920579249496 , std 0.09683644971804613 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_6_2: 0.0039182912961872015 , std 0.06247350069833949 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_7_2: 0.0018586766404990569 , std 0.043072287629578265 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_8_2: 0.0018997775981513703 , std 0.04354501628463277 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_9_2: 0.001876943732788974 , std 0.043283031490561265 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_10_2: 0.0017171066752522 , std 0.04140239389115084 
2023-05-09 08:56:05,921 INFO used_ofi_trade_1_2: 0.00039730925730569524 , std 0.019928657823841383 
2023-05-09 08:56:05,921 INFO used_ofi_trade_2_2: 0.00459874048398661 , std 0.06765790471147888 
2023-05-09 08:56:05,921 INFO used_ofi_trade_3_2: 0.007695012627127545 , std 0.08738306133225072 
2023-05-09 08:56:05,921 INFO used_ofi_trade_4_2: 0.011165760162211779 , std 0.10507657189979003 
2023-05-09 08:56:05,921 INFO used_ofi_trade_5_2: 0.004799678499175697 , std 0.06911325188037565 
2023-05-09 08:56:05,921 INFO used_ofi_trade_6_2: 0.002488891324501194 , std 0.049826667001476393 
2023-05-09 08:56:05,921 INFO used_ofi_trade_7_2: 0.0024112561822690467 , std 0.04904530584971937 
2023-05-09 08:56:05,921 INFO used_ofi_trade_8_2: 0.0016942728098898038 , std 0.041126661055031835 
2023-05-09 08:56:05,921 INFO used_ofi_trade_9_2: 0.0018586766404990569 , std 0.04307228762957826 
2023-05-09 08:56:05,921 INFO used_ofi_trade_10_2: 0.002041347563398227 , std 0.04513513557666173 
2023-05-09 08:56:05,921 INFO used_ofi_add_1_3: 0.15401898864243538 , std 0.3609669510910891 
2023-05-09 08:56:05,921 INFO used_ofi_add_2_3: 0.05299283473304928 , std 0.22401918266078244 
2023-05-09 08:56:05,921 INFO used_ofi_add_3_3: 0.049216113402108935 , std 0.21631894873935498 
2023-05-09 08:56:05,921 INFO used_ofi_add_4_3: 0.08280929612326633 , std 0.27559375282984105 
