2023-05-09 09:10:57,847 INFO Starting...
2023-05-09 09:10:57,847 INFO Tickers: ['WMT']
2023-05-09 09:12:17,641 INFO in_r2: 0.09704248855173386 , std 0.18115753602470733 
2023-05-09 09:12:17,641 INFO os_r2: -0.10444857362642415 , std 0.06988971981104865 
2023-05-09 09:12:17,642 INFO intercept: -4.2424517050006724e-07 , std 0.00010006677962398663 
2023-05-09 09:12:17,642 INFO ofi_add_1_1: -9.321383750837249e-07 , std 1.2965326879449154e-05 
2023-05-09 09:12:17,642 INFO ofi_add_2_1: -5.618454369793677e-07 , std 1.1127761302913075e-05 
2023-05-09 09:12:17,642 INFO ofi_add_3_1: -3.352180706801262e-07 , std 9.941311626466929e-06 
2023-05-09 09:12:17,642 INFO ofi_add_4_1: -4.1671793479152234e-07 , std 1.0545744955529758e-05 
2023-05-09 09:12:17,642 INFO ofi_add_5_1: -3.3494308983272724e-07 , std 1.1583662580234721e-05 
2023-05-09 09:12:17,642 INFO ofi_add_6_1: -4.625899500926435e-07 , std 9.707535094320125e-06 
2023-05-09 09:12:17,642 INFO ofi_add_7_1: -4.3906930072325076e-07 , std 9.503883413662161e-06 
2023-05-09 09:12:17,642 INFO ofi_add_8_1: -2.3489555522445355e-07 , std 8.108536138904087e-06 
2023-05-09 09:12:17,642 INFO ofi_add_9_1: -2.1048504203879097e-07 , std 7.668125412063347e-06 
2023-05-09 09:12:17,642 INFO ofi_add_10_1: -2.287205965415674e-07 , std 8.6330734187215e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_1_1: -1.3431283118163302e-07 , std 9.06198581270755e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_2_1: -2.0635422094898583e-07 , std 9.700228772041165e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_3_1: -3.492692109467675e-07 , std 9.245522070408377e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_4_1: -4.3975317832134894e-07 , std 9.535751932499773e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_5_1: -4.128502824262003e-07 , std 9.146992082565979e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_6_1: -3.253170396620872e-07 , std 9.656566307268188e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_7_1: -1.5360676537556443e-07 , std 6.817307107138654e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_8_1: -1.194918360329969e-07 , std 6.326052178578648e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_9_1: -9.808239652819299e-08 , std 5.5825049015198955e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_10_1: -8.99224318693819e-08 , std 5.330654882941316e-06 
2023-05-09 09:12:17,642 INFO ofi_trade_1_1: -8.518617361376706e-09 , std 3.5220229833580124e-06 
2023-05-09 09:12:17,642 INFO ofi_trade_2_1: -7.575309246291832e-08 , std 6.461221909634064e-06 
2023-05-09 09:12:17,642 INFO ofi_trade_3_1: -1.7595308625071845e-07 , std 7.560353884853394e-06 
2023-05-09 09:12:17,642 INFO ofi_trade_4_1: -2.1008105266981623e-07 , std 8.065042662895631e-06 
2023-05-09 09:12:17,642 INFO ofi_trade_5_1: -3.3635802236270327e-07 , std 9.31099729221003e-06 
2023-05-09 09:12:17,642 INFO ofi_trade_6_1: -1.965941998423096e-07 , std 7.65586932672351e-06 
2023-05-09 09:12:17,642 INFO ofi_trade_7_1: -1.389645196814535e-07 , std 6.952458741812401e-06 
2023-05-09 09:12:17,642 INFO ofi_trade_8_1: -5.0192534241050934e-08 , std 3.8987992816063e-06 
2023-05-09 09:12:17,642 INFO ofi_trade_9_1: -6.001778783681667e-08 , std 3.941574921025598e-06 
2023-05-09 09:12:17,642 INFO ofi_trade_10_1: -5.081366228969956e-08 , std 4.289367129588475e-06 
2023-05-09 09:12:17,642 INFO ofi_add_1_2: -1.041114732373582e-06 , std 1.3133584276173997e-05 
2023-05-09 09:12:17,642 INFO ofi_add_2_2: -5.938308959132766e-07 , std 1.0877706704969343e-05 
2023-05-09 09:12:17,642 INFO ofi_add_3_2: -4.334992748329902e-07 , std 1.0746054780953477e-05 
2023-05-09 09:12:17,642 INFO ofi_add_4_2: -5.43816588299871e-07 , std 1.1261942429459382e-05 
2023-05-09 09:12:17,642 INFO ofi_add_5_2: -4.2941503828249427e-07 , std 1.1085903115093129e-05 
2023-05-09 09:12:17,642 INFO ofi_add_6_2: -4.586619123028154e-07 , std 1.0383652843532374e-05 
2023-05-09 09:12:17,642 INFO ofi_add_7_2: -5.066702376294912e-07 , std 1.054705325366434e-05 
2023-05-09 09:12:17,642 INFO ofi_add_8_2: -3.3359699195725926e-07 , std 8.08684432701051e-06 
2023-05-09 09:12:17,642 INFO ofi_add_9_2: -2.5212169525623765e-07 , std 8.67233809008356e-06 
2023-05-09 09:12:17,642 INFO ofi_add_10_2: -4.2356162767357276e-07 , std 9.554670836021263e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_1_2: -1.3418446996932297e-07 , std 9.772477257163923e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_2_2: -2.8174155185627947e-07 , std 9.715607783065453e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_3_2: -3.8211058702063413e-07 , std 9.787307239444404e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_4_2: -3.9370791774916905e-07 , std 9.242262946968595e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_5_2: -4.171382001810409e-07 , std 1.0333570946037521e-05 
2023-05-09 09:12:17,642 INFO ofi_cancel_6_2: -3.126647976325044e-07 , std 8.563644374877739e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_7_2: -2.0029613433783374e-07 , std 7.756395781179819e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_8_2: -1.393085702940486e-07 , std 7.01019550546433e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_9_2: -7.635950934739132e-08 , std 5.422614988021496e-06 
2023-05-09 09:12:17,642 INFO ofi_cancel_10_2: -8.835335834604442e-08 , std 5.4413565425244746e-06 
2023-05-09 09:12:17,642 INFO ofi_trade_1_2: -1.5390902562076317e-08 , std 3.1177333219661574e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_2_2: -1.3106160082312604e-07 , std 7.465599927404144e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_3_2: -2.582055025882256e-07 , std 9.286612862812837e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_4_2: -2.077381438610209e-07 , std 8.217624761546653e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_5_2: -3.2796049354780344e-07 , std 9.887597594017394e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_6_2: -1.765186446834462e-07 , std 8.416371885775376e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_7_2: -1.33917254369851e-07 , std 6.008132573084197e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_8_2: -6.18436535466684e-08 , std 4.953449392038e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_9_2: -3.710849988761008e-08 , std 4.294273892611948e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_10_2: -3.687267657717476e-08 , std 6.225796375265647e-06 
2023-05-09 09:12:17,643 INFO ofi_add_1_3: -1.1620661016137988e-06 , std 1.3334445279482208e-05 
2023-05-09 09:12:17,643 INFO ofi_add_2_3: -6.224516952849153e-07 , std 1.277980764844543e-05 
2023-05-09 09:12:17,643 INFO ofi_add_3_3: -4.618743939177964e-07 , std 1.1087965271836544e-05 
2023-05-09 09:12:17,643 INFO ofi_add_4_3: -4.769062118358909e-07 , std 1.1792414436219968e-05 
2023-05-09 09:12:17,643 INFO ofi_add_5_3: -4.6712310699058783e-07 , std 1.2232247003994131e-05 
2023-05-09 09:12:17,643 INFO ofi_add_6_3: -4.774647911341086e-07 , std 1.1612296354909954e-05 
2023-05-09 09:12:17,643 INFO ofi_add_7_3: -6.697928647920867e-07 , std 1.193910299656855e-05 
2023-05-09 09:12:17,643 INFO ofi_add_8_3: -4.4781978495979564e-07 , std 1.0160344153781293e-05 
2023-05-09 09:12:17,643 INFO ofi_add_9_3: -3.9129919951153217e-07 , std 1.0595331195403123e-05 
2023-05-09 09:12:17,643 INFO ofi_add_10_3: -6.248348310315524e-07 , std 1.1836167371226961e-05 
2023-05-09 09:12:17,643 INFO ofi_cancel_1_3: 4.521168614371022e-08 , std 1.2968058192829819e-05 
2023-05-09 09:12:17,643 INFO ofi_cancel_2_3: -4.1140119778270185e-07 , std 1.194603846564972e-05 
2023-05-09 09:12:17,643 INFO ofi_cancel_3_3: -5.465055956089553e-07 , std 1.1618031502070183e-05 
2023-05-09 09:12:17,643 INFO ofi_cancel_4_3: -5.128649870079265e-07 , std 1.054433219314476e-05 
2023-05-09 09:12:17,643 INFO ofi_cancel_5_3: -5.825258348680104e-07 , std 1.2192302120607484e-05 
2023-05-09 09:12:17,643 INFO ofi_cancel_6_3: -3.389785601282701e-07 , std 1.0523900557615046e-05 
2023-05-09 09:12:17,643 INFO ofi_cancel_7_3: -1.4038233504426887e-07 , std 8.84968578831327e-06 
2023-05-09 09:12:17,643 INFO ofi_cancel_8_3: -8.519057189848108e-08 , std 7.283067894640954e-06 
2023-05-09 09:12:17,643 INFO ofi_cancel_9_3: -1.0513096964969094e-07 , std 7.13602691527446e-06 
2023-05-09 09:12:17,643 INFO ofi_cancel_10_3: -3.443115226103447e-08 , std 7.552047577842156e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_1_3: -3.679615914395013e-08 , std 6.557045491001107e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_2_3: -1.0605634524347106e-07 , std 8.200510866201202e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_3_3: -2.6481739547571063e-07 , std 8.864823247415388e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_4_3: -2.7954003308546397e-07 , std 8.521268774936769e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_5_3: -3.400126547116392e-07 , std 9.615874913764072e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_6_3: -3.503602742070815e-07 , std 9.28770230620166e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_7_3: -1.5740545134992378e-07 , std 6.522319699832733e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_8_3: -5.7243362667862286e-08 , std 5.218492059908527e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_9_3: -4.23529881402007e-08 , std 4.718279795000792e-06 
2023-05-09 09:12:17,643 INFO ofi_trade_10_3: -1.0367834300377239e-07 , std 6.521512850968808e-06 
2023-05-09 09:12:17,643 INFO used_intercept: 0.9833769460161755 , std 0.12785432358772758 
2023-05-09 09:12:17,643 INFO used_ofi_add_1_1: 0.030414708662711842 , std 0.17172551982647835 
2023-05-09 09:12:17,643 INFO used_ofi_add_2_1: 0.017751046932726867 , std 0.13204524703872908 
2023-05-09 09:12:17,643 INFO used_ofi_add_3_1: 0.014056527517091149 , std 0.11772400584100258 
2023-05-09 09:12:17,643 INFO used_ofi_add_4_1: 0.018837938923976928 , std 0.13595245853265564 
2023-05-09 09:12:17,643 INFO used_ofi_add_5_1: 0.02404862699967576 , std 0.15320016494477484 
2023-05-09 09:12:17,643 INFO used_ofi_add_6_1: 0.02258269284340992 , std 0.14856888916374827 
2023-05-09 09:12:17,643 INFO used_ofi_add_7_1: 0.01717563352559448 , std 0.12992548302234228 
2023-05-09 09:12:17,643 INFO used_ofi_add_8_1: 0.01221155119580953 , std 0.10982909092404275 
2023-05-09 09:12:17,643 INFO used_ofi_add_9_1: 0.00889150717211711 , std 0.09387464126336408 
2023-05-09 09:12:17,643 INFO used_ofi_add_10_1: 0.010809551862558397 , std 0.10340553878341846 
2023-05-09 09:12:17,643 INFO used_ofi_cancel_1_1: 0.005384225452453042 , std 0.07317947505093349 
2023-05-09 09:12:17,643 INFO used_ofi_cancel_2_1: 0.007156133404574994 , std 0.08429070624494091 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_3_1: 0.009530855402264206 , std 0.09715975605962243 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_4_1: 0.012312020203404073 , std 0.11027435949446743 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_5_1: 0.014814611847122705 , std 0.12081034360907096 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_6_1: 0.010823252181775836 , std 0.10347033098422716 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_7_1: 0.006909527658661114 , std 0.08283589853557037 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_8_1: 0.004329300872710334 , std 0.0656548400855861 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_9_1: 0.00355751622346134 , std 0.05953872942699693 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_10_1: 0.003931991615404639 , std 0.06258219441135814 
2023-05-09 09:12:17,644 INFO used_ofi_trade_1_1: 0.0001644038306092532 , std 0.012820951680344726 
2023-05-09 09:12:17,644 INFO used_ofi_trade_2_1: 0.0014933347947007165 , std 0.038614825467579855 
2023-05-09 09:12:17,644 INFO used_ofi_trade_3_1: 0.002717229978125157 , std 0.052056187330336984 
2023-05-09 09:12:17,644 INFO used_ofi_trade_4_1: 0.0033931123928520866 , std 0.05815151916452021 
2023-05-09 09:12:17,644 INFO used_ofi_trade_5_1: 0.0045850401647691726 , std 0.06755751306447437 
2023-05-09 09:12:17,644 INFO used_ofi_trade_6_1: 0.0034387801235768794 , std 0.058540199135624506 
2023-05-09 09:12:17,644 INFO used_ofi_trade_7_1: 0.0019317450096587251 , std 0.043909149056618975 
2023-05-09 09:12:17,644 INFO used_ofi_trade_8_1: 0.0008083188338288282 , std 0.028419455562901017 
2023-05-09 09:12:17,644 INFO used_ofi_trade_9_1: 0.0007078498262342846 , std 0.026596029306228865 
2023-05-09 09:12:17,644 INFO used_ofi_trade_10_1: 0.0005754134071323862 , std 0.023980873765217108 
2023-05-09 09:12:17,644 INFO used_ofi_add_1_2: 0.04305553652733442 , std 0.20298216005767059 
2023-05-09 09:12:17,644 INFO used_ofi_add_2_2: 0.026213277436030927 , std 0.1597690255402861 
2023-05-09 09:12:17,644 INFO used_ofi_add_3_2: 0.024445936256981455 , std 0.15442905315225194 
2023-05-09 09:12:17,644 INFO used_ofi_add_4_2: 0.030985555296771747 , std 0.1732785349075945 
2023-05-09 09:12:17,644 INFO used_ofi_add_5_2: 0.03626474496855777 , std 0.1869481565593072 
2023-05-09 09:12:17,644 INFO used_ofi_add_6_2: 0.03709589766774899 , std 0.1889968043221178 
2023-05-09 09:12:17,644 INFO used_ofi_add_7_2: 0.029117745110127734 , std 0.16813655768401278 
2023-05-09 09:12:17,644 INFO used_ofi_add_8_2: 0.01956405584250113 , std 0.13849658321234004 
2023-05-09 09:12:17,644 INFO used_ofi_add_9_2: 0.017029496787275143 , std 0.12938119270762397 
2023-05-09 09:12:17,644 INFO used_ofi_add_10_2: 0.019847195772994843 , std 0.13947503214892354 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_1_2: 0.009613057317568832 , std 0.097573800000707 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_2_2: 0.01318884063332009 , std 0.11408284321522223 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_3_2: 0.015472227169559717 , std 0.12342138127558475 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_4_2: 0.019979632192096742 , std 0.13993014860838704 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_5_2: 0.022135149082306953 , std 0.14712302422602314 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_6_2: 0.0170614641987825 , std 0.12950046578362626 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_7_2: 0.01092372118937038 , std 0.10394418456434817 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_8_2: 0.007927918053823988 , std 0.08868520828839406 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_9_2: 0.0058546030789184056 , std 0.07629106567421065 
2023-05-09 09:12:17,644 INFO used_ofi_cancel_10_2: 0.005694766021381631 , std 0.07524849275130599 
2023-05-09 09:12:17,644 INFO used_ofi_trade_1_2: 0.0003379412073634649 , std 0.01838007081335191 
2023-05-09 09:12:17,644 INFO used_ofi_trade_2_2: 0.0025117251898635904 , std 0.05005413495840474 
2023-05-09 09:12:17,644 INFO used_ofi_trade_3_2: 0.004594173710914131 , std 0.06762445769710894 
2023-05-09 09:12:17,644 INFO used_ofi_trade_4_2: 0.006553319359007732 , std 0.08068688471112631 
2023-05-09 09:12:17,644 INFO used_ofi_trade_5_2: 0.007192667589154827 , std 0.08450404204596815 
2023-05-09 09:12:17,644 INFO used_ofi_trade_6_2: 0.005425326410105355 , std 0.07345673722300201 
2023-05-09 09:12:17,644 INFO used_ofi_trade_7_2: 0.002968402497111516 , std 0.05440212388985065 
2023-05-09 09:12:17,644 INFO used_ofi_trade_8_2: 0.0014065661063236107 , std 0.03747782915420999 
2023-05-09 09:12:17,644 INFO used_ofi_trade_9_2: 0.00128783000643915 , std 0.035863233266308615 
2023-05-09 09:12:17,644 INFO used_ofi_trade_10_2: 0.0011279929489023761 , std 0.033566658767437696 
2023-05-09 09:12:17,644 INFO used_ofi_add_1_3: 0.07042877432377508 , std 0.2558682513932235 
2023-05-09 09:12:17,644 INFO used_ofi_add_2_3: 0.046581085339288404 , std 0.21073985818516233 
2023-05-09 09:12:17,644 INFO used_ofi_add_3_3: 0.045517027213400736 , std 0.2084351876412792 
2023-05-09 09:12:17,644 INFO used_ofi_add_4_3: 0.05316180533673101 , std 0.22435602909231245 
2023-05-09 09:12:17,644 INFO used_ofi_add_5_3: 0.06423623003749321 , std 0.24517327910696843 
2023-05-09 09:12:17,645 INFO used_ofi_add_6_3: 0.06546012522091765 , std 0.24733600066908867 
2023-05-09 09:12:17,645 INFO used_ofi_add_7_3: 0.05313897147136862 , std 0.22431054630207137 
2023-05-09 09:12:17,645 INFO used_ofi_add_8_3: 0.03821475707050641 , std 0.19171434326243977 
2023-05-09 09:12:17,645 INFO used_ofi_add_9_3: 0.033383111159823356 , std 0.1796348492055877 
2023-05-09 09:12:17,645 INFO used_ofi_add_10_3: 0.04122882729834272 , std 0.1988190410849679 
2023-05-09 09:12:17,645 INFO used_ofi_cancel_1_3: 0.023582816146282874 , std 0.15174540167297818 
