2023-05-09 08:45:16,684 INFO Starting...
2023-05-09 08:45:16,684 INFO Tickers: ['XOM']
2023-05-09 08:46:37,236 INFO in_r2: 0.09696902384582548 , std 0.18100725537258774 
2023-05-09 08:46:37,236 INFO os_r2: -0.1352220572602882 , std 0.7828178334635809 
2023-05-09 08:46:37,236 INFO intercept: -2.7018949937012178e-06 , std 0.00010142102612840363 
2023-05-09 08:46:37,236 INFO ofi_add_1_1: -1.4808555064071067e-06 , std 1.5401991736793433e-05 
2023-05-09 08:46:37,236 INFO ofi_add_2_1: -5.445981904360917e-07 , std 1.137808407382986e-05 
2023-05-09 08:46:37,236 INFO ofi_add_3_1: -3.4082996175364283e-07 , std 1.0453468188418464e-05 
2023-05-09 08:46:37,236 INFO ofi_add_4_1: -3.9497231712060456e-07 , std 1.0971127979874593e-05 
2023-05-09 08:46:37,236 INFO ofi_add_5_1: -3.2682560650321673e-07 , std 1.0915061020322457e-05 
2023-05-09 08:46:37,236 INFO ofi_add_6_1: -5.370397538900077e-07 , std 1.1133281405307542e-05 
2023-05-09 08:46:37,236 INFO ofi_add_7_1: -3.6731426303912845e-07 , std 9.902650008915643e-06 
2023-05-09 08:46:37,236 INFO ofi_add_8_1: -2.7036208044811576e-07 , std 8.714111202170371e-06 
2023-05-09 08:46:37,236 INFO ofi_add_9_1: -2.1071131752466653e-07 , std 8.325639130332384e-06 
2023-05-09 08:46:37,236 INFO ofi_add_10_1: -2.07920551980152e-07 , std 8.47370912235112e-06 
2023-05-09 08:46:37,236 INFO ofi_cancel_1_1: -8.39458691776674e-08 , std 1.016059096821166e-05 
2023-05-09 08:46:37,236 INFO ofi_cancel_2_1: -2.129092777791301e-07 , std 1.0476588171848166e-05 
2023-05-09 08:46:37,236 INFO ofi_cancel_3_1: -2.6241431891443414e-07 , std 9.370041896355475e-06 
2023-05-09 08:46:37,236 INFO ofi_cancel_4_1: -3.606651542780819e-07 , std 1.0301932709037646e-05 
2023-05-09 08:46:37,236 INFO ofi_cancel_5_1: -4.1703439848970547e-07 , std 1.1051395494329518e-05 
2023-05-09 08:46:37,236 INFO ofi_cancel_6_1: -2.600952953044766e-07 , std 9.049070502600671e-06 
2023-05-09 08:46:37,236 INFO ofi_cancel_7_1: -1.1486358004176623e-07 , std 7.695633297296692e-06 
2023-05-09 08:46:37,236 INFO ofi_cancel_8_1: -6.809166401215734e-08 , std 5.95838947547025e-06 
2023-05-09 08:46:37,236 INFO ofi_cancel_9_1: -8.133207168618986e-08 , std 5.572605351919647e-06 
2023-05-09 08:46:37,236 INFO ofi_cancel_10_1: -6.16163893635306e-08 , std 5.663553872332237e-06 
2023-05-09 08:46:37,236 INFO ofi_trade_1_1: -1.2863839430818998e-09 , std 3.6361244963246492e-06 
2023-05-09 08:46:37,236 INFO ofi_trade_2_1: -1.0512209120807848e-07 , std 6.369061589373429e-06 
2023-05-09 08:46:37,236 INFO ofi_trade_3_1: -1.7871350967000988e-07 , std 7.846665802175881e-06 
2023-05-09 08:46:37,236 INFO ofi_trade_4_1: -2.8378262509567106e-07 , std 9.473742206081058e-06 
2023-05-09 08:46:37,236 INFO ofi_trade_5_1: -2.1083873570543288e-07 , std 8.776209782334987e-06 
2023-05-09 08:46:37,236 INFO ofi_trade_6_1: -1.6614698607902644e-07 , std 7.224232850983999e-06 
2023-05-09 08:46:37,236 INFO ofi_trade_7_1: -6.905911969768982e-08 , std 5.5919365336023176e-06 
2023-05-09 08:46:37,236 INFO ofi_trade_8_1: -4.6454729863248544e-08 , std 3.5043765269994502e-06 
2023-05-09 08:46:37,236 INFO ofi_trade_9_1: -5.6237184829028966e-08 , std 5.0393019672454644e-06 
2023-05-09 08:46:37,236 INFO ofi_trade_10_1: -5.387978367519115e-08 , std 4.847797034322815e-06 
2023-05-09 08:46:37,236 INFO ofi_add_1_2: -1.6226069826313365e-06 , std 1.4593641562610004e-05 
2023-05-09 08:46:37,236 INFO ofi_add_2_2: -6.970104335529554e-07 , std 1.224071099971952e-05 
2023-05-09 08:46:37,236 INFO ofi_add_3_2: -3.5704402541574115e-07 , std 1.122873320339648e-05 
2023-05-09 08:46:37,236 INFO ofi_add_4_2: -3.7767349746887874e-07 , std 1.1443941552618718e-05 
2023-05-09 08:46:37,236 INFO ofi_add_5_2: -3.756838715049298e-07 , std 1.1520560653136206e-05 
2023-05-09 08:46:37,236 INFO ofi_add_6_2: -6.17474921296512e-07 , std 1.200627502174059e-05 
2023-05-09 08:46:37,236 INFO ofi_add_7_2: -5.275078070999527e-07 , std 1.1962206603182004e-05 
2023-05-09 08:46:37,236 INFO ofi_add_8_2: -3.1111653325633066e-07 , std 9.515726925796639e-06 
2023-05-09 08:46:37,237 INFO ofi_add_9_2: -3.2306083590883035e-07 , std 1.1062310045407268e-05 
2023-05-09 08:46:37,237 INFO ofi_add_10_2: -3.593555073661197e-07 , std 1.1327885066988103e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_1_2: -6.024318405853197e-08 , std 1.1333299487804891e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_2_2: -2.4650986306753037e-07 , std 1.146161579340884e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_3_2: -4.449565073196445e-07 , std 1.041590337155445e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_4_2: -5.417192967563856e-07 , std 1.0818587594047993e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_5_2: -5.874775337970455e-07 , std 1.1394133320785967e-05 
2023-05-09 08:46:37,237 INFO ofi_cancel_6_2: -3.4153508473714163e-07 , std 9.768584952460217e-06 
2023-05-09 08:46:37,237 INFO ofi_cancel_7_2: -1.8890882787383733e-07 , std 7.790489614815108e-06 
2023-05-09 08:46:37,237 INFO ofi_cancel_8_2: -1.417647178782076e-07 , std 6.182587393209069e-06 
2023-05-09 08:46:37,237 INFO ofi_cancel_9_2: -1.0293081194633325e-07 , std 5.923103370893462e-06 
2023-05-09 08:46:37,237 INFO ofi_cancel_10_2: -9.412238307975334e-08 , std 6.730286171286865e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_1_2: -1.815348877092932e-08 , std 4.103231342175071e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_2_2: -1.678956061591535e-07 , std 7.016361339779929e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_3_2: -3.2890423019780864e-07 , std 8.692281950389755e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_4_2: -2.9207737272989973e-07 , std 8.752950443227161e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_5_2: -4.1777044276336693e-07 , std 1.0216412956170429e-05 
2023-05-09 08:46:37,237 INFO ofi_trade_6_2: -2.262723432634391e-07 , std 8.097319309424375e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_7_2: -1.314694113164519e-07 , std 5.488427733829119e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_8_2: -1.0095746460443211e-07 , std 6.018970685440463e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_9_2: -7.675084404522829e-08 , std 5.55922306965886e-06 
2023-05-09 08:46:37,237 INFO ofi_trade_10_2: -9.326305910746722e-08 , std 5.106520758471155e-06 
2023-05-09 08:46:37,237 INFO ofi_add_1_3: -1.9798713422039582e-06 , std 1.5060760424011822e-05 
2023-05-09 08:46:37,237 INFO ofi_add_2_3: -5.812469098901056e-07 , std 1.3973874733048194e-05 
2023-05-09 08:46:37,237 INFO ofi_add_3_3: -4.644230275643712e-07 , std 1.3542127313727577e-05 
2023-05-09 08:46:37,237 INFO ofi_add_4_3: -2.76217446271046e-07 , std 1.2247066060483552e-05 
2023-05-09 08:46:37,237 INFO ofi_add_5_3: -3.861674451056086e-07 , std 1.3311186707963131e-05 
2023-05-09 08:46:37,237 INFO ofi_add_6_3: -7.022940486268272e-07 , std 1.40017579018804e-05 
2023-05-09 08:46:37,237 INFO ofi_add_7_3: -8.666456413733015e-07 , std 1.3860616733220059e-05 
2023-05-09 08:46:37,237 INFO ofi_add_8_3: -3.7530408581555183e-07 , std 1.1580897580711975e-05 
2023-05-09 08:46:37,237 INFO ofi_add_9_3: -3.2786956388704306e-07 , std 1.1179527962746566e-05 
