2023-05-09 14:46:10,021 INFO Starting...
2023-05-09 14:46:10,021 INFO Tickers: ['AMT']
2023-05-09 14:47:44,139 INFO in_r2: 0.0896938665291274 , std 0.16032467248994395 
2023-05-09 14:47:44,139 INFO os_r2: -0.12648629615913604 , std 0.1906453299038644 
2023-05-09 14:47:44,139 INFO intercept: 4.880819887455994e-06 , std 0.0002971617015629185 
2023-05-09 14:47:44,139 INFO ofi_add_1_1: -6.976137306253127e-08 , std 3.5650614337533686e-06 
2023-05-09 14:47:44,139 INFO ofi_add_2_1: -2.262073392420522e-07 , std 5.2524860928725134e-06 
2023-05-09 14:47:44,139 INFO ofi_add_3_1: -1.6377785634049542e-07 , std 4.374451346260705e-06 
2023-05-09 14:47:44,139 INFO ofi_add_4_1: -1.9578548213165648e-07 , std 4.885236205956432e-06 
2023-05-09 14:47:44,139 INFO ofi_add_5_1: -1.5535559429068793e-07 , std 4.237087216094843e-06 
2023-05-09 14:47:44,139 INFO ofi_add_6_1: -1.1839188891937434e-07 , std 3.944951875310252e-06 
2023-05-09 14:47:44,139 INFO ofi_add_7_1: -9.355849243367838e-08 , std 3.3835481552168016e-06 
2023-05-09 14:47:44,139 INFO ofi_add_8_1: -7.8250463072133e-08 , std 3.4766741573526294e-06 
2023-05-09 14:47:44,139 INFO ofi_add_9_1: -7.088396960391495e-08 , std 4.302001987391952e-06 
2023-05-09 14:47:44,139 INFO ofi_add_10_1: -6.602355167015502e-08 , std 4.590307453478949e-06 
2023-05-09 14:47:44,139 INFO ofi_cancel_1_1: -3.105989243752519e-08 , std 2.4430042041994684e-06 
2023-05-09 14:47:44,139 INFO ofi_cancel_2_1: -6.391579478376593e-08 , std 3.5269088189895446e-06 
2023-05-09 14:47:44,139 INFO ofi_cancel_3_1: -6.212309720886338e-08 , std 2.9447878529228984e-06 
2023-05-09 14:47:44,139 INFO ofi_cancel_4_1: -5.939581631511482e-08 , std 3.715502172700805e-06 
2023-05-09 14:47:44,139 INFO ofi_cancel_5_1: -4.128810512580948e-08 , std 2.8631938038622177e-06 
2023-05-09 14:47:44,139 INFO ofi_cancel_6_1: -4.579218022434544e-08 , std 2.8127354552914905e-06 
2023-05-09 14:47:44,139 INFO ofi_cancel_7_1: -2.5546146758009728e-08 , std 2.7343741303582966e-06 
2023-05-09 14:47:44,139 INFO ofi_cancel_8_1: -2.8388270762442387e-08 , std 2.2031393480835223e-06 
2023-05-09 14:47:44,139 INFO ofi_cancel_9_1: -3.729452099521251e-08 , std 2.860567386698382e-06 
2023-05-09 14:47:44,139 INFO ofi_cancel_10_1: -4.4871792914157284e-08 , std 4.06349092667006e-06 
2023-05-09 14:47:44,139 INFO ofi_trade_1_1: -1.9908050419544774e-08 , std 1.7191742544237591e-06 
2023-05-09 14:47:44,139 INFO ofi_trade_2_1: -2.5457215627693157e-08 , std 2.2193718596358515e-06 
2023-05-09 14:47:44,139 INFO ofi_trade_3_1: -1.1759071142251077e-09 , std 3.970507345405068e-06 
2023-05-09 14:47:44,139 INFO ofi_trade_4_1: -1.3016570851718259e-08 , std 1.9413077207602485e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_5_1: -8.093831752791451e-09 , std 1.0189150772701093e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_6_1: -1.3147178930450405e-08 , std 1.4144063289019339e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_7_1: -1.2668264165910126e-08 , std 1.3222898482943402e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_8_1: -7.934970000840331e-09 , std 1.2718060261021307e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_9_1: -1.2448234734661426e-08 , std 1.5954322780842408e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_10_1: -8.577973109485026e-09 , std 2.267776397319468e-06 
2023-05-09 14:47:44,140 INFO ofi_add_1_2: -9.623762908334941e-08 , std 3.5303281967843776e-06 
2023-05-09 14:47:44,140 INFO ofi_add_2_2: -1.8284136716149421e-07 , std 4.329683393586221e-06 
2023-05-09 14:47:44,140 INFO ofi_add_3_2: -1.9438916143207903e-07 , std 4.303038569427052e-06 
2023-05-09 14:47:44,140 INFO ofi_add_4_2: -1.9881918348520443e-07 , std 4.2612611583405565e-06 
2023-05-09 14:47:44,140 INFO ofi_add_5_2: -1.6207336219379107e-07 , std 3.886903461600804e-06 
2023-05-09 14:47:44,140 INFO ofi_add_6_2: -1.591507898850048e-07 , std 4.3488200897649e-06 
2023-05-09 14:47:44,140 INFO ofi_add_7_2: -1.356608323373282e-07 , std 3.853751228481856e-06 
2023-05-09 14:47:44,140 INFO ofi_add_8_2: -8.273968952160427e-08 , std 3.0720552897710982e-06 
2023-05-09 14:47:44,140 INFO ofi_add_9_2: -7.947674153200077e-08 , std 3.5541169818565355e-06 
2023-05-09 14:47:44,140 INFO ofi_add_10_2: -6.245161604887119e-08 , std 3.600736153242515e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_1_2: -3.735479891690331e-08 , std 1.972243592354589e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_2_2: -9.853205435798439e-08 , std 3.3437348902533196e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_3_2: -7.918237735491896e-08 , std 2.934744842799859e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_4_2: -8.052768934344473e-08 , std 3.7815086549306397e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_5_2: -8.019887990531326e-08 , std 3.1204079255112505e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_6_2: -4.271398954815387e-08 , std 2.4921141192908414e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_7_2: -6.436810618183731e-08 , std 2.9814562841583706e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_8_2: -6.029624566823452e-08 , std 3.011328033596169e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_9_2: -4.697591947161814e-08 , std 2.6865958038985075e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_10_2: -8.05201616942766e-08 , std 3.3916268189678986e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_1_2: -1.303518888883196e-08 , std 1.4054228823562137e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_2_2: -1.9500164161152364e-08 , std 2.28024132297585e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_3_2: -1.4030283888644337e-08 , std 1.2298454945887325e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_4_2: -1.2353047620475048e-08 , std 1.3908636943762005e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_5_2: -1.0990549786716825e-08 , std 1.2377371092295888e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_6_2: -9.758235248187249e-09 , std 1.1043252169682107e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_7_2: -5.5098566637391854e-09 , std 9.729639109984289e-07 
2023-05-09 14:47:44,140 INFO ofi_trade_8_2: -9.214756354115784e-09 , std 1.825595930825141e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_9_2: -1.3280284563834253e-08 , std 1.7254869932707494e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_10_2: -7.241673441255186e-09 , std 1.172460017352694e-06 
2023-05-09 14:47:44,140 INFO ofi_add_1_3: -1.2098479187422986e-07 , std 3.633083231252427e-06 
2023-05-09 14:47:44,140 INFO ofi_add_2_3: -2.1421952610681763e-07 , std 4.583991291373617e-06 
2023-05-09 14:47:44,140 INFO ofi_add_3_3: -1.997389821625622e-07 , std 4.235920403685069e-06 
2023-05-09 14:47:44,140 INFO ofi_add_4_3: -2.052074287165721e-07 , std 3.97178303808385e-06 
2023-05-09 14:47:44,140 INFO ofi_add_5_3: -2.1693087312020675e-07 , std 4.445389527503167e-06 
2023-05-09 14:47:44,140 INFO ofi_add_6_3: -1.668876549428077e-07 , std 3.5098613022264573e-06 
2023-05-09 14:47:44,140 INFO ofi_add_7_3: -1.4158077973117744e-07 , std 3.3932473943902973e-06 
2023-05-09 14:47:44,140 INFO ofi_add_8_3: -7.662584940956308e-08 , std 2.9122272337620195e-06 
2023-05-09 14:47:44,140 INFO ofi_add_9_3: -8.667598595021084e-08 , std 3.2993902211212016e-06 
2023-05-09 14:47:44,140 INFO ofi_add_10_3: -8.159632414304656e-08 , std 3.453887356378543e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_1_3: -4.741396394591113e-08 , std 2.0698761402448765e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_2_3: -7.547714743233657e-08 , std 3.087995712255595e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_3_3: -1.0554943026499217e-07 , std 3.4111478132857533e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_4_3: -1.1294866252408948e-07 , std 3.2991165306847824e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_5_3: -6.586118331503535e-08 , std 2.92928540609611e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_6_3: -5.173925172105855e-08 , std 2.3902905213754393e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_7_3: -4.33185757839192e-08 , std 2.8776860289096314e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_8_3: -5.612194978424872e-08 , std 2.398731535499982e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_9_3: -9.262954603469031e-08 , std 3.5508878708265627e-06 
2023-05-09 14:47:44,140 INFO ofi_cancel_10_3: -5.7205794016518e-08 , std 3.0687590783731173e-06 
2023-05-09 14:47:44,140 INFO ofi_trade_1_3: -9.966629226833565e-09 , std 1.2248433752488706e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_2_3: -9.76425669471522e-09 , std 1.3571924287466407e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_3_3: -1.4314519133466048e-08 , std 1.0939916588730903e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_4_3: -1.0555334226831908e-08 , std 1.0755148149721032e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_5_3: -1.0769552601829774e-08 , std 9.609681528662287e-07 
2023-05-09 14:47:44,141 INFO ofi_trade_6_3: -7.790991548736754e-09 , std 7.480318750310248e-07 
2023-05-09 14:47:44,141 INFO ofi_trade_7_3: -4.578037060582358e-09 , std 7.475787249537509e-07 
2023-05-09 14:47:44,141 INFO ofi_trade_8_3: -8.412671471570621e-09 , std 1.1034835695334515e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_9_3: -7.453475962481304e-09 , std 9.512640547650651e-07 
2023-05-09 14:47:44,141 INFO ofi_trade_10_3: -8.869402579624453e-09 , std 1.119794478152768e-06 
2023-05-09 14:47:44,141 INFO ofi_add_1_5: -1.3136657439263837e-07 , std 3.880788144085986e-06 
2023-05-09 14:47:44,141 INFO ofi_add_2_5: -3.2866819112388354e-07 , std 4.771307836999192e-06 
2023-05-09 14:47:44,141 INFO ofi_add_3_5: -2.8666953955558917e-07 , std 4.548827236342121e-06 
2023-05-09 14:47:44,141 INFO ofi_add_4_5: -3.0854516706322845e-07 , std 4.301808664809295e-06 
2023-05-09 14:47:44,141 INFO ofi_add_5_5: -2.600197216457826e-07 , std 4.163866525059933e-06 
2023-05-09 14:47:44,141 INFO ofi_add_6_5: -2.6026501625452177e-07 , std 4.06275778737976e-06 
2023-05-09 14:47:44,141 INFO ofi_add_7_5: -1.689849620314166e-07 , std 3.228234473042136e-06 
2023-05-09 14:47:44,141 INFO ofi_add_8_5: -1.2778346860091768e-07 , std 2.88385396130603e-06 
2023-05-09 14:47:44,141 INFO ofi_add_9_5: -1.1576882169192858e-07 , std 3.684925052848935e-06 
2023-05-09 14:47:44,141 INFO ofi_add_10_5: -1.1941534919666912e-07 , std 3.791479515193525e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_1_5: -4.997744760191621e-08 , std 2.184442385725883e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_2_5: -7.797220456792219e-08 , std 2.985453042370833e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_3_5: -9.933210510417557e-08 , std 3.1926236736413326e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_4_5: -9.080144028411826e-08 , std 2.9041764863258702e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_5_5: -7.944446877957087e-08 , std 2.805716681009749e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_6_5: -6.462670589834091e-08 , std 2.9602341990563054e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_7_5: -5.874757512787954e-08 , std 2.366492687777525e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_8_5: -4.706467661488904e-08 , std 2.6858548986454015e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_9_5: -5.07065309121561e-08 , std 2.6339871166974206e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_10_5: -5.978541659583732e-08 , std 2.9466019272721773e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_1_5: -1.0274295791382348e-08 , std 1.1331379726929715e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_2_5: -1.535049494076517e-08 , std 1.3350962211167638e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_3_5: -2.0581577661854538e-08 , std 1.792751839153844e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_4_5: -1.019413015142986e-08 , std 1.1194281620751705e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_5_5: -1.871981647149337e-08 , std 1.5611671929965757e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_6_5: -1.499130456975226e-08 , std 1.3527844353659466e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_7_5: -7.213914848809601e-09 , std 7.388905315220921e-07 
2023-05-09 14:47:44,141 INFO ofi_trade_8_5: -6.82911400209912e-09 , std 8.558672733595028e-07 
2023-05-09 14:47:44,141 INFO ofi_trade_9_5: -9.965755140960346e-09 , std 1.2512178677950477e-06 
2023-05-09 14:47:44,141 INFO ofi_trade_10_5: -8.702400006500382e-09 , std 9.853508977208763e-07 
2023-05-09 14:47:44,141 INFO ofi_add_1_10: -1.8751997839599267e-07 , std 5.327756423631741e-06 
2023-05-09 14:47:44,141 INFO ofi_add_2_10: -3.210973559163655e-07 , std 4.3940040379602464e-06 
2023-05-09 14:47:44,141 INFO ofi_add_3_10: -3.02741918432797e-07 , std 4.336629466858235e-06 
2023-05-09 14:47:44,141 INFO ofi_add_4_10: -3.419786536725781e-07 , std 4.128303159304293e-06 
2023-05-09 14:47:44,141 INFO ofi_add_5_10: -3.1884330566081385e-07 , std 4.036843063664405e-06 
2023-05-09 14:47:44,141 INFO ofi_add_6_10: -2.502293513710175e-07 , std 3.667159597851094e-06 
2023-05-09 14:47:44,141 INFO ofi_add_7_10: -2.3324906630743384e-07 , std 3.5667757681207925e-06 
2023-05-09 14:47:44,141 INFO ofi_add_8_10: -1.5662107315732982e-07 , std 3.3573946443193855e-06 
2023-05-09 14:47:44,141 INFO ofi_add_9_10: -1.4772825218784583e-07 , std 3.4431544377739418e-06 
2023-05-09 14:47:44,141 INFO ofi_add_10_10: -1.4810109597070056e-07 , std 3.686473205881752e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_1_10: -6.022720153823047e-08 , std 2.3070450433027636e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_2_10: -1.2378942472087832e-07 , std 3.264538113635804e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_3_10: -1.1697561644744613e-07 , std 3.270397740566242e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_4_10: -1.067214046311048e-07 , std 3.72863364886459e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_5_10: -6.414410989411936e-08 , std 2.5648652933413547e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_6_10: -6.997370572681892e-08 , std 2.6266262032049602e-06 
2023-05-09 14:47:44,141 INFO ofi_cancel_7_10: -6.454595892940559e-08 , std 2.9352320874854806e-06 
2023-05-09 14:47:44,142 INFO ofi_cancel_8_10: -6.646662487942207e-08 , std 2.8498763456114537e-06 
2023-05-09 14:47:44,142 INFO ofi_cancel_9_10: -7.15432535653242e-08 , std 2.950958717851486e-06 
2023-05-09 14:47:44,142 INFO ofi_cancel_10_10: -7.395209533097028e-08 , std 3.0491639792308646e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_1_10: -1.1500037881636141e-08 , std 1.1471483926875354e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_2_10: -1.9864993337983607e-08 , std 1.5215938433213749e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_3_10: -3.029323315476446e-08 , std 2.4340489550078043e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_4_10: -1.7231670769993483e-08 , std 1.5589492619300497e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_5_10: -1.4669957820137619e-08 , std 1.2817051734311946e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_6_10: -1.354772718955235e-08 , std 1.3102204515684327e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_7_10: -7.676559240143414e-09 , std 6.439177579207678e-07 
2023-05-09 14:47:44,142 INFO ofi_trade_8_10: -1.0880294739634275e-08 , std 9.795462075707061e-07 
