2023-05-09 14:19:15,166 INFO Starting...
2023-05-09 14:19:15,166 INFO Tickers: ['AVGO']
2023-05-09 14:20:50,986 INFO in_r2: 0.08914243756159182 , std 0.15843690284276346 
2023-05-09 14:20:50,986 INFO os_r2: -0.13641313751374748 , std 0.42223179804819705 
2023-05-09 14:20:50,986 INFO intercept: 5.9833500852620824e-06 , std 0.0004469631150869567 
2023-05-09 14:20:50,986 INFO ofi_add_1_1: -3.7104849216693245e-08 , std 2.0795132692045444e-06 
2023-05-09 14:20:50,986 INFO ofi_add_2_1: -4.793290091688048e-08 , std 2.4100382837288455e-06 
2023-05-09 14:20:50,986 INFO ofi_add_3_1: -5.589477775687562e-08 , std 1.8535404906937683e-06 
2023-05-09 14:20:50,986 INFO ofi_add_4_1: -7.312928594225977e-08 , std 2.4073167346921807e-06 
2023-05-09 14:20:50,986 INFO ofi_add_5_1: -8.800013492780515e-08 , std 2.585267385265799e-06 
2023-05-09 14:20:50,986 INFO ofi_add_6_1: -5.977813145277915e-08 , std 2.3215300469127183e-06 
2023-05-09 14:20:50,986 INFO ofi_add_7_1: -6.268573384338967e-08 , std 2.0443374621563155e-06 
2023-05-09 14:20:50,986 INFO ofi_add_8_1: -6.697688866427856e-08 , std 2.184160934214283e-06 
2023-05-09 14:20:50,986 INFO ofi_add_9_1: -8.120683749528089e-08 , std 2.5246230192124245e-06 
2023-05-09 14:20:50,986 INFO ofi_add_10_1: -1.0385268933403871e-07 , std 2.861313662431698e-06 
2023-05-09 14:20:50,986 INFO ofi_cancel_1_1: -5.768337663842917e-09 , std 9.179933693456778e-07 
2023-05-09 14:20:50,986 INFO ofi_cancel_2_1: -2.574922136669864e-08 , std 1.5639954196003437e-06 
2023-05-09 14:20:50,986 INFO ofi_cancel_3_1: -2.4088273200374552e-08 , std 1.415538974183683e-06 
2023-05-09 14:20:50,986 INFO ofi_cancel_4_1: -3.096241392279597e-08 , std 1.6805115754838875e-06 
2023-05-09 14:20:50,986 INFO ofi_cancel_5_1: -2.2071631508486493e-08 , std 1.5319009331584038e-06 
2023-05-09 14:20:50,986 INFO ofi_cancel_6_1: -2.4942975850876368e-08 , std 1.685018056748774e-06 
2023-05-09 14:20:50,986 INFO ofi_cancel_7_1: -2.4965386456118043e-08 , std 1.6384651533363614e-06 
2023-05-09 14:20:50,986 INFO ofi_cancel_8_1: -3.422071823268866e-08 , std 2.0769928411421977e-06 
2023-05-09 14:20:50,986 INFO ofi_cancel_9_1: -3.4931667683327274e-08 , std 1.623691191530714e-06 
2023-05-09 14:20:50,986 INFO ofi_cancel_10_1: -3.7925970203126265e-08 , std 1.9604233853470005e-06 
2023-05-09 14:20:50,986 INFO ofi_trade_1_1: -3.694104226342184e-09 , std 5.686703863345032e-07 
2023-05-09 14:20:50,986 INFO ofi_trade_2_1: -7.177716157904453e-09 , std 9.433337597053316e-07 
2023-05-09 14:20:50,986 INFO ofi_trade_3_1: -8.590090616220223e-09 , std 1.092222454003632e-06 
2023-05-09 14:20:50,986 INFO ofi_trade_4_1: -4.4374553916856394e-09 , std 7.074168039050775e-07 
2023-05-09 14:20:50,986 INFO ofi_trade_5_1: -2.4037973757945052e-09 , std 4.536310761319226e-07 
2023-05-09 14:20:50,986 INFO ofi_trade_6_1: -1.161421923067555e-09 , std 2.395803526152678e-07 
2023-05-09 14:20:50,986 INFO ofi_trade_7_1: -4.051966035601643e-09 , std 6.653907783398505e-07 
2023-05-09 14:20:50,986 INFO ofi_trade_8_1: -2.7548070741103126e-10 , std 1.6735282056134023e-07 
2023-05-09 14:20:50,986 INFO ofi_trade_9_1: -9.36571735016646e-10 , std 3.710013942870192e-07 
2023-05-09 14:20:50,986 INFO ofi_trade_10_1: -5.199041861848264e-09 , std 7.280407566774838e-07 
2023-05-09 14:20:50,986 INFO ofi_add_1_2: -5.633212555632519e-08 , std 2.4620681256302607e-06 
2023-05-09 14:20:50,986 INFO ofi_add_2_2: -7.754289676108052e-08 , std 2.1369869318140628e-06 
