2023-05-09 14:02:04,111 INFO Starting...
2023-05-09 14:02:04,111 INFO Tickers: ['BMY']
2023-05-09 14:03:33,507 INFO in_r2: 0.10096048746362606 , std 0.17079674459669883 
2023-05-09 14:03:33,507 INFO os_r2: -0.11047213338518648 , std 0.06004840112252839 
2023-05-09 14:03:33,507 INFO intercept: -3.2435371958390055e-06 , std 0.0003852615573812548 
2023-05-09 14:03:33,507 INFO ofi_add_1_1: -5.965887034553707e-07 , std 1.0233577364848522e-05 
2023-05-09 14:03:33,507 INFO ofi_add_2_1: -2.5724277657822535e-07 , std 6.951185152248993e-06 
2023-05-09 14:03:33,507 INFO ofi_add_3_1: -1.6764316025827595e-07 , std 6.267925598835444e-06 
2023-05-09 14:03:33,507 INFO ofi_add_4_1: -1.9891318287515534e-07 , std 6.1763576151196484e-06 
2023-05-09 14:03:33,507 INFO ofi_add_5_1: -1.2527660730386862e-07 , std 4.839574135619319e-06 
2023-05-09 14:03:33,507 INFO ofi_add_6_1: -1.0795162303734634e-07 , std 4.3387841525103915e-06 
2023-05-09 14:03:33,507 INFO ofi_add_7_1: -1.0816695080069603e-07 , std 4.840074918787407e-06 
2023-05-09 14:03:33,507 INFO ofi_add_8_1: -4.64214065337316e-08 , std 3.3671121408016992e-06 
2023-05-09 14:03:33,507 INFO ofi_add_9_1: -6.422891729254902e-08 , std 4.373290066006587e-06 
2023-05-09 14:03:33,507 INFO ofi_add_10_1: -4.186668789611378e-08 , std 5.299487047370768e-06 
2023-05-09 14:03:33,507 INFO ofi_cancel_1_1: -1.0627320218433081e-07 , std 4.7041337811140666e-06 
2023-05-09 14:03:33,507 INFO ofi_cancel_2_1: -1.1700748483509736e-07 , std 5.560065651028805e-06 
2023-05-09 14:03:33,507 INFO ofi_cancel_3_1: -1.3157452892672572e-07 , std 5.288588165023045e-06 
2023-05-09 14:03:33,507 INFO ofi_cancel_4_1: -1.1026823278120443e-07 , std 4.408902098638754e-06 
2023-05-09 14:03:33,507 INFO ofi_cancel_5_1: -7.122319365086787e-08 , std 4.024013908791883e-06 
2023-05-09 14:03:33,507 INFO ofi_cancel_6_1: -7.534297813848559e-08 , std 4.4880045983580485e-06 
2023-05-09 14:03:33,507 INFO ofi_cancel_7_1: -2.8575815040575285e-08 , std 2.5710200926762805e-06 
2023-05-09 14:03:33,507 INFO ofi_cancel_8_1: -1.7794274795479867e-08 , std 2.163217028906843e-06 
2023-05-09 14:03:33,507 INFO ofi_cancel_9_1: -3.4604578115775615e-08 , std 3.0011418976249182e-06 
2023-05-09 14:03:33,508 INFO ofi_cancel_10_1: -1.9332187393862953e-08 , std 2.6087634663186827e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_1_1: 4.3864379035223205e-09 , std 1.1540299771346004e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_2_1: -2.2677062020468642e-08 , std 3.1879787442774433e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_3_1: -2.7643295570394087e-08 , std 2.296753731394332e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_4_1: -3.350806475880813e-08 , std 2.8101459151426207e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_5_1: -2.4953308159983643e-08 , std 2.8189190820579563e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_6_1: -1.0987331726429424e-08 , std 1.7072192318610646e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_7_1: -2.3698346817735543e-08 , std 2.9380514542928237e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_8_1: -5.697944243879344e-09 , std 1.4058931195983573e-06 
2023-05-09 14:03:33,508 INFO ofi_trade_9_1: 3.1581608693803013e-10 , std 8.34125632120723e-07 
2023-05-09 14:03:33,508 INFO ofi_trade_10_1: -5.623249766889483e-09 , std 7.746595189110682e-07 
2023-05-09 14:03:33,508 INFO ofi_add_1_2: -1.0481662468327038e-06 , std 1.0573069352175951e-05 
2023-05-09 14:03:33,508 INFO ofi_add_2_2: -3.978162575028362e-07 , std 7.222382250162391e-06 
2023-05-09 14:03:33,508 INFO ofi_add_3_2: -1.698243523483378e-07 , std 5.511661336997217e-06 
2023-05-09 14:03:33,508 INFO ofi_add_4_2: -1.9494427700755522e-07 , std 5.93805434649373e-06 
2023-05-09 14:03:33,508 INFO ofi_add_5_2: -1.6508279478992944e-07 , std 5.117467276288802e-06 
2023-05-09 14:03:33,508 INFO ofi_add_6_2: -1.2094622474116293e-07 , std 4.279992476917481e-06 
2023-05-09 14:03:33,508 INFO ofi_add_7_2: -1.267332861862162e-07 , std 4.620916629092761e-06 
2023-05-09 14:03:33,508 INFO ofi_add_8_2: -9.15085126755721e-08 , std 3.8550623215499545e-06 
2023-05-09 14:03:33,508 INFO ofi_add_9_2: -8.083959180045701e-08 , std 3.8401497544429175e-06 
2023-05-09 14:03:33,508 INFO ofi_add_10_2: -3.333114338904059e-08 , std 3.890338386718433e-06 
2023-05-09 14:03:33,508 INFO ofi_cancel_1_2: -1.206001880359867e-07 , std 5.0205380220131516e-06 
2023-05-09 14:03:33,508 INFO ofi_cancel_2_2: -1.0364682623890118e-07 , std 4.730493452005434e-06 
2023-05-09 14:03:33,508 INFO ofi_cancel_3_2: -1.2580630545081518e-07 , std 4.6985049573371234e-06 
2023-05-09 14:03:33,508 INFO ofi_cancel_4_2: -1.3944645465923094e-07 , std 5.434370478126107e-06 
2023-05-09 14:03:33,508 INFO ofi_cancel_5_2: -8.164033534875374e-08 , std 3.402877459347706e-06 
