2023-05-09 13:15:11,257 INFO Starting...
2023-05-09 13:15:11,257 INFO Tickers: ['BRK.B']
2023-05-09 13:16:45,760 INFO in_r2: 0.09608347543621043 , std 0.16767571063879508 
2023-05-09 13:16:45,760 INFO os_r2: -0.12139150489882636 , std 0.11965652212322726 
2023-05-09 13:16:45,760 INFO intercept: 2.770140024747567e-06 , std 0.0002473498127367175 
2023-05-09 13:16:45,760 INFO ofi_add_1_1: -3.696821173497217e-08 , std 1.8723988593379573e-06 
2023-05-09 13:16:45,760 INFO ofi_add_2_1: -5.093104837554987e-08 , std 2.171577963006878e-06 
2023-05-09 13:16:45,760 INFO ofi_add_3_1: -8.342388279708961e-08 , std 2.491903438757911e-06 
2023-05-09 13:16:45,760 INFO ofi_add_4_1: -1.1176164102199983e-07 , std 2.6809318547508034e-06 
2023-05-09 13:16:45,760 INFO ofi_add_5_1: -1.0410142133732038e-07 , std 2.7079811897342823e-06 
2023-05-09 13:16:45,760 INFO ofi_add_6_1: -1.0241867204323821e-07 , std 2.4995001797930683e-06 
2023-05-09 13:16:45,760 INFO ofi_add_7_1: -9.439459850170098e-08 , std 2.2268730981751e-06 
2023-05-09 13:16:45,760 INFO ofi_add_8_1: -1.0327286374014517e-07 , std 2.5382386014670784e-06 
2023-05-09 13:16:45,760 INFO ofi_add_9_1: -6.870023736908226e-08 , std 2.1519323407006586e-06 
2023-05-09 13:16:45,760 INFO ofi_add_10_1: -4.584464631707855e-08 , std 2.189712281684282e-06 
2023-05-09 13:16:45,760 INFO ofi_cancel_1_1: -1.2135501326902663e-08 , std 8.814051760695429e-07 
2023-05-09 13:16:45,760 INFO ofi_cancel_2_1: -5.961858869061509e-08 , std 2.1094013038196186e-06 
2023-05-09 13:16:45,760 INFO ofi_cancel_3_1: -5.182505027693046e-08 , std 1.9953806407561417e-06 
2023-05-09 13:16:45,760 INFO ofi_cancel_4_1: -6.509838953172758e-08 , std 2.139780192250446e-06 
2023-05-09 13:16:45,760 INFO ofi_cancel_5_1: -5.98338581632708e-08 , std 2.058831290390529e-06 
2023-05-09 13:16:45,760 INFO ofi_cancel_6_1: -6.777971139889203e-08 , std 2.0581806150729064e-06 
2023-05-09 13:16:45,760 INFO ofi_cancel_7_1: -4.7064825673023996e-08 , std 1.9234198057387803e-06 
2023-05-09 13:16:45,760 INFO ofi_cancel_8_1: -5.1782111582186205e-08 , std 2.089463917850586e-06 
2023-05-09 13:16:45,760 INFO ofi_cancel_9_1: -4.251000330259377e-08 , std 1.8016409680068525e-06 
2023-05-09 13:16:45,760 INFO ofi_cancel_10_1: -4.710621029468202e-08 , std 1.8764554593209887e-06 
2023-05-09 13:16:45,760 INFO ofi_trade_1_1: -8.796150948857533e-11 , std 2.810821126672081e-08 
2023-05-09 13:16:45,760 INFO ofi_trade_2_1: -9.769257426358452e-10 , std 2.728652301363679e-07 
2023-05-09 13:16:45,760 INFO ofi_trade_3_1: -1.4824630040911639e-10 , std 6.615290791826388e-08 
2023-05-09 13:16:45,760 INFO ofi_trade_4_1: -1.864039479216749e-09 , std 4.985904091602192e-07 
2023-05-09 13:16:45,760 INFO ofi_trade_5_1: -4.072316604067818e-09 , std 6.474852392690947e-07 
2023-05-09 13:16:45,760 INFO ofi_trade_6_1: -1.562131683818554e-09 , std 8.641779170876955e-07 
2023-05-09 13:16:45,760 INFO ofi_trade_7_1: -1.847581443957061e-09 , std 3.421320828275634e-07 
2023-05-09 13:16:45,760 INFO ofi_trade_8_1: -2.5094979904961553e-09 , std 6.819307754751893e-07 
2023-05-09 13:16:45,760 INFO ofi_trade_9_1: -1.0136384339044083e-10 , std 4.523224511872403e-08 
