2023-05-09 15:02:25,297 INFO Starting...
2023-05-09 15:02:25,297 INFO Tickers: ['CHTR']
2023-05-09 15:04:03,134 INFO in_r2: 0.08660192251815303 , std 0.15461690020494595 
2023-05-09 15:04:03,134 INFO os_r2: -0.12240166618201945 , std 0.09625722149543856 
2023-05-09 15:04:03,134 INFO intercept: 4.466684168202831e-06 , std 0.0004299232065783407 
2023-05-09 15:04:03,134 INFO ofi_add_1_1: -1.6468652593985714e-08 , std 2.543641224475998e-06 
2023-05-09 15:04:03,134 INFO ofi_add_2_1: -6.020753940770533e-08 , std 2.7848152685031858e-06 
2023-05-09 15:04:03,135 INFO ofi_add_3_1: -7.956088318073207e-08 , std 2.825181335948747e-06 
2023-05-09 15:04:03,135 INFO ofi_add_4_1: -5.5811824145531286e-08 , std 2.4676769910320866e-06 
2023-05-09 15:04:03,135 INFO ofi_add_5_1: -4.64558554260429e-08 , std 2.3965612262153634e-06 
2023-05-09 15:04:03,135 INFO ofi_add_6_1: -5.5525960656075084e-08 , std 2.6247678104865185e-06 
2023-05-09 15:04:03,135 INFO ofi_add_7_1: -5.3486705641936866e-08 , std 2.8055590796714826e-06 
2023-05-09 15:04:03,135 INFO ofi_add_8_1: -1.823661707984175e-08 , std 2.235362387227246e-06 
2023-05-09 15:04:03,135 INFO ofi_add_9_1: -3.458912435709206e-08 , std 2.5163793130629832e-06 
2023-05-09 15:04:03,135 INFO ofi_add_10_1: -2.37715781001175e-08 , std 3.4455914513093357e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_1_1: -1.6664562618300124e-08 , std 1.4548613803820431e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_2_1: -4.283472770366552e-08 , std 2.3060148529330573e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_3_1: -3.2250458704908165e-08 , std 2.2345386814169697e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_4_1: -4.09973426363537e-08 , std 2.176740721358902e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_5_1: -3.2853007533431554e-08 , std 2.1675840857738666e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_6_1: -1.6866360125162266e-08 , std 2.0027766119063935e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_7_1: -1.5343695288277632e-08 , std 1.7246263864749616e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_8_1: -1.3515102946500913e-08 , std 1.9054370032335472e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_9_1: -2.148273417245255e-08 , std 2.1356510323052258e-06 
2023-05-09 15:04:03,135 INFO ofi_cancel_10_1: -3.9832424411818325e-08 , std 2.3616410121582292e-06 
2023-05-09 15:04:03,135 INFO ofi_trade_1_1: -1.6253702465465213e-08 , std 1.9393999658599436e-06 
2023-05-09 15:04:03,135 INFO ofi_trade_2_1: -3.9722624695800145e-09 , std 5.71315731563176e-07 
2023-05-09 15:04:03,135 INFO ofi_trade_3_1: -7.4304907303341295e-09 , std 1.1745664336742654e-06 
2023-05-09 15:04:03,135 INFO ofi_trade_4_1: -2.166790594484464e-09 , std 1.883726424612252e-06 
2023-05-09 15:04:03,135 INFO ofi_trade_5_1: -1.6684186426160665e-09 , std 3.615056702517091e-07 
2023-05-09 15:04:03,135 INFO ofi_trade_6_1: -2.7312008485394473e-09 , std 7.780619961533563e-07 
2023-05-09 15:04:03,135 INFO ofi_trade_7_1: -1.3497641188223199e-09 , std 2.977186065888671e-07 
2023-05-09 15:04:03,135 INFO ofi_trade_8_1: -1.6029923267800414e-09 , std 4.67604859931779e-07 
2023-05-09 15:04:03,135 INFO ofi_trade_9_1: -4.275748155573251e-09 , std 9.614804708701486e-07 
2023-05-09 15:04:03,135 INFO ofi_trade_10_1: -1.1343888910510815e-09 , std 3.6716637654665596e-07 
2023-05-09 15:04:03,135 INFO ofi_add_1_2: -3.7665014646023914e-08 , std 2.5550183509665908e-06 
2023-05-09 15:04:03,135 INFO ofi_add_2_2: -1.0174790275652149e-07 , std 3.0728173975126412e-06 
2023-05-09 15:04:03,135 INFO ofi_add_3_2: -8.587601082359407e-08 , std 2.47217304993167e-06 
2023-05-09 15:04:03,135 INFO ofi_add_4_2: -9.52982476568707e-08 , std 2.761914578292332e-06 
