2023-05-09 13:47:13,310 INFO Starting...
2023-05-09 13:47:13,310 INFO Tickers: ['CMCSA']
2023-05-09 13:48:39,066 INFO in_r2: 0.09597882656412926 , std 0.16340591528734222 
2023-05-09 13:48:39,067 INFO os_r2: -0.10847860074593427 , std 0.09598596022085762 
2023-05-09 13:48:39,067 INFO intercept: -6.570898907664563e-06 , std 0.00042487897191328505 
2023-05-09 13:48:39,067 INFO ofi_add_1_1: -9.941001987443433e-07 , std 1.32375103255134e-05 
2023-05-09 13:48:39,067 INFO ofi_add_2_1: -3.455106604962681e-07 , std 9.28116142684006e-06 
2023-05-09 13:48:39,067 INFO ofi_add_3_1: -1.3249553347594244e-07 , std 8.207114250595083e-06 
2023-05-09 13:48:39,067 INFO ofi_add_4_1: -1.038067486640933e-07 , std 6.377156406353563e-06 
2023-05-09 13:48:39,067 INFO ofi_add_5_1: -1.0304499548563552e-07 , std 6.585845592936537e-06 
2023-05-09 13:48:39,067 INFO ofi_add_6_1: -7.039938373772536e-08 , std 4.834296733416604e-06 
2023-05-09 13:48:39,067 INFO ofi_add_7_1: -3.92446011389761e-08 , std 3.2248357938234907e-06 
2023-05-09 13:48:39,067 INFO ofi_add_8_1: -4.264733561173202e-08 , std 4.104171390984203e-06 
2023-05-09 13:48:39,067 INFO ofi_add_9_1: -5.1297795032854566e-08 , std 5.366891857400984e-06 
2023-05-09 13:48:39,067 INFO ofi_add_10_1: -1.6116158933305438e-08 , std 3.561532332689404e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_1_1: -1.959434437851701e-07 , std 8.138127578101867e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_2_1: -1.7822038207481953e-08 , std 4.398539309452695e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_3_1: -6.008386348939707e-08 , std 5.290609880147591e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_4_1: -3.075357388895805e-08 , std 3.922153788368769e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_5_1: -1.704287095024952e-08 , std 2.718833596257522e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_6_1: 1.0584062249590071e-09 , std 1.100379700227937e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_7_1: -4.11945970232002e-09 , std 1.0530711403938943e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_8_1: -5.814910087619518e-09 , std 1.3440020998796982e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_9_1: -8.507544109928316e-11 , std 1.5136962045800456e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_10_1: -3.3450333057242144e-08 , std 3.5909480767736457e-06 
2023-05-09 13:48:39,067 INFO ofi_trade_1_1: -2.4131186017852853e-09 , std 2.624347305801844e-06 
2023-05-09 13:48:39,067 INFO ofi_trade_2_1: -1.0691848604072526e-07 , std 6.611929305697494e-06 
2023-05-09 13:48:39,067 INFO ofi_trade_3_1: -8.407787800826297e-08 , std 6.086850473725643e-06 
2023-05-09 13:48:39,067 INFO ofi_trade_4_1: -8.271318027786407e-08 , std 5.00818317815173e-06 
2023-05-09 13:48:39,067 INFO ofi_trade_5_1: -3.482828585733364e-08 , std 3.126150517973242e-06 
2023-05-09 13:48:39,067 INFO ofi_trade_6_1: -2.5684569064444298e-08 , std 3.3119838436461893e-06 
2023-05-09 13:48:39,067 INFO ofi_trade_7_1: -2.6455470336154738e-08 , std 4.005993223207255e-06 
2023-05-09 13:48:39,067 INFO ofi_trade_8_1: -3.472221121832626e-08 , std 5.5150077559629325e-06 
2023-05-09 13:48:39,067 INFO ofi_trade_9_1: -1.4418386598359375e-08 , std 2.9028197516387583e-06 
2023-05-09 13:48:39,067 INFO ofi_trade_10_1: -4.182152766565794e-09 , std 3.4775064104492056e-06 
2023-05-09 13:48:39,067 INFO ofi_add_1_2: -1.2874979981425668e-06 , std 1.1598745100283603e-05 
2023-05-09 13:48:39,067 INFO ofi_add_2_2: -4.459343988256408e-07 , std 9.122971882250981e-06 
2023-05-09 13:48:39,067 INFO ofi_add_3_2: -1.0618974818556575e-07 , std 6.338948881353582e-06 
2023-05-09 13:48:39,067 INFO ofi_add_4_2: -2.0407185444738097e-07 , std 7.528216769509835e-06 
2023-05-09 13:48:39,067 INFO ofi_add_5_2: -8.504788846964804e-08 , std 6.376454486420714e-06 
2023-05-09 13:48:39,067 INFO ofi_add_6_2: -4.805273752998737e-08 , std 3.417107977690945e-06 
2023-05-09 13:48:39,067 INFO ofi_add_7_2: -2.8312599197650703e-08 , std 3.347202128885293e-06 
2023-05-09 13:48:39,067 INFO ofi_add_8_2: -3.455082806025349e-08 , std 3.6259996167343386e-06 
2023-05-09 13:48:39,067 INFO ofi_add_9_2: -4.059289134387972e-08 , std 3.954713148378274e-06 
2023-05-09 13:48:39,067 INFO ofi_add_10_2: -2.178382779204601e-08 , std 3.4624710306205288e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_1_2: -1.8962102064658704e-07 , std 8.320888220405753e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_2_2: -1.2820159971380017e-08 , std 5.837790627519314e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_3_2: -8.42664111001125e-08 , std 5.3384354672502606e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_4_2: -6.35309420698661e-08 , std 5.006224637350136e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_5_2: -1.5259684307615322e-08 , std 2.2980605258941978e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_6_2: -1.4094827415756701e-08 , std 3.4758513307676104e-06 
2023-05-09 13:48:39,067 INFO ofi_cancel_7_2: -5.16854118937307e-09 , std 1.0768617739477692e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_8_2: -4.703378786680656e-09 , std 9.861536716025495e-07 
2023-05-09 13:48:39,068 INFO ofi_cancel_9_2: -1.0651750335480862e-08 , std 1.8106215038613017e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_10_2: -5.671354110973104e-09 , std 8.98449980672764e-07 
2023-05-09 13:48:39,068 INFO ofi_trade_1_2: -6.796030598823021e-09 , std 1.6285632123074659e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_2_2: -1.214682044088493e-07 , std 6.019919316679965e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_3_2: -8.507184837836982e-08 , std 4.706510314807508e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_4_2: -1.2160063638075926e-07 , std 6.275503371017373e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_5_2: -6.827138997937422e-08 , std 4.186055369390535e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_6_2: -1.601412797419262e-08 , std 2.1950142285697018e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_7_2: -3.785416274607877e-08 , std 4.555604875920629e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_8_2: -4.7542368936346816e-09 , std 1.9806080931774756e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_9_2: -2.187844967170258e-08 , std 2.862262962483288e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_10_2: -1.791316615533395e-08 , std 2.281593802308186e-06 
2023-05-09 13:48:39,068 INFO ofi_add_1_3: -1.750288074873586e-06 , std 1.3267269806728405e-05 
2023-05-09 13:48:39,068 INFO ofi_add_2_3: -6.252148818300249e-07 , std 1.0565551401267127e-05 
2023-05-09 13:48:39,068 INFO ofi_add_3_3: -1.9748364180723594e-07 , std 9.728467150497727e-06 
2023-05-09 13:48:39,068 INFO ofi_add_4_3: -1.755675404786193e-07 , std 7.872319262042418e-06 
2023-05-09 13:48:39,068 INFO ofi_add_5_3: -1.0972006289974097e-07 , std 5.551759872769348e-06 
2023-05-09 13:48:39,068 INFO ofi_add_6_3: -8.985972761086915e-08 , std 4.6295499992675964e-06 
2023-05-09 13:48:39,068 INFO ofi_add_7_3: -3.974480279380272e-08 , std 3.6710423760625357e-06 
2023-05-09 13:48:39,068 INFO ofi_add_8_3: -5.468659823516544e-08 , std 4.2175482230967184e-06 
2023-05-09 13:48:39,068 INFO ofi_add_9_3: -3.2435150178667836e-08 , std 2.906672089725709e-06 
2023-05-09 13:48:39,068 INFO ofi_add_10_3: -4.9105725916076196e-08 , std 4.6677438672043325e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_1_3: -1.2337513952793558e-07 , std 7.837061831925093e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_2_3: 2.4183010835080925e-09 , std 6.232142161332418e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_3_3: -1.0756441862501937e-07 , std 5.96244486058832e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_4_3: -8.696637886314352e-08 , std 5.960614478968168e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_5_3: -1.3657045782907027e-08 , std 2.830431722343579e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_6_3: -5.3769849090281884e-09 , std 1.334775320827742e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_7_3: -8.951973354878573e-09 , std 2.3005715464524113e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_8_3: -5.444095572487371e-09 , std 1.4995923713707872e-06 
2023-05-09 13:48:39,068 INFO ofi_cancel_9_3: -4.165779981537612e-09 , std 8.481700475903933e-07 
2023-05-09 13:48:39,068 INFO ofi_cancel_10_3: -4.635211710361942e-10 , std 1.7392660562652512e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_1_3: -6.549126166279254e-09 , std 1.7306666646938851e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_2_3: -7.988136594005887e-08 , std 4.92035853826389e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_3_3: -8.955219956191319e-08 , std 5.9089196690408045e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_4_3: -1.4273628098050784e-07 , std 6.3744960477255145e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_5_3: -7.095308873056252e-08 , std 4.763209445910623e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_6_3: -2.0665537823664545e-08 , std 2.125734076854167e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_7_3: -2.990700505311528e-08 , std 4.113700446868194e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_8_3: -2.280710426763114e-08 , std 2.99603982982552e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_9_3: -4.1240646343674954e-08 , std 4.053106105195891e-06 
2023-05-09 13:48:39,068 INFO ofi_trade_10_3: -1.9264769848478095e-08 , std 3.910112209645125e-06 
2023-05-09 13:48:39,068 INFO ofi_add_1_5: -2.4743182772410604e-06 , std 1.3815256527906819e-05 
2023-05-09 13:48:39,069 INFO ofi_add_2_5: -7.884862448464231e-07 , std 1.1341196680858718e-05 
2023-05-09 13:48:39,069 INFO ofi_add_3_5: -1.8860325469016483e-07 , std 8.060526176705596e-06 
