2023-05-09 15:13:52,590 INFO Starting...
2023-05-09 15:13:52,590 INFO Tickers: ['CME']
2023-05-09 15:15:27,137 INFO in_r2: 0.09450086025674727 , std 0.16479426432253838 
2023-05-09 15:15:27,137 INFO os_r2: -0.11294252034418317 , std 0.0679658024958756 
2023-05-09 15:15:27,137 INFO intercept: 2.295939525584713e-06 , std 0.0003167952370877711 
2023-05-09 15:15:27,137 INFO ofi_add_1_1: -4.9560277340097546e-08 , std 2.6327820207041982e-06 
2023-05-09 15:15:27,137 INFO ofi_add_2_1: -1.3801513719160224e-07 , std 3.9110954844120754e-06 
2023-05-09 15:15:27,137 INFO ofi_add_3_1: -1.2683241608265129e-07 , std 3.438091752423929e-06 
2023-05-09 15:15:27,137 INFO ofi_add_4_1: -1.291317403617596e-07 , std 3.834096973648269e-06 
2023-05-09 15:15:27,137 INFO ofi_add_5_1: -1.2525384067982318e-07 , std 3.7038815645416194e-06 
2023-05-09 15:15:27,137 INFO ofi_add_6_1: -1.1459652088133112e-07 , std 3.5916349926348198e-06 
2023-05-09 15:15:27,137 INFO ofi_add_7_1: -9.472433187020936e-08 , std 2.9809966884026924e-06 
2023-05-09 15:15:27,137 INFO ofi_add_8_1: -7.166352646857975e-08 , std 2.6967581720899e-06 
2023-05-09 15:15:27,137 INFO ofi_add_9_1: -5.5273549026301175e-08 , std 3.0721677178843334e-06 
2023-05-09 15:15:27,137 INFO ofi_add_10_1: -7.733181823234195e-08 , std 3.1282677140026323e-06 
2023-05-09 15:15:27,137 INFO ofi_cancel_1_1: -2.2777136656912666e-08 , std 2.0787932011246207e-06 
2023-05-09 15:15:27,137 INFO ofi_cancel_2_1: -4.561990791353343e-08 , std 2.5629984292550166e-06 
2023-05-09 15:15:27,137 INFO ofi_cancel_3_1: -5.173120520193171e-08 , std 2.4731731103921605e-06 
2023-05-09 15:15:27,137 INFO ofi_cancel_4_1: -4.7675664912090764e-08 , std 2.7298839380668587e-06 
2023-05-09 15:15:27,137 INFO ofi_cancel_5_1: -4.873702648702511e-08 , std 2.6229754660040516e-06 
2023-05-09 15:15:27,137 INFO ofi_cancel_6_1: -2.3855947265176868e-08 , std 2.341115015625456e-06 
2023-05-09 15:15:27,137 INFO ofi_cancel_7_1: -3.24974787963088e-08 , std 2.0522831585951236e-06 
2023-05-09 15:15:27,137 INFO ofi_cancel_8_1: -3.3056971721577915e-08 , std 2.329574713109598e-06 
2023-05-09 15:15:27,137 INFO ofi_cancel_9_1: -3.832609711250581e-08 , std 2.4132102019819573e-06 
2023-05-09 15:15:27,137 INFO ofi_cancel_10_1: -3.787087161818337e-08 , std 2.5201946186539e-06 
2023-05-09 15:15:27,137 INFO ofi_trade_1_1: -7.240169873596395e-09 , std 9.856705574115324e-07 
2023-05-09 15:15:27,137 INFO ofi_trade_2_1: -1.3975126791031837e-08 , std 1.5785867066957553e-06 
2023-05-09 15:15:27,137 INFO ofi_trade_3_1: -1.2461212758790732e-08 , std 1.6189139784734327e-06 
2023-05-09 15:15:27,137 INFO ofi_trade_4_1: -1.1043983261967482e-08 , std 1.2199290736713783e-06 
2023-05-09 15:15:27,137 INFO ofi_trade_5_1: -7.674111216322648e-09 , std 8.823619509748585e-07 
2023-05-09 15:15:27,137 INFO ofi_trade_6_1: -6.124885298141261e-09 , std 1.0518561036164824e-06 
2023-05-09 15:15:27,137 INFO ofi_trade_7_1: -3.867239292160368e-09 , std 6.402316276275732e-07 
2023-05-09 15:15:27,137 INFO ofi_trade_8_1: -7.523628910277856e-09 , std 9.701784767122157e-07 
2023-05-09 15:15:27,137 INFO ofi_trade_9_1: -6.1363429555512046e-09 , std 1.3181110594453343e-06 
2023-05-09 15:15:27,138 INFO ofi_trade_10_1: -1.2793621440270539e-08 , std 1.3848774598214787e-06 
2023-05-09 15:15:27,138 INFO ofi_add_1_2: -6.938658738515707e-08 , std 2.4394150835700113e-06 
2023-05-09 15:15:27,138 INFO ofi_add_2_2: -1.6105460052462345e-07 , std 3.3709574044199586e-06 
2023-05-09 15:15:27,138 INFO ofi_add_3_2: -1.3614416528667324e-07 , std 3.2397910027314126e-06 
2023-05-09 15:15:27,138 INFO ofi_add_4_2: -1.3455402594675616e-07 , std 2.9096419025025123e-06 
2023-05-09 15:15:27,138 INFO ofi_add_5_2: -1.539475921198147e-07 , std 3.5583421607278837e-06 
2023-05-09 15:15:27,138 INFO ofi_add_6_2: -1.3438841577961351e-07 , std 3.3221535839543537e-06 
2023-05-09 15:15:27,138 INFO ofi_add_7_2: -1.2940514958762093e-07 , std 3.1529313052976566e-06 
2023-05-09 15:15:27,138 INFO ofi_add_8_2: -9.132664891509427e-08 , std 2.9850082926483997e-06 
2023-05-09 15:15:27,138 INFO ofi_add_9_2: -8.155570426555238e-08 , std 2.8866381747526813e-06 
2023-05-09 15:15:27,138 INFO ofi_add_10_2: -8.831980301770647e-08 , std 3.2236086331835705e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_1_2: -1.827666303320717e-08 , std 1.4267040288929375e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_2_2: -4.860356631497481e-08 , std 2.1066601357900827e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_3_2: -7.761154662116703e-08 , std 3.5046706327547977e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_4_2: -7.779709763257498e-08 , std 3.0280484153252408e-06 
2023-05-09 15:15:27,138 INFO ofi_cancel_5_2: -6.274511042076326e-08 , std 2.58688332830403e-06 
