2023-05-09 15:18:36,080 INFO Starting...
2023-05-09 15:18:36,080 INFO Tickers: ['COP']
2023-05-09 15:19:38,982 INFO in_r2: 0.10298280895910066 , std 0.1723082031120545 
2023-05-09 15:19:38,982 INFO os_r2: -0.11319878027022798 , std 0.07426121211012758 
2023-05-09 15:19:38,982 INFO intercept: -1.52542269122326e-05 , std 0.00046536787115605534 
2023-05-09 15:19:38,982 INFO ofi_add_1_1: -4.190089547163745e-07 , std 7.638450449727466e-06 
2023-05-09 15:19:38,982 INFO ofi_add_2_1: -2.415005658161841e-07 , std 5.746595534735932e-06 
2023-05-09 15:19:38,982 INFO ofi_add_3_1: -1.6243321263855134e-07 , std 5.368538712236824e-06 
2023-05-09 15:19:38,982 INFO ofi_add_4_1: -1.7581458356011225e-07 , std 4.8384608113390205e-06 
2023-05-09 15:19:38,982 INFO ofi_add_5_1: -2.2075068063381638e-07 , std 5.676068473493657e-06 
2023-05-09 15:19:38,982 INFO ofi_add_6_1: -1.1082345911397766e-07 , std 4.238724144376049e-06 
2023-05-09 15:19:38,982 INFO ofi_add_7_1: -1.1412717729651176e-07 , std 4.45706324618756e-06 
2023-05-09 15:19:38,982 INFO ofi_add_8_1: -1.3864956548642556e-07 , std 5.7407635843269126e-06 
2023-05-09 15:19:38,982 INFO ofi_add_9_1: -6.631864693235141e-08 , std 3.950600559866617e-06 
2023-05-09 15:19:38,982 INFO ofi_add_10_1: -6.555094213885504e-08 , std 4.136749041191006e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_1_1: -6.498257206118111e-08 , std 3.5114823917908217e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_2_1: -1.0376204352693197e-07 , std 4.446898042476207e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_3_1: -1.3190269159240386e-07 , std 4.7596781334363445e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_4_1: -1.5916822007159391e-07 , std 5.0956936748390995e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_5_1: -1.0700642172007646e-07 , std 4.733927913479315e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_6_1: -7.288629120642657e-08 , std 4.233814058762776e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_7_1: -6.985847617805085e-08 , std 3.52970076877898e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_8_1: -3.8679551230435504e-08 , std 3.1391750187170678e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_9_1: -4.361986754543149e-08 , std 3.2963977715701764e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_10_1: -5.0793891361848286e-08 , std 2.3436553772427032e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_1_1: -1.0017815354575719e-09 , std 3.634796954346809e-07 
2023-05-09 15:19:38,983 INFO ofi_trade_2_1: -2.2096657611486e-08 , std 2.6603450976867504e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_3_1: -2.487189869273872e-08 , std 2.205992001449515e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_4_1: -2.116235316359298e-08 , std 2.036639068174567e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_5_1: -1.4922244896415277e-08 , std 1.8258099801895297e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_6_1: -1.3342400833396928e-08 , std 1.5395822745981771e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_7_1: -1.4803033014644317e-08 , std 2.0160492097933827e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_8_1: -3.135723511860812e-09 , std 4.677666203583205e-07 
2023-05-09 15:19:38,983 INFO ofi_trade_9_1: -3.202649636715815e-09 , std 1.0613416231589578e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_10_1: 2.981165908699052e-11 , std 5.8049608452088e-07 
2023-05-09 15:19:38,983 INFO ofi_add_1_2: -7.115762393713556e-07 , std 8.602987659402442e-06 
2023-05-09 15:19:38,983 INFO ofi_add_2_2: -2.8675333167867383e-07 , std 5.488579544304161e-06 
2023-05-09 15:19:38,983 INFO ofi_add_3_2: -1.9393504216726094e-07 , std 5.064878982382223e-06 
2023-05-09 15:19:38,983 INFO ofi_add_4_2: -2.513733267199087e-07 , std 5.518933979660651e-06 
2023-05-09 15:19:38,983 INFO ofi_add_5_2: -2.409867857797147e-07 , std 5.097971515622994e-06 
2023-05-09 15:19:38,983 INFO ofi_add_6_2: -1.84479552935817e-07 , std 4.488260692396497e-06 
2023-05-09 15:19:38,983 INFO ofi_add_7_2: -1.7984813510345594e-07 , std 4.6621096123181874e-06 
2023-05-09 15:19:38,983 INFO ofi_add_8_2: -1.4121640536564033e-07 , std 4.6213657642515555e-06 
2023-05-09 15:19:38,983 INFO ofi_add_9_2: -1.2233678777898834e-07 , std 4.246509870843895e-06 
2023-05-09 15:19:38,983 INFO ofi_add_10_2: -7.335796923677217e-08 , std 4.218372412360596e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_1_2: -6.770353753911295e-08 , std 3.954117523246252e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_2_2: -1.4471058762102856e-07 , std 4.458637774638164e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_3_2: -1.7812988795523228e-07 , std 4.678765191656502e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_4_2: -1.887639999277315e-07 , std 5.309088261725602e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_5_2: -1.5623107575150706e-07 , std 4.636255777487226e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_6_2: -1.1394677961354722e-07 , std 4.021904190762675e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_7_2: -7.581251916403305e-08 , std 3.892209397014396e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_8_2: -5.999441780812079e-08 , std 2.722629596862855e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_9_2: -3.604424881459287e-08 , std 2.037572536153921e-06 
2023-05-09 15:19:38,983 INFO ofi_cancel_10_2: -8.201904738172473e-08 , std 3.0700592960016714e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_1_2: -3.0313787580318348e-09 , std 8.900476359378769e-07 
2023-05-09 15:19:38,983 INFO ofi_trade_2_2: -1.8754737034726667e-08 , std 1.836792281124587e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_3_2: -3.6709253757435886e-08 , std 2.6942726390649028e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_4_2: -2.0610533607417076e-08 , std 1.7457286294758763e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_5_2: -2.2286371019248868e-08 , std 2.0653011496573117e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_6_2: -1.4287687889337061e-08 , std 1.952152923295368e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_7_2: -3.1701871371609803e-09 , std 1.19012176891752e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_8_2: -2.898703061149771e-09 , std 1.4519287534732526e-06 
2023-05-09 15:19:38,983 INFO ofi_trade_9_2: -3.824949632017753e-09 , std 6.188304513094773e-07 
2023-05-09 15:19:38,983 INFO ofi_trade_10_2: -9.317415051869237e-10 , std 7.161030316786863e-07 
2023-05-09 15:19:38,983 INFO ofi_add_1_3: -7.776496104052337e-07 , std 8.417625915371258e-06 
2023-05-09 15:19:38,983 INFO ofi_add_2_3: -3.7219448944414933e-07 , std 6.265589865546206e-06 
2023-05-09 15:19:38,983 INFO ofi_add_3_3: -2.3695031421095704e-07 , std 5.187132449591716e-06 
2023-05-09 15:19:38,984 INFO ofi_add_4_3: -3.528495231112217e-07 , std 6.395882658676845e-06 
2023-05-09 15:19:38,984 INFO ofi_add_5_3: -3.158125313293859e-07 , std 5.905866311421974e-06 
2023-05-09 15:19:38,984 INFO ofi_add_6_3: -2.559624958127626e-07 , std 5.163524706464229e-06 
2023-05-09 15:19:38,984 INFO ofi_add_7_3: -2.597165260333569e-07 , std 5.0556732528574655e-06 
2023-05-09 15:19:38,984 INFO ofi_add_8_3: -1.3148200202602495e-07 , std 3.904386251347883e-06 
2023-05-09 15:19:38,984 INFO ofi_add_9_3: -1.4648581225951391e-07 , std 4.252194494726462e-06 
2023-05-09 15:19:38,984 INFO ofi_add_10_3: -1.1322011860695989e-07 , std 4.683532846488443e-06 
2023-05-09 15:19:38,984 INFO ofi_cancel_1_3: -8.206064931150486e-08 , std 3.56233990770915e-06 
2023-05-09 15:19:38,984 INFO ofi_cancel_2_3: -2.4362826098926953e-07 , std 6.115275378760731e-06 
2023-05-09 15:19:38,984 INFO ofi_cancel_3_3: -2.427334753971899e-07 , std 5.962175150316469e-06 
2023-05-09 15:19:38,984 INFO ofi_cancel_4_3: -2.3457270048473892e-07 , std 5.222794156165648e-06 
2023-05-09 15:19:38,984 INFO ofi_cancel_5_3: -1.7678594226112695e-07 , std 4.495926751750344e-06 
2023-05-09 15:19:38,984 INFO ofi_cancel_6_3: -1.6278031175316488e-07 , std 4.679964974898731e-06 
2023-05-09 15:19:38,984 INFO ofi_cancel_7_3: -7.930365554024971e-08 , std 3.578244157262383e-06 
2023-05-09 15:19:38,984 INFO ofi_cancel_8_3: -6.486073697863662e-08 , std 2.948937208259387e-06 
2023-05-09 15:19:38,984 INFO ofi_cancel_9_3: -7.550028680847041e-08 , std 3.0233683958004376e-06 
2023-05-09 15:19:38,984 INFO ofi_cancel_10_3: -1.0864308474604036e-07 , std 3.465154286193903e-06 
2023-05-09 15:19:38,984 INFO ofi_trade_1_3: -3.1799025895139668e-09 , std 5.253670489746172e-07 
2023-05-09 15:19:38,984 INFO ofi_trade_2_3: -1.587659529311064e-08 , std 1.7484790820110531e-06 
2023-05-09 15:19:38,984 INFO ofi_trade_3_3: -2.641050088246011e-08 , std 1.8815645000433678e-06 
2023-05-09 15:19:38,984 INFO ofi_trade_4_3: -1.547704255155177e-08 , std 1.6954924758970164e-06 
2023-05-09 15:19:38,984 INFO ofi_trade_5_3: -2.850195560035387e-08 , std 2.6512721157699107e-06 
2023-05-09 15:19:38,984 INFO ofi_trade_6_3: -2.9678477833038308e-08 , std 2.498698431930058e-06 
2023-05-09 15:19:38,984 INFO ofi_trade_7_3: -3.578809939936278e-09 , std 1.054150272822721e-06 
2023-05-09 15:19:38,984 INFO ofi_trade_8_3: -1.1815207895239262e-08 , std 1.4921755016372623e-06 
2023-05-09 15:19:38,984 INFO ofi_trade_9_3: -6.4968165661953324e-09 , std 1.087600810206732e-06 
2023-05-09 15:19:38,984 INFO ofi_trade_10_3: -2.138214747711907e-10 , std 1.0757113317471233e-06 
2023-05-09 15:19:38,984 INFO ofi_add_1_5: -1.0676002460553394e-06 , std 9.887624034722517e-06 
2023-05-09 15:19:38,984 INFO ofi_add_2_5: -4.0878088876342696e-07 , std 6.036471748978039e-06 
2023-05-09 15:19:38,984 INFO ofi_add_3_5: -3.548840004981522e-07 , std 5.813614433523918e-06 
2023-05-09 15:19:38,984 INFO ofi_add_4_5: -4.226601628945808e-07 , std 5.690310901926996e-06 
2023-05-09 15:19:38,984 INFO ofi_add_5_5: -3.886452973902537e-07 , std 5.883911967901745e-06 
2023-05-09 15:19:38,984 INFO ofi_add_6_5: -3.4192616112648234e-07 , std 5.629365028550513e-06 
2023-05-09 15:19:38,984 INFO ofi_add_7_5: -3.8068414494017676e-07 , std 6.126098751747759e-06 
2023-05-09 15:19:38,984 INFO ofi_add_8_5: -2.3171957943201615e-07 , std 4.85145768533464e-06 
2023-05-09 15:19:38,984 INFO ofi_add_9_5: -2.0080137498388605e-07 , std 4.7687024126486685e-06 
2023-05-09 15:19:38,984 INFO ofi_add_10_5: -1.607620308437808e-07 , std 4.567954689852425e-06 
2023-05-09 15:19:38,984 INFO ofi_cancel_1_5: -1.8012541400871465e-07 , std 4.950943134553459e-06 
