2023-05-09 14:05:07,418 INFO Starting...
2023-05-09 14:05:07,418 INFO Tickers: ['CRM']
2023-05-09 14:06:41,709 INFO in_r2: 0.0928652231252524 , std 0.16321720521707428 
2023-05-09 14:06:41,710 INFO os_r2: -0.11841524675683845 , std 0.055063345687038426 
2023-05-09 14:06:41,710 INFO intercept: 6.5074614513747435e-06 , std 0.00040904532447543244 
2023-05-09 14:06:41,710 INFO ofi_add_1_1: -9.931864134392995e-08 , std 3.163714175794566e-06 
2023-05-09 14:06:41,710 INFO ofi_add_2_1: -1.25218921695859e-07 , std 3.4161246476762062e-06 
2023-05-09 14:06:41,710 INFO ofi_add_3_1: -1.0113280478770962e-07 , std 3.1930761110091994e-06 
2023-05-09 14:06:41,710 INFO ofi_add_4_1: -1.2304862327039162e-07 , std 3.405486506143861e-06 
2023-05-09 14:06:41,710 INFO ofi_add_5_1: -1.5999251654670435e-07 , std 3.853660990225512e-06 
2023-05-09 14:06:41,710 INFO ofi_add_6_1: -1.3831979308240162e-07 , std 3.886498594480221e-06 
2023-05-09 14:06:41,710 INFO ofi_add_7_1: -1.4074042652538747e-07 , std 3.7539529756852502e-06 
2023-05-09 14:06:41,710 INFO ofi_add_8_1: -1.0604878766559393e-07 , std 3.282208365075662e-06 
2023-05-09 14:06:41,710 INFO ofi_add_9_1: -1.1400054814274308e-07 , std 3.108712810390242e-06 
2023-05-09 14:06:41,710 INFO ofi_add_10_1: -7.147451349844381e-08 , std 3.6193306923697483e-06 
2023-05-09 14:06:41,710 INFO ofi_cancel_1_1: -1.4951155593238092e-08 , std 1.5622647636407152e-06 
2023-05-09 14:06:41,710 INFO ofi_cancel_2_1: -7.091034395966865e-08 , std 2.9027565439040556e-06 
2023-05-09 14:06:41,710 INFO ofi_cancel_3_1: -4.749301954805758e-08 , std 2.3300611016337443e-06 
2023-05-09 14:06:41,710 INFO ofi_cancel_4_1: -9.193322145240546e-08 , std 3.5027559532447937e-06 
2023-05-09 14:06:41,710 INFO ofi_cancel_5_1: -5.875974642372167e-08 , std 2.6689513789642875e-06 
2023-05-09 14:06:41,710 INFO ofi_cancel_6_1: -5.916605374858537e-08 , std 2.8065365779808186e-06 
2023-05-09 14:06:41,710 INFO ofi_cancel_7_1: -5.960535797214026e-08 , std 2.6364891864488233e-06 
2023-05-09 14:06:41,710 INFO ofi_cancel_8_1: -3.963633781720635e-08 , std 2.3222208203989035e-06 
2023-05-09 14:06:41,710 INFO ofi_cancel_9_1: -3.8314311627748126e-08 , std 2.0791890312182106e-06 
2023-05-09 14:06:41,710 INFO ofi_cancel_10_1: -5.3859813867660116e-08 , std 2.6981019623162463e-06 
2023-05-09 14:06:41,710 INFO ofi_trade_1_1: -3.905057851433323e-10 , std 7.173496927901796e-07 
2023-05-09 14:06:41,710 INFO ofi_trade_2_1: -9.87025375368799e-09 , std 1.2242630807431996e-06 
2023-05-09 14:06:41,710 INFO ofi_trade_3_1: -7.414401259085672e-09 , std 1.0242522471054988e-06 
2023-05-09 14:06:41,710 INFO ofi_trade_4_1: -8.7529860304701e-09 , std 1.1678267527213582e-06 
2023-05-09 14:06:41,710 INFO ofi_trade_5_1: -1.6420790456841656e-08 , std 1.8247525587627175e-06 
2023-05-09 14:06:41,710 INFO ofi_trade_6_1: -6.134208703899113e-09 , std 9.025337888027386e-07 
2023-05-09 14:06:41,710 INFO ofi_trade_7_1: -1.1898548456489095e-08 , std 1.4532061872621599e-06 
2023-05-09 14:06:41,710 INFO ofi_trade_8_1: -8.609932579975773e-09 , std 1.073906813476173e-06 
2023-05-09 14:06:41,710 INFO ofi_trade_9_1: -3.7102494830704856e-09 , std 6.175100870018049e-07 
2023-05-09 14:06:41,710 INFO ofi_trade_10_1: -1.1998913736162415e-08 , std 1.5241193881731149e-06 
2023-05-09 14:06:41,710 INFO ofi_add_1_2: -9.791509779979189e-08 , std 3.229852208113481e-06 
2023-05-09 14:06:41,710 INFO ofi_add_2_2: -1.7063966886504323e-07 , std 3.862513212623284e-06 
2023-05-09 14:06:41,710 INFO ofi_add_3_2: -1.3226770026215667e-07 , std 3.2549310463277913e-06 
2023-05-09 14:06:41,710 INFO ofi_add_4_2: -1.5933665976778314e-07 , std 3.5015619194904915e-06 
2023-05-09 14:06:41,710 INFO ofi_add_5_2: -1.7065410351584832e-07 , std 3.354250512645849e-06 
2023-05-09 14:06:41,710 INFO ofi_add_6_2: -1.6609567617507768e-07 , std 3.406694749396645e-06 
2023-05-09 14:06:41,710 INFO ofi_add_7_2: -1.1995865385705383e-07 , std 2.8084528791680155e-06 
2023-05-09 14:06:41,710 INFO ofi_add_8_2: -1.3546566584309849e-07 , std 3.0872358066600334e-06 
2023-05-09 14:06:41,710 INFO ofi_add_9_2: -1.1316780971235108e-07 , std 3.3255736050942416e-06 
2023-05-09 14:06:41,710 INFO ofi_add_10_2: -1.4082075838425738e-07 , std 3.3585743489322123e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_1_2: -2.263081471181618e-08 , std 1.5207090065023428e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_2_2: -6.111155956626678e-08 , std 2.382161078152756e-06 
2023-05-09 14:06:41,711 INFO ofi_cancel_3_2: -7.814140891243672e-08 , std 2.762673952970797e-06 
