2023-05-09 15:22:55,071 INFO Starting...
2023-05-09 15:22:55,071 INFO Tickers: ['D']
2023-05-09 15:24:27,842 INFO in_r2: 0.09951401938584621 , std 0.17181297579811203 
2023-05-09 15:24:27,843 INFO os_r2: -0.11309929542458032 , std 0.0771308389626925 
2023-05-09 15:24:27,843 INFO intercept: -2.070705188168292e-06 , std 0.00027207435596639847 
2023-05-09 15:24:27,843 INFO ofi_add_1_1: -4.078614042525471e-07 , std 6.42770245573287e-06 
2023-05-09 15:24:27,843 INFO ofi_add_2_1: -2.587833997929086e-07 , std 5.907038235234117e-06 
2023-05-09 15:24:27,843 INFO ofi_add_3_1: -1.7114543466795867e-07 , std 4.589398204624801e-06 
2023-05-09 15:24:27,843 INFO ofi_add_4_1: -2.329173926263995e-07 , std 5.600056920223746e-06 
2023-05-09 15:24:27,843 INFO ofi_add_5_1: -1.784628693732235e-07 , std 4.484334335758777e-06 
2023-05-09 15:24:27,843 INFO ofi_add_6_1: -1.6979666687714576e-07 , std 4.929988558159061e-06 
2023-05-09 15:24:27,843 INFO ofi_add_7_1: -1.3271135687182975e-07 , std 4.7676129891057795e-06 
2023-05-09 15:24:27,843 INFO ofi_add_8_1: -5.268139930468372e-08 , std 3.0679677593183507e-06 
2023-05-09 15:24:27,843 INFO ofi_add_9_1: -5.987948879377484e-08 , std 3.6407205991196947e-06 
2023-05-09 15:24:27,843 INFO ofi_add_10_1: -5.448450558789428e-08 , std 3.393309048127616e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_1_1: -5.965671616448828e-08 , std 3.5488682207011683e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_2_1: -1.200187106467448e-07 , std 4.345449262560633e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_3_1: -1.6093782204345157e-07 , std 4.839621423084084e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_4_1: -1.5091642063760422e-07 , std 4.3849538142810836e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_5_1: -1.100225511177289e-07 , std 3.8053954954015083e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_6_1: -8.828955650917669e-08 , std 3.7721614717368303e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_7_1: -5.5653787412346324e-08 , std 3.184950888911758e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_8_1: -3.610645739901775e-08 , std 2.700637204754147e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_9_1: -5.3908772282903515e-08 , std 3.0540648660891726e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_10_1: -5.58795911488479e-08 , std 3.4392495649148234e-06 
2023-05-09 15:24:27,843 INFO ofi_trade_1_1: -3.263692607401378e-09 , std 8.14488213302288e-07 
2023-05-09 15:24:27,843 INFO ofi_trade_2_1: -2.344356689879101e-10 , std 2.1010141468112023e-06 
2023-05-09 15:24:27,843 INFO ofi_trade_3_1: -3.10218397237708e-08 , std 2.3442268238425402e-06 
2023-05-09 15:24:27,843 INFO ofi_trade_4_1: -1.2453477864560639e-08 , std 1.777059492053434e-06 
2023-05-09 15:24:27,843 INFO ofi_trade_5_1: -2.04186638683805e-08 , std 1.9995988041875663e-06 
2023-05-09 15:24:27,843 INFO ofi_trade_6_1: -1.603709374103322e-08 , std 1.4853207591340032e-06 
2023-05-09 15:24:27,843 INFO ofi_trade_7_1: -3.1340312455730784e-09 , std 7.718513720482282e-07 
2023-05-09 15:24:27,843 INFO ofi_trade_8_1: -8.443474794871565e-10 , std 2.699395132240544e-07 
2023-05-09 15:24:27,843 INFO ofi_trade_9_1: -1.188696848177912e-09 , std 2.645215063778229e-07 
2023-05-09 15:24:27,843 INFO ofi_trade_10_1: -4.6726085496434546e-09 , std 1.1415900884102406e-06 
2023-05-09 15:24:27,843 INFO ofi_add_1_2: -4.936737954854644e-07 , std 6.8362537533724255e-06 
2023-05-09 15:24:27,843 INFO ofi_add_2_2: -3.291625822170901e-07 , std 6.086121263019597e-06 
2023-05-09 15:24:27,843 INFO ofi_add_3_2: -1.9562802029418683e-07 , std 4.642147951086089e-06 
2023-05-09 15:24:27,843 INFO ofi_add_4_2: -2.3202279880142083e-07 , std 4.958204317004141e-06 
2023-05-09 15:24:27,843 INFO ofi_add_5_2: -2.0668578019095333e-07 , std 4.737573981268325e-06 
2023-05-09 15:24:27,843 INFO ofi_add_6_2: -1.6601036894046944e-07 , std 4.446798688393195e-06 
2023-05-09 15:24:27,843 INFO ofi_add_7_2: -1.4396309430198233e-07 , std 4.427085501699091e-06 
2023-05-09 15:24:27,843 INFO ofi_add_8_2: -7.68956987153219e-08 , std 3.801666422948308e-06 
2023-05-09 15:24:27,843 INFO ofi_add_9_2: -1.1696317633479862e-07 , std 4.0807118357499846e-06 
2023-05-09 15:24:27,843 INFO ofi_add_10_2: -9.222800258583052e-08 , std 3.6526797604454377e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_1_2: -9.012586360964343e-08 , std 3.286645486993425e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_2_2: -1.6242093459620367e-07 , std 4.563892133243212e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_3_2: -1.6531697416960719e-07 , std 4.2004222807683436e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_4_2: -1.7017094476730783e-07 , std 5.285699671350603e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_5_2: -1.219122382698391e-07 , std 3.8219960584128785e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_6_2: -9.4360661548613e-08 , std 3.373238579816842e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_7_2: -7.37521357506837e-08 , std 4.824397446860229e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_8_2: -5.2940592217197194e-08 , std 2.702168332458426e-06 
2023-05-09 15:24:27,843 INFO ofi_cancel_9_2: -3.481564190773384e-08 , std 2.340585668909287e-06 
2023-05-09 15:24:27,844 INFO ofi_cancel_10_2: -5.384122098120328e-08 , std 2.6057913467244163e-06 
