2023-05-09 13:32:18,639 INFO Starting...
2023-05-09 13:32:18,639 INFO Tickers: ['DIS']
2023-05-09 13:33:51,813 INFO in_r2: 0.09928945846736012 , std 0.1713721726249278 
2023-05-09 13:33:51,813 INFO os_r2: -0.11765294186357839 , std 0.07450595229400954 
2023-05-09 13:33:51,813 INFO intercept: -3.907995650592569e-06 , std 0.00028220860267132836 
2023-05-09 13:33:51,813 INFO ofi_add_1_1: -1.860655968767004e-07 , std 4.236146032591166e-06 
2023-05-09 13:33:51,813 INFO ofi_add_2_1: -8.207018280433943e-08 , std 3.1417231366375977e-06 
2023-05-09 13:33:51,813 INFO ofi_add_3_1: -8.666605026311739e-08 , std 3.002818470942798e-06 
2023-05-09 13:33:51,813 INFO ofi_add_4_1: -1.0404645359434732e-07 , std 3.336301944717501e-06 
2023-05-09 13:33:51,813 INFO ofi_add_5_1: -1.0975643965268485e-07 , std 3.3750103533838157e-06 
2023-05-09 13:33:51,813 INFO ofi_add_6_1: -1.213321175783198e-07 , std 3.5069996286126017e-06 
2023-05-09 13:33:51,813 INFO ofi_add_7_1: -1.2553301545176806e-07 , std 3.301447504292179e-06 
2023-05-09 13:33:51,813 INFO ofi_add_8_1: -6.191718270485923e-08 , std 2.745283285571821e-06 
2023-05-09 13:33:51,813 INFO ofi_add_9_1: -4.1758547014199225e-08 , std 2.79667938366926e-06 
2023-05-09 13:33:51,813 INFO ofi_add_10_1: -6.191676582776966e-08 , std 2.6357435369616526e-06 
2023-05-09 13:33:51,813 INFO ofi_cancel_1_1: -1.5934456927059596e-08 , std 1.4838694491937913e-06 
2023-05-09 13:33:51,813 INFO ofi_cancel_2_1: -4.641391915757317e-08 , std 2.360488774648665e-06 
2023-05-09 13:33:51,813 INFO ofi_cancel_3_1: -6.754810771361568e-08 , std 2.679669917212532e-06 
2023-05-09 13:33:51,813 INFO ofi_cancel_4_1: -1.0025941264328935e-07 , std 3.466804413850836e-06 
2023-05-09 13:33:51,813 INFO ofi_cancel_5_1: -7.908525552765029e-08 , std 3.0656699821071216e-06 
2023-05-09 13:33:51,813 INFO ofi_cancel_6_1: -6.103063024235735e-08 , std 2.3201677489523028e-06 
2023-05-09 13:33:51,813 INFO ofi_cancel_7_1: -5.817953990338142e-08 , std 2.3574220663051617e-06 
2023-05-09 13:33:51,813 INFO ofi_cancel_8_1: -3.2575983325323787e-08 , std 2.044789017357405e-06 
2023-05-09 13:33:51,813 INFO ofi_cancel_9_1: -3.247232326210265e-08 , std 1.6531530283149976e-06 
2023-05-09 13:33:51,813 INFO ofi_cancel_10_1: -2.199254715472604e-08 , std 1.6772393731238009e-06 
2023-05-09 13:33:51,813 INFO ofi_trade_1_1: -8.343106839387289e-11 , std 3.7229986648913687e-08 
2023-05-09 13:33:51,813 INFO ofi_trade_2_1: -1.017934559085782e-08 , std 9.780698953526757e-07 
2023-05-09 13:33:51,813 INFO ofi_trade_3_1: -7.382742263470292e-09 , std 1.2386282741433895e-06 
2023-05-09 13:33:51,813 INFO ofi_trade_4_1: -1.9675939357585484e-08 , std 1.5922636965988085e-06 
2023-05-09 13:33:51,813 INFO ofi_trade_5_1: -3.112322703426781e-08 , std 2.0672794158759507e-06 
2023-05-09 13:33:51,813 INFO ofi_trade_6_1: -3.2224794826162273e-08 , std 2.3296138209516935e-06 
2023-05-09 13:33:51,813 INFO ofi_trade_7_1: -2.309873843076672e-08 , std 1.9886753994390412e-06 
2023-05-09 13:33:51,813 INFO ofi_trade_8_1: -9.066875407013947e-09 , std 9.39138362683436e-07 
2023-05-09 13:33:51,813 INFO ofi_trade_9_1: -6.32887382300188e-09 , std 8.471497928963946e-07 
2023-05-09 13:33:51,813 INFO ofi_trade_10_1: -3.346261249543513e-09 , std 3.829946107449457e-07 
2023-05-09 13:33:51,813 INFO ofi_add_1_2: -2.5751318365143143e-07 , std 4.4384662728582294e-06 
2023-05-09 13:33:51,813 INFO ofi_add_2_2: -1.1501024991978905e-07 , std 3.371274873621746e-06 
2023-05-09 13:33:51,813 INFO ofi_add_3_2: -1.1025728746909827e-07 , std 2.971891206576292e-06 
2023-05-09 13:33:51,813 INFO ofi_add_4_2: -1.2956754657358745e-07 , std 3.6638125328432155e-06 
2023-05-09 13:33:51,813 INFO ofi_add_5_2: -1.4406993462985872e-07 , std 3.252814464248057e-06 
2023-05-09 13:33:51,813 INFO ofi_add_6_2: -1.7834775975389646e-07 , std 3.8064204970105335e-06 
2023-05-09 13:33:51,813 INFO ofi_add_7_2: -1.4249519757317193e-07 , std 3.259801480822696e-06 
2023-05-09 13:33:51,813 INFO ofi_add_8_2: -1.0772425602729337e-07 , std 2.810175936605012e-06 
2023-05-09 13:33:51,814 INFO ofi_add_9_2: -1.0189188730344861e-07 , std 3.037265753062779e-06 
2023-05-09 13:33:51,814 INFO ofi_add_10_2: -9.158200269386844e-08 , std 2.968152618208969e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_1_2: -1.4471850326860512e-08 , std 1.498078553857957e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_2_2: -9.556710216533366e-08 , std 3.1175530944977567e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_3_2: -9.687629445738812e-08 , std 2.9911296770995285e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_4_2: -1.1346009323598647e-07 , std 3.4047691122125428e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_5_2: -1.0070360424588671e-07 , std 2.9350608697939967e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_6_2: -8.194294013944121e-08 , std 2.44600760033473e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_7_2: -5.064783161565333e-08 , std 2.165891476447801e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_8_2: -4.067220566142502e-08 , std 1.9846376649555733e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_9_2: -4.214801902587775e-08 , std 1.8912256045454044e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_10_2: -4.18268957496431e-08 , std 1.9049109440366044e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_1_2: -9.881482151325968e-10 , std 3.2174272003914006e-07 
2023-05-09 13:33:51,814 INFO ofi_trade_2_2: -9.460474398725517e-09 , std 9.999403183942217e-07 
2023-05-09 13:33:51,814 INFO ofi_trade_3_2: -2.300776373498566e-08 , std 1.8906722999764352e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_4_2: -3.790808559326317e-08 , std 2.190587678765771e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_5_2: -4.650830291166918e-08 , std 2.144774116148002e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_6_2: -2.9939281333138853e-08 , std 1.7087626841942969e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_7_2: -2.2209444625926904e-08 , std 1.4598034352522854e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_8_2: -9.445802849124985e-09 , std 1.1805321111564748e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_9_2: -7.500829933782064e-09 , std 1.1535532236834172e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_10_2: -4.707438334189851e-09 , std 8.359904257159756e-07 
2023-05-09 13:33:51,814 INFO ofi_add_1_3: -3.1891749752960097e-07 , std 4.477590890881812e-06 
2023-05-09 13:33:51,814 INFO ofi_add_2_3: -1.5164228828685161e-07 , std 3.451697455439555e-06 
2023-05-09 13:33:51,814 INFO ofi_add_3_3: -1.3872869941354424e-07 , std 3.3411150858470775e-06 
2023-05-09 13:33:51,814 INFO ofi_add_4_3: -1.5657302142718376e-07 , std 3.4546818266582175e-06 
2023-05-09 13:33:51,814 INFO ofi_add_5_3: -1.9026195067895865e-07 , std 3.476145447734345e-06 
2023-05-09 13:33:51,814 INFO ofi_add_6_3: -1.8541816616937196e-07 , std 3.4092410650307563e-06 
2023-05-09 13:33:51,814 INFO ofi_add_7_3: -1.7418652139762996e-07 , std 3.5081785288197176e-06 
2023-05-09 13:33:51,814 INFO ofi_add_8_3: -1.4777489912241308e-07 , std 3.152283068707392e-06 
2023-05-09 13:33:51,814 INFO ofi_add_9_3: -1.236510885397251e-07 , std 3.051255081972397e-06 
2023-05-09 13:33:51,814 INFO ofi_add_10_3: -1.3862138670682894e-07 , std 4.493141650471292e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_1_3: -2.40917133062834e-08 , std 2.2976973657514657e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_2_3: -9.381499141705409e-08 , std 3.0909156723012316e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_3_3: -1.1177854342943174e-07 , std 2.95471151781149e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_4_3: -1.328452595636608e-07 , std 3.288433789388824e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_5_3: -1.2043286079569097e-07 , std 2.9859027581054142e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_6_3: -1.0740204971942498e-07 , std 2.667417702912253e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_7_3: -7.10127336581717e-08 , std 2.2655388548151526e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_8_3: -5.301215184219151e-08 , std 2.2211716620792763e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_9_3: -3.7045271723190234e-08 , std 1.594327173067309e-06 
2023-05-09 13:33:51,814 INFO ofi_cancel_10_3: -4.002227270303505e-08 , std 1.3936256329123518e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_1_3: -1.61009105494524e-09 , std 4.56183753904044e-07 
2023-05-09 13:33:51,814 INFO ofi_trade_2_3: -1.1255192680611387e-08 , std 9.53230717612297e-07 
2023-05-09 13:33:51,814 INFO ofi_trade_3_3: -2.791069757146095e-08 , std 1.754196216624375e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_4_3: -2.863271774494366e-08 , std 1.9448114887894425e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_5_3: -6.125044594088659e-08 , std 2.517363556035419e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_6_3: -4.560308224661132e-08 , std 2.1337323246196312e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_7_3: -2.1311252521049904e-08 , std 1.1541762273600197e-06 
2023-05-09 13:33:51,814 INFO ofi_trade_8_3: -7.672899353797152e-09 , std 7.268256230024753e-07 
2023-05-09 13:33:51,814 INFO ofi_trade_9_3: -8.92451783549155e-09 , std 7.946788210382318e-07 
2023-05-09 13:33:51,814 INFO ofi_trade_10_3: -5.785051409700299e-09 , std 6.371608693655213e-07 
2023-05-09 13:33:51,814 INFO ofi_add_1_5: -4.709760904585734e-07 , std 5.413749524869765e-06 
2023-05-09 13:33:51,814 INFO ofi_add_2_5: -1.6701382957086366e-07 , std 3.4465461812032575e-06 
2023-05-09 13:33:51,814 INFO ofi_add_3_5: -1.8668570875823248e-07 , std 3.5215124198831144e-06 
2023-05-09 13:33:51,814 INFO ofi_add_4_5: -2.3999364248425186e-07 , std 3.756517240212853e-06 
2023-05-09 13:33:51,815 INFO ofi_add_5_5: -2.126439143876449e-07 , std 3.4226942057394592e-06 
2023-05-09 13:33:51,815 INFO ofi_add_6_5: -2.3863469363617187e-07 , std 3.54437819263919e-06 
2023-05-09 13:33:51,815 INFO ofi_add_7_5: -2.1722385671593815e-07 , std 3.340448191180038e-06 
2023-05-09 13:33:51,815 INFO ofi_add_8_5: -1.971459798970689e-07 , std 3.4074415844787933e-06 
2023-05-09 13:33:51,815 INFO ofi_add_9_5: -2.1093640081976656e-07 , std 3.5016566868361834e-06 
2023-05-09 13:33:51,815 INFO ofi_add_10_5: -1.609891354236095e-07 , std 3.2215021951647577e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_1_5: -2.7765281254491166e-08 , std 1.7431578071235356e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_2_5: -1.1699951802010138e-07 , std 2.8073339630261943e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_3_5: -1.321835059754549e-07 , std 2.848113924544123e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_4_5: -1.5963741781576297e-07 , std 3.216901739031768e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_5_5: -1.4818211786388845e-07 , std 3.2066894536397554e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_6_5: -9.752922331126117e-08 , std 2.7094536988861396e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_7_5: -5.9511416667487634e-08 , std 2.2215298123534643e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_8_5: -5.857295433278686e-08 , std 2.047685930898391e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_9_5: -5.1017117172438776e-08 , std 1.9431671930898954e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_10_5: -5.521826778352117e-08 , std 1.8616003535791143e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_1_5: 3.427843525691393e-11 , std 8.799807027922848e-08 
2023-05-09 13:33:51,815 INFO ofi_trade_2_5: -8.351564472972829e-09 , std 7.305562755846879e-07 
2023-05-09 13:33:51,815 INFO ofi_trade_3_5: -3.4356449943630055e-08 , std 1.8995486864089462e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_4_5: -4.81211755532075e-08 , std 2.037681756817203e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_5_5: -7.389887142117498e-08 , std 2.670890184615793e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_6_5: -5.3438467041052264e-08 , std 2.131931123364665e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_7_5: -2.9569751979793986e-08 , std 1.4053786710194826e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_8_5: -1.0237643715284821e-08 , std 1.0123965059467065e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_9_5: -5.284758728071895e-09 , std 8.490799276645746e-07 
2023-05-09 13:33:51,815 INFO ofi_trade_10_5: -1.2246454532216604e-08 , std 1.0756807792856993e-06 
2023-05-09 13:33:51,815 INFO ofi_add_1_10: -4.7067643277740674e-07 , std 5.013629873527857e-06 
2023-05-09 13:33:51,815 INFO ofi_add_2_10: -2.058739067195274e-07 , std 3.677586327924953e-06 
2023-05-09 13:33:51,815 INFO ofi_add_3_10: -2.101872037483359e-07 , std 3.311343906040982e-06 
2023-05-09 13:33:51,815 INFO ofi_add_4_10: -2.1858799180528208e-07 , std 3.3344670712464536e-06 
2023-05-09 13:33:51,815 INFO ofi_add_5_10: -2.5374623931933907e-07 , std 3.715688786700006e-06 
2023-05-09 13:33:51,815 INFO ofi_add_6_10: -2.407812576324195e-07 , std 3.3419177486226867e-06 
2023-05-09 13:33:51,815 INFO ofi_add_7_10: -2.6263217039857887e-07 , std 3.682119621301138e-06 
2023-05-09 13:33:51,815 INFO ofi_add_8_10: -2.2696184848464573e-07 , std 3.3282134685390394e-06 
2023-05-09 13:33:51,815 INFO ofi_add_9_10: -1.837662574159291e-07 , std 3.0758659844804904e-06 
2023-05-09 13:33:51,815 INFO ofi_add_10_10: -2.076049781296157e-07 , std 3.216459996608622e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_1_10: -3.2283561645121444e-08 , std 1.5244967682753671e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_2_10: -1.4071425228148232e-07 , std 3.0954358292846063e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_3_10: -1.2687438963302034e-07 , std 2.6571748802220633e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_4_10: -1.5522895297110917e-07 , std 2.9772061740160418e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_5_10: -1.6153004389358065e-07 , std 3.1855577713624207e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_6_10: -1.427773853390029e-07 , std 2.8520573164056275e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_7_10: -8.18649605004783e-08 , std 2.1988660829360542e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_8_10: -6.040548203199034e-08 , std 1.945532044252256e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_9_10: -5.0963814570481804e-08 , std 1.624061468151453e-06 
2023-05-09 13:33:51,815 INFO ofi_cancel_10_10: -5.776205955377628e-08 , std 1.7206012396023135e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_1_10: -8.087489480538576e-11 , std 3.608932873329874e-08 
2023-05-09 13:33:51,815 INFO ofi_trade_2_10: -1.3593104371656095e-08 , std 1.0658229271633756e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_3_10: -3.4378797273230824e-08 , std 1.6819409970436856e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_4_10: -4.817050262069297e-08 , std 2.0611700769803353e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_5_10: -6.452656453459625e-08 , std 2.118681074441756e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_6_10: -5.53155076994583e-08 , std 2.0113369045039157e-06 
2023-05-09 13:33:51,815 INFO ofi_trade_7_10: -4.1263442843275296e-08 , std 1.9127185383281914e-06 
