2023-05-09 13:13:35,798 INFO Starting...
2023-05-09 13:13:35,798 INFO Tickers: ['FB']
2023-05-09 13:15:10,581 INFO in_r2: 0.09631112654700172 , std 0.16830243816437743 
2023-05-09 13:15:10,581 INFO os_r2: -0.12606484180023153 , std 0.06942490445071241 
2023-05-09 13:15:10,581 INFO intercept: -5.990704319782161e-06 , std 0.00033611770183117676 
2023-05-09 13:15:10,581 INFO ofi_add_1_1: -6.633573746084976e-08 , std 2.0093284096826696e-06 
2023-05-09 13:15:10,581 INFO ofi_add_2_1: -5.440964430919444e-08 , std 1.83013347906901e-06 
2023-05-09 13:15:10,581 INFO ofi_add_3_1: -4.8868929283421743e-08 , std 1.7839815359384892e-06 
2023-05-09 13:15:10,581 INFO ofi_add_4_1: -2.6769447613148916e-08 , std 1.4687648275694105e-06 
2023-05-09 13:15:10,581 INFO ofi_add_5_1: -3.908472311725947e-08 , std 1.591993606059014e-06 
2023-05-09 13:15:10,581 INFO ofi_add_6_1: -3.3254933307296814e-08 , std 1.6701976293218303e-06 
2023-05-09 13:15:10,581 INFO ofi_add_7_1: -3.5117504856262335e-08 , std 1.5758672333246689e-06 
2023-05-09 13:15:10,581 INFO ofi_add_8_1: -3.203872790789082e-08 , std 1.4516026517065942e-06 
2023-05-09 13:15:10,581 INFO ofi_add_9_1: -4.785256124901233e-08 , std 1.8002053792392996e-06 
2023-05-09 13:15:10,581 INFO ofi_add_10_1: -5.5603177320879485e-08 , std 2.0632347774907335e-06 
2023-05-09 13:15:10,581 INFO ofi_cancel_1_1: -1.0990738723549911e-08 , std 1.13573445853626e-06 
2023-05-09 13:15:10,581 INFO ofi_cancel_2_1: -1.4454704443384213e-08 , std 1.03762231978378e-06 
2023-05-09 13:15:10,581 INFO ofi_cancel_3_1: -2.1077697083215013e-08 , std 9.818336007906923e-07 
2023-05-09 13:15:10,581 INFO ofi_cancel_4_1: -1.7738490892225014e-08 , std 9.298647885355818e-07 
2023-05-09 13:15:10,581 INFO ofi_cancel_5_1: -3.004495024571935e-08 , std 1.2711920983457107e-06 
2023-05-09 13:15:10,581 INFO ofi_cancel_6_1: -2.504283533968109e-08 , std 1.06577503575032e-06 
2023-05-09 13:15:10,581 INFO ofi_cancel_7_1: -2.8469014763130386e-08 , std 1.1945445067636869e-06 
2023-05-09 13:15:10,581 INFO ofi_cancel_8_1: -2.9765165786234873e-08 , std 1.2713202811361946e-06 
2023-05-09 13:15:10,581 INFO ofi_cancel_9_1: -3.8645769469033354e-08 , std 1.3353881189930375e-06 
2023-05-09 13:15:10,581 INFO ofi_cancel_10_1: -3.9874684404727036e-08 , std 1.5641820879897954e-06 
2023-05-09 13:15:10,581 INFO ofi_trade_1_1: 1.902034719031458e-12 , std 4.2439998666267025e-08 
2023-05-09 13:15:10,581 INFO ofi_trade_2_1: -9.335805330145528e-09 , std 7.972394095260842e-07 
2023-05-09 13:15:10,581 INFO ofi_trade_3_1: -7.0650740839945295e-09 , std 5.927788710352401e-07 
2023-05-09 13:15:10,581 INFO ofi_trade_4_1: -1.2754232068550232e-08 , std 9.842180977948364e-07 
2023-05-09 13:15:10,581 INFO ofi_trade_5_1: -9.695983265131377e-09 , std 7.356114419472197e-07 
2023-05-09 13:15:10,581 INFO ofi_trade_6_1: -1.583290641223318e-08 , std 9.957127335429212e-07 
2023-05-09 13:15:10,581 INFO ofi_trade_7_1: -1.9935591662192927e-08 , std 1.0674838345749687e-06 
2023-05-09 13:15:10,581 INFO ofi_trade_8_1: -1.9180151579062893e-08 , std 1.1177933584934055e-06 
2023-05-09 13:15:10,581 INFO ofi_trade_9_1: -1.3590310455032416e-08 , std 9.318958060254742e-07 
2023-05-09 13:15:10,581 INFO ofi_trade_10_1: -1.7284792119024814e-08 , std 1.0801006806557445e-06 
2023-05-09 13:15:10,581 INFO ofi_add_1_2: -1.1047036435013525e-07 , std 2.181014865836031e-06 
