2023-05-09 14:54:51,735 INFO Starting...
2023-05-09 14:54:51,735 INFO Tickers: ['FIS']
2023-05-09 14:56:22,997 INFO in_r2: 0.0901195530040145 , std 0.16194386585346185 
2023-05-09 14:56:22,998 INFO os_r2: -0.1178132316450047 , std 0.05396569965800155 
2023-05-09 14:56:22,998 INFO intercept: 1.3929248314366548e-06 , std 0.0002954810977016487 
2023-05-09 14:56:22,998 INFO ofi_add_1_1: -1.9972241537629342e-07 , std 5.008889767815817e-06 
2023-05-09 14:56:22,998 INFO ofi_add_2_1: -1.7937898409687164e-07 , std 4.702485538589219e-06 
2023-05-09 14:56:22,998 INFO ofi_add_3_1: -1.432391326856452e-07 , std 4.31572491010717e-06 
2023-05-09 14:56:22,998 INFO ofi_add_4_1: -1.5650167157633848e-07 , std 5.326514482570059e-06 
2023-05-09 14:56:22,998 INFO ofi_add_5_1: -1.0918646099701204e-07 , std 4.309158830888925e-06 
2023-05-09 14:56:22,998 INFO ofi_add_6_1: -1.1612833654621966e-07 , std 4.265662413001464e-06 
2023-05-09 14:56:22,998 INFO ofi_add_7_1: -1.1091119766620349e-07 , std 4.276598841182295e-06 
2023-05-09 14:56:22,998 INFO ofi_add_8_1: -7.244108888685152e-08 , std 3.928667133980181e-06 
2023-05-09 14:56:22,998 INFO ofi_add_9_1: -9.370590238442071e-08 , std 3.8599894354159645e-06 
2023-05-09 14:56:22,998 INFO ofi_add_10_1: -6.17232189033792e-08 , std 4.669753302508862e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_1_1: -2.9843035035528e-08 , std 2.1837735915111786e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_2_1: -7.133069620992658e-08 , std 4.04476081808799e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_3_1: -8.278881270653053e-08 , std 3.2199942494759557e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_4_1: -7.955776609528786e-08 , std 3.038223998214369e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_5_1: -1.2505939025739382e-07 , std 4.412928315583408e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_6_1: -5.945846379331349e-08 , std 2.845235015066295e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_7_1: -7.763099098901889e-08 , std 3.236340692065329e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_8_1: -6.413158067249076e-08 , std 3.07229101476079e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_9_1: -8.676061458270128e-08 , std 3.3517294991691923e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_10_1: -1.599027163312657e-07 , std 4.353973024416474e-06 
2023-05-09 14:56:22,998 INFO ofi_trade_1_1: -2.660184186164004e-10 , std 2.681922567876131e-07 
2023-05-09 14:56:22,998 INFO ofi_trade_2_1: -1.1705298770543657e-08 , std 2.049324425406647e-06 
2023-05-09 14:56:22,998 INFO ofi_trade_3_1: -7.443352084911593e-09 , std 9.550667402071781e-07 
2023-05-09 14:56:22,998 INFO ofi_trade_4_1: -6.919987735005768e-09 , std 1.0241901972696146e-06 
2023-05-09 14:56:22,998 INFO ofi_trade_5_1: -2.0800300521112616e-08 , std 2.308941512227683e-06 
2023-05-09 14:56:22,998 INFO ofi_trade_6_1: -9.57469592909958e-09 , std 1.3351494313585266e-06 
2023-05-09 14:56:22,998 INFO ofi_trade_7_1: -7.039946019091654e-09 , std 9.589435940798314e-07 
2023-05-09 14:56:22,998 INFO ofi_trade_8_1: -5.340342727364754e-09 , std 1.0509776153788846e-06 
2023-05-09 14:56:22,998 INFO ofi_trade_9_1: -6.898060472061247e-09 , std 1.2158612035486197e-06 
2023-05-09 14:56:22,998 INFO ofi_trade_10_1: -8.97893531871786e-09 , std 1.3835627465286146e-06 
2023-05-09 14:56:22,998 INFO ofi_add_1_2: -1.608248202889817e-07 , std 3.947705682199108e-06 
2023-05-09 14:56:22,998 INFO ofi_add_2_2: -2.132851208167504e-07 , std 4.546138494057055e-06 
2023-05-09 14:56:22,998 INFO ofi_add_3_2: -1.8757122569947436e-07 , std 4.33768273256696e-06 
2023-05-09 14:56:22,998 INFO ofi_add_4_2: -1.7929986475856685e-07 , std 4.098144282723882e-06 
2023-05-09 14:56:22,998 INFO ofi_add_5_2: -1.4585461029113596e-07 , std 3.509653597366738e-06 
2023-05-09 14:56:22,998 INFO ofi_add_6_2: -1.550399191599774e-07 , std 3.922930688748244e-06 
2023-05-09 14:56:22,998 INFO ofi_add_7_2: -1.449574155257845e-07 , std 4.123637239154938e-06 
2023-05-09 14:56:22,998 INFO ofi_add_8_2: -1.298277782238519e-07 , std 3.843235178261281e-06 
2023-05-09 14:56:22,998 INFO ofi_add_9_2: -7.909914855336369e-08 , std 3.3991387589356084e-06 
2023-05-09 14:56:22,998 INFO ofi_add_10_2: -1.2758078291195579e-07 , std 4.098010374967772e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_1_2: -3.6152810962289956e-08 , std 2.2455866549993894e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_2_2: -7.505629770259887e-08 , std 2.9234999624046028e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_3_2: -9.441570876540204e-08 , std 3.5906336544432725e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_4_2: -1.0023018472292417e-07 , std 3.0671961538346027e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_5_2: -1.1126874958036222e-07 , std 3.7958878910367906e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_6_2: -7.959315070069525e-08 , std 2.8610426234832496e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_7_2: -7.504006797982332e-08 , std 3.022934723693923e-06 
2023-05-09 14:56:22,998 INFO ofi_cancel_8_2: -6.727593443328473e-08 , std 2.545342407049391e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_9_2: -9.751116668316315e-08 , std 3.358884089286546e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_10_2: -1.1585613843504633e-07 , std 3.1121824353512785e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_1_2: -1.0264776599898154e-08 , std 1.4412547133852499e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_2_2: -8.175709236057445e-09 , std 8.686616205862042e-07 
2023-05-09 14:56:22,999 INFO ofi_trade_3_2: -1.0969531647549357e-08 , std 1.312474381273342e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_4_2: -2.1029702143586707e-08 , std 2.1089608241535364e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_5_2: -1.3548793444221084e-08 , std 1.3984733019490507e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_6_2: -7.1500955418955476e-09 , std 8.364491593768103e-07 
2023-05-09 14:56:22,999 INFO ofi_trade_7_2: -1.1017271247968871e-08 , std 1.5525796903045653e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_8_2: -3.4080263977112843e-09 , std 7.352658357151212e-07 
2023-05-09 14:56:22,999 INFO ofi_trade_9_2: -6.202573583621339e-09 , std 1.048948229954917e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_10_2: -4.705945757948557e-09 , std 5.768449521871168e-07 
2023-05-09 14:56:22,999 INFO ofi_add_1_3: -2.19601469885126e-07 , std 4.468374327854257e-06 
2023-05-09 14:56:22,999 INFO ofi_add_2_3: -2.731022856079309e-07 , std 4.800679368823217e-06 
2023-05-09 14:56:22,999 INFO ofi_add_3_3: -2.347278916841629e-07 , std 4.346237335550125e-06 
2023-05-09 14:56:22,999 INFO ofi_add_4_3: -1.8657463604962577e-07 , std 3.719771973143094e-06 
2023-05-09 14:56:22,999 INFO ofi_add_5_3: -1.727218234350006e-07 , std 3.7224281018374106e-06 
2023-05-09 14:56:22,999 INFO ofi_add_6_3: -1.4345369543332105e-07 , std 3.479279265776089e-06 
2023-05-09 14:56:22,999 INFO ofi_add_7_3: -1.4734237461055483e-07 , std 3.6733204973464574e-06 
2023-05-09 14:56:22,999 INFO ofi_add_8_3: -1.116678496405421e-07 , std 3.526235423698939e-06 
2023-05-09 14:56:22,999 INFO ofi_add_9_3: -9.589022527906045e-08 , std 3.274184623074661e-06 
2023-05-09 14:56:22,999 INFO ofi_add_10_3: -1.1720454371508457e-07 , std 4.251968324130916e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_1_3: -4.0017167074552846e-08 , std 2.648382326042468e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_2_3: -7.912516618310223e-08 , std 2.9600481998186803e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_3_3: -8.544489234047519e-08 , std 2.791789362246685e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_4_3: -1.102604159048222e-07 , std 3.5155046456808225e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_5_3: -1.1804405900699546e-07 , std 3.54668866016651e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_6_3: -8.834011948158528e-08 , std 3.067811491014293e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_7_3: -6.319355330333903e-08 , std 2.600628014233645e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_8_3: -8.352309932352277e-08 , std 2.9449628640563774e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_9_3: -1.0736049524966283e-07 , std 3.485262229391192e-06 
2023-05-09 14:56:22,999 INFO ofi_cancel_10_3: -1.4159221685114741e-07 , std 3.526622752882404e-06 
2023-05-09 14:56:22,999 INFO ofi_trade_1_3: -4.648489825611551e-09 , std 7.765343502972161e-07 
2023-05-09 14:56:22,999 INFO ofi_trade_2_3: -1.0321727377083747e-08 , std 1.1845781781161304e-06 
