2023-05-09 15:26:03,015 INFO Starting...
2023-05-09 15:26:03,015 INFO Tickers: ['FISV']
2023-05-09 15:27:35,733 INFO in_r2: 0.09559179468893474 , std 0.16800664927488326 
2023-05-09 15:27:35,733 INFO os_r2: -0.1198474752562197 , std 0.16213341097270528 
2023-05-09 15:27:35,733 INFO intercept: -8.548652259149173e-07 , std 0.0003199737740850303 
2023-05-09 15:27:35,733 INFO ofi_add_1_1: -1.2563716350904159e-07 , std 4.070681409128199e-06 
2023-05-09 15:27:35,733 INFO ofi_add_2_1: -1.509537296197945e-07 , std 4.445459394056358e-06 
2023-05-09 15:27:35,733 INFO ofi_add_3_1: -1.5614038654326604e-07 , std 4.4878690730187e-06 
2023-05-09 15:27:35,733 INFO ofi_add_4_1: -1.4382488871520968e-07 , std 4.219841083608428e-06 
2023-05-09 15:27:35,733 INFO ofi_add_5_1: -1.1205176667614363e-07 , std 3.90886446136649e-06 
2023-05-09 15:27:35,733 INFO ofi_add_6_1: -8.457946426318555e-08 , std 3.881790622255382e-06 
2023-05-09 15:27:35,733 INFO ofi_add_7_1: -8.10569520203778e-08 , std 3.4342228991926045e-06 
2023-05-09 15:27:35,733 INFO ofi_add_8_1: -7.830509136266993e-08 , std 3.2587151855475117e-06 
2023-05-09 15:27:35,733 INFO ofi_add_9_1: -6.637481607814348e-08 , std 3.60357758057355e-06 
2023-05-09 15:27:35,733 INFO ofi_add_10_1: -8.564260360889043e-08 , std 4.074713383843517e-06 
2023-05-09 15:27:35,733 INFO ofi_cancel_1_1: -4.4292991880141075e-08 , std 2.799302413877013e-06 
2023-05-09 15:27:35,733 INFO ofi_cancel_2_1: -9.853711177850928e-08 , std 3.501264316488708e-06 
2023-05-09 15:27:35,733 INFO ofi_cancel_3_1: -7.710986818422178e-08 , std 3.3106159340286082e-06 
2023-05-09 15:27:35,733 INFO ofi_cancel_4_1: -6.058449587684027e-08 , std 2.8416678844972132e-06 
2023-05-09 15:27:35,733 INFO ofi_cancel_5_1: -4.780462999437231e-08 , std 2.6808774812308237e-06 
2023-05-09 15:27:35,733 INFO ofi_cancel_6_1: -5.8540873812627624e-08 , std 2.82926200047907e-06 
2023-05-09 15:27:35,733 INFO ofi_cancel_7_1: -5.069363436906802e-08 , std 3.0701060785578e-06 
2023-05-09 15:27:35,733 INFO ofi_cancel_8_1: -5.083867625463993e-08 , std 2.9839949925182264e-06 
2023-05-09 15:27:35,733 INFO ofi_cancel_9_1: -7.32402980642553e-08 , std 3.483784848968014e-06 
2023-05-09 15:27:35,733 INFO ofi_cancel_10_1: -6.481733770044153e-08 , std 3.497786850562379e-06 
2023-05-09 15:27:35,733 INFO ofi_trade_1_1: -1.0618391301445296e-08 , std 1.2963077680880495e-06 
2023-05-09 15:27:35,733 INFO ofi_trade_2_1: -1.4725065353813254e-08 , std 1.5556582433693121e-06 
2023-05-09 15:27:35,733 INFO ofi_trade_3_1: -3.0860136186643806e-08 , std 2.3243180414237808e-06 
2023-05-09 15:27:35,733 INFO ofi_trade_4_1: -1.9923892015756053e-08 , std 2.0094475053331152e-06 
2023-05-09 15:27:35,733 INFO ofi_trade_5_1: -1.9258310021357786e-08 , std 1.9958795734378086e-06 
2023-05-09 15:27:35,733 INFO ofi_trade_6_1: -1.975567283800143e-08 , std 1.904463216870153e-06 
2023-05-09 15:27:35,733 INFO ofi_trade_7_1: -1.61657564740391e-08 , std 1.4896224853081682e-06 
2023-05-09 15:27:35,733 INFO ofi_trade_8_1: -3.531346230392224e-09 , std 6.345522942155039e-07 
2023-05-09 15:27:35,733 INFO ofi_trade_9_1: -3.060717645871934e-08 , std 2.2589664720404367e-06 
2023-05-09 15:27:35,733 INFO ofi_trade_10_1: -1.4729005396074377e-08 , std 1.9691978168165875e-06 
2023-05-09 15:27:35,733 INFO ofi_add_1_2: -2.4411522152765215e-07 , std 4.848444825171947e-06 
2023-05-09 15:27:35,734 INFO ofi_add_2_2: -2.428658925528706e-07 , std 4.537486251658924e-06 
2023-05-09 15:27:35,734 INFO ofi_add_3_2: -1.9944862300854726e-07 , std 4.068117311416691e-06 
2023-05-09 15:27:35,734 INFO ofi_add_4_2: -2.0332628088470195e-07 , std 4.5271220960723e-06 
2023-05-09 15:27:35,734 INFO ofi_add_5_2: -1.6394462484551394e-07 , std 3.963538170305187e-06 
2023-05-09 15:27:35,734 INFO ofi_add_6_2: -1.0581212443144108e-07 , std 3.4291823129390753e-06 
2023-05-09 15:27:35,734 INFO ofi_add_7_2: -1.0636147832179231e-07 , std 3.448230139695366e-06 
2023-05-09 15:27:35,734 INFO ofi_add_8_2: -9.035186264943828e-08 , std 3.809658855965571e-06 
2023-05-09 15:27:35,734 INFO ofi_add_9_2: -9.718471607584303e-08 , std 3.4149835533893517e-06 
2023-05-09 15:27:35,734 INFO ofi_add_10_2: -1.5520413975129937e-07 , std 4.3789721425891e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_1_2: -3.398940044286461e-08 , std 2.7622561362142683e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_2_2: -1.0593993633339835e-07 , std 3.5478991593482436e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_3_2: -8.71475155530719e-08 , std 3.2238497617132847e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_4_2: -7.159145360340066e-08 , std 2.9982953414186186e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_5_2: -9.467200471414955e-08 , std 3.3829761199190243e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_6_2: -9.319268688244676e-08 , std 3.370396160198371e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_7_2: -8.85158177869653e-08 , std 3.5129422869845497e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_8_2: -7.790166574787957e-08 , std 3.1454184701156775e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_9_2: -9.023901284694132e-08 , std 3.1474893214956185e-06 
2023-05-09 15:27:35,734 INFO ofi_cancel_10_2: -8.730813557642192e-08 , std 3.1573067234394565e-06 
2023-05-09 15:27:35,734 INFO ofi_trade_1_2: -1.8592416839495243e-08 , std 1.9036527976026102e-06 
