2023-05-09 15:05:44,175 INFO Starting...
2023-05-09 15:05:44,175 INFO Tickers: ['GS']
2023-05-09 15:07:20,616 INFO in_r2: 0.09579446143305023 , std 0.165950258409618 
2023-05-09 15:07:20,617 INFO os_r2: -0.10829460844444136 , std 0.048852366360398525 
2023-05-09 15:07:20,617 INFO intercept: 2.575086194932095e-06 , std 0.00040893021043044667 
2023-05-09 15:07:20,617 INFO ofi_add_1_1: -2.2902200897219e-08 , std 1.7786062802004337e-06 
2023-05-09 15:07:20,617 INFO ofi_add_2_1: -4.807295284166745e-08 , std 2.169685854808451e-06 
2023-05-09 15:07:20,617 INFO ofi_add_3_1: -7.507619832004271e-08 , std 2.603704373855916e-06 
2023-05-09 15:07:20,617 INFO ofi_add_4_1: -6.917077993245839e-08 , std 2.3878694155528255e-06 
2023-05-09 15:07:20,617 INFO ofi_add_5_1: -7.414851863584296e-08 , std 2.4091520042242208e-06 
2023-05-09 15:07:20,617 INFO ofi_add_6_1: -9.035900152028759e-08 , std 2.5705280074976702e-06 
2023-05-09 15:07:20,617 INFO ofi_add_7_1: -9.268499966881029e-08 , std 2.6284018239534377e-06 
2023-05-09 15:07:20,617 INFO ofi_add_8_1: -8.737091574536421e-08 , std 2.341079841723528e-06 
2023-05-09 15:07:20,617 INFO ofi_add_9_1: -9.270365416188642e-08 , std 2.3735483762110852e-06 
2023-05-09 15:07:20,617 INFO ofi_add_10_1: -1.3416161443895223e-07 , std 2.9887064043091406e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_1_1: -5.7066630153681674e-09 , std 7.564487246945777e-07 
2023-05-09 15:07:20,617 INFO ofi_cancel_2_1: -1.693188287127653e-08 , std 1.3948616421638807e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_3_1: -1.783604383426019e-08 , std 1.4898059834321769e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_4_1: -2.1715291783705247e-08 , std 1.9142076159953633e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_5_1: -5.100282669902592e-08 , std 2.3226861682795704e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_6_1: -5.132175486466482e-08 , std 2.131831832696214e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_7_1: -5.336661208911307e-08 , std 2.188999992292511e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_8_1: -5.3162852983182347e-08 , std 2.1378116819010927e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_9_1: -5.897884895367992e-08 , std 2.4362541728923412e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_10_1: -5.1453302970928385e-08 , std 2.1671570990359164e-06 
2023-05-09 15:07:20,617 INFO ofi_trade_1_1: -1.0225862300107112e-09 , std 2.165391660204959e-07 
2023-05-09 15:07:20,617 INFO ofi_trade_2_1: -1.7535941660660098e-09 , std 5.667475329060697e-07 
2023-05-09 15:07:20,617 INFO ofi_trade_3_1: -6.200193497469683e-10 , std 1.4243250507084948e-07 
2023-05-09 15:07:20,617 INFO ofi_trade_4_1: -1.906296680078087e-09 , std 3.7873984085472487e-07 
2023-05-09 15:07:20,617 INFO ofi_trade_5_1: -3.4600808990823253e-10 , std 1.798111526226845e-07 
2023-05-09 15:07:20,617 INFO ofi_trade_6_1: -4.989177339981716e-09 , std 1.077883565602245e-06 
2023-05-09 15:07:20,617 INFO ofi_trade_7_1: -3.16009693304325e-09 , std 5.05250465822316e-07 
2023-05-09 15:07:20,617 INFO ofi_trade_8_1: -3.900847438661152e-09 , std 6.106849119422646e-07 
2023-05-09 15:07:20,617 INFO ofi_trade_9_1: -5.905856177729975e-09 , std 8.638699502328084e-07 
2023-05-09 15:07:20,617 INFO ofi_trade_10_1: -4.584389729080368e-09 , std 7.512195548184586e-07 
2023-05-09 15:07:20,617 INFO ofi_add_1_2: -3.4241580485331113e-08 , std 2.006284187066791e-06 
2023-05-09 15:07:20,617 INFO ofi_add_2_2: -6.295871921212711e-08 , std 2.343640410645107e-06 
2023-05-09 15:07:20,617 INFO ofi_add_3_2: -7.203483824980298e-08 , std 2.3558086837764393e-06 
2023-05-09 15:07:20,617 INFO ofi_add_4_2: -8.177374804115475e-08 , std 2.199374172999236e-06 
2023-05-09 15:07:20,617 INFO ofi_add_5_2: -7.744724448556255e-08 , std 2.165286932648452e-06 
2023-05-09 15:07:20,617 INFO ofi_add_6_2: -1.0178119381696513e-07 , std 2.3983256561535093e-06 
2023-05-09 15:07:20,617 INFO ofi_add_7_2: -1.1709615943938282e-07 , std 2.4336417181627457e-06 
2023-05-09 15:07:20,617 INFO ofi_add_8_2: -9.841371487808521e-08 , std 2.3508975192843776e-06 
2023-05-09 15:07:20,617 INFO ofi_add_9_2: -1.404301207710302e-07 , std 2.977860708540079e-06 
2023-05-09 15:07:20,617 INFO ofi_add_10_2: -1.4986037504666294e-07 , std 2.7963592918815697e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_1_2: -6.418043358901532e-09 , std 6.710309156301785e-07 
2023-05-09 15:07:20,617 INFO ofi_cancel_2_2: -2.5645526461021367e-08 , std 1.375173806705646e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_3_2: -3.926662351354058e-08 , std 1.994457805371573e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_4_2: -3.597763585797982e-08 , std 1.9032155587429059e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_5_2: -5.133569288577671e-08 , std 1.7698155032750064e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_6_2: -5.695267626831278e-08 , std 1.994176616427534e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_7_2: -8.740557167569827e-08 , std 2.433378135925487e-06 
2023-05-09 15:07:20,617 INFO ofi_cancel_8_2: -8.652877623764391e-08 , std 2.368313667854507e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_9_2: -8.590742093806027e-08 , std 2.436726061108214e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_10_2: -6.78678982753826e-08 , std 2.1917017924557692e-06 
2023-05-09 15:07:20,618 INFO ofi_trade_1_2: 3.99012756367883e-11 , std 2.3094174148496516e-07 
2023-05-09 15:07:20,618 INFO ofi_trade_2_2: -6.880431952522987e-10 , std 4.3702299974776397e-07 
2023-05-09 15:07:20,618 INFO ofi_trade_3_2: -7.485881453921453e-10 , std 1.8125472948768852e-07 
2023-05-09 15:07:20,618 INFO ofi_trade_4_2: -2.543248671974115e-09 , std 4.2998248676789705e-07 
2023-05-09 15:07:20,618 INFO ofi_trade_5_2: -1.787628796745232e-09 , std 3.822614601092125e-07 
2023-05-09 15:07:20,618 INFO ofi_trade_6_2: -3.994581637005909e-09 , std 7.88016790876367e-07 
2023-05-09 15:07:20,618 INFO ofi_trade_7_2: -6.2606943532045746e-09 , std 8.428336046668725e-07 
2023-05-09 15:07:20,618 INFO ofi_trade_8_2: -7.904422142433827e-09 , std 1.171142663308263e-06 
2023-05-09 15:07:20,618 INFO ofi_trade_9_2: -6.188900222527338e-09 , std 1.049517612097452e-06 
2023-05-09 15:07:20,618 INFO ofi_trade_10_2: -4.435109352968601e-09 , std 5.080162697521976e-07 
2023-05-09 15:07:20,618 INFO ofi_add_1_3: -3.684229318773803e-08 , std 1.8307912080030804e-06 
2023-05-09 15:07:20,618 INFO ofi_add_2_3: -8.410236181726466e-08 , std 2.3891666451959856e-06 
2023-05-09 15:07:20,618 INFO ofi_add_3_3: -9.472926930302884e-08 , std 2.4332706173676124e-06 
2023-05-09 15:07:20,618 INFO ofi_add_4_3: -9.875667304942085e-08 , std 2.306025152528603e-06 
2023-05-09 15:07:20,618 INFO ofi_add_5_3: -9.440441854723273e-08 , std 2.2500547810210403e-06 
2023-05-09 15:07:20,618 INFO ofi_add_6_3: -1.3472979645654167e-07 , std 2.6194145189903922e-06 
2023-05-09 15:07:20,618 INFO ofi_add_7_3: -1.2534734550889056e-07 , std 2.634122616031181e-06 
2023-05-09 15:07:20,618 INFO ofi_add_8_3: -1.311828450161482e-07 , std 2.511098989546996e-06 
2023-05-09 15:07:20,618 INFO ofi_add_9_3: -1.457845024695419e-07 , std 2.5476567269178095e-06 
2023-05-09 15:07:20,618 INFO ofi_add_10_3: -2.0206961883188588e-07 , std 3.2346868153369597e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_1_3: -1.37832990430169e-08 , std 1.0892941838612827e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_2_3: -2.3553177467223006e-08 , std 1.6101981531723261e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_3_3: -3.2253248037292515e-08 , std 1.825926962843434e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_4_3: -5.390897124426552e-08 , std 1.8723229719121076e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_5_3: -7.490828424479276e-08 , std 2.2958685047644447e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_6_3: -6.878188185763734e-08 , std 2.15319635294322e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_7_3: -9.983904862888782e-08 , std 2.5213295566759526e-06 
2023-05-09 15:07:20,618 INFO ofi_cancel_8_3: -9.960232518379237e-08 , std 2.4871119567579323e-06 
