2023-05-09 15:21:15,908 INFO Starting...
2023-05-09 15:21:15,908 INFO Tickers: ['ISRG']
2023-05-09 15:22:54,376 INFO in_r2: 0.08136342118800621 , std 0.14796884586737974 
2023-05-09 15:22:54,377 INFO os_r2: -0.12868686869354728 , std 0.14311266838932044 
2023-05-09 15:22:54,377 INFO intercept: -8.60506612444428e-06 , std 0.00038421348743481295 
2023-05-09 15:22:54,377 INFO ofi_add_1_1: -5.522680157257237e-09 , std 2.650711645994211e-06 
2023-05-09 15:22:54,377 INFO ofi_add_2_1: -6.183055107232947e-08 , std 2.3871397272895326e-06 
2023-05-09 15:22:54,377 INFO ofi_add_3_1: -6.463541364990577e-08 , std 2.641247377970368e-06 
2023-05-09 15:22:54,377 INFO ofi_add_4_1: -4.575535386253826e-08 , std 2.029480180131583e-06 
2023-05-09 15:22:54,377 INFO ofi_add_5_1: -5.966506345156527e-08 , std 2.431195431075502e-06 
2023-05-09 15:22:54,377 INFO ofi_add_6_1: -2.4246195393168283e-08 , std 1.936210271328456e-06 
2023-05-09 15:22:54,377 INFO ofi_add_7_1: -3.713743457360605e-08 , std 2.0006309102224495e-06 
2023-05-09 15:22:54,377 INFO ofi_add_8_1: -3.253179961869022e-08 , std 1.8743271396158036e-06 
2023-05-09 15:22:54,377 INFO ofi_add_9_1: -1.5528155017586477e-08 , std 1.936200487608368e-06 
2023-05-09 15:22:54,377 INFO ofi_add_10_1: -2.89411632577878e-08 , std 2.743979567021553e-06 
2023-05-09 15:22:54,377 INFO ofi_cancel_1_1: -1.3079402311877511e-08 , std 1.3407780846276447e-06 
2023-05-09 15:22:54,377 INFO ofi_cancel_2_1: -2.2629465418861375e-08 , std 1.701352400910435e-06 
2023-05-09 15:22:54,377 INFO ofi_cancel_3_1: -2.3527642908094734e-08 , std 1.5769891020813577e-06 
2023-05-09 15:22:54,377 INFO ofi_cancel_4_1: -3.9478078227773164e-08 , std 2.2997164072945228e-06 
2023-05-09 15:22:54,377 INFO ofi_cancel_5_1: -1.335992695881045e-08 , std 1.4048018083624535e-06 
