2023-05-09 13:45:50,578 INFO Starting...
2023-05-09 13:45:50,578 INFO Tickers: ['KO']
2023-05-09 13:47:12,654 INFO in_r2: 0.09009681981194059 , std 0.1594901023813053 
2023-05-09 13:47:12,655 INFO os_r2: -0.10693966973305305 , std 0.05682743962852159 
2023-05-09 13:47:12,655 INFO intercept: -4.184789367242629e-06 , std 0.0002792694135621318 
2023-05-09 13:47:12,655 INFO ofi_add_1_1: -4.550829106520532e-07 , std 7.801596836831546e-06 
2023-05-09 13:47:12,655 INFO ofi_add_2_1: -1.5082788370809342e-07 , std 4.638862651123465e-06 
2023-05-09 13:47:12,655 INFO ofi_add_3_1: -5.222615207812195e-08 , std 4.261297138900772e-06 
2023-05-09 13:47:12,655 INFO ofi_add_4_1: -6.495726890071751e-08 , std 4.98372814005127e-06 
2023-05-09 13:47:12,655 INFO ofi_add_5_1: -4.522662611441287e-08 , std 3.5676845756706957e-06 
2023-05-09 13:47:12,655 INFO ofi_add_6_1: -3.720321251353352e-08 , std 2.6490298722076877e-06 
2023-05-09 13:47:12,655 INFO ofi_add_7_1: -6.412632594574676e-09 , std 1.9322910727055216e-06 
2023-05-09 13:47:12,655 INFO ofi_add_8_1: -9.436805362277414e-09 , std 1.4127510372178548e-06 
2023-05-09 13:47:12,655 INFO ofi_add_9_1: -5.250358397202291e-09 , std 1.963481906328181e-06 
2023-05-09 13:47:12,655 INFO ofi_add_10_1: 6.4491899801554314e-09 , std 2.924537643993556e-06 
2023-05-09 13:47:12,655 INFO ofi_cancel_1_1: -1.1439292172162649e-07 , std 4.7299705302878185e-06 
2023-05-09 13:47:12,655 INFO ofi_cancel_2_1: -2.253308391337919e-08 , std 3.1132778044157084e-06 
2023-05-09 13:47:12,655 INFO ofi_cancel_3_1: -3.239388813015056e-08 , std 3.446485800863241e-06 
2023-05-09 13:47:12,655 INFO ofi_cancel_4_1: -1.0447935753969107e-07 , std 5.0022202895863056e-06 
2023-05-09 13:47:12,655 INFO ofi_cancel_5_1: -2.0906850356990362e-08 , std 2.952277653876325e-06 
2023-05-09 13:47:12,655 INFO ofi_cancel_6_1: -5.40885107320174e-09 , std 1.4552452629290722e-06 
2023-05-09 13:47:12,655 INFO ofi_cancel_7_1: -2.017064713156108e-09 , std 5.298394816178913e-07 
2023-05-09 13:47:12,655 INFO ofi_cancel_8_1: -5.431818504070986e-09 , std 1.2612701390806088e-06 
2023-05-09 13:47:12,655 INFO ofi_cancel_9_1: -3.154280306330663e-08 , std 3.978259962713599e-06 
2023-05-09 13:47:12,655 INFO ofi_cancel_10_1: -7.93121822421303e-10 , std 3.0836943108348484e-07 
2023-05-09 13:47:12,655 INFO ofi_trade_1_1: -9.242466828927492e-10 , std 4.12389092909758e-07 
2023-05-09 13:47:12,655 INFO ofi_trade_2_1: -1.4562533843732569e-08 , std 1.682145546758083e-06 
2023-05-09 13:47:12,655 INFO ofi_trade_3_1: -2.2320117077062133e-08 , std 1.9998616052220557e-06 
2023-05-09 13:47:12,655 INFO ofi_trade_4_1: -6.399571194285982e-08 , std 4.303367041859539e-06 
