2023-05-09 14:38:20,940 INFO Starting...
2023-05-09 14:38:20,940 INFO Tickers: ['MMM']
2023-05-09 14:39:53,672 INFO in_r2: 0.09646759282683282 , std 0.16812599634535616 
2023-05-09 14:39:53,672 INFO os_r2: -0.11221020367222424 , std 0.05013164742611529 
2023-05-09 14:39:53,672 INFO intercept: 3.126420532241098e-06 , std 0.0003215106785607839 
2023-05-09 14:39:53,672 INFO ofi_add_1_1: -3.6227545658049444e-08 , std 2.2024363331939183e-06 
2023-05-09 14:39:53,672 INFO ofi_add_2_1: -8.923921191259424e-08 , std 2.494573910755034e-06 
2023-05-09 14:39:53,672 INFO ofi_add_3_1: -9.58708108841445e-08 , std 2.779858917896556e-06 
2023-05-09 14:39:53,672 INFO ofi_add_4_1: -1.1929973672304052e-07 , std 3.15405206339476e-06 
2023-05-09 14:39:53,672 INFO ofi_add_5_1: -1.0896900439020957e-07 , std 2.842365158304749e-06 
2023-05-09 14:39:53,672 INFO ofi_add_6_1: -8.382169739773953e-08 , std 2.6555527516806327e-06 
2023-05-09 14:39:53,672 INFO ofi_add_7_1: -1.0107405270189794e-07 , std 2.820408250946362e-06 
2023-05-09 14:39:53,672 INFO ofi_add_8_1: -8.802470066371316e-08 , std 2.6654651370580347e-06 
2023-05-09 14:39:53,672 INFO ofi_add_9_1: -9.165833991312724e-08 , std 2.671069613138189e-06 
2023-05-09 14:39:53,672 INFO ofi_add_10_1: -1.0325648927867689e-07 , std 3.105938412211897e-06 
2023-05-09 14:39:53,672 INFO ofi_cancel_1_1: -1.6114569983285447e-08 , std 1.6889935653719282e-06 
2023-05-09 14:39:53,672 INFO ofi_cancel_2_1: -5.6055571887327226e-08 , std 2.8811774060935277e-06 
2023-05-09 14:39:53,672 INFO ofi_cancel_3_1: -5.634384384936096e-08 , std 2.487932329060444e-06 
2023-05-09 14:39:53,672 INFO ofi_cancel_4_1: -6.078327304695536e-08 , std 2.3292207391981634e-06 
2023-05-09 14:39:53,672 INFO ofi_cancel_5_1: -4.484265026665277e-08 , std 2.1287024209951417e-06 
2023-05-09 14:39:53,672 INFO ofi_cancel_6_1: -4.024560014070123e-08 , std 2.2183670760410784e-06 
2023-05-09 14:39:53,672 INFO ofi_cancel_7_1: -4.370963385431664e-08 , std 2.2446538522984277e-06 
2023-05-09 14:39:53,672 INFO ofi_cancel_8_1: -4.4225397236346457e-08 , std 2.1017980521330944e-06 
2023-05-09 14:39:53,672 INFO ofi_cancel_9_1: -3.361485228873566e-08 , std 2.0749586119044973e-06 
2023-05-09 14:39:53,672 INFO ofi_cancel_10_1: -4.7463724499054586e-08 , std 2.154434641313772e-06 
2023-05-09 14:39:53,672 INFO ofi_trade_1_1: -1.0722293853661302e-08 , std 1.3819007800164358e-06 
2023-05-09 14:39:53,672 INFO ofi_trade_2_1: -3.864278389940892e-09 , std 5.809054755590113e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_3_1: -4.7245479285039895e-09 , std 7.249128564432446e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_4_1: -6.908883954815545e-09 , std 1.378599830159734e-06 
2023-05-09 14:39:53,673 INFO ofi_trade_5_1: -2.6723225469503622e-09 , std 4.5872728138896443e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_6_1: -6.228283397493087e-09 , std 7.875693060515297e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_7_1: -5.580177918374168e-09 , std 7.907749210033879e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_8_1: -9.945262226388952e-09 , std 1.118553874913307e-06 
2023-05-09 14:39:53,673 INFO ofi_trade_9_1: -5.514225216537507e-09 , std 7.867024713059611e-07 
2023-05-09 14:39:53,673 INFO ofi_trade_10_1: -9.468523108522485e-09 , std 1.3120636329486378e-06 
2023-05-09 14:39:53,673 INFO ofi_add_1_2: -4.46230715888979e-08 , std 2.3023723852239194e-06 
2023-05-09 14:39:53,673 INFO ofi_add_2_2: -1.2836584002509658e-07 , std 3.3049473545723837e-06 
2023-05-09 14:39:53,673 INFO ofi_add_3_2: -1.2664143989493375e-07 , std 2.8746731335619077e-06 
2023-05-09 14:39:53,673 INFO ofi_add_4_2: -1.3792458610002093e-07 , std 3.080562597700336e-06 
2023-05-09 14:39:53,673 INFO ofi_add_5_2: -1.4228560018316273e-07 , std 2.782799902752567e-06 
2023-05-09 14:39:53,673 INFO ofi_add_6_2: -1.2036095264802344e-07 , std 2.5733085861794804e-06 
2023-05-09 14:39:53,673 INFO ofi_add_7_2: -1.1735964340727131e-07 , std 2.679311044555079e-06 
2023-05-09 14:39:53,673 INFO ofi_add_8_2: -1.0788887448836753e-07 , std 2.7324002466998497e-06 
2023-05-09 14:39:53,673 INFO ofi_add_9_2: -1.2043149581309342e-07 , std 2.6190997062037284e-06 
2023-05-09 14:39:53,673 INFO ofi_add_10_2: -9.757528608698779e-08 , std 2.6962799611800605e-06 
2023-05-09 14:39:53,673 INFO ofi_cancel_1_2: -1.2770652148941654e-08 , std 8.36511654390089e-07 
2023-05-09 14:39:53,673 INFO ofi_cancel_2_2: -4.2646739090164795e-08 , std 2.07395271511206e-06 
2023-05-09 14:39:53,673 INFO ofi_cancel_3_2: -4.569861602675471e-08 , std 1.8493140564004234e-06 
