2023-05-09 14:47:44,843 INFO Starting...
2023-05-09 14:47:44,843 INFO Tickers: ['MO']
2023-05-09 14:49:15,522 INFO in_r2: 0.10339697860492149 , std 0.17508321531157822 
2023-05-09 14:49:15,522 INFO os_r2: -0.11561455868157793 , std 0.11833443179948705 
2023-05-09 14:49:15,522 INFO intercept: -8.51117349763451e-06 , std 0.0003630635592205726 
2023-05-09 14:49:15,522 INFO ofi_add_1_1: -7.693339672824719e-07 , std 1.0163421723908916e-05 
2023-05-09 14:49:15,522 INFO ofi_add_2_1: -2.8431850746737074e-07 , std 7.547604187497514e-06 
2023-05-09 14:49:15,522 INFO ofi_add_3_1: -1.307586546637085e-07 , std 5.676346294943738e-06 
2023-05-09 14:49:15,522 INFO ofi_add_4_1: -1.6151290143509196e-07 , std 5.9008111468922525e-06 
2023-05-09 14:49:15,522 INFO ofi_add_5_1: -1.6928416975118005e-07 , std 6.268170159331405e-06 
2023-05-09 14:49:15,522 INFO ofi_add_6_1: -1.4295909608840423e-07 , std 5.260959825700081e-06 
2023-05-09 14:49:15,522 INFO ofi_add_7_1: -8.70410590117333e-08 , std 4.346586122392028e-06 
2023-05-09 14:49:15,522 INFO ofi_add_8_1: -7.129032738921739e-08 , std 4.986707493321872e-06 
2023-05-09 14:49:15,522 INFO ofi_add_9_1: -5.550470863213456e-08 , std 4.458562579119624e-06 
2023-05-09 14:49:15,522 INFO ofi_add_10_1: -5.7628028402825954e-08 , std 4.092196214738018e-06 
2023-05-09 14:49:15,522 INFO ofi_cancel_1_1: -7.828701928936838e-08 , std 4.304279472858655e-06 
2023-05-09 14:49:15,522 INFO ofi_cancel_2_1: -1.0394390644112863e-07 , std 6.7692772360847225e-06 
2023-05-09 14:49:15,523 INFO ofi_cancel_3_1: -1.4120594814549948e-07 , std 5.059865208242225e-06 
2023-05-09 14:49:15,523 INFO ofi_cancel_4_1: -8.880503769845201e-08 , std 4.490941783043825e-06 
2023-05-09 14:49:15,523 INFO ofi_cancel_5_1: -5.916749536050712e-08 , std 5.324057951270087e-06 
2023-05-09 14:49:15,523 INFO ofi_cancel_6_1: -5.3050571000302035e-08 , std 3.435137537464293e-06 
2023-05-09 14:49:15,523 INFO ofi_cancel_7_1: -3.487586725631083e-08 , std 2.9806930209671534e-06 
2023-05-09 14:49:15,523 INFO ofi_cancel_8_1: -4.764568183582661e-08 , std 2.947437528962059e-06 
2023-05-09 14:49:15,523 INFO ofi_cancel_9_1: -8.74608199188715e-09 , std 1.4131601863362768e-06 
