2023-05-09 13:39:54,141 INFO Starting...
2023-05-09 13:39:54,141 INFO Tickers: ['MRK']
2023-05-09 13:41:23,268 INFO in_r2: 0.10289349318669279 , std 0.1740086190386721 
2023-05-09 13:41:23,268 INFO os_r2: -0.11175397468931975 , std 0.08268843646316627 
2023-05-09 13:41:23,268 INFO intercept: -1.5363815367786735e-05 , std 0.00031042536751411297 
2023-05-09 13:41:23,268 INFO ofi_add_1_1: -5.623226544613316e-07 , std 8.377787986555473e-06 
2023-05-09 13:41:23,268 INFO ofi_add_2_1: -2.4192611878121314e-07 , std 6.129026747997593e-06 
2023-05-09 13:41:23,268 INFO ofi_add_3_1: -1.0028915209704255e-07 , std 4.347553683244909e-06 
2023-05-09 13:41:23,268 INFO ofi_add_4_1: -1.240905374294125e-07 , std 4.4211082381563855e-06 
2023-05-09 13:41:23,268 INFO ofi_add_5_1: -1.0096864093629405e-07 , std 4.660369911226088e-06 
2023-05-09 13:41:23,268 INFO ofi_add_6_1: -1.3959294479480098e-07 , std 4.5091571511771985e-06 
2023-05-09 13:41:23,268 INFO ofi_add_7_1: -8.295163185978962e-08 , std 3.1967257786673183e-06 
2023-05-09 13:41:23,268 INFO ofi_add_8_1: -3.209191787167596e-08 , std 3.0766270488501528e-06 
2023-05-09 13:41:23,268 INFO ofi_add_9_1: -6.029748668519619e-08 , std 3.0574831690435623e-06 
2023-05-09 13:41:23,268 INFO ofi_add_10_1: -4.763313775782384e-08 , std 3.5763248199751724e-06 
2023-05-09 13:41:23,268 INFO ofi_cancel_1_1: -5.067609628997924e-08 , std 3.831671390219968e-06 
2023-05-09 13:41:23,268 INFO ofi_cancel_2_1: -4.56646381958821e-08 , std 3.400191625630823e-06 
2023-05-09 13:41:23,268 INFO ofi_cancel_3_1: -1.2301667354247902e-07 , std 4.667210497397983e-06 
2023-05-09 13:41:23,268 INFO ofi_cancel_4_1: -1.3275311785479378e-07 , std 4.82256473913233e-06 
2023-05-09 13:41:23,268 INFO ofi_cancel_5_1: -1.2684192436525e-07 , std 4.450569090984533e-06 
2023-05-09 13:41:23,268 INFO ofi_cancel_6_1: -4.637094593127392e-08 , std 2.695665413956163e-06 
2023-05-09 13:41:23,268 INFO ofi_cancel_7_1: -2.9999704358631e-08 , std 2.3966248677371056e-06 
2023-05-09 13:41:23,268 INFO ofi_cancel_8_1: -2.4725333926602397e-08 , std 1.9915287222298446e-06 
2023-05-09 13:41:23,268 INFO ofi_cancel_9_1: -1.7867481313376315e-08 , std 2.225104390019394e-06 
2023-05-09 13:41:23,268 INFO ofi_cancel_10_1: -7.351838925703565e-09 , std 1.310953397958849e-06 
2023-05-09 13:41:23,268 INFO ofi_trade_1_1: -2.6646512853024844e-09 , std 8.283305999286739e-07 
2023-05-09 13:41:23,269 INFO ofi_trade_2_1: -2.796532561607968e-08 , std 2.615530691988494e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_3_1: -5.183080428831402e-08 , std 3.3908881082889967e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_4_1: -5.0022345987348174e-08 , std 3.0426246593388014e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_5_1: -4.210968646466379e-08 , std 3.04399265598795e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_6_1: -1.501803406304463e-08 , std 1.6800786109016006e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_7_1: -8.515247697440917e-09 , std 1.0010212248745521e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_8_1: -4.819939113782154e-09 , std 8.876411490730245e-07 
2023-05-09 13:41:23,269 INFO ofi_trade_9_1: 2.227146056365204e-11 , std 4.5449288235336315e-07 
2023-05-09 13:41:23,269 INFO ofi_trade_10_1: -3.0858090196578635e-09 , std 5.720970198514104e-07 
2023-05-09 13:41:23,269 INFO ofi_add_1_2: -8.370285100722437e-07 , std 9.13315979173635e-06 
2023-05-09 13:41:23,269 INFO ofi_add_2_2: -3.018258357331349e-07 , std 6.400499266043888e-06 
2023-05-09 13:41:23,269 INFO ofi_add_3_2: -1.2840586870965682e-07 , std 4.7978787524861345e-06 
2023-05-09 13:41:23,269 INFO ofi_add_4_2: -1.7685563654588363e-07 , std 4.935918917731686e-06 
2023-05-09 13:41:23,269 INFO ofi_add_5_2: -2.1459449474266109e-07 , std 5.7404269919048255e-06 
2023-05-09 13:41:23,269 INFO ofi_add_6_2: -1.8159218241734984e-07 , std 4.6828748301093656e-06 
2023-05-09 13:41:23,269 INFO ofi_add_7_2: -1.4359223411351441e-07 , std 4.396730317126e-06 
2023-05-09 13:41:23,269 INFO ofi_add_8_2: -8.596080190121811e-08 , std 2.981320625717385e-06 
2023-05-09 13:41:23,269 INFO ofi_add_9_2: -7.660049939749367e-08 , std 3.026169265150099e-06 
2023-05-09 13:41:23,269 INFO ofi_add_10_2: -5.5965864067814566e-08 , std 2.739467661361344e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_1_2: -4.549357722103333e-08 , std 3.2769812203567624e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_2_2: -6.594985612761883e-08 , std 3.881640082994299e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_3_2: -1.713625363433072e-07 , std 4.809498989655541e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_4_2: -1.7310297570209208e-07 , std 4.754576746663813e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_5_2: -1.5308822739754078e-07 , std 4.4618361882296e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_6_2: -6.100969331858583e-08 , std 2.95414876175852e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_7_2: -2.4815606684863244e-08 , std 2.263237665079133e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_8_2: -1.2615905894361467e-08 , std 1.0713345261903602e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_9_2: -9.834931100044595e-09 , std 1.6916423504289042e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_10_2: -4.6003356294598515e-09 , std 9.736195259944896e-07 
2023-05-09 13:41:23,269 INFO ofi_trade_1_2: -1.0336604720652762e-09 , std 4.6412507404778265e-07 
2023-05-09 13:41:23,269 INFO ofi_trade_2_2: -4.488424118986269e-08 , std 3.21746241402064e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_3_2: -6.551988762480294e-08 , std 3.0312839722824804e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_4_2: -9.916838996520687e-08 , std 5.085386224385707e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_5_2: -5.731343541306339e-08 , std 3.1320038453891876e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_6_2: -2.044719760962924e-08 , std 1.9790769652271493e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_7_2: -8.792490157407494e-09 , std 1.6841618283355018e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_8_2: -8.556932918737334e-09 , std 1.004399069934226e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_9_2: -5.306440340417766e-09 , std 1.0390584061262732e-06 
2023-05-09 13:41:23,269 INFO ofi_trade_10_2: -4.895382214119561e-09 , std 7.239126069574201e-07 
2023-05-09 13:41:23,269 INFO ofi_add_1_3: -1.0308532217536317e-06 , std 9.467898867654951e-06 
2023-05-09 13:41:23,269 INFO ofi_add_2_3: -3.740069798181563e-07 , std 6.3421465126406e-06 
2023-05-09 13:41:23,269 INFO ofi_add_3_3: -1.661965575773457e-07 , std 4.684432066333461e-06 
2023-05-09 13:41:23,269 INFO ofi_add_4_3: -2.249987256038094e-07 , std 5.174693250978769e-06 
2023-05-09 13:41:23,269 INFO ofi_add_5_3: -2.5308094835156053e-07 , std 5.299525475309044e-06 
2023-05-09 13:41:23,269 INFO ofi_add_6_3: -2.2072184667272877e-07 , std 5.2109692320176386e-06 
2023-05-09 13:41:23,269 INFO ofi_add_7_3: -1.7576361358297692e-07 , std 4.1457344590797834e-06 
2023-05-09 13:41:23,269 INFO ofi_add_8_3: -9.582071730936491e-08 , std 2.979700157987013e-06 
2023-05-09 13:41:23,269 INFO ofi_add_9_3: -9.742501876909382e-08 , std 3.1057105392445337e-06 
2023-05-09 13:41:23,269 INFO ofi_add_10_3: -7.195009503523275e-08 , std 3.033055866418565e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_1_3: -3.9398636843583264e-08 , std 3.279002800271482e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_2_3: -8.626064906521961e-08 , std 3.837335401849773e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_3_3: -1.9893675177066983e-07 , std 4.986060432223026e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_4_3: -2.2566592517708595e-07 , std 5.172474171455837e-06 
2023-05-09 13:41:23,269 INFO ofi_cancel_5_3: -1.6670800274236053e-07 , std 4.596927577908862e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_6_3: -9.597196317956719e-08 , std 3.4334858999783756e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_7_3: -3.483726539259813e-08 , std 2.326917692245115e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_8_3: -2.5373996756826984e-08 , std 2.2320490642337778e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_9_3: -1.5405699943439877e-08 , std 1.1605390250103407e-06 
2023-05-09 13:41:23,270 INFO ofi_cancel_10_3: -1.9471126820513977e-08 , std 1.2098698086051218e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_1_3: -6.4366294875451806e-09 , std 1.277466661955473e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_2_3: -4.46421884556763e-08 , std 3.5429680455143165e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_3_3: -6.513694315082073e-08 , std 2.9504213009849544e-06 
2023-05-09 13:41:23,270 INFO ofi_trade_4_3: -6.664847809413958e-08 , std 3.6008790332127846e-06 
