2023-05-09 15:33:46,005 INFO Starting...
2023-05-09 15:33:46,005 INFO Tickers: ['MS']
2023-05-09 15:35:14,054 INFO in_r2: 0.09967784313484625 , std 0.1690893848283435 
2023-05-09 15:35:14,055 INFO os_r2: -0.1085664143293568 , std 0.0773671022766427 
2023-05-09 15:35:14,055 INFO intercept: -8.49053808661177e-06 , std 0.00044136390828315383 
2023-05-09 15:35:14,055 INFO ofi_add_1_1: -8.507906465749234e-07 , std 1.068495580167944e-05 
2023-05-09 15:35:14,055 INFO ofi_add_2_1: -3.1823522396426263e-07 , std 7.857489463239512e-06 
2023-05-09 15:35:14,055 INFO ofi_add_3_1: -6.835017802170794e-08 , std 5.255489954924711e-06 
2023-05-09 15:35:14,055 INFO ofi_add_4_1: -1.367827664627597e-07 , std 7.457113455015401e-06 
2023-05-09 15:35:14,055 INFO ofi_add_5_1: -8.237108035268872e-08 , std 4.9225479285975005e-06 
2023-05-09 15:35:14,055 INFO ofi_add_6_1: -7.127430999780349e-08 , std 4.7401947834947775e-06 
2023-05-09 15:35:14,055 INFO ofi_add_7_1: -4.230044912328003e-08 , std 4.312770370265086e-06 
2023-05-09 15:35:14,055 INFO ofi_add_8_1: -2.6091149204177053e-08 , std 4.198557386546354e-06 
2023-05-09 15:35:14,055 INFO ofi_add_9_1: -4.2414122102350754e-08 , std 3.803490141548991e-06 
2023-05-09 15:35:14,055 INFO ofi_add_10_1: -3.4969509761862256e-08 , std 3.1999716853791886e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_1_1: -1.245776224262286e-07 , std 6.367350813866835e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_2_1: -4.935217444343143e-08 , std 4.539705605959982e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_3_1: -9.97752312849251e-08 , std 5.329502521641524e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_4_1: -1.6347139900124825e-07 , std 8.016607387385544e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_5_1: -6.841557843187583e-08 , std 4.901815625430345e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_6_1: -4.1504380527381256e-08 , std 3.4170819648985314e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_7_1: -7.524398097835852e-09 , std 2.956546666810966e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_8_1: -1.3853198255527445e-08 , std 1.6998965596163085e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_9_1: -7.582425339516484e-09 , std 1.6116207938333683e-06 
2023-05-09 15:35:14,055 INFO ofi_cancel_10_1: -1.9432846864095106e-08 , std 3.4672745364255995e-06 
