2023-05-09 14:23:58,709 INFO Starting...
2023-05-09 14:23:58,709 INFO Tickers: ['NKE']
2023-05-09 14:25:27,668 INFO in_r2: 0.10196386940167837 , std 0.1732492707581665 
2023-05-09 14:25:27,668 INFO os_r2: -0.12238576522116953 , std 0.2413041885403786 
2023-05-09 14:25:27,668 INFO intercept: -1.1551591196629517e-05 , std 0.00034175961291852715 
2023-05-09 14:25:27,668 INFO ofi_add_1_1: -4.969742985872693e-07 , std 8.375831850567892e-06 
2023-05-09 14:25:27,668 INFO ofi_add_2_1: -1.3496406677056955e-07 , std 4.617621280619216e-06 
2023-05-09 14:25:27,668 INFO ofi_add_3_1: -9.365137300333493e-08 , std 4.412882734047112e-06 
2023-05-09 14:25:27,668 INFO ofi_add_4_1: -1.535777877047801e-07 , std 5.549028237944638e-06 
2023-05-09 14:25:27,668 INFO ofi_add_5_1: -1.356674084320505e-07 , std 4.685440747552105e-06 
2023-05-09 14:25:27,668 INFO ofi_add_6_1: -1.3156034034872088e-07 , std 4.416187962918406e-06 
2023-05-09 14:25:27,668 INFO ofi_add_7_1: -1.128692218633051e-07 , std 4.268300974056194e-06 
2023-05-09 14:25:27,668 INFO ofi_add_8_1: -8.869520528476611e-08 , std 3.3103485556808e-06 
2023-05-09 14:25:27,668 INFO ofi_add_9_1: -6.567181817465014e-08 , std 3.0061610601157156e-06 
2023-05-09 14:25:27,668 INFO ofi_add_10_1: -4.065642344843059e-08 , std 3.2051636299696083e-06 
2023-05-09 14:25:27,668 INFO ofi_cancel_1_1: -4.489247681790558e-08 , std 3.153565603038124e-06 
2023-05-09 14:25:27,668 INFO ofi_cancel_2_1: -4.5672805328151306e-08 , std 3.837290375270378e-06 
2023-05-09 14:25:27,668 INFO ofi_cancel_3_1: -1.0208141334621778e-07 , std 4.025418585710784e-06 
2023-05-09 14:25:27,668 INFO ofi_cancel_4_1: -1.308556924853598e-07 , std 4.674613078674875e-06 
2023-05-09 14:25:27,668 INFO ofi_cancel_5_1: -1.3183300336376158e-07 , std 4.55444102580686e-06 
2023-05-09 14:25:27,668 INFO ofi_cancel_6_1: -6.226922097058082e-08 , std 3.0173098567012786e-06 
2023-05-09 14:25:27,668 INFO ofi_cancel_7_1: -2.4582269598640666e-08 , std 2.169111296048133e-06 
2023-05-09 14:25:27,668 INFO ofi_cancel_8_1: -1.6285815408404613e-08 , std 1.5390057384354176e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_9_1: -1.577581500881126e-08 , std 1.8103251508479744e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_10_1: -1.7078884783660225e-08 , std 1.6637723120843376e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_1_1: -4.452784958734665e-09 , std 1.2874026288273692e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_2_1: -1.1335717161984642e-08 , std 1.2103885474891585e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_3_1: -3.757739469687942e-08 , std 2.4434977200127506e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_4_1: -6.209007954113424e-08 , std 3.856026396889639e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_5_1: -3.268655240494186e-08 , std 2.549855855357318e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_6_1: -2.8263323614887322e-08 , std 2.1635644953842954e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_7_1: -4.653830964310184e-09 , std 8.087525336460542e-07 
2023-05-09 14:25:27,669 INFO ofi_trade_8_1: -1.1026280411322014e-08 , std 1.595543455717805e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_9_1: 7.05710731077072e-09 , std 2.0998992228251045e-06 
2023-05-09 14:25:27,669 INFO ofi_trade_10_1: -3.4539467278900692e-09 , std 6.737419700919342e-07 
2023-05-09 14:25:27,669 INFO ofi_add_1_2: -6.895584466433907e-07 , std 8.507974469960972e-06 
2023-05-09 14:25:27,669 INFO ofi_add_2_2: -2.636914212967095e-07 , std 5.941371641513374e-06 
2023-05-09 14:25:27,669 INFO ofi_add_3_2: -1.5709620289224186e-07 , std 5.237893957654949e-06 
2023-05-09 14:25:27,669 INFO ofi_add_4_2: -1.8338567155206587e-07 , std 5.2308370508134704e-06 
2023-05-09 14:25:27,669 INFO ofi_add_5_2: -2.0375355387053052e-07 , std 5.013836938572538e-06 
2023-05-09 14:25:27,669 INFO ofi_add_6_2: -1.994487854192684e-07 , std 4.422554865527966e-06 
2023-05-09 14:25:27,669 INFO ofi_add_7_2: -1.5727359861917895e-07 , std 4.211605004286427e-06 
2023-05-09 14:25:27,669 INFO ofi_add_8_2: -1.1390908652183523e-07 , std 4.517248302890199e-06 
2023-05-09 14:25:27,669 INFO ofi_add_9_2: -7.823132187595611e-08 , std 2.985019904449968e-06 
2023-05-09 14:25:27,669 INFO ofi_add_10_2: -9.85679472440432e-08 , std 3.401195879891553e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_1_2: -2.7532009445247025e-08 , std 2.281376313207485e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_2_2: -9.062627648759167e-08 , std 4.983407759601877e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_3_2: -1.3862350486041335e-07 , std 4.110783090069257e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_4_2: -1.9280144958104546e-07 , std 5.511127877452538e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_5_2: -1.372486060333912e-07 , std 3.8095904991473806e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_6_2: -7.828559599431716e-08 , std 2.7014579112424507e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_7_2: -1.979999714971101e-08 , std 2.8056893640873067e-06 
2023-05-09 14:25:27,669 INFO ofi_cancel_8_2: -2.9093694375341214e-08 , std 1.6995941935305567e-06 
