2023-05-09 14:06:42,407 INFO Starting...
2023-05-09 14:06:42,407 INFO Tickers: ['NVDA']
2023-05-09 14:08:17,574 INFO in_r2: 0.09097852391253071 , std 0.16173846740538048 
2023-05-09 14:08:17,574 INFO os_r2: -0.12928302143965964 , std 0.09151680587240084 
2023-05-09 14:08:17,574 INFO intercept: -5.948783079873923e-06 , std 0.000484529730337678 
2023-05-09 14:08:17,574 INFO ofi_add_1_1: -2.0627921050592533e-08 , std 1.4681835222554708e-06 
2023-05-09 14:08:17,574 INFO ofi_add_2_1: -4.400842477825359e-08 , std 2.0209824821675397e-06 
2023-05-09 14:08:17,574 INFO ofi_add_3_1: -2.9804825161376395e-08 , std 1.6367319347777467e-06 
2023-05-09 14:08:17,575 INFO ofi_add_4_1: -4.056758894062923e-08 , std 2.005654941987229e-06 
2023-05-09 14:08:17,575 INFO ofi_add_5_1: -3.591655657452617e-08 , std 1.4735220102414888e-06 
2023-05-09 14:08:17,575 INFO ofi_add_6_1: -4.960060826230714e-08 , std 2.156395080046164e-06 
2023-05-09 14:08:17,575 INFO ofi_add_7_1: -5.637969801666463e-08 , std 1.890586408789539e-06 
2023-05-09 14:08:17,575 INFO ofi_add_8_1: -3.8660396520676444e-08 , std 1.6880752074609847e-06 
2023-05-09 14:08:17,575 INFO ofi_add_9_1: -4.810494311660997e-08 , std 1.8851717160910074e-06 
2023-05-09 14:08:17,575 INFO ofi_add_10_1: -8.011429852062408e-08 , std 2.350386145966324e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_1_1: -2.7828639508896113e-09 , std 4.994227846492917e-07 
2023-05-09 14:08:17,575 INFO ofi_cancel_2_1: -1.2926782065395298e-08 , std 9.766707127808322e-07 
2023-05-09 14:08:17,575 INFO ofi_cancel_3_1: -1.774300438131078e-08 , std 1.4124425443919359e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_4_1: -2.5457204550619898e-08 , std 1.3320873261350373e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_5_1: -2.5504657199130463e-08 , std 1.2354973705918874e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_6_1: -3.133128624077722e-08 , std 1.581758449890513e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_7_1: -2.7522134889913206e-08 , std 1.3906639218632782e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_8_1: -4.413189478402976e-08 , std 1.5651335426315647e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_9_1: -4.950456144399076e-08 , std 1.7390296898557424e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_10_1: -5.8520323851064286e-08 , std 1.8696966825528894e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_1_1: 3.000443282893447e-11 , std 1.3389072621674511e-08 
2023-05-09 14:08:17,575 INFO ofi_trade_2_1: -7.463084788819872e-09 , std 9.849993272132853e-07 
2023-05-09 14:08:17,575 INFO ofi_trade_3_1: -1.0525882677609887e-08 , std 9.784273691224292e-07 
2023-05-09 14:08:17,575 INFO ofi_trade_4_1: -1.4005522799233723e-08 , std 1.4830548764384942e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_5_1: -1.0363267331780128e-08 , std 1.1147739647303627e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_6_1: -2.1782933176082833e-08 , std 1.4290020822214489e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_7_1: -1.1395229731087222e-08 , std 1.0950721133619171e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_8_1: -1.412435761191206e-08 , std 1.4561988868917985e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_9_1: -1.8239721958600508e-08 , std 1.5187710651589787e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_10_1: -2.9163560727911403e-08 , std 1.6607658302248353e-06 
2023-05-09 14:08:17,575 INFO ofi_add_1_2: -3.483555633718304e-08 , std 1.5380313107148183e-06 
2023-05-09 14:08:17,575 INFO ofi_add_2_2: -6.13964832854301e-08 , std 1.9829207776027084e-06 
2023-05-09 14:08:17,575 INFO ofi_add_3_2: -4.2215100850673425e-08 , std 1.7216061181765373e-06 
2023-05-09 14:08:17,575 INFO ofi_add_4_2: -5.8157708397655065e-08 , std 1.7907059025755863e-06 
2023-05-09 14:08:17,575 INFO ofi_add_5_2: -5.6614142972209315e-08 , std 1.7795531606247603e-06 
2023-05-09 14:08:17,575 INFO ofi_add_6_2: -7.049935391041757e-08 , std 1.981030512308903e-06 
2023-05-09 14:08:17,575 INFO ofi_add_7_2: -9.34052609773634e-08 , std 2.2025384057304727e-06 
2023-05-09 14:08:17,575 INFO ofi_add_8_2: -6.523101034418543e-08 , std 1.9986786114945042e-06 
2023-05-09 14:08:17,575 INFO ofi_add_9_2: -5.482599416538618e-08 , std 1.974583860295338e-06 
2023-05-09 14:08:17,575 INFO ofi_add_10_2: -8.616722492247855e-08 , std 2.243095820563703e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_1_2: -3.003134114958435e-09 , std 7.167567259226032e-07 
2023-05-09 14:08:17,575 INFO ofi_cancel_2_2: -1.8372806464649697e-08 , std 1.0995261681147089e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_3_2: -3.9021337609559896e-08 , std 1.9377833257106563e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_4_2: -2.87673196806292e-08 , std 1.1579196207391262e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_5_2: -3.929719100243583e-08 , std 1.5375510146471093e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_6_2: -5.1464719019068986e-08 , std 1.9429367106101865e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_7_2: -4.768874637782026e-08 , std 1.5316195263878625e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_8_2: -5.3945387518365164e-08 , std 1.637281763141622e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_9_2: -6.135445906679702e-08 , std 1.6401274881272887e-06 
2023-05-09 14:08:17,575 INFO ofi_cancel_10_2: -7.519618010186152e-08 , std 1.7952108125670547e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_1_2: -2.2015054964693996e-09 , std 5.046326811831783e-07 
2023-05-09 14:08:17,575 INFO ofi_trade_2_2: -1.1545153757465823e-08 , std 8.381805103423161e-07 
2023-05-09 14:08:17,575 INFO ofi_trade_3_2: -2.6338939456122328e-08 , std 1.6142459783750612e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_4_2: -1.7601576806476085e-08 , std 1.0266948242045438e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_5_2: -1.3476792649264565e-08 , std 9.146029429332319e-07 
2023-05-09 14:08:17,575 INFO ofi_trade_6_2: -2.0787321125573775e-08 , std 1.192834380786923e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_7_2: -2.0125039186405144e-08 , std 1.182992531181508e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_8_2: -2.747424311368606e-08 , std 1.4963823941943164e-06 
2023-05-09 14:08:17,575 INFO ofi_trade_9_2: -2.1463611916035693e-08 , std 1.2086748749496396e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_10_2: -4.1724423798491676e-08 , std 2.750862820182217e-06 
2023-05-09 14:08:17,576 INFO ofi_add_1_3: -6.55863158069577e-08 , std 2.183206082716497e-06 
2023-05-09 14:08:17,576 INFO ofi_add_2_3: -6.584200609086912e-08 , std 1.9209661756914823e-06 
2023-05-09 14:08:17,576 INFO ofi_add_3_3: -6.409536117912157e-08 , std 2.0853688050871726e-06 
2023-05-09 14:08:17,576 INFO ofi_add_4_3: -7.119227650803436e-08 , std 1.924838416442572e-06 
2023-05-09 14:08:17,576 INFO ofi_add_5_3: -7.643980276867874e-08 , std 2.079418823895434e-06 
2023-05-09 14:08:17,576 INFO ofi_add_6_3: -7.031720279963202e-08 , std 1.9934006031142546e-06 
2023-05-09 14:08:17,576 INFO ofi_add_7_3: -6.950408483119264e-08 , std 1.7095055209318758e-06 
2023-05-09 14:08:17,576 INFO ofi_add_8_3: -7.729106240012685e-08 , std 2.03592671968752e-06 
2023-05-09 14:08:17,576 INFO ofi_add_9_3: -7.972041081130072e-08 , std 1.8687327407317204e-06 
2023-05-09 14:08:17,576 INFO ofi_add_10_3: -1.237701740423393e-07 , std 2.509480925486965e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_1_3: 1.944726081154756e-09 , std 9.103991683686898e-07 
2023-05-09 14:08:17,576 INFO ofi_cancel_2_3: -2.213510751200483e-08 , std 1.2106400350814098e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_3_3: -3.341880767939816e-08 , std 1.376850543123668e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_4_3: -5.484607398897675e-08 , std 1.8703650731838836e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_5_3: -5.117864985041522e-08 , std 1.7028332655845693e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_6_3: -6.209174654566575e-08 , std 1.6428632369359447e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_7_3: -5.381813409750669e-08 , std 1.5483311709455652e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_8_3: -6.523459083736885e-08 , std 1.775565770169474e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_9_3: -6.987098220323299e-08 , std 1.5989359543669195e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_10_3: -6.405964452724332e-08 , std 1.6359292624346557e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_1_3: -6.002290839076025e-10 , std 1.3059479321974812e-07 
2023-05-09 14:08:17,576 INFO ofi_trade_2_3: -1.95875048806628e-08 , std 1.1381454191411518e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_3_3: -1.4875690943449757e-08 , std 9.73247313423095e-07 
2023-05-09 14:08:17,576 INFO ofi_trade_4_3: -2.334361212095344e-08 , std 1.3868241293453196e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_5_3: -1.951286920070785e-08 , std 1.3007548849981387e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_6_3: -1.6156164032262153e-08 , std 9.655501595344198e-07 
2023-05-09 14:08:17,576 INFO ofi_trade_7_3: -3.48238746859606e-08 , std 1.7399272003042534e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_8_3: -2.3361639199535907e-08 , std 1.3343856463917664e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_9_3: -3.299890252797919e-08 , std 1.4530376739657447e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_10_3: -2.414644642786746e-08 , std 1.3703718770434771e-06 
2023-05-09 14:08:17,576 INFO ofi_add_1_5: -7.8718265462124e-08 , std 1.9740600927273298e-06 
2023-05-09 14:08:17,576 INFO ofi_add_2_5: -6.736185192501899e-08 , std 1.9286823436203376e-06 
2023-05-09 14:08:17,576 INFO ofi_add_3_5: -5.23296416648385e-08 , std 1.7057794383128228e-06 
2023-05-09 14:08:17,576 INFO ofi_add_4_5: -6.789660265944199e-08 , std 1.956886220015337e-06 
2023-05-09 14:08:17,576 INFO ofi_add_5_5: -6.690986605886512e-08 , std 1.6758927515220338e-06 
2023-05-09 14:08:17,576 INFO ofi_add_6_5: -7.849151416095214e-08 , std 1.863798407796752e-06 
2023-05-09 14:08:17,576 INFO ofi_add_7_5: -7.289613499061937e-08 , std 1.8082740755531678e-06 
2023-05-09 14:08:17,576 INFO ofi_add_8_5: -7.145763650532127e-08 , std 1.848975708204698e-06 
2023-05-09 14:08:17,576 INFO ofi_add_9_5: -8.416229785190279e-08 , std 1.937569745885543e-06 
2023-05-09 14:08:17,576 INFO ofi_add_10_5: -1.2328973560097817e-07 , std 2.268257300529038e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_1_5: 1.5488191043264168e-09 , std 6.416390225013488e-07 
2023-05-09 14:08:17,576 INFO ofi_cancel_2_5: -2.135769161143653e-08 , std 1.168149864886031e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_3_5: -4.29906176567378e-08 , std 1.352966770526664e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_4_5: -4.961438759117589e-08 , std 1.4803031129793216e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_5_5: -5.23724790737922e-08 , std 1.537553846157322e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_6_5: -5.825013914780221e-08 , std 1.5237536649150554e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_7_5: -7.091910512892212e-08 , std 1.842136266809849e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_8_5: -6.921121066276488e-08 , std 1.6704582636776338e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_9_5: -7.466795389529939e-08 , std 1.6500922200026466e-06 
2023-05-09 14:08:17,576 INFO ofi_cancel_10_5: -9.95282990183394e-08 , std 1.7555900227677951e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_1_5: -2.3113220714354116e-09 , std 5.044491145235664e-07 
2023-05-09 14:08:17,576 INFO ofi_trade_2_5: -2.4941998650219047e-08 , std 1.182022163418911e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_3_5: -1.8411626000665407e-08 , std 1.0230761268639082e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_4_5: -2.732849158668076e-08 , std 1.2396743897491629e-06 
2023-05-09 14:08:17,576 INFO ofi_trade_5_5: -2.3985472694977733e-08 , std 1.2869496794750421e-06 
2023-05-09 14:08:17,577 INFO ofi_trade_6_5: -3.760626759751971e-08 , std 1.5170912125536313e-06 
2023-05-09 14:08:17,577 INFO ofi_trade_7_5: -3.2315114991870815e-08 , std 1.310988344567479e-06 
2023-05-09 14:08:17,577 INFO ofi_trade_8_5: -3.0177871742917864e-08 , std 1.429775115678347e-06 
2023-05-09 14:08:17,577 INFO ofi_trade_9_5: -3.89378233836904e-08 , std 1.627306915424452e-06 
2023-05-09 14:08:17,577 INFO ofi_trade_10_5: -3.450252382945731e-08 , std 1.3311164402430942e-06 
2023-05-09 14:08:17,577 INFO ofi_add_1_10: -8.009660927284423e-08 , std 2.0317001824017096e-06 
2023-05-09 14:08:17,577 INFO ofi_add_2_10: -8.101590270928914e-08 , std 1.8309859335947228e-06 
2023-05-09 14:08:17,577 INFO ofi_add_3_10: -4.871987861191579e-08 , std 1.6202908058672755e-06 
2023-05-09 14:08:17,577 INFO ofi_add_4_10: -6.415878152024157e-08 , std 1.8450561322199438e-06 
2023-05-09 14:08:17,577 INFO ofi_add_5_10: -7.063422316138556e-08 , std 1.7930117125840777e-06 
2023-05-09 14:08:17,577 INFO ofi_add_6_10: -7.578055018923541e-08 , std 1.8458349756635617e-06 
2023-05-09 14:08:17,577 INFO ofi_add_7_10: -8.179107876304072e-08 , std 1.9690342311306403e-06 
2023-05-09 14:08:17,577 INFO ofi_add_8_10: -8.990747722604565e-08 , std 1.772175000286482e-06 
2023-05-09 14:08:17,577 INFO ofi_add_9_10: -9.265465914382221e-08 , std 2.030415273124861e-06 
2023-05-09 14:08:17,577 INFO ofi_add_10_10: -1.1927582109314152e-07 , std 2.3333840839877555e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_1_10: -2.1409398540420315e-09 , std 4.1615317455795654e-07 
2023-05-09 14:08:17,577 INFO ofi_cancel_2_10: -2.4770760773931834e-08 , std 1.1998204010395835e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_3_10: -4.084108656765908e-08 , std 1.2842118905505164e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_4_10: -4.6418181521699736e-08 , std 1.5427605647139481e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_5_10: -6.174403800810933e-08 , std 1.5210922582373533e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_6_10: -6.105475921268588e-08 , std 1.5633201973558134e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_7_10: -7.317878425927379e-08 , std 1.6557546437838345e-06 
2023-05-09 14:08:17,577 INFO ofi_cancel_8_10: -6.320231112932294e-08 , std 1.2513510272162845e-06 
