2023-05-09 13:50:05,672 INFO Starting...
2023-05-09 13:50:05,672 INFO Tickers: ['PEP']
2023-05-09 13:51:37,362 INFO in_r2: 0.09755878218541565 , std 0.1707516729969476 
2023-05-09 13:51:37,363 INFO os_r2: -0.11753297717827083 , std 0.07272770651442298 
2023-05-09 13:51:37,363 INFO intercept: 2.3425877679339547e-07 , std 0.00024899801757511194 
2023-05-09 13:51:37,363 INFO ofi_add_1_1: -1.6067916422593698e-07 , std 3.5640485683722626e-06 
2023-05-09 13:51:37,363 INFO ofi_add_2_1: -7.230783084302608e-08 , std 2.948359669789732e-06 
2023-05-09 13:51:37,363 INFO ofi_add_3_1: -7.782848598840555e-08 , std 2.968789623163701e-06 
2023-05-09 13:51:37,363 INFO ofi_add_4_1: -1.0174346009527551e-07 , std 3.4158698695118066e-06 
2023-05-09 13:51:37,363 INFO ofi_add_5_1: -1.2357601275216328e-07 , std 3.145264143020189e-06 
2023-05-09 13:51:37,363 INFO ofi_add_6_1: -1.4262199715188246e-07 , std 3.3901070633524392e-06 
2023-05-09 13:51:37,363 INFO ofi_add_7_1: -1.1040918657204023e-07 , std 3.1290351164279405e-06 
2023-05-09 13:51:37,363 INFO ofi_add_8_1: -1.1523830995557193e-07 , std 3.250247458707659e-06 
2023-05-09 13:51:37,363 INFO ofi_add_9_1: -7.651063917006652e-08 , std 2.6914157818375434e-06 
2023-05-09 13:51:37,363 INFO ofi_add_10_1: -9.251537696955357e-08 , std 2.872104324789199e-06 
2023-05-09 13:51:37,363 INFO ofi_cancel_1_1: -1.259119238448116e-08 , std 1.3691969262265644e-06 
2023-05-09 13:51:37,363 INFO ofi_cancel_2_1: -4.305481411777024e-08 , std 2.2219282222883672e-06 
2023-05-09 13:51:37,363 INFO ofi_cancel_3_1: -7.821277975286916e-08 , std 2.5522572017792015e-06 
2023-05-09 13:51:37,363 INFO ofi_cancel_4_1: -7.283375142991104e-08 , std 2.469268387426827e-06 
2023-05-09 13:51:37,363 INFO ofi_cancel_5_1: -9.450831149742556e-08 , std 2.7134747829360008e-06 
2023-05-09 13:51:37,363 INFO ofi_cancel_6_1: -7.469849422368622e-08 , std 2.6256038337774205e-06 
2023-05-09 13:51:37,363 INFO ofi_cancel_7_1: -5.3691012556949076e-08 , std 2.4393326521780492e-06 
2023-05-09 13:51:37,363 INFO ofi_cancel_8_1: -3.8393770654364675e-08 , std 1.8327328147774387e-06 
2023-05-09 13:51:37,363 INFO ofi_cancel_9_1: -2.2829660779525795e-08 , std 1.9675683093036327e-06 
2023-05-09 13:51:37,363 INFO ofi_cancel_10_1: -1.1532944465874113e-08 , std 1.184196385424189e-06 
2023-05-09 13:51:37,363 INFO ofi_trade_1_1: -6.106258478616836e-10 , std 1.8519112708158083e-07 
2023-05-09 13:51:37,363 INFO ofi_trade_2_1: -1.1065566894237084e-08 , std 1.317919986434536e-06 
2023-05-09 13:51:37,363 INFO ofi_trade_3_1: -1.1608407241643787e-08 , std 1.1519752611984453e-06 
2023-05-09 13:51:37,363 INFO ofi_trade_4_1: -1.7644065096961155e-08 , std 1.608778190144247e-06 
2023-05-09 13:51:37,363 INFO ofi_trade_5_1: -2.5273215845231285e-08 , std 1.6526148015544236e-06 
2023-05-09 13:51:37,363 INFO ofi_trade_6_1: -1.5388207572437546e-08 , std 1.313948712216427e-06 
2023-05-09 13:51:37,363 INFO ofi_trade_7_1: -1.621145065297671e-08 , std 1.294534247306655e-06 
2023-05-09 13:51:37,363 INFO ofi_trade_8_1: -1.8509895279817726e-08 , std 1.4923245760951662e-06 
2023-05-09 13:51:37,363 INFO ofi_trade_9_1: -8.606782061612735e-09 , std 9.941134371495177e-07 
2023-05-09 13:51:37,363 INFO ofi_trade_10_1: -2.4016928419904534e-09 , std 5.889110074836256e-07 
2023-05-09 13:51:37,363 INFO ofi_add_1_2: -2.0450099767184846e-07 , std 3.9541866549347375e-06 
2023-05-09 13:51:37,363 INFO ofi_add_2_2: -1.1065783340458068e-07 , std 2.996266798979743e-06 
2023-05-09 13:51:37,363 INFO ofi_add_3_2: -8.255827861082962e-08 , std 2.727470495658256e-06 
2023-05-09 13:51:37,363 INFO ofi_add_4_2: -1.4816756774608467e-07 , std 2.994423985140319e-06 
2023-05-09 13:51:37,363 INFO ofi_add_5_2: -1.374203987859154e-07 , std 3.0014296801503283e-06 
2023-05-09 13:51:37,364 INFO ofi_add_6_2: -1.8292861507882845e-07 , std 3.363783720396116e-06 
2023-05-09 13:51:37,364 INFO ofi_add_7_2: -1.466201973799112e-07 , std 3.301773927784076e-06 
2023-05-09 13:51:37,364 INFO ofi_add_8_2: -1.2912859221950877e-07 , std 3.0257309047922735e-06 
2023-05-09 13:51:37,364 INFO ofi_add_9_2: -9.824429529585524e-08 , std 2.714863971207248e-06 
2023-05-09 13:51:37,364 INFO ofi_add_10_2: -9.554555934734721e-08 , std 2.5162818353136015e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_1_2: -1.8375007093591926e-08 , std 1.5749510875719265e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_2_2: -5.787345708846847e-08 , std 2.2642433697273615e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_3_2: -8.679228432072067e-08 , std 2.5607722833393325e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_4_2: -8.915387702799762e-08 , std 2.764710034381332e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_5_2: -1.0140061229742354e-07 , std 2.893147714006429e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_6_2: -1.0792114879213694e-07 , std 2.78161430018816e-06 
2023-05-09 13:51:37,364 INFO ofi_cancel_7_2: -7.836645586106668e-08 , std 2.564779559285086e-06 
