2023-05-09 15:17:00,704 INFO Starting...
2023-05-09 15:17:00,704 INFO Tickers: ['PNC']
2023-05-09 15:18:35,387 INFO in_r2: 0.09472641127986571 , std 0.1649075610454233 
2023-05-09 15:18:35,387 INFO os_r2: -0.11462088688348529 , std 0.08036951183112305 
2023-05-09 15:18:35,387 INFO intercept: 3.77934010019714e-05 , std 0.0004219202846333172 
2023-05-09 15:18:35,387 INFO ofi_add_1_1: -5.7597854311676107e-08 , std 2.7854501509938242e-06 
2023-05-09 15:18:35,387 INFO ofi_add_2_1: -1.3731408163665883e-07 , std 4.198017828722084e-06 
2023-05-09 15:18:35,387 INFO ofi_add_3_1: -1.6564134120413305e-07 , std 4.102303211178622e-06 
2023-05-09 15:18:35,387 INFO ofi_add_4_1: -1.6349580986859925e-07 , std 4.34138071617648e-06 
2023-05-09 15:18:35,387 INFO ofi_add_5_1: -2.115556850284184e-07 , std 4.434641194975286e-06 
2023-05-09 15:18:35,387 INFO ofi_add_6_1: -1.3904789420550187e-07 , std 3.3921807448313797e-06 
2023-05-09 15:18:35,387 INFO ofi_add_7_1: -9.886577729269489e-08 , std 3.920636661505655e-06 
2023-05-09 15:18:35,387 INFO ofi_add_8_1: -8.747752327679802e-08 , std 3.4493258419520733e-06 
2023-05-09 15:18:35,387 INFO ofi_add_9_1: -1.0457072124049749e-07 , std 3.403838482478194e-06 
2023-05-09 15:18:35,387 INFO ofi_add_10_1: -1.4851753179549758e-07 , std 4.0566372442445454e-06 
2023-05-09 15:18:35,387 INFO ofi_cancel_1_1: -1.9485608742041163e-08 , std 1.9285184813105505e-06 
2023-05-09 15:18:35,387 INFO ofi_cancel_2_1: -8.615714796663953e-08 , std 3.7729735615749078e-06 
2023-05-09 15:18:35,387 INFO ofi_cancel_3_1: -7.102054159904117e-08 , std 3.089154455104999e-06 
2023-05-09 15:18:35,387 INFO ofi_cancel_4_1: -5.5506275604210094e-08 , std 2.891497346675728e-06 
2023-05-09 15:18:35,387 INFO ofi_cancel_5_1: -6.831386136847336e-08 , std 3.0176464222012603e-06 
2023-05-09 15:18:35,387 INFO ofi_cancel_6_1: -6.232580718018753e-08 , std 2.6545322535281028e-06 
2023-05-09 15:18:35,387 INFO ofi_cancel_7_1: -7.591130606470871e-08 , std 3.1180633806437073e-06 
2023-05-09 15:18:35,387 INFO ofi_cancel_8_1: -6.04784641585894e-08 , std 2.766764403940023e-06 
2023-05-09 15:18:35,387 INFO ofi_cancel_9_1: -5.522081452346277e-08 , std 2.5841025097990926e-06 
2023-05-09 15:18:35,387 INFO ofi_cancel_10_1: -7.236473314750265e-08 , std 3.1531030695459686e-06 
2023-05-09 15:18:35,387 INFO ofi_trade_1_1: -5.72333176382606e-09 , std 1.1566430000816154e-06 
2023-05-09 15:18:35,387 INFO ofi_trade_2_1: -8.1156134792405e-09 , std 1.3014391482408401e-06 
2023-05-09 15:18:35,387 INFO ofi_trade_3_1: -5.983008253614113e-09 , std 9.334785073695585e-07 
2023-05-09 15:18:35,387 INFO ofi_trade_4_1: -5.678602621753395e-09 , std 8.624203871227472e-07 
2023-05-09 15:18:35,387 INFO ofi_trade_5_1: -3.0415309943501627e-09 , std 6.118016919599239e-07 
2023-05-09 15:18:35,387 INFO ofi_trade_6_1: -5.904427599105428e-09 , std 9.318776112169674e-07 
2023-05-09 15:18:35,387 INFO ofi_trade_7_1: -9.844530879221886e-09 , std 1.360985548209843e-06 
2023-05-09 15:18:35,387 INFO ofi_trade_8_1: -1.6007640165302517e-08 , std 2.510996533024508e-06 
2023-05-09 15:18:35,387 INFO ofi_trade_9_1: -1.4968201056414032e-08 , std 1.73826216932666e-06 
2023-05-09 15:18:35,387 INFO ofi_trade_10_1: -1.2404314124914442e-08 , std 1.8299525947448418e-06 
2023-05-09 15:18:35,387 INFO ofi_add_1_2: -7.361862955214151e-08 , std 2.826454222987347e-06 
2023-05-09 15:18:35,387 INFO ofi_add_2_2: -1.2457451200270753e-07 , std 3.236883304377419e-06 
2023-05-09 15:18:35,387 INFO ofi_add_3_2: -2.155655488735882e-07 , std 4.324592694424567e-06 
2023-05-09 15:18:35,387 INFO ofi_add_4_2: -1.7057288404751696e-07 , std 3.276663464277054e-06 
2023-05-09 15:18:35,387 INFO ofi_add_5_2: -1.8212762804703002e-07 , std 3.7445516978268292e-06 
2023-05-09 15:18:35,387 INFO ofi_add_6_2: -1.586252274935447e-07 , std 3.6631692768083924e-06 
2023-05-09 15:18:35,388 INFO ofi_add_7_2: -1.4154073920174513e-07 , std 3.503374784130804e-06 
2023-05-09 15:18:35,388 INFO ofi_add_8_2: -1.3482507173701455e-07 , std 3.3945661322932407e-06 
2023-05-09 15:18:35,388 INFO ofi_add_9_2: -1.4669587452978374e-07 , std 3.6192534441363057e-06 
2023-05-09 15:18:35,388 INFO ofi_add_10_2: -1.8063429607345842e-07 , std 3.670404405080156e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_1_2: -4.0882623401396485e-08 , std 2.371155664244355e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_2_2: -7.737139285022723e-08 , std 2.990873913795614e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_3_2: -7.3504406064378e-08 , std 2.8131913570475112e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_4_2: -1.0131541826785904e-07 , std 3.201337479403474e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_5_2: -9.192572155398721e-08 , std 2.980412233147181e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_6_2: -1.0367347514905112e-07 , std 3.434171931735809e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_7_2: -8.189214931617707e-08 , std 2.910463121881627e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_8_2: -9.782685701325502e-08 , std 3.204067254936276e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_9_2: -8.894565091948323e-08 , std 2.8943591709568255e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_10_2: -9.643836698504051e-08 , std 3.305872627571464e-06 
2023-05-09 15:18:35,388 INFO ofi_trade_1_2: -2.881334246374017e-09 , std 6.379679135973423e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_2_2: -3.307067775793617e-09 , std 7.005037942328101e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_3_2: -2.9111449602796434e-09 , std 5.018926638301976e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_4_2: -4.5490896383803346e-09 , std 7.16335772944021e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_5_2: -8.686305288762e-09 , std 1.4231110077312433e-06 
2023-05-09 15:18:35,388 INFO ofi_trade_6_2: -7.368489987260857e-09 , std 7.360139824711351e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_7_2: -6.859935487380603e-09 , std 1.1340655781825258e-06 
2023-05-09 15:18:35,388 INFO ofi_trade_8_2: -1.108189503905745e-08 , std 1.4516384073109228e-06 
2023-05-09 15:18:35,388 INFO ofi_trade_9_2: -5.5290201396995575e-09 , std 8.493147249861851e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_10_2: -5.182571090090848e-09 , std 9.042855062219396e-07 
2023-05-09 15:18:35,388 INFO ofi_add_1_3: -7.51460033209687e-08 , std 2.7060394287342767e-06 
2023-05-09 15:18:35,388 INFO ofi_add_2_3: -1.8447842652559996e-07 , std 3.960962482859033e-06 
2023-05-09 15:18:35,388 INFO ofi_add_3_3: -2.3209431233593507e-07 , std 4.043586987199863e-06 
2023-05-09 15:18:35,388 INFO ofi_add_4_3: -2.4661806381251835e-07 , std 3.991703038055461e-06 
2023-05-09 15:18:35,388 INFO ofi_add_5_3: -2.1045825080532245e-07 , std 3.7022387056103313e-06 
2023-05-09 15:18:35,388 INFO ofi_add_6_3: -1.8796825257934994e-07 , std 3.8408666304810014e-06 
2023-05-09 15:18:35,388 INFO ofi_add_7_3: -1.4924162409688929e-07 , std 3.144249797509009e-06 
2023-05-09 15:18:35,388 INFO ofi_add_8_3: -9.94254816116955e-08 , std 2.722570348941137e-06 
2023-05-09 15:18:35,388 INFO ofi_add_9_3: -1.640191906753897e-07 , std 3.4129193978551767e-06 
2023-05-09 15:18:35,388 INFO ofi_add_10_3: -1.9281357463511458e-07 , std 3.943801501117289e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_1_3: -4.8305065797169215e-08 , std 2.296697624536646e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_2_3: -9.560392101212526e-08 , std 2.9045221203948453e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_3_3: -1.101523415830788e-07 , std 2.930826279023126e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_4_3: -1.1789083567399154e-07 , std 3.6456026234233807e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_5_3: -9.556071414556674e-08 , std 2.8778835037871905e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_6_3: -9.762204379567412e-08 , std 3.162927035055225e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_7_3: -1.0847367196581187e-07 , std 2.900919024240628e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_8_3: -8.715553517546656e-08 , std 2.585542275193283e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_9_3: -8.3769865151373e-08 , std 3.0128335842872603e-06 
2023-05-09 15:18:35,388 INFO ofi_cancel_10_3: -9.514187440421553e-08 , std 3.4185588887430276e-06 
2023-05-09 15:18:35,388 INFO ofi_trade_1_3: 4.608860493474433e-10 , std 1.7625424846990546e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_2_3: -4.335236666478101e-09 , std 5.809536796017089e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_3_3: -4.532718709379308e-09 , std 6.803540939644946e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_4_3: -3.8838136449981004e-09 , std 6.757618419299782e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_5_3: -3.225873731651829e-09 , std 5.410588903839926e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_6_3: -1.4755944597317125e-08 , std 1.4094800118611037e-06 
2023-05-09 15:18:35,388 INFO ofi_trade_7_3: -6.359806535401615e-09 , std 7.734842876693847e-07 
2023-05-09 15:18:35,388 INFO ofi_trade_8_3: -2.1263978462857204e-08 , std 2.230005963711084e-06 
2023-05-09 15:18:35,389 INFO ofi_trade_9_3: -8.823734250697593e-09 , std 1.0832030071304717e-06 
2023-05-09 15:18:35,389 INFO ofi_trade_10_3: -1.4450110825473175e-08 , std 1.1426024426220011e-06 
2023-05-09 15:18:35,389 INFO ofi_add_1_5: -1.1132840569869556e-07 , std 2.987757030950549e-06 
2023-05-09 15:18:35,389 INFO ofi_add_2_5: -2.2122516827993576e-07 , std 3.970821630509398e-06 
2023-05-09 15:18:35,389 INFO ofi_add_3_5: -3.082376670047323e-07 , std 4.337296850601585e-06 
2023-05-09 15:18:35,389 INFO ofi_add_4_5: -3.170812815044357e-07 , std 4.1880022996186495e-06 
2023-05-09 15:18:35,389 INFO ofi_add_5_5: -2.9393764148358695e-07 , std 3.968877816333453e-06 
2023-05-09 15:18:35,389 INFO ofi_add_6_5: -2.3229421892223835e-07 , std 3.722056494824543e-06 
2023-05-09 15:18:35,389 INFO ofi_add_7_5: -2.2441988159598338e-07 , std 3.57373824899461e-06 
2023-05-09 15:18:35,389 INFO ofi_add_8_5: -1.9562764933635375e-07 , std 3.6082348195975748e-06 
2023-05-09 15:18:35,389 INFO ofi_add_9_5: -2.127042403734271e-07 , std 3.568673424780687e-06 
2023-05-09 15:18:35,389 INFO ofi_add_10_5: -2.8947239511445524e-07 , std 4.3648950346783115e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_1_5: -6.284881384465741e-08 , std 2.4286711602041935e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_2_5: -1.0277739365619821e-07 , std 2.9129059177531794e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_3_5: -9.90159682423598e-08 , std 2.8484988925516295e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_4_5: -1.1378236874120714e-07 , std 2.983614368794844e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_5_5: -1.087229411117929e-07 , std 2.7493602529455447e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_6_5: -1.1372513846071917e-07 , std 2.932050364500311e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_7_5: -1.0712526518412447e-07 , std 2.8401689480258167e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_8_5: -9.628276020809239e-08 , std 2.9514787007445816e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_9_5: -8.913098860824323e-08 , std 2.520666824016219e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_10_5: -1.0465476022487275e-07 , std 2.637056933890642e-06 
2023-05-09 15:18:35,389 INFO ofi_trade_1_5: -2.2643523841955484e-09 , std 7.258002008119171e-07 
2023-05-09 15:18:35,389 INFO ofi_trade_2_5: -3.1304138363078325e-09 , std 4.81147614547825e-07 
2023-05-09 15:18:35,389 INFO ofi_trade_3_5: -4.900702920519419e-09 , std 6.790604331631052e-07 
2023-05-09 15:18:35,389 INFO ofi_trade_4_5: -9.157737999850743e-09 , std 1.485616834853398e-06 
2023-05-09 15:18:35,389 INFO ofi_trade_5_5: -4.919482509922891e-09 , std 7.967480866562754e-07 
2023-05-09 15:18:35,389 INFO ofi_trade_6_5: -6.963686180429988e-09 , std 9.68512777363617e-07 
2023-05-09 15:18:35,389 INFO ofi_trade_7_5: -1.2483303171429801e-08 , std 1.3667096694681939e-06 
2023-05-09 15:18:35,389 INFO ofi_trade_8_5: -2.716303480013766e-08 , std 2.6632086389898765e-06 
2023-05-09 15:18:35,389 INFO ofi_trade_9_5: -8.614550622373512e-09 , std 9.711506027935789e-07 
2023-05-09 15:18:35,389 INFO ofi_trade_10_5: -1.525597929285562e-08 , std 1.2668155770197799e-06 
2023-05-09 15:18:35,389 INFO ofi_add_1_10: -1.1066464626455666e-07 , std 3.111378943326264e-06 
2023-05-09 15:18:35,389 INFO ofi_add_2_10: -2.3505770090834088e-07 , std 3.5920979952418863e-06 
2023-05-09 15:18:35,389 INFO ofi_add_3_10: -3.4321617546538036e-07 , std 4.1603004613587384e-06 
2023-05-09 15:18:35,389 INFO ofi_add_4_10: -3.910641701427584e-07 , std 4.424559464717885e-06 
2023-05-09 15:18:35,389 INFO ofi_add_5_10: -3.382094713410333e-07 , std 3.933596595523003e-06 
2023-05-09 15:18:35,389 INFO ofi_add_6_10: -2.5596752948195594e-07 , std 3.509969277996096e-06 
2023-05-09 15:18:35,389 INFO ofi_add_7_10: -2.472206382598743e-07 , std 3.4844783389304583e-06 
2023-05-09 15:18:35,389 INFO ofi_add_8_10: -2.0043418637466233e-07 , std 3.2583544134228055e-06 
2023-05-09 15:18:35,389 INFO ofi_add_9_10: -2.2517594810775442e-07 , std 3.5490391099572503e-06 
2023-05-09 15:18:35,389 INFO ofi_add_10_10: -3.5721101322783813e-07 , std 4.2112912536002475e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_1_10: -8.588415926082317e-08 , std 2.411218864346905e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_2_10: -1.3837486853285315e-07 , std 3.2028508808417106e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_3_10: -1.4431040470493932e-07 , std 3.3256388234375983e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_4_10: -1.3918796143474957e-07 , std 3.2428575516937502e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_5_10: -1.2612060863296626e-07 , std 2.795202160253277e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_6_10: -1.1256002864665717e-07 , std 2.6858502494264496e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_7_10: -1.0032537466241187e-07 , std 2.626670488386588e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_8_10: -1.0090388007140975e-07 , std 2.654770664151967e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_9_10: -1.1693056968896191e-07 , std 2.7281998927570704e-06 
2023-05-09 15:18:35,389 INFO ofi_cancel_10_10: -1.3471761736965192e-07 , std 3.0142798268750587e-06 
2023-05-09 15:18:35,389 INFO ofi_trade_1_10: -2.136335785490147e-09 , std 4.1723528867197776e-07 
2023-05-09 15:18:35,389 INFO ofi_trade_2_10: -1.8012791271197185e-09 , std 3.539174090321643e-07 
2023-05-09 15:18:35,390 INFO ofi_trade_3_10: -2.8705445172063577e-09 , std 5.781318891894475e-07 
2023-05-09 15:18:35,390 INFO ofi_trade_4_10: -2.955367499423074e-09 , std 5.312990165746331e-07 
2023-05-09 15:18:35,390 INFO ofi_trade_5_10: -1.1964219974738812e-08 , std 1.0012456273767773e-06 
2023-05-09 15:18:35,390 INFO ofi_trade_6_10: -2.200662417302543e-08 , std 1.5647558198711151e-06 
2023-05-09 15:18:35,390 INFO ofi_trade_7_10: -1.4609640249350139e-08 , std 1.1663322232772214e-06 
2023-05-09 15:18:35,390 INFO ofi_trade_8_10: -1.140041097886544e-08 , std 1.0226197421668236e-06 
2023-05-09 15:18:35,390 INFO ofi_trade_9_10: -1.429788887280417e-08 , std 1.318973905663674e-06 
2023-05-09 15:18:35,390 INFO ofi_trade_10_10: -9.32953435828559e-09 , std 1.1623370020139136e-06 
2023-05-09 15:18:35,390 INFO ofi_add_1_20: -1.1592469692450394e-07 , std 3.0676426026924514e-06 
2023-05-09 15:18:35,390 INFO ofi_add_2_20: -2.9694733973700173e-07 , std 4.149121248460068e-06 
2023-05-09 15:18:35,390 INFO ofi_add_3_20: -3.825962743074288e-07 , std 4.4179355476411954e-06 
2023-05-09 15:18:35,390 INFO ofi_add_4_20: -4.306591847482339e-07 , std 4.411868740975639e-06 
2023-05-09 15:18:35,390 INFO ofi_add_5_20: -3.7686634869244075e-07 , std 4.32501374259792e-06 
2023-05-09 15:18:35,390 INFO ofi_add_6_20: -2.8159836627658393e-07 , std 3.5115941998399223e-06 
2023-05-09 15:18:35,390 INFO ofi_add_7_20: -2.4151393808670694e-07 , std 3.3169544182034143e-06 
2023-05-09 15:18:35,390 INFO ofi_add_8_20: -2.1687781878428405e-07 , std 3.334899978428512e-06 
2023-05-09 15:18:35,390 INFO ofi_add_9_20: -2.3189567817705262e-07 , std 3.2815267730572335e-06 
2023-05-09 15:18:35,390 INFO ofi_add_10_20: -3.7624386637225233e-07 , std 4.333008494050161e-06 
2023-05-09 15:18:35,390 INFO ofi_cancel_1_20: -9.978481506660644e-08 , std 2.622101930426714e-06 
2023-05-09 15:18:35,390 INFO ofi_cancel_2_20: -1.34054668940809e-07 , std 3.0092964676155314e-06 
2023-05-09 15:18:35,390 INFO ofi_cancel_3_20: -1.8026286536707935e-07 , std 3.4880994664305414e-06 
2023-05-09 15:18:35,390 INFO ofi_cancel_4_20: -1.854542150629759e-07 , std 3.5532507245868904e-06 
2023-05-09 15:18:35,390 INFO ofi_cancel_5_20: -1.354367397267387e-07 , std 3.060574045350484e-06 
2023-05-09 15:18:35,390 INFO ofi_cancel_6_20: -1.3669494844650616e-07 , std 2.8332282396656073e-06 
2023-05-09 15:18:35,390 INFO ofi_cancel_7_20: -1.2842827054049158e-07 , std 2.855637926998253e-06 
2023-05-09 15:18:35,390 INFO ofi_cancel_8_20: -1.073152744410752e-07 , std 2.688294912237888e-06 
2023-05-09 15:18:35,390 INFO ofi_cancel_9_20: -1.2170236755382023e-07 , std 2.5653065278659505e-06 
2023-05-09 15:18:35,390 INFO ofi_cancel_10_20: -1.516477931853144e-07 , std 3.258016684486139e-06 
2023-05-09 15:18:35,390 INFO ofi_trade_1_20: -2.440604932366084e-09 , std 4.781207472111111e-07 
2023-05-09 15:18:35,390 INFO ofi_trade_2_20: -3.615696461655693e-09 , std 6.557669289494466e-07 
2023-05-09 15:18:35,390 INFO ofi_trade_3_20: -4.012401474833801e-09 , std 7.411968016037291e-07 
2023-05-09 15:18:35,390 INFO ofi_trade_4_20: -1.0443007258694723e-08 , std 1.2914775114570794e-06 
2023-05-09 15:18:35,390 INFO ofi_trade_5_20: -1.3849751603997508e-08 , std 1.4282672845701074e-06 
2023-05-09 15:18:35,390 INFO ofi_trade_6_20: -9.675282151970887e-09 , std 7.688738066747716e-07 
2023-05-09 15:18:35,390 INFO ofi_trade_7_20: -1.3007298851533674e-08 , std 8.862545100627925e-07 
2023-05-09 15:18:35,390 INFO ofi_trade_8_20: -1.075842514456218e-08 , std 1.026319634902981e-06 
2023-05-09 15:18:35,390 INFO ofi_trade_9_20: -1.1335063293139333e-08 , std 9.384821470900648e-07 
2023-05-09 15:18:35,390 INFO ofi_trade_10_20: -1.5516348215851484e-08 , std 1.751499437478959e-06 
2023-05-09 15:18:35,390 INFO ofi_add_1_30: -1.6623105570026036e-07 , std 3.7202752823341995e-06 
