2023-05-09 15:24:28,531 INFO Starting...
2023-05-09 15:24:28,531 INFO Tickers: ['SPGI']
2023-05-09 15:26:02,318 INFO in_r2: 0.08543548349633699 , std 0.1569321822237148 
2023-05-09 15:26:02,318 INFO os_r2: -0.11860357816658028 , std 0.052263695127149117 
2023-05-09 15:26:02,319 INFO intercept: 1.4166322912416839e-05 , std 0.0003445736235911545 
2023-05-09 15:26:02,319 INFO ofi_add_1_1: -8.01305160030439e-08 , std 3.992981612106131e-06 
2023-05-09 15:26:02,319 INFO ofi_add_2_1: -1.730879738994038e-07 , std 5.038679844589853e-06 
2023-05-09 15:26:02,319 INFO ofi_add_3_1: -1.5680001706191118e-07 , std 5.314338461898665e-06 
2023-05-09 15:26:02,319 INFO ofi_add_4_1: -1.6793087888346977e-07 , std 6.260314231545252e-06 
2023-05-09 15:26:02,319 INFO ofi_add_5_1: -1.3025764581072645e-07 , std 4.591961544425228e-06 
2023-05-09 15:26:02,319 INFO ofi_add_6_1: -1.2340358085555187e-07 , std 5.869309871265596e-06 
2023-05-09 15:26:02,319 INFO ofi_add_7_1: -9.309784261288605e-08 , std 4.752931358038467e-06 
2023-05-09 15:26:02,319 INFO ofi_add_8_1: -7.48789101948887e-08 , std 3.901980340906723e-06 
2023-05-09 15:26:02,319 INFO ofi_add_9_1: -4.60497672105584e-08 , std 4.405893168963572e-06 
2023-05-09 15:26:02,319 INFO ofi_add_10_1: -6.132345240071407e-08 , std 5.927619727902082e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_1_1: -3.056239333641068e-08 , std 2.8864634860526987e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_2_1: -6.468509647015223e-08 , std 3.759537584128819e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_3_1: -5.008080820007455e-08 , std 2.7899922845617797e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_4_1: -1.6684531169559624e-08 , std 2.8320297810763038e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_5_1: -4.137621022503474e-08 , std 3.264797938088913e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_6_1: -4.273215976667568e-08 , std 4.572254810090635e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_7_1: -3.6270061103750044e-08 , std 3.1801149337769466e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_8_1: -5.1719748867632135e-08 , std 4.4497028512154126e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_9_1: -1.3134259546334968e-07 , std 5.9796213458158945e-06 
2023-05-09 15:26:02,319 INFO ofi_cancel_10_1: -1.2480874794442223e-07 , std 5.057359288468285e-06 
2023-05-09 15:26:02,319 INFO ofi_trade_1_1: -1.7677877733171974e-08 , std 1.9020842544415477e-06 
2023-05-09 15:26:02,319 INFO ofi_trade_2_1: -3.4099874041341905e-09 , std 6.899584187108878e-07 
2023-05-09 15:26:02,319 INFO ofi_trade_3_1: -9.463372902151025e-09 , std 1.296490385970975e-06 
2023-05-09 15:26:02,319 INFO ofi_trade_4_1: -2.8653614234449163e-09 , std 5.266487751728707e-07 
2023-05-09 15:26:02,319 INFO ofi_trade_5_1: -6.779683987580675e-09 , std 1.0772298064263063e-06 
2023-05-09 15:26:02,319 INFO ofi_trade_6_1: -8.315228759589053e-09 , std 1.0585447645758476e-06 
2023-05-09 15:26:02,319 INFO ofi_trade_7_1: -6.336017702994059e-09 , std 1.1656993906988312e-06 
2023-05-09 15:26:02,319 INFO ofi_trade_8_1: -1.2083040994546816e-08 , std 2.778516509912079e-06 
2023-05-09 15:26:02,319 INFO ofi_trade_9_1: -2.1926490864280415e-08 , std 2.5364613562377975e-06 
2023-05-09 15:26:02,319 INFO ofi_trade_10_1: -3.004526033613961e-08 , std 3.1361395635818527e-06 
2023-05-09 15:26:02,319 INFO ofi_add_1_2: -7.126346100608363e-08 , std 3.5188656177561294e-06 
2023-05-09 15:26:02,319 INFO ofi_add_2_2: -1.8194872685672154e-07 , std 4.569102677804637e-06 
2023-05-09 15:26:02,319 INFO ofi_add_3_2: -1.6310195000969258e-07 , std 4.8711164781256325e-06 
2023-05-09 15:26:02,319 INFO ofi_add_4_2: -1.6504565965205077e-07 , std 4.355536487632453e-06 
2023-05-09 15:26:02,319 INFO ofi_add_5_2: -1.5547581280997387e-07 , std 4.224353476022332e-06 
2023-05-09 15:26:02,319 INFO ofi_add_6_2: -1.0130450409213845e-07 , std 3.6337021809105358e-06 
2023-05-09 15:26:02,319 INFO ofi_add_7_2: -8.05702633566264e-08 , std 2.878111819954086e-06 
2023-05-09 15:26:02,319 INFO ofi_add_8_2: -7.865493520796894e-08 , std 4.044677627566257e-06 
2023-05-09 15:26:02,319 INFO ofi_add_9_2: -1.1531513799201492e-07 , std 4.523031944173949e-06 
