2023-05-09 14:17:40,384 INFO Starting...
2023-05-09 14:17:40,384 INFO Tickers: ['TMO']
2023-05-09 14:19:14,485 INFO in_r2: 0.08449146923110157 , std 0.1538376336665123 
2023-05-09 14:19:14,485 INFO os_r2: -0.11861473839299856 , std 0.05195253451235587 
2023-05-09 14:19:14,485 INFO intercept: -1.5172664465367168e-06 , std 0.00033774875044172896 
2023-05-09 14:19:14,485 INFO ofi_add_1_1: -5.733429085439137e-08 , std 2.7526979949584623e-06 
2023-05-09 14:19:14,485 INFO ofi_add_2_1: -1.0225506535713083e-07 , std 3.7682401001198467e-06 
2023-05-09 14:19:14,485 INFO ofi_add_3_1: -8.935686425356066e-08 , std 3.100452934726522e-06 
2023-05-09 14:19:14,485 INFO ofi_add_4_1: -8.778860144747569e-08 , std 3.324601501150204e-06 
2023-05-09 14:19:14,485 INFO ofi_add_5_1: -1.0825165282089922e-07 , std 3.6499353155467584e-06 
2023-05-09 14:19:14,485 INFO ofi_add_6_1: -6.421446365839062e-08 , std 2.8117470369057434e-06 
2023-05-09 14:19:14,485 INFO ofi_add_7_1: -7.566946195797001e-08 , std 3.1301503987641427e-06 
2023-05-09 14:19:14,485 INFO ofi_add_8_1: -5.470816163560362e-08 , std 3.2992893689200513e-06 
2023-05-09 14:19:14,485 INFO ofi_add_9_1: -6.322103440025591e-08 , std 3.438142866498573e-06 
2023-05-09 14:19:14,485 INFO ofi_add_10_1: -6.400635476447079e-08 , std 3.5503843351387643e-06 
2023-05-09 14:19:14,485 INFO ofi_cancel_1_1: -2.296821648485181e-08 , std 2.3417422658047604e-06 
2023-05-09 14:19:14,485 INFO ofi_cancel_2_1: -3.307329046769041e-08 , std 2.4674317919298733e-06 
2023-05-09 14:19:14,485 INFO ofi_cancel_3_1: -2.8947781872148492e-08 , std 2.3547652346509315e-06 
2023-05-09 14:19:14,485 INFO ofi_cancel_4_1: -2.4022631369829356e-08 , std 2.292647132707061e-06 
2023-05-09 14:19:14,485 INFO ofi_cancel_5_1: -2.415976510702781e-08 , std 2.670705316687886e-06 
2023-05-09 14:19:14,485 INFO ofi_cancel_6_1: -4.023415021934067e-08 , std 3.176096777421209e-06 
2023-05-09 14:19:14,485 INFO ofi_cancel_7_1: -6.02360225471412e-08 , std 3.4132747139003097e-06 
2023-05-09 14:19:14,485 INFO ofi_cancel_8_1: -3.347021683840625e-08 , std 2.7114890565658234e-06 
2023-05-09 14:19:14,485 INFO ofi_cancel_9_1: -4.1626839000294626e-08 , std 3.18976955817627e-06 
2023-05-09 14:19:14,485 INFO ofi_cancel_10_1: -6.15881082023572e-08 , std 3.6457120234962357e-06 
2023-05-09 14:19:14,485 INFO ofi_trade_1_1: -5.5470330701512704e-11 , std 9.801258724059585e-07 
2023-05-09 14:19:14,485 INFO ofi_trade_2_1: -6.596816349865313e-09 , std 1.060968161272915e-06 
2023-05-09 14:19:14,485 INFO ofi_trade_3_1: -5.092339617597121e-10 , std 5.392981315705804e-07 
2023-05-09 14:19:14,485 INFO ofi_trade_4_1: -3.4624469905927347e-09 , std 6.727692639605203e-07 
2023-05-09 14:19:14,485 INFO ofi_trade_5_1: -7.267170658688978e-10 , std 2.4547178285368855e-07 
2023-05-09 14:19:14,485 INFO ofi_trade_6_1: -6.27178483247623e-09 , std 1.556508506927588e-06 
2023-05-09 14:19:14,485 INFO ofi_trade_7_1: -5.265654472093056e-09 , std 7.517252904223674e-07 
2023-05-09 14:19:14,485 INFO ofi_trade_8_1: -2.2182729485867476e-09 , std 5.149106839317277e-07 
2023-05-09 14:19:14,485 INFO ofi_trade_9_1: -1.4896607969412489e-08 , std 2.6528050862391376e-06 
2023-05-09 14:19:14,485 INFO ofi_trade_10_1: -2.533120720756568e-08 , std 2.871343420780461e-06 
2023-05-09 14:19:14,485 INFO ofi_add_1_2: -8.735333593111199e-08 , std 2.9617740644209975e-06 
2023-05-09 14:19:14,485 INFO ofi_add_2_2: -1.2625054721598626e-07 , std 3.289554811397659e-06 
2023-05-09 14:19:14,485 INFO ofi_add_3_2: -1.0006168651078126e-07 , std 3.0171870626735064e-06 
2023-05-09 14:19:14,485 INFO ofi_add_4_2: -1.2363312950156206e-07 , std 3.183770875828961e-06 
2023-05-09 14:19:14,485 INFO ofi_add_5_2: -1.1133891888566577e-07 , std 3.235867369332654e-06 
2023-05-09 14:19:14,485 INFO ofi_add_6_2: -1.0617852333510526e-07 , std 3.207342561231335e-06 
2023-05-09 14:19:14,485 INFO ofi_add_7_2: -7.149535843405662e-08 , std 2.865991176343114e-06 
