2023-05-09 13:30:42,602 INFO Starting...
2023-05-09 13:30:42,602 INFO Tickers: ['UNH']
2023-05-09 13:32:17,938 INFO in_r2: 0.09759323336930456 , std 0.16875243727865308 
2023-05-09 13:32:17,938 INFO os_r2: -0.11746566204238808 , std 0.15751953557583612 
2023-05-09 13:32:17,938 INFO intercept: 9.212255089764474e-07 , std 0.000326952657509609 
2023-05-09 13:32:17,938 INFO ofi_add_1_1: -2.2976394732142182e-08 , std 1.664298483506704e-06 
2023-05-09 13:32:17,938 INFO ofi_add_2_1: -7.232238968551463e-08 , std 2.7168831591571934e-06 
2023-05-09 13:32:17,938 INFO ofi_add_3_1: -7.316252544780259e-08 , std 2.4352011547640205e-06 
2023-05-09 13:32:17,938 INFO ofi_add_4_1: -7.48394742239205e-08 , std 2.6217045700595258e-06 
2023-05-09 13:32:17,938 INFO ofi_add_5_1: -9.843914068230589e-08 , std 2.7188797736308643e-06 
2023-05-09 13:32:17,938 INFO ofi_add_6_1: -1.4330321495127155e-07 , std 3.4175561348788797e-06 
2023-05-09 13:32:17,938 INFO ofi_add_7_1: -1.2276155910560623e-07 , std 3.173009532491327e-06 
2023-05-09 13:32:17,938 INFO ofi_add_8_1: -9.211507351260332e-08 , std 2.6557521144351964e-06 
2023-05-09 13:32:17,938 INFO ofi_add_9_1: -1.2650751406300005e-07 , std 3.2926177050968737e-06 
2023-05-09 13:32:17,938 INFO ofi_add_10_1: -1.3120849788116136e-07 , std 3.540011933283558e-06 
2023-05-09 13:32:17,938 INFO ofi_cancel_1_1: -7.76286407913417e-09 , std 1.140840310762057e-06 
2023-05-09 13:32:17,938 INFO ofi_cancel_2_1: -4.16467592905402e-08 , std 2.2690021079388953e-06 
2023-05-09 13:32:17,938 INFO ofi_cancel_3_1: -3.705008592311832e-08 , std 2.1339278225109133e-06 
2023-05-09 13:32:17,938 INFO ofi_cancel_4_1: -4.3088807453852e-08 , std 2.024441463703989e-06 
2023-05-09 13:32:17,938 INFO ofi_cancel_5_1: -5.5584654136197564e-08 , std 2.5315612290675275e-06 
2023-05-09 13:32:17,938 INFO ofi_cancel_6_1: -6.563070448533233e-08 , std 2.338826689397943e-06 
2023-05-09 13:32:17,938 INFO ofi_cancel_7_1: -4.870853486245308e-08 , std 2.4845478564237867e-06 
2023-05-09 13:32:17,938 INFO ofi_cancel_8_1: -5.054429901209831e-08 , std 2.729126981758951e-06 
2023-05-09 13:32:17,938 INFO ofi_cancel_9_1: -4.9385102340827385e-08 , std 2.3292119212716693e-06 
2023-05-09 13:32:17,938 INFO ofi_cancel_10_1: -3.391490710913473e-08 , std 2.3715639435091393e-06 
2023-05-09 13:32:17,938 INFO ofi_trade_1_1: -3.1273783932755596e-09 , std 8.12965968426241e-07 
2023-05-09 13:32:17,938 INFO ofi_trade_2_1: -3.487991711055943e-09 , std 5.315446752175764e-07 
2023-05-09 13:32:17,938 INFO ofi_trade_3_1: -6.838507131946397e-09 , std 1.188951629926487e-06 
2023-05-09 13:32:17,938 INFO ofi_trade_4_1: -1.936711595578971e-09 , std 4.918366209680313e-07 
2023-05-09 13:32:17,938 INFO ofi_trade_5_1: -9.512476582786086e-09 , std 1.2045458758486187e-06 
2023-05-09 13:32:17,938 INFO ofi_trade_6_1: -7.399849956479063e-09 , std 9.79380710945433e-07 
2023-05-09 13:32:17,938 INFO ofi_trade_7_1: -6.672203809171982e-09 , std 9.058480770375108e-07 
2023-05-09 13:32:17,938 INFO ofi_trade_8_1: -4.467058699851075e-09 , std 5.767760634213395e-07 
2023-05-09 13:32:17,938 INFO ofi_trade_9_1: -7.313565527055697e-09 , std 8.800658055129072e-07 
2023-05-09 13:32:17,938 INFO ofi_trade_10_1: -8.082678204552658e-09 , std 1.1260676877110682e-06 
2023-05-09 13:32:17,938 INFO ofi_add_1_2: -4.144045731561981e-08 , std 2.0247720042348587e-06 
2023-05-09 13:32:17,939 INFO ofi_add_2_2: -6.866651465412871e-08 , std 2.3185379206297866e-06 
2023-05-09 13:32:17,939 INFO ofi_add_3_2: -9.480932423957673e-08 , std 2.6291271074824443e-06 
2023-05-09 13:32:17,939 INFO ofi_add_4_2: -9.24718986940846e-08 , std 2.5106421449085463e-06 
2023-05-09 13:32:17,939 INFO ofi_add_5_2: -1.2305763550999162e-07 , std 2.9932891892907143e-06 
2023-05-09 13:32:17,939 INFO ofi_add_6_2: -1.4973739655711085e-07 , std 2.8719988680230235e-06 
2023-05-09 13:32:17,939 INFO ofi_add_7_2: -1.5124015560255555e-07 , std 2.8551706300351457e-06 
2023-05-09 13:32:17,939 INFO ofi_add_8_2: -1.2448099292424623e-07 , std 2.720356838057995e-06 
2023-05-09 13:32:17,939 INFO ofi_add_9_2: -1.3996235104387622e-07 , std 2.8567543893067724e-06 
2023-05-09 13:32:17,939 INFO ofi_add_10_2: -1.5677893574419752e-07 , std 3.0910088073029053e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_1_2: -7.357783272858107e-09 , std 9.90005220434347e-07 
2023-05-09 13:32:17,939 INFO ofi_cancel_2_2: -3.752868516559652e-08 , std 2.2465555048854977e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_3_2: -5.3020211352496366e-08 , std 2.1063596793751808e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_4_2: -7.306833206208245e-08 , std 2.4706129858519382e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_5_2: -7.321217476959431e-08 , std 2.2975492705135877e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_6_2: -6.054266021981427e-08 , std 2.2647275667799737e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_7_2: -6.716782832753767e-08 , std 2.3114593199140038e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_8_2: -6.727856571651273e-08 , std 2.2840378736114067e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_9_2: -6.078049900014769e-08 , std 2.397458424146747e-06 
2023-05-09 13:32:17,939 INFO ofi_cancel_10_2: -7.377271333608106e-08 , std 2.4947807240683786e-06 
2023-05-09 13:32:17,939 INFO ofi_trade_1_2: -4.0730745552452556e-10 , std 1.1422440856740748e-07 
2023-05-09 13:32:17,939 INFO ofi_trade_2_2: -1.7618989994259129e-09 , std 3.3162475896315884e-07 
