2023-05-09 14:22:24,574 INFO Starting...
2023-05-09 14:22:24,574 INFO Tickers: ['UNP']
2023-05-09 14:23:58,016 INFO in_r2: 0.0970873189865437 , std 0.16880670201689074 
2023-05-09 14:23:58,016 INFO os_r2: -0.11199163738812574 , std 0.058526219557457015 
2023-05-09 14:23:58,016 INFO intercept: 5.902856238633108e-06 , std 0.00039301705776906547 
2023-05-09 14:23:58,016 INFO ofi_add_1_1: -4.994230932674581e-08 , std 2.704719777097875e-06 
2023-05-09 14:23:58,016 INFO ofi_add_2_1: -1.2397640771447512e-07 , std 3.5477226388655738e-06 
2023-05-09 14:23:58,016 INFO ofi_add_3_1: -1.0172962300943982e-07 , std 3.117270876496362e-06 
2023-05-09 14:23:58,016 INFO ofi_add_4_1: -1.5569375845768048e-07 , std 4.131695163005657e-06 
2023-05-09 14:23:58,016 INFO ofi_add_5_1: -1.6903185425364208e-07 , std 4.152978340334712e-06 
2023-05-09 14:23:58,016 INFO ofi_add_6_1: -1.8595370877556044e-07 , std 4.431792549715279e-06 
2023-05-09 14:23:58,016 INFO ofi_add_7_1: -1.4781452467518192e-07 , std 3.7917728893511774e-06 
2023-05-09 14:23:58,016 INFO ofi_add_8_1: -1.3683530804483962e-07 , std 3.950809377116789e-06 
2023-05-09 14:23:58,016 INFO ofi_add_9_1: -1.2180818843573696e-07 , std 3.316182822523063e-06 
2023-05-09 14:23:58,017 INFO ofi_add_10_1: -1.5681022005989038e-07 , std 4.0898534105561625e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_1_1: -1.9126928683790293e-08 , std 1.403440204316745e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_2_1: -3.92378345010556e-08 , std 2.2629004690955397e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_3_1: -6.73706165975866e-08 , std 2.842050366804757e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_4_1: -7.869878230511053e-08 , std 3.182201222239766e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_5_1: -7.058485091685803e-08 , std 3.246594465976309e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_6_1: -5.911177246188097e-08 , std 2.7695219492801183e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_7_1: -4.430191908680861e-08 , std 2.548341233853916e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_8_1: -4.915591625299296e-08 , std 2.4992468402497322e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_9_1: -5.951889601415585e-08 , std 2.880885806337061e-06 
2023-05-09 14:23:58,017 INFO ofi_cancel_10_1: -5.2668507881118544e-08 , std 2.976086539188616e-06 
2023-05-09 14:23:58,017 INFO ofi_trade_1_1: -4.586370349829173e-09 , std 8.08644280583568e-07 
