2023-05-09 13:23:15,713 INFO Starting...
2023-05-09 13:23:15,713 INFO Tickers: ['V']
2023-05-09 13:24:48,222 INFO in_r2: 0.09823094500499126 , std 0.17070337489471601 
2023-05-09 13:24:48,223 INFO os_r2: -0.11440230592409266 , std 0.048170422347263465 
2023-05-09 13:24:48,223 INFO intercept: -4.8782802898188195e-06 , std 0.0002816404055327181 
2023-05-09 13:24:48,223 INFO ofi_add_1_1: -1.4805138334931728e-07 , std 3.4562177140839724e-06 
2023-05-09 13:24:48,223 INFO ofi_add_2_1: -1.0165072943778199e-07 , std 3.0958270231291657e-06 
2023-05-09 13:24:48,223 INFO ofi_add_3_1: -7.100813307120266e-08 , std 2.603754040733143e-06 
2023-05-09 13:24:48,223 INFO ofi_add_4_1: -5.9114285280145524e-08 , std 2.2975872514902528e-06 
2023-05-09 13:24:48,223 INFO ofi_add_5_1: -9.028958609996448e-08 , std 2.951053819187924e-06 
2023-05-09 13:24:48,223 INFO ofi_add_6_1: -1.0269643792008273e-07 , std 2.943098516072378e-06 
2023-05-09 13:24:48,223 INFO ofi_add_7_1: -1.0257771334311196e-07 , std 2.961764880771346e-06 
2023-05-09 13:24:48,223 INFO ofi_add_8_1: -7.934623646453596e-08 , std 2.5678699490198754e-06 
2023-05-09 13:24:48,223 INFO ofi_add_9_1: -5.978313698033533e-08 , std 2.564972598414827e-06 
2023-05-09 13:24:48,223 INFO ofi_add_10_1: -7.721084463953773e-08 , std 2.728797147485696e-06 
2023-05-09 13:24:48,223 INFO ofi_cancel_1_1: -2.1794987635431263e-08 , std 1.6916808632673035e-06 
2023-05-09 13:24:48,223 INFO ofi_cancel_2_1: -3.225488931929675e-08 , std 1.867603175995316e-06 
2023-05-09 13:24:48,223 INFO ofi_cancel_3_1: -4.859585083099031e-08 , std 2.216485394764055e-06 
2023-05-09 13:24:48,223 INFO ofi_cancel_4_1: -7.879017476939804e-08 , std 2.7417448170697737e-06 
2023-05-09 13:24:48,223 INFO ofi_cancel_5_1: -6.783736888482324e-08 , std 2.2500351461323073e-06 
2023-05-09 13:24:48,223 INFO ofi_cancel_6_1: -7.958715901398256e-08 , std 2.890095715087462e-06 
2023-05-09 13:24:48,223 INFO ofi_cancel_7_1: -4.597962956222503e-08 , std 1.829455578547044e-06 
2023-05-09 13:24:48,223 INFO ofi_cancel_8_1: -3.229242873590807e-08 , std 1.7648496369823957e-06 
2023-05-09 13:24:48,223 INFO ofi_cancel_9_1: -4.2228477935915935e-08 , std 1.8984194014807893e-06 
2023-05-09 13:24:48,223 INFO ofi_cancel_10_1: -3.603408337889844e-08 , std 1.6156138849249735e-06 
