2023-04-20 04:44:30,290 INFO Tickers: ['ABT']
2023-04-20 04:45:29,711 INFO in_r2: 0.9601411395814786 , std 0.036524122056393854 
2023-04-20 04:45:29,711 INFO os_r2: 0.9486012415197367 , std 0.047436192864079685 
2023-04-20 04:45:29,711 INFO intercept: -3.939167019661155e-08 , std 3.582393996743283e-06 
2023-04-20 04:45:29,711 INFO ofi_1: 4.8811969222615425e-05 , std 5.3059684477808195e-05 
2023-04-20 04:45:29,711 INFO ofi_2: 8.897176026467644e-05 , std 6.113856433819352e-05 
2023-04-20 04:45:29,711 INFO ofi_3: 7.14181468768566e-05 , std 4.935759732376215e-05 
2023-04-20 04:45:29,711 INFO ofi_4: 5.737029739818147e-05 , std 4.728405803887959e-05 
2023-04-20 04:45:29,711 INFO ofi_5: 6.73284442025897e-05 , std 6.586953318728309e-05 
2023-04-20 04:45:29,711 INFO ofi_6: 9.53779746819102e-05 , std 7.892832525768084e-05 
2023-04-20 04:45:29,711 INFO ofi_7: 0.00010518758522369479 , std 0.00010415921599365608 
2023-04-20 04:45:29,711 INFO ofi_8: 9.636873387222419e-05 , std 0.00011868187704669896 
2023-04-20 04:45:29,711 INFO ofi_9: 8.93740202169849e-05 , std 0.0001234063611447073 
2023-04-20 04:45:29,711 INFO ofi_10: 0.00012006427641406225 , std 0.00014007905056797793 
2023-04-20 04:45:29,711 INFO t_intercept: 0.0011974646503023468 , std 1.0375809403913476 
2023-04-20 04:45:29,711 INFO t_ofi_1: 2.2092731440771542 , std 2.0790220134304764 
2023-04-20 04:45:29,711 INFO t_ofi_2: 3.204244978414906 , std 2.000781734486133 
2023-04-20 04:45:29,711 INFO t_ofi_3: 2.9529344289679984 , std 1.9422452203561444 
2023-04-20 04:45:29,711 INFO t_ofi_4: 2.4957851289520234 , std 1.8058201262440616 
2023-04-20 04:45:29,711 INFO t_ofi_5: 2.471463123736502 , std 2.1511997826327782 
2023-04-20 04:45:29,711 INFO t_ofi_6: 2.6447150171629827 , std 2.0815045193218866 
2023-04-20 04:45:29,711 INFO t_ofi_7: 2.2439012194431167 , std 1.9800102901423597 
2023-04-20 04:45:29,712 INFO t_ofi_8: 1.7452635561164178 , std 1.8698096027619406 
2023-04-20 04:45:29,712 INFO t_ofi_9: 1.517746404713443 , std 1.8338375056591179 
2023-04-20 04:45:29,712 INFO t_ofi_10: 2.0313656715441386 , std 2.0343583224127673 
2023-04-20 04:45:29,712 INFO p_intercept: 0.4939496413869512 , std 0.29531781917956756 
2023-04-20 04:45:29,712 INFO p_ofi_1: 0.19075982314161866 , std 0.275869582208059 
2023-04-20 04:45:29,712 INFO p_ofi_2: 0.09624187345275703 , std 0.205522484477439 
2023-04-20 04:45:29,712 INFO p_ofi_3: 0.11308768631106585 , std 0.220526288057255 
2023-04-20 04:45:29,712 INFO p_ofi_4: 0.1516149268583614 , std 0.24955401438511693 
2023-04-20 04:45:29,712 INFO p_ofi_5: 0.1810947148938594 , std 0.2709363895368862 
2023-04-20 04:45:29,712 INFO p_ofi_6: 0.15165470952414115 , std 0.2508015270681703 
2023-04-20 04:45:29,712 INFO p_ofi_7: 0.18551841545623537 , std 0.26975739876874905 
2023-04-20 04:45:29,712 INFO p_ofi_8: 0.23567007785266836 , std 0.289322108611472 
2023-04-20 04:45:29,712 INFO p_ofi_9: 0.25749658017951893 , std 0.29500132919739247 
2023-04-20 04:45:29,712 INFO p_ofi_10: 0.2089908607667504 , std 0.28199179123394913 
