2023-04-20 04:45:30,007 INFO Tickers: ['ACN']
2023-04-20 04:45:49,486 INFO Negative OS: -0.015975976549748028 --- ticker ACN --- day 2018-02-06 --- time 48600
2023-04-20 04:45:49,715 INFO Negative OS: -0.3272632592607514 --- ticker ACN --- day 2018-02-09 --- time 43200
2023-04-20 04:45:53,110 INFO Negative OS: -0.7313442936763614 --- ticker ACN --- day 2018-04-18 --- time 39600
2023-04-20 04:45:53,417 INFO Negative OS: -0.08449389334906887 --- ticker ACN --- day 2018-04-24 --- time 45000
2023-04-20 04:46:06,671 INFO Negative OS: -0.025380233635133198 --- ticker ACN --- day 2019-01-02 --- time 50400
2023-04-20 04:46:21,464 INFO Negative OS: -0.4415044374956325 --- ticker ACN --- day 2019-10-03 --- time 36000
2023-04-20 04:46:25,157 INFO in_r2: 0.8280370396516036 , std 0.07864932142920233 
2023-04-20 04:46:25,157 INFO os_r2: 0.7862529238721004 , std 0.1163835471502132 
2023-04-20 04:46:25,157 INFO intercept: -2.316942990314523e-07 , std 9.559471051607522e-06 
2023-04-20 04:46:25,157 INFO ofi_1: 0.00011264932033532153 , std 8.615417598733693e-05 
2023-04-20 04:46:25,157 INFO ofi_2: 0.000123484268867347 , std 8.264047648030077e-05 
2023-04-20 04:46:25,157 INFO ofi_3: 7.521586734297245e-05 , std 7.647646104573272e-05 
2023-04-20 04:46:25,157 INFO ofi_4: 4.735883340071814e-05 , std 7.51148577912697e-05 
2023-04-20 04:46:25,157 INFO ofi_5: 3.8032867131994306e-05 , std 8.450547658607761e-05 
2023-04-20 04:46:25,157 INFO ofi_6: 3.0958677581413325e-05 , std 9.12855299609389e-05 
2023-04-20 04:46:25,157 INFO ofi_7: 2.513702320295135e-05 , std 8.868038753132642e-05 
2023-04-20 04:46:25,157 INFO ofi_8: 2.0749403463831508e-05 , std 8.828861831597625e-05 
2023-04-20 04:46:25,157 INFO ofi_9: 1.5369405501691112e-05 , std 8.948735890917932e-05 
2023-04-20 04:46:25,157 INFO ofi_10: 1.4426689029410084e-05 , std 7.912376006195339e-05 
2023-04-20 04:46:25,157 INFO t_intercept: 0.002752055520420663 , std 1.0839876299596514 
2023-04-20 04:46:25,157 INFO t_ofi_1: 2.9857283074428085 , std 1.7206342871782987 
2023-04-20 04:46:25,157 INFO t_ofi_2: 2.820686168745047 , std 1.4362398814206045 
2023-04-20 04:46:25,157 INFO t_ofi_3: 1.6342706390323916 , std 1.3181295696753306 
2023-04-20 04:46:25,157 INFO t_ofi_4: 1.0032324103094752 , std 1.2808748726628323 
2023-04-20 04:46:25,157 INFO t_ofi_5: 0.7491452169510376 , std 1.2148129128575806 
2023-04-20 04:46:25,157 INFO t_ofi_6: 0.6090932462818736 , std 1.2838341668044293 
2023-04-20 04:46:25,157 INFO t_ofi_7: 0.48407473959674174 , std 1.2193487702395838 
2023-04-20 04:46:25,157 INFO t_ofi_8: 0.4138060117274952 , std 1.2624036468481121 
2023-04-20 04:46:25,157 INFO t_ofi_9: 0.3182871283168517 , std 1.241758493543105 
2023-04-20 04:46:25,157 INFO t_ofi_10: 0.37150461727144685 , std 1.3486643814967396 
2023-04-20 04:46:25,157 INFO p_intercept: 0.4802306589400065 , std 0.29336734939734554 
2023-04-20 04:46:25,157 INFO p_ofi_1: 0.09368331963832116 , std 0.19890482463863543 
2023-04-20 04:46:25,157 INFO p_ofi_2: 0.08708942965356933 , std 0.1872153205377961 
2023-04-20 04:46:25,157 INFO p_ofi_3: 0.23520984929112723 , std 0.2811338280683469 
2023-04-20 04:46:25,158 INFO p_ofi_4: 0.34485309575561046 , std 0.30769844316245526 
2023-04-20 04:46:25,158 INFO p_ofi_5: 0.3831895482097006 , std 0.30408730333096706 
2023-04-20 04:46:25,158 INFO p_ofi_6: 0.39407851984536385 , std 0.3094362233359399 
2023-04-20 04:46:25,158 INFO p_ofi_7: 0.4166608631313278 , std 0.3016621687353711 
2023-04-20 04:46:25,158 INFO p_ofi_8: 0.42012044265577964 , std 0.30541063288294057 
2023-04-20 04:46:25,158 INFO p_ofi_9: 0.4260286075509693 , std 0.30095369258890664 
2023-04-20 04:46:25,158 INFO p_ofi_10: 0.3995535541465213 , std 0.30925640921379227 
