2023-04-20 04:43:37,929 INFO Tickers: ['ADBE']
2023-04-20 04:43:59,876 INFO Negative OS: -0.07348720856139024 --- ticker ADBE --- day 2018-02-12 --- time 37800
2023-04-20 04:44:06,389 INFO Negative OS: -0.9400606882503919 --- ticker ADBE --- day 2018-06-06 --- time 41400
2023-04-20 04:44:09,681 INFO Negative OS: -1.297494877588412 --- ticker ADBE --- day 2018-08-02 --- time 36000
2023-04-20 04:44:15,203 INFO Negative OS: -0.1826310955581778 --- ticker ADBE --- day 2018-11-05 --- time 52200
2023-04-20 04:44:19,657 INFO Negative OS: -0.07342774738483171 --- ticker ADBE --- day 2019-01-28 --- time 48600
2023-04-20 04:44:38,088 INFO in_r2: 0.8662165209465105 , std 0.06825727608544094 
2023-04-20 04:44:38,088 INFO os_r2: 0.829617844596411 , std 0.10016347094446733 
2023-04-20 04:44:38,088 INFO intercept: -1.3819095126862674e-07 , std 1.2604136132537524e-05 
2023-04-20 04:44:38,088 INFO ofi_1: 4.746650458840731e-05 , std 4.608356023703481e-05 
2023-04-20 04:44:38,088 INFO ofi_2: 6.79304475924013e-05 , std 5.433073756534968e-05 
2023-04-20 04:44:38,088 INFO ofi_3: 5.976095602727667e-05 , std 5.7441949795763084e-05 
2023-04-20 04:44:38,088 INFO ofi_4: 4.1524189569037725e-05 , std 5.848044191832622e-05 
2023-04-20 04:44:38,088 INFO ofi_5: 3.240278230796668e-05 , std 6.12641522302763e-05 
2023-04-20 04:44:38,089 INFO ofi_6: 2.772349994857845e-05 , std 6.202764216520348e-05 
2023-04-20 04:44:38,089 INFO ofi_7: 2.9818374515229116e-05 , std 6.247503291167187e-05 
2023-04-20 04:44:38,089 INFO ofi_8: 2.617816255541815e-05 , std 6.511879953222914e-05 
2023-04-20 04:44:38,089 INFO ofi_9: 2.423733031569782e-05 , std 6.397893965033487e-05 
2023-04-20 04:44:38,089 INFO ofi_10: 3.447363526863244e-05 , std 5.7926287244819504e-05 
2023-04-20 04:44:38,089 INFO t_intercept: -0.020905548962319317 , std 1.2900658679818973 
2023-04-20 04:44:38,089 INFO t_ofi_1: 2.0179664882968718 , std 1.7003929308926593 
2023-04-20 04:44:38,089 INFO t_ofi_2: 2.0598054491159887 , std 1.400792911431439 
2023-04-20 04:44:38,089 INFO t_ofi_3: 1.6081366162564983 , std 1.3258345855750584 
2023-04-20 04:44:38,089 INFO t_ofi_4: 1.1065840481674118 , std 1.296342852621585 
2023-04-20 04:44:38,089 INFO t_ofi_5: 0.877235816804096 , std 1.3139001834311714 
2023-04-20 04:44:38,089 INFO t_ofi_6: 0.7049961861117525 , std 1.2635061130991725 
2023-04-20 04:44:38,089 INFO t_ofi_7: 0.725352477656357 , std 1.2610705631190777 
2023-04-20 04:44:38,089 INFO t_ofi_8: 0.6166001654420581 , std 1.2693676532325047 
2023-04-20 04:44:38,089 INFO t_ofi_9: 0.5686336632400645 , std 1.2542592411264315 
2023-04-20 04:44:38,089 INFO t_ofi_10: 0.9534267641641324 , std 1.3800158820807846 
2023-04-20 04:44:38,089 INFO p_intercept: 0.4323872448073893 , std 0.3074349386159575 
2023-04-20 04:44:38,089 INFO p_ofi_1: 0.1968041986780579 , std 0.2738685666010806 
2023-04-20 04:44:38,089 INFO p_ofi_2: 0.17673139633510718 , std 0.25631796792817624 
2023-04-20 04:44:38,089 INFO p_ofi_3: 0.24039534689559225 , std 0.2799801811770607 
2023-04-20 04:44:38,089 INFO p_ofi_4: 0.32504155406428514 , std 0.3035736254849439 
2023-04-20 04:44:38,089 INFO p_ofi_5: 0.3539230182184167 , std 0.3049685976964128 
2023-04-20 04:44:38,089 INFO p_ofi_6: 0.3881070047139256 , std 0.30508136228881366 
2023-04-20 04:44:38,089 INFO p_ofi_7: 0.3898261783095624 , std 0.3102051160021915 
2023-04-20 04:44:38,089 INFO p_ofi_8: 0.39829508861716983 , std 0.30503053836861876 
2023-04-20 04:44:38,089 INFO p_ofi_9: 0.40652832713179665 , std 0.3070267892145577 
2023-04-20 04:44:38,089 INFO p_ofi_10: 0.33964359560487883 , std 0.30721424837368294 
