2023-04-20 04:44:33,548 INFO Tickers: ['AMGN']
2023-04-20 04:44:58,290 INFO Negative OS: -0.004100216348393415 --- ticker AMGN --- day 2018-03-26 --- time 41400
2023-04-20 04:45:00,166 INFO Negative OS: -0.15521843303068272 --- ticker AMGN --- day 2018-04-27 --- time 39600
2023-04-20 04:45:12,421 INFO Negative OS: -0.13508780970165812 --- ticker AMGN --- day 2018-11-30 --- time 39600
2023-04-20 04:45:16,888 INFO Negative OS: -0.21866157646274287 --- ticker AMGN --- day 2019-02-22 --- time 36000
2023-04-20 04:45:16,903 INFO Negative OS: -0.14795126089597588 --- ticker AMGN --- day 2019-02-22 --- time 41400
2023-04-20 04:45:33,561 INFO in_r2: 0.8619725010835446 , std 0.06049401229527209 
2023-04-20 04:45:33,561 INFO os_r2: 0.8238653852830315 , std 0.09334942594089071 
2023-04-20 04:45:33,561 INFO intercept: -3.0376631103315275e-07 , std 1.1935403574974348e-05 
2023-04-20 04:45:33,561 INFO ofi_1: 6.564268808595255e-05 , std 5.244781324263766e-05 
2023-04-20 04:45:33,561 INFO ofi_2: 7.47182586696179e-05 , std 5.619037613877392e-05 
2023-04-20 04:45:33,561 INFO ofi_3: 6.542581848208158e-05 , std 5.8220863852776755e-05 
2023-04-20 04:45:33,561 INFO ofi_4: 4.3776311552028746e-05 , std 5.802527209051963e-05 
2023-04-20 04:45:33,561 INFO ofi_5: 3.4399084289611044e-05 , std 6.002071899133249e-05 
2023-04-20 04:45:33,561 INFO ofi_6: 2.8874088329239835e-05 , std 6.404741994007134e-05 
2023-04-20 04:45:33,561 INFO ofi_7: 2.975133851886585e-05 , std 6.957815402331361e-05 
2023-04-20 04:45:33,561 INFO ofi_8: 2.628283804849139e-05 , std 6.907253789916022e-05 
2023-04-20 04:45:33,561 INFO ofi_9: 2.115423610778885e-05 , std 6.81127198185245e-05 
2023-04-20 04:45:33,561 INFO ofi_10: 2.4709129245969098e-05 , std 5.814380245483867e-05 
2023-04-20 04:45:33,561 INFO t_intercept: -0.0689235144563009 , std 1.2430911628253438 
2023-04-20 04:45:33,562 INFO t_ofi_1: 2.5871577224157147 , std 1.708524946411374 
2023-04-20 04:45:33,562 INFO t_ofi_2: 2.2498720943358235 , std 1.4548801027035188 
2023-04-20 04:45:33,562 INFO t_ofi_3: 1.7758830147975735 , std 1.3579796113274176 
2023-04-20 04:45:33,562 INFO t_ofi_4: 1.1702956837569336 , std 1.3180885709159555 
2023-04-20 04:45:33,562 INFO t_ofi_5: 0.8941282010391889 , std 1.2939848406986956 
2023-04-20 04:45:33,562 INFO t_ofi_6: 0.6981060074827212 , std 1.2573982004613853 
2023-04-20 04:45:33,562 INFO t_ofi_7: 0.6916134480025942 , std 1.2829561345153135 
2023-04-20 04:45:33,562 INFO t_ofi_8: 0.6102126915235243 , std 1.2861173831872152 
2023-04-20 04:45:33,562 INFO t_ofi_9: 0.4745556570970036 , std 1.2433475217999315 
2023-04-20 04:45:33,562 INFO t_ofi_10: 0.7024714090086794 , std 1.3883095232667482 
2023-04-20 04:45:33,562 INFO p_intercept: 0.4468603892965445 , std 0.3066116934374655 
2023-04-20 04:45:33,562 INFO p_ofi_1: 0.12923797812044355 , std 0.22997749707123924 
2023-04-20 04:45:33,562 INFO p_ofi_2: 0.15221856316358123 , std 0.24009833588144136 
2023-04-20 04:45:33,562 INFO p_ofi_3: 0.21685873309793138 , std 0.27576411359435177 
2023-04-20 04:45:33,562 INFO p_ofi_4: 0.3140252693110013 , std 0.30567846981013325 
2023-04-20 04:45:33,562 INFO p_ofi_5: 0.3584820679998427 , std 0.3084238373008023 
2023-04-20 04:45:33,562 INFO p_ofi_6: 0.38892070540044066 , std 0.3067258842273627 
2023-04-20 04:45:33,562 INFO p_ofi_7: 0.3831566165206554 , std 0.30273506895267555 
2023-04-20 04:45:33,562 INFO p_ofi_8: 0.402317672376461 , std 0.3092771525060896 
2023-04-20 04:45:33,562 INFO p_ofi_9: 0.41940030390706057 , std 0.3059667360409397 
2023-04-20 04:45:33,562 INFO p_ofi_10: 0.37105433844177427 , std 0.3063968365754498 
