2023-04-20 04:45:41,431 INFO Tickers: ['AVGO']
2023-04-20 04:46:01,344 INFO Negative OS: -1.6172440647310014 --- ticker AVGO --- day 2018-01-17 --- time 46800
2023-04-20 04:46:04,680 INFO Negative OS: -1.5264223570884625 --- ticker AVGO --- day 2018-03-14 --- time 41400
2023-04-20 04:46:07,871 INFO Negative OS: -0.5133077294743511 --- ticker AVGO --- day 2018-05-07 --- time 46800
2023-04-20 04:46:29,196 INFO Negative OS: -0.04382057167089726 --- ticker AVGO --- day 2019-05-20 --- time 48600
2023-04-20 04:46:36,291 INFO Negative OS: -0.19709556348333912 --- ticker AVGO --- day 2019-09-25 --- time 50400
2023-04-20 04:46:38,718 INFO Negative OS: -0.19431853647143837 --- ticker AVGO --- day 2019-11-07 --- time 52200
2023-04-20 04:46:40,664 INFO in_r2: 0.8356159958349012 , std 0.07259955097833391 
2023-04-20 04:46:40,664 INFO os_r2: 0.7826329561561465 , std 0.12403808083205356 
2023-04-20 04:46:40,664 INFO intercept: -1.2259010636256216e-07 , std 1.6545763744016965e-05 
2023-04-20 04:46:40,664 INFO ofi_1: 5.903437302057144e-05 , std 5.6835265996461166e-05 
2023-04-20 04:46:40,664 INFO ofi_2: 8.15706707377556e-05 , std 7.306290021722298e-05 
2023-04-20 04:46:40,664 INFO ofi_3: 7.057263299839453e-05 , std 7.508934267297299e-05 
2023-04-20 04:46:40,664 INFO ofi_4: 4.758279302311844e-05 , std 7.40976763413971e-05 
2023-04-20 04:46:40,664 INFO ofi_5: 3.651014524149388e-05 , std 7.5945940756419e-05 
2023-04-20 04:46:40,664 INFO ofi_6: 2.9439908373633685e-05 , std 7.785355040910618e-05 
2023-04-20 04:46:40,664 INFO ofi_7: 3.093625014146822e-05 , std 8.338595718062873e-05 
2023-04-20 04:46:40,664 INFO ofi_8: 2.826935609415108e-05 , std 8.65790090020047e-05 
2023-04-20 04:46:40,664 INFO ofi_9: 2.332301631064119e-05 , std 8.597075230759494e-05 
2023-04-20 04:46:40,664 INFO ofi_10: 2.9974992347022173e-05 , std 7.34616579892585e-05 
2023-04-20 04:46:40,664 INFO t_intercept: -0.003928178280414959 , std 1.372349046632126 
2023-04-20 04:46:40,664 INFO t_ofi_1: 2.267360603604682 , std 1.810415914860935 
2023-04-20 04:46:40,664 INFO t_ofi_2: 2.050951042447682 , std 1.4485425802493066 
2023-04-20 04:46:40,664 INFO t_ofi_3: 1.583428365749472 , std 1.379653608257956 
2023-04-20 04:46:40,664 INFO t_ofi_4: 1.0229291805287817 , std 1.3260552386861784 
2023-04-20 04:46:40,664 INFO t_ofi_5: 0.7370065431539343 , std 1.2920527940815525 
2023-04-20 04:46:40,664 INFO t_ofi_6: 0.5867707181744364 , std 1.2582718858140691 
2023-04-20 04:46:40,664 INFO t_ofi_7: 0.5895961368611096 , std 1.2703566261009802 
2023-04-20 04:46:40,664 INFO t_ofi_8: 0.5111175417850773 , std 1.2417604235464341 
2023-04-20 04:46:40,664 INFO t_ofi_9: 0.4505733085470209 , std 1.2407163112414696 
2023-04-20 04:46:40,664 INFO t_ofi_10: 0.7073994937387618 , std 1.4174789117177884 
2023-04-20 04:46:40,664 INFO p_intercept: 0.4087650425611811 , std 0.307109770439391 
2023-04-20 04:46:40,664 INFO p_ofi_1: 0.16176203671059874 , std 0.2535018436318391 
2023-04-20 04:46:40,664 INFO p_ofi_2: 0.1792792151129962 , std 0.25918724162227746 
2023-04-20 04:46:40,664 INFO p_ofi_3: 0.24388249521687688 , std 0.28672290872786055 
2023-04-20 04:46:40,664 INFO p_ofi_4: 0.3383362649920741 , std 0.30783819834662546 
2023-04-20 04:46:40,664 INFO p_ofi_5: 0.38341635023455617 , std 0.31186538424601834 
2023-04-20 04:46:40,664 INFO p_ofi_6: 0.401849414829813 , std 0.3085600502722675 
2023-04-20 04:46:40,664 INFO p_ofi_7: 0.4019382654045976 , std 0.3075604626122136 
2023-04-20 04:46:40,664 INFO p_ofi_8: 0.4119837572653619 , std 0.3062714791265708 
2023-04-20 04:46:40,664 INFO p_ofi_9: 0.4186164006958987 , std 0.3032754115471955 
2023-04-20 04:46:40,664 INFO p_ofi_10: 0.36057232174764436 , std 0.30595120623455596 
