2023-04-20 04:48:33,850 INFO Tickers: ['AXP']
2023-04-20 04:49:32,011 INFO Negative OS: -0.13382297214024574 --- ticker AXP --- day 2019-10-29 --- time 36000
2023-04-20 04:49:34,697 INFO in_r2: 0.921901328593849 , std 0.044541511716398266 
2023-04-20 04:49:34,697 INFO os_r2: 0.9061120370559314 , std 0.059727862502124626 
2023-04-20 04:49:34,697 INFO intercept: -1.2863666233641834e-08 , std 4.94144623095754e-06 
2023-04-20 04:49:34,697 INFO ofi_1: 4.9024777031070994e-05 , std 6.497889171279379e-05 
2023-04-20 04:49:34,697 INFO ofi_2: 8.198388218086616e-05 , std 6.209425869278393e-05 
2023-04-20 04:49:34,697 INFO ofi_3: 6.57460165448676e-05 , std 5.601146225941371e-05 
2023-04-20 04:49:34,697 INFO ofi_4: 4.687320016178401e-05 , std 5.4718046998578207e-05 
2023-04-20 04:49:34,697 INFO ofi_5: 4.099507900629452e-05 , std 5.2453091583275944e-05 
2023-04-20 04:49:34,697 INFO ofi_6: 4.286331352459223e-05 , std 5.4562669580150627e-05 
2023-04-20 04:49:34,697 INFO ofi_7: 4.877191239880972e-05 , std 6.855056455624279e-05 
2023-04-20 04:49:34,697 INFO ofi_8: 5.0982712740882645e-05 , std 7.252186963176085e-05 
2023-04-20 04:49:34,697 INFO ofi_9: 4.60588482327582e-05 , std 7.742424854435844e-05 
2023-04-20 04:49:34,697 INFO ofi_10: 5.0978624392615884e-05 , std 8.07447586940861e-05 
2023-04-20 04:49:34,697 INFO t_intercept: -0.0022559961507004453 , std 0.9841615141504326 
2023-04-20 04:49:34,697 INFO t_ofi_1: 1.5223996507162667 , std 1.9603028278027685 
2023-04-20 04:49:34,697 INFO t_ofi_2: 2.2092353030728638 , std 1.547758020334457 
2023-04-20 04:49:34,697 INFO t_ofi_3: 1.7613532027754781 , std 1.367034277952583 
2023-04-20 04:49:34,697 INFO t_ofi_4: 1.3063016358675181 , std 1.3672507266339307 
2023-04-20 04:49:34,697 INFO t_ofi_5: 1.188338937150182 , std 1.3655907444757893 
2023-04-20 04:49:34,697 INFO t_ofi_6: 1.1821946333008393 , std 1.31350864524971 
2023-04-20 04:49:34,697 INFO t_ofi_7: 1.120980567782882 , std 1.409707995399737 
2023-04-20 04:49:34,697 INFO t_ofi_8: 1.07496585194125 , std 1.342066701076395 
2023-04-20 04:49:34,697 INFO t_ofi_9: 0.9141884865909881 , std 1.3711824643435067 
2023-04-20 04:49:34,697 INFO t_ofi_10: 1.0560723205780755 , std 1.534284956427505 
2023-04-20 04:49:34,697 INFO p_intercept: 0.5103744155014727 , std 0.2873040132345247 
2023-04-20 04:49:34,697 INFO p_ofi_1: 0.22184341654158224 , std 0.2884972832167323 
2023-04-20 04:49:34,697 INFO p_ofi_2: 0.16351494624238366 , std 0.25229079900376616 
2023-04-20 04:49:34,697 INFO p_ofi_3: 0.22097778405359766 , std 0.27840912946570434 
2023-04-20 04:49:34,697 INFO p_ofi_4: 0.28871238602961924 , std 0.29953569922724477 
2023-04-20 04:49:34,697 INFO p_ofi_5: 0.3135671996208496 , std 0.30567937643834414 
2023-04-20 04:49:34,698 INFO p_ofi_6: 0.31545623222091074 , std 0.30335551633945584 
2023-04-20 04:49:34,698 INFO p_ofi_7: 0.3266272487308221 , std 0.30708441069139664 
2023-04-20 04:49:34,698 INFO p_ofi_8: 0.3275163682540751 , std 0.3031643919847947 
2023-04-20 04:49:34,698 INFO p_ofi_9: 0.3489477428675438 , std 0.3043774871468924 
2023-04-20 04:49:34,698 INFO p_ofi_10: 0.32288753278428284 , std 0.3056492480879943 
