2023-04-20 04:40:32,041 INFO Tickers: ['BRK.B']
2023-04-20 04:40:58,338 INFO Negative OS: -0.5535748515222076 --- ticker BRK.B --- day 2018-05-11 --- time 48600
2023-04-20 04:41:09,241 INFO Negative OS: -1.721944127437887 --- ticker BRK.B --- day 2018-11-29 --- time 39600
2023-04-20 04:41:28,285 INFO Negative OS: -0.5578703359274868 --- ticker BRK.B --- day 2019-11-13 --- time 48600
2023-04-20 04:41:29,960 INFO in_r2: 0.8562985731684313 , std 0.06609191854981825 
2023-04-20 04:41:29,960 INFO os_r2: 0.8237467571415544 , std 0.0987515213893682 
2023-04-20 04:41:29,960 INFO intercept: 3.790232809642422e-09 , std 6.509004472266433e-06 
2023-04-20 04:41:29,960 INFO ofi_1: 4.8288885996543224e-05 , std 6.520071565898823e-05 
2023-04-20 04:41:29,960 INFO ofi_2: 7.789380748328257e-05 , std 6.293684514310446e-05 
2023-04-20 04:41:29,960 INFO ofi_3: 5.3719759040941136e-05 , std 5.460738391063785e-05 
2023-04-20 04:41:29,960 INFO ofi_4: 3.846163054712225e-05 , std 5.3547473743964604e-05 
2023-04-20 04:41:29,960 INFO ofi_5: 2.711089604043306e-05 , std 5.212440933992544e-05 
2023-04-20 04:41:29,960 INFO ofi_6: 2.6198635951550314e-05 , std 5.3440187451715517e-05 
2023-04-20 04:41:29,960 INFO ofi_7: 1.849433293895474e-05 , std 5.477692715568184e-05 
2023-04-20 04:41:29,960 INFO ofi_8: 2.101719712938646e-05 , std 5.521312540473752e-05 
2023-04-20 04:41:29,960 INFO ofi_9: 1.658417254002499e-05 , std 5.471505784017737e-05 
2023-04-20 04:41:29,960 INFO ofi_10: 2.1505864501555223e-05 , std 5.0560878654492654e-05 
2023-04-20 04:41:29,960 INFO t_intercept: 0.005492600942369474 , std 0.9820277611758582 
2023-04-20 04:41:29,960 INFO t_ofi_1: 1.4899638116274143 , std 1.7224676670930104 
2023-04-20 04:41:29,960 INFO t_ofi_2: 2.1485946799267954 , std 1.441191992929755 
2023-04-20 04:41:29,960 INFO t_ofi_3: 1.4084227801913993 , std 1.2679730760652517 
2023-04-20 04:41:29,960 INFO t_ofi_4: 1.0009854951744102 , std 1.2643259922689218 
2023-04-20 04:41:29,960 INFO t_ofi_5: 0.7007956450126585 , std 1.2319127249891213 
2023-04-20 04:41:29,960 INFO t_ofi_6: 0.668267714679425 , std 1.212732732006716 
2023-04-20 04:41:29,960 INFO t_ofi_7: 0.48177414300005506 , std 1.2143018608760692 
2023-04-20 04:41:29,960 INFO t_ofi_8: 0.5285761454354302 , std 1.2183449031830174 
2023-04-20 04:41:29,960 INFO t_ofi_9: 0.4092111852377167 , std 1.1915369688057729 
2023-04-20 04:41:29,961 INFO t_ofi_10: 0.6336851927502944 , std 1.3009997222492289 
2023-04-20 04:41:29,961 INFO p_intercept: 0.5184810052300811 , std 0.286570405342388 
2023-04-20 04:41:29,961 INFO p_ofi_1: 0.26860478749432853 , std 0.30275272465798747 
2023-04-20 04:41:29,961 INFO p_ofi_2: 0.16811305740864171 , std 0.2536157344097825 
2023-04-20 04:41:29,961 INFO p_ofi_3: 0.27373151356173137 , std 0.2902951274116625 
2023-04-20 04:41:29,961 INFO p_ofi_4: 0.34000587552192635 , std 0.30413253448074534 
2023-04-20 04:41:29,961 INFO p_ofi_5: 0.3945443785005804 , std 0.307363861001586 
2023-04-20 04:41:29,961 INFO p_ofi_6: 0.4062073483352148 , std 0.3097777366231839 
2023-04-20 04:41:29,961 INFO p_ofi_7: 0.42361112473825474 , std 0.3058908138122003 
2023-04-20 04:41:29,961 INFO p_ofi_8: 0.4099628784254344 , std 0.3061591489740105 
2023-04-20 04:41:29,961 INFO p_ofi_9: 0.429992642527364 , std 0.3062672493562117 
2023-04-20 04:41:29,961 INFO p_ofi_10: 0.39533026621849915 , std 0.3079736945412533 
