2023-04-20 04:51:45,041 INFO Tickers: ['BSX']
2023-04-20 04:51:45,894 INFO Negative OS: -4.095103354176534 --- ticker BSX --- day 2017-01-18 --- time 50400
2023-04-20 04:52:41,532 INFO in_r2: 0.9894912128665123 , std 0.012603142177091343 
2023-04-20 04:52:41,532 INFO os_r2: 0.9821501421162121 , std 0.07439064498362229 
2023-04-20 04:52:41,532 INFO intercept: 5.11708307477848e-08 , std 3.0337895204451965e-06 
2023-04-20 04:52:41,532 INFO ofi_1: 4.336256446956092e-05 , std 4.291006430625887e-05 
2023-04-20 04:52:41,532 INFO ofi_2: 9.849781353718626e-05 , std 7.294201043191037e-05 
2023-04-20 04:52:41,532 INFO ofi_3: 0.00013637173695013697 , std 8.484460547380525e-05 
2023-04-20 04:52:41,532 INFO ofi_4: 0.00016249506732602173 , std 0.00010216438333723766 
2023-04-20 04:52:41,532 INFO ofi_5: 0.0001714626887940715 , std 0.0001245486064562842 
2023-04-20 04:52:41,532 INFO ofi_6: 0.0001871065404198237 , std 0.00013124703301484577 
2023-04-20 04:52:41,532 INFO ofi_7: 0.00020148827245774188 , std 0.00015748766071908935 
2023-04-20 04:52:41,532 INFO ofi_8: 0.00017706577456485533 , std 0.00016136319097659522 
2023-04-20 04:52:41,532 INFO ofi_9: 0.0001601400442354915 , std 0.00016466307681727436 
2023-04-20 04:52:41,532 INFO ofi_10: 0.0001842334874275579 , std 0.00017561920075097966 
2023-04-20 04:52:41,532 INFO t_intercept: 0.02431533227212105 , std 1.1060733911761846 
2023-04-20 04:52:41,532 INFO t_ofi_1: 2.702337670514053 , std 2.4209647977758135 
2023-04-20 04:52:41,532 INFO t_ofi_2: 3.0583361689476347 , std 2.1957911795564624 
2023-04-20 04:52:41,532 INFO t_ofi_3: 3.6276569057561336 , std 2.331261853087657 
2023-04-20 04:52:41,532 INFO t_ofi_4: 3.817459507802314 , std 2.5056007853508437 
2023-04-20 04:52:41,532 INFO t_ofi_5: 3.637799124267113 , std 2.5705558178720054 
2023-04-20 04:52:41,532 INFO t_ofi_6: 3.64834185370819 , std 2.628242914412492 
2023-04-20 04:52:41,532 INFO t_ofi_7: 3.5224759013124767 , std 2.78469633632431 
2023-04-20 04:52:41,533 INFO t_ofi_8: 2.9976984355413463 , std 2.925036336864074 
2023-04-20 04:52:41,533 INFO t_ofi_9: 2.822565223601991 , std 2.877914556235691 
2023-04-20 04:52:41,533 INFO t_ofi_10: 3.2787478379760264 , std 2.9758144236591666 
2023-04-20 04:52:41,533 INFO p_intercept: 0.46775727137840056 , std 0.2963561429370455 
2023-04-20 04:52:41,533 INFO p_ofi_1: 0.16062945263232045 , std 0.26192658388315265 
2023-04-20 04:52:41,533 INFO p_ofi_2: 0.11590819662476301 , std 0.22618241512991016 
2023-04-20 04:52:41,533 INFO p_ofi_3: 0.07802269353452469 , std 0.18998705714501427 
2023-04-20 04:52:41,533 INFO p_ofi_4: 0.07883477337200692 , std 0.19241260145153427 
2023-04-20 04:52:41,533 INFO p_ofi_5: 0.09080647059239805 , std 0.20378057026507315 
2023-04-20 04:52:41,533 INFO p_ofi_6: 0.08756672677282445 , std 0.1976934817336239 
2023-04-20 04:52:41,533 INFO p_ofi_7: 0.09632804511983695 , std 0.20770226923983817 
2023-04-20 04:52:41,533 INFO p_ofi_8: 0.13467139971074335 , std 0.2430905913795146 
2023-04-20 04:52:41,533 INFO p_ofi_9: 0.1478676035425354 , std 0.25428039516769535 
2023-04-20 04:52:41,533 INFO p_ofi_10: 0.12857315802705652 , std 0.24145306237612 
