2023-04-20 04:50:17,349 INFO Tickers: ['CB']
2023-04-20 04:50:35,843 INFO Negative OS: -0.02168459168753456 --- ticker CB --- day 2018-01-24 --- time 50400
2023-04-20 04:50:36,534 INFO Negative OS: -0.04042572750598983 --- ticker CB --- day 2018-02-07 --- time 50400
2023-04-20 04:50:37,177 INFO Negative OS: -0.9133620298705789 --- ticker CB --- day 2018-02-21 --- time 52200
2023-04-20 04:50:37,587 INFO Negative OS: -0.24505283901971997 --- ticker CB --- day 2018-03-01 --- time 52200
2023-04-20 04:50:38,881 INFO Negative OS: -0.31328957540145486 --- ticker CB --- day 2018-03-28 --- time 52200
2023-04-20 04:50:39,028 INFO Negative OS: -1.1076659285512411 --- ticker CB --- day 2018-04-02 --- time 52200
2023-04-20 04:50:42,584 INFO Negative OS: -0.9420614856217833 --- ticker CB --- day 2018-06-14 --- time 39600
2023-04-20 04:50:49,781 INFO Negative OS: -0.14989654401564656 --- ticker CB --- day 2018-11-01 --- time 36000
2023-04-20 04:50:49,804 INFO Negative OS: -0.46652098877513004 --- ticker CB --- day 2018-11-01 --- time 45000
2023-04-20 04:50:50,575 INFO Negative OS: -0.05551730044158698 --- ticker CB --- day 2018-11-15 --- time 45000
2023-04-20 04:50:52,044 INFO Negative OS: -0.03480182737952364 --- ticker CB --- day 2018-12-17 --- time 36000
2023-04-20 04:50:52,462 INFO Negative OS: -0.1045978691146705 --- ticker CB --- day 2018-12-24 --- time 41400
2023-04-20 04:50:54,457 INFO Negative OS: -0.025214830828994783 --- ticker CB --- day 2019-02-01 --- time 52200
2023-04-20 04:51:10,831 INFO in_r2: 0.802219694006966 , std 0.09909373470976755 
2023-04-20 04:51:10,832 INFO os_r2: 0.7412932064888448 , std 0.1671538531510315 
2023-04-20 04:51:10,832 INFO intercept: 1.6911553605676608e-07 , std 1.1833955408014125e-05 
2023-04-20 04:51:10,832 INFO ofi_1: 0.00013571793505150588 , std 0.00012023075051502536 
2023-04-20 04:51:10,832 INFO ofi_2: 0.00012506073656193828 , std 0.00010797143549943167 
2023-04-20 04:51:10,832 INFO ofi_3: 7.276047702035299e-05 , std 8.727482896183032e-05 
2023-04-20 04:51:10,832 INFO ofi_4: 5.3255137068361636e-05 , std 0.00011539626152853118 
2023-04-20 04:51:10,832 INFO ofi_5: 4.545633376720896e-05 , std 0.00014527701052776038 
2023-04-20 04:51:10,832 INFO ofi_6: 4.9162138182109053e-05 , std 0.0001370006701850573 
2023-04-20 04:51:10,832 INFO ofi_7: 4.530890638020083e-05 , std 0.00013948265523850033 
2023-04-20 04:51:10,832 INFO ofi_8: 3.734440697511171e-05 , std 0.00014178278211339276 
2023-04-20 04:51:10,832 INFO ofi_9: 2.5161887303506116e-05 , std 0.00013304092750147974 
2023-04-20 04:51:10,832 INFO ofi_10: 1.352673686642663e-05 , std 0.00012226645462201663 
2023-04-20 04:51:10,832 INFO t_intercept: 0.06951423124140266 , std 1.156901956812831 
2023-04-20 04:51:10,832 INFO t_ofi_1: 3.668334705989363 , std 1.8663736320406852 
2023-04-20 04:51:10,832 INFO t_ofi_2: 2.855268674059686 , std 1.539117916932074 
2023-04-20 04:51:10,832 INFO t_ofi_3: 1.6755251790065069 , std 1.3680694185517766 
2023-04-20 04:51:10,832 INFO t_ofi_4: 1.087380803674553 , std 1.3224288840882588 
2023-04-20 04:51:10,832 INFO t_ofi_5: 0.7762578584230689 , std 1.3381360287641917 
2023-04-20 04:51:10,832 INFO t_ofi_6: 0.7044074689453712 , std 1.328222828746714 
2023-04-20 04:51:10,832 INFO t_ofi_7: 0.669706224537731 , std 1.3442326813985994 
2023-04-20 04:51:10,832 INFO t_ofi_8: 0.533706253771129 , std 1.312101637128044 
2023-04-20 04:51:10,832 INFO t_ofi_9: 0.43566276695306205 , std 1.3652488353427563 
2023-04-20 04:51:10,832 INFO t_ofi_10: 0.282784522774448 , std 1.504856986152472 
2023-04-20 04:51:10,832 INFO p_intercept: 0.4609155769694335 , std 0.2995266536542983 
2023-04-20 04:51:10,832 INFO p_ofi_1: 0.058940554159880164 , std 0.16501499992414678 
2023-04-20 04:51:10,832 INFO p_ofi_2: 0.09411140662296488 , std 0.19977755986681356 
2023-04-20 04:51:10,832 INFO p_ofi_3: 0.2324048567300031 , std 0.28163329332855663 
2023-04-20 04:51:10,832 INFO p_ofi_4: 0.33630294705244385 , std 0.3100202880914556 
2023-04-20 04:51:10,832 INFO p_ofi_5: 0.37455503748268837 , std 0.30914609343760047 
2023-04-20 04:51:10,832 INFO p_ofi_6: 0.3797616164778664 , std 0.3068329654311124 
2023-04-20 04:51:10,832 INFO p_ofi_7: 0.3787951842891393 , std 0.31129622448971955 
2023-04-20 04:51:10,832 INFO p_ofi_8: 0.3952041225717451 , std 0.30646948202594554 
2023-04-20 04:51:10,832 INFO p_ofi_9: 0.3905033794114284 , std 0.30440344705743694 
2023-04-20 04:51:10,832 INFO p_ofi_10: 0.38134026027797113 , std 0.3082462106593296 
