2023-04-20 04:43:31,401 INFO Tickers: ['CSCO']
2023-04-20 04:43:32,859 INFO Negative OS: -1.4562583510627949 --- ticker CSCO --- day 2017-01-27 --- time 50400
2023-04-20 04:43:33,319 INFO Negative OS: -0.20559676558607665 --- ticker CSCO --- day 2017-02-06 --- time 39600
2023-04-20 04:43:33,736 INFO Negative OS: -35.595534429562534 --- ticker CSCO --- day 2017-02-13 --- time 43200
2023-04-20 04:43:33,745 INFO Negative OS: -6.286869625767783 --- ticker CSCO --- day 2017-02-13 --- time 46800
2023-04-20 04:43:33,818 INFO Negative OS: -6.054592515818407 --- ticker CSCO --- day 2017-02-14 --- time 43200
2023-04-20 04:43:42,509 INFO Negative OS: -0.046057219597726684 --- ticker CSCO --- day 2017-07-19 --- time 41400
2023-04-20 04:43:45,603 INFO Negative OS: -1.3421412053402433 --- ticker CSCO --- day 2017-09-12 --- time 45000
2023-04-20 04:43:45,832 INFO Negative OS: -0.05648786340403711 --- ticker CSCO --- day 2017-09-15 --- time 39600
2023-04-20 04:43:45,854 INFO Negative OS: -5.1029714358636715 --- ticker CSCO --- day 2017-09-15 --- time 48600
2023-04-20 04:43:52,240 INFO Negative OS: -0.46968926760010543 --- ticker CSCO --- day 2018-01-09 --- time 48600
2023-04-20 04:44:15,345 INFO Negative OS: -0.012734339379284254 --- ticker CSCO --- day 2019-02-28 --- time 46800
2023-04-20 04:44:29,410 INFO Negative OS: -6.24397980554632 --- ticker CSCO --- day 2019-11-04 --- time 46800
2023-04-20 04:44:31,723 INFO in_r2: 0.9938890541639451 , std 0.0053037389145282506 
2023-04-20 04:44:31,723 INFO os_r2: 0.9751442480227239 , std 0.45928110047449666 
2023-04-20 04:44:31,723 INFO intercept: -1.180310858396943e-07 , std 1.7095405812755284e-06 
2023-04-20 04:44:31,723 INFO ofi_1: 2.5832140423611777e-05 , std 2.468637429276527e-05 
2023-04-20 04:44:31,723 INFO ofi_2: 8.379849407951577e-05 , std 5.799837634208899e-05 
2023-04-20 04:44:31,723 INFO ofi_3: 6.88182602300104e-05 , std 5.561376672869491e-05 
2023-04-20 04:44:31,723 INFO ofi_4: 7.933682471435302e-05 , std 8.298277520780614e-05 
2023-04-20 04:44:31,723 INFO ofi_5: 0.00011882670516584781 , std 0.00010509342145198711 
2023-04-20 04:44:31,723 INFO ofi_6: 0.00017267375074379868 , std 0.0001349086828463095 
2023-04-20 04:44:31,723 INFO ofi_7: 0.0001847055626478207 , std 0.00013758917013945756 
2023-04-20 04:44:31,723 INFO ofi_8: 0.00018646393156228065 , std 0.00014594221254606954 
2023-04-20 04:44:31,723 INFO ofi_9: 0.00017794072324514159 , std 0.00015104621308691682 
2023-04-20 04:44:31,723 INFO ofi_10: 0.00018323496221458012 , std 0.0001518514700929476 
2023-04-20 04:44:31,723 INFO t_intercept: -0.0592072977282661 , std 1.2153505679964094 
2023-04-20 04:44:31,724 INFO t_ofi_1: 2.880037393470371 , std 2.6754685703449956 
2023-04-20 04:44:31,724 INFO t_ofi_2: 4.282596997113103 , std 3.054067785524506 
2023-04-20 04:44:31,724 INFO t_ofi_3: 3.902839399665381 , std 3.369602105934659 
2023-04-20 04:44:31,724 INFO t_ofi_4: 3.7766185005207946 , std 3.375534099750429 
2023-04-20 04:44:31,724 INFO t_ofi_5: 4.544854297979492 , std 3.760779726023589 
2023-04-20 04:44:31,724 INFO t_ofi_6: 5.581668132028687 , std 4.541186647550235 
2023-04-20 04:44:31,724 INFO t_ofi_7: 5.506605069114732 , std 4.403483823268113 
2023-04-20 04:44:31,724 INFO t_ofi_8: 5.536897049238242 , std 4.414665516160997 
2023-04-20 04:44:31,724 INFO t_ofi_9: 5.264678526564472 , std 4.113144714816473 
2023-04-20 04:44:31,724 INFO t_ofi_10: 5.445419202848697 , std 4.0550330454484795 
2023-04-20 04:44:31,724 INFO p_intercept: 0.4330564945120836 , std 0.29962282557162245 
2023-04-20 04:44:31,724 INFO p_ofi_1: 0.15514745141490346 , std 0.2582061305989829 
2023-04-20 04:44:31,724 INFO p_ofi_2: 0.06863200407344007 , std 0.1818263932153353 
2023-04-20 04:44:31,724 INFO p_ofi_3: 0.08939576356832939 , std 0.2039688651252592 
2023-04-20 04:44:31,724 INFO p_ofi_4: 0.10280272186050267 , std 0.21502717900532328 
2023-04-20 04:44:31,724 INFO p_ofi_5: 0.07533408230228579 , std 0.19049918170091526 
2023-04-20 04:44:31,724 INFO p_ofi_6: 0.05633618044889574 , std 0.1673089333502459 
2023-04-20 04:44:31,724 INFO p_ofi_7: 0.05498909918746678 , std 0.16593800134984013 
2023-04-20 04:44:31,724 INFO p_ofi_8: 0.058015822459891245 , std 0.16942431676060954 
2023-04-20 04:44:31,724 INFO p_ofi_9: 0.0634457213493196 , std 0.17799664628400166 
2023-04-20 04:44:31,724 INFO p_ofi_10: 0.05375198355610971 , std 0.16120731146700903 
