2023-04-20 04:51:08,673 INFO Tickers: ['FISV']
2023-04-20 04:51:27,616 INFO Negative OS: -0.21707744062603762 --- ticker FISV --- day 2018-02-07 --- time 36000
2023-04-20 04:51:58,928 INFO Negative OS: -0.5329256836812117 --- ticker FISV --- day 2019-09-26 --- time 48600
2023-04-20 04:51:58,992 INFO Negative OS: -0.7250601183272547 --- ticker FISV --- day 2019-09-27 --- time 41400
2023-04-20 04:52:03,274 INFO in_r2: 0.9051096387496617 , std 0.0703554812917421 
2023-04-20 04:52:03,274 INFO os_r2: 0.8802217131095736 , std 0.10367288794497119 
2023-04-20 04:52:03,274 INFO intercept: -1.120240178151381e-07 , std 8.482274275078123e-06 
2023-04-20 04:52:03,274 INFO ofi_1: 7.552466788755555e-05 , std 6.813526136323212e-05 
2023-04-20 04:52:03,274 INFO ofi_2: 9.056190288427253e-05 , std 6.642707119785506e-05 
2023-04-20 04:52:03,274 INFO ofi_3: 7.950020178675164e-05 , std 6.841521435118389e-05 
2023-04-20 04:52:03,274 INFO ofi_4: 6.522841250285015e-05 , std 6.733180592831816e-05 
2023-04-20 04:52:03,274 INFO ofi_5: 6.228374405163783e-05 , std 7.068527256247683e-05 
2023-04-20 04:52:03,274 INFO ofi_6: 5.604148934582981e-05 , std 7.312224706596524e-05 
2023-04-20 04:52:03,274 INFO ofi_7: 5.387478163300284e-05 , std 8.081778855467412e-05 
2023-04-20 04:52:03,274 INFO ofi_8: 4.9491628683366465e-05 , std 8.433190056622655e-05 
2023-04-20 04:52:03,274 INFO ofi_9: 3.837108799385079e-05 , std 8.919812059051785e-05 
2023-04-20 04:52:03,274 INFO ofi_10: 3.718402810179258e-05 , std 8.036073271818823e-05 
2023-04-20 04:52:03,275 INFO t_intercept: -0.03481565824262815 , std 1.0842176468418174 
2023-04-20 04:52:03,275 INFO t_ofi_1: 2.543648546408411 , std 2.023674255450528 
2023-04-20 04:52:03,275 INFO t_ofi_2: 2.4331002858892066 , std 1.5255411497686013 
2023-04-20 04:52:03,275 INFO t_ofi_3: 1.9628294888033 , std 1.427027509398371 
2023-04-20 04:52:03,275 INFO t_ofi_4: 1.6024653348216498 , std 1.4412709063439963 
2023-04-20 04:52:03,275 INFO t_ofi_5: 1.4922750635805058 , std 1.4435915003163664 
2023-04-20 04:52:03,275 INFO t_ofi_6: 1.3465775086379208 , std 1.4992945773754711 
2023-04-20 04:52:03,275 INFO t_ofi_7: 1.2852157782520555 , std 1.5250899470723698 
2023-04-20 04:52:03,275 INFO t_ofi_8: 1.2318204354986897 , std 1.531869593288243 
2023-04-20 04:52:03,275 INFO t_ofi_9: 0.9794810181638144 , std 1.5757580272227087 
2023-04-20 04:52:03,275 INFO t_ofi_10: 1.232997939481692 , std 1.8405775015691481 
2023-04-20 04:52:03,275 INFO p_intercept: 0.48387141760216773 , std 0.29579882854165446 
2023-04-20 04:52:03,275 INFO p_ofi_1: 0.15513501865121798 , std 0.25795491395568265 
2023-04-20 04:52:03,275 INFO p_ofi_2: 0.13942885730664586 , std 0.23772248692351847 
2023-04-20 04:52:03,275 INFO p_ofi_3: 0.19924795304993317 , std 0.26872466285572433 
2023-04-20 04:52:03,275 INFO p_ofi_4: 0.24875204848269183 , std 0.28719112053066476 
2023-04-20 04:52:03,275 INFO p_ofi_5: 0.2614793165170083 , std 0.2910329469591535 
2023-04-20 04:52:03,275 INFO p_ofi_6: 0.2842891869028439 , std 0.2967958981056083 
2023-04-20 04:52:03,275 INFO p_ofi_7: 0.29288879603751905 , std 0.3013551981513769 
2023-04-20 04:52:03,275 INFO p_ofi_8: 0.3022180835898473 , std 0.30315025583510563 
2023-04-20 04:52:03,275 INFO p_ofi_9: 0.3296227700581099 , std 0.31135017694396266 
2023-04-20 04:52:03,275 INFO p_ofi_10: 0.2993002286301364 , std 0.30877334264523165 
