2023-04-20 04:44:31,257 INFO Tickers: ['MCD']
2023-04-20 04:45:12,427 INFO Negative OS: -1.0861814077813907 --- ticker MCD --- day 2019-01-30 --- time 41400
2023-04-20 04:45:12,450 INFO Negative OS: -0.1579733570477757 --- ticker MCD --- day 2019-01-30 --- time 50400
2023-04-20 04:45:30,003 INFO in_r2: 0.8658518907256294 , std 0.058493447188826556 
2023-04-20 04:45:30,003 INFO os_r2: 0.8375178814968154 , std 0.08006198101705081 
2023-04-20 04:45:30,003 INFO intercept: -1.3043036306074428e-07 , std 4.767799294220363e-06 
2023-04-20 04:45:30,003 INFO ofi_1: 6.440384904891085e-05 , std 4.986995935921777e-05 
2023-04-20 04:45:30,003 INFO ofi_2: 8.557816954107135e-05 , std 5.4418390523277324e-05 
2023-04-20 04:45:30,003 INFO ofi_3: 5.4513054821119986e-05 , std 5.180577215887665e-05 
2023-04-20 04:45:30,003 INFO ofi_4: 3.695614090046374e-05 , std 4.904236168172102e-05 
2023-04-20 04:45:30,003 INFO ofi_5: 2.758247564295448e-05 , std 4.8503754740165296e-05 
2023-04-20 04:45:30,003 INFO ofi_6: 2.394636806748103e-05 , std 4.794453812501473e-05 
2023-04-20 04:45:30,003 INFO ofi_7: 2.0596078841753046e-05 , std 4.940156219824522e-05 
2023-04-20 04:45:30,003 INFO ofi_8: 1.798329497627255e-05 , std 5.0594146499094306e-05 
2023-04-20 04:45:30,003 INFO ofi_9: 1.8624230603606794e-05 , std 5.3070030031802435e-05 
2023-04-20 04:45:30,003 INFO ofi_10: 2.4693187697346146e-05 , std 5.056788868581732e-05 
2023-04-20 04:45:30,003 INFO t_intercept: -0.03487194631980558 , std 0.8923934616832572 
2023-04-20 04:45:30,003 INFO t_ofi_1: 2.133576596005709 , std 1.5336486476268025 
2023-04-20 04:45:30,003 INFO t_ofi_2: 2.4269074308624567 , std 1.3693565703151003 
2023-04-20 04:45:30,003 INFO t_ofi_3: 1.509130894663197 , std 1.262295074584125 
2023-04-20 04:45:30,003 INFO t_ofi_4: 1.0553658300813509 , std 1.2853379042238404 
2023-04-20 04:45:30,003 INFO t_ofi_5: 0.8029062114030701 , std 1.2394597060862855 
2023-04-20 04:45:30,003 INFO t_ofi_6: 0.6920533474122122 , std 1.2455467278443477 
2023-04-20 04:45:30,003 INFO t_ofi_7: 0.5833261023954314 , std 1.2427484211988262 
2023-04-20 04:45:30,003 INFO t_ofi_8: 0.5238642007548671 , std 1.2223155503242953 
2023-04-20 04:45:30,003 INFO t_ofi_9: 0.4812263709088682 , std 1.2373336206241945 
2023-04-20 04:45:30,003 INFO t_ofi_10: 0.7255128424101219 , std 1.326545615067244 
2023-04-20 04:45:30,003 INFO p_intercept: 0.5423739193337819 , std 0.2768355945356437 
2023-04-20 04:45:30,003 INFO p_ofi_1: 0.17447265511332613 , std 0.2619198942689645 
2023-04-20 04:45:30,003 INFO p_ofi_2: 0.12174053713508655 , std 0.21516329328561204 
2023-04-20 04:45:30,003 INFO p_ofi_3: 0.2550824268322197 , std 0.28699821667351233 
2023-04-20 04:45:30,003 INFO p_ofi_4: 0.32729395716512527 , std 0.3038917615907433 
2023-04-20 04:45:30,003 INFO p_ofi_5: 0.37945107640567205 , std 0.30676440223298773 
2023-04-20 04:45:30,003 INFO p_ofi_6: 0.38982718944689904 , std 0.3073731200410273 
2023-04-20 04:45:30,003 INFO p_ofi_7: 0.4068672958659528 , std 0.30766487625557476 
2023-04-20 04:45:30,003 INFO p_ofi_8: 0.4115737905899355 , std 0.30561117408982763 
2023-04-20 04:45:30,003 INFO p_ofi_9: 0.42117118986007324 , std 0.3055653502750216 
2023-04-20 04:45:30,003 INFO p_ofi_10: 0.3784242881073642 , std 0.309329492479536 
