2023-04-20 04:44:18,850 INFO Tickers: ['MDT']
2023-04-20 04:44:51,017 INFO Negative OS: -0.36767570610239897 --- ticker MDT --- day 2018-07-31 --- time 37800
2023-04-20 04:45:15,642 INFO Negative OS: -1.0986718851211155 --- ticker MDT --- day 2019-10-11 --- time 46800
2023-04-20 04:45:19,181 INFO in_r2: 0.9199382701565266 , std 0.04868936368974813 
2023-04-20 04:45:19,181 INFO os_r2: 0.9017018017341817 , std 0.07194163228980001 
2023-04-20 04:45:19,181 INFO intercept: -2.189368524697108e-07 , std 4.499226937087082e-06 
2023-04-20 04:45:19,181 INFO ofi_1: 6.57944577581528e-05 , std 7.755984544188903e-05 
2023-04-20 04:45:19,181 INFO ofi_2: 8.983210537230529e-05 , std 6.471638890713502e-05 
2023-04-20 04:45:19,181 INFO ofi_3: 6.71249120740381e-05 , std 5.537020351860582e-05 
2023-04-20 04:45:19,182 INFO ofi_4: 5.6723752517431695e-05 , std 5.871645000542247e-05 
2023-04-20 04:45:19,182 INFO ofi_5: 4.842528003700724e-05 , std 5.790708323069155e-05 
2023-04-20 04:45:19,182 INFO ofi_6: 4.7715345511427296e-05 , std 6.072764233014566e-05 
2023-04-20 04:45:19,182 INFO ofi_7: 5.524855910028365e-05 , std 6.904343989855393e-05 
2023-04-20 04:45:19,182 INFO ofi_8: 5.4865311230448535e-05 , std 7.872233301088353e-05 
2023-04-20 04:45:19,182 INFO ofi_9: 4.896617240718865e-05 , std 8.672421882818793e-05 
2023-04-20 04:45:19,182 INFO ofi_10: 5.860774879459196e-05 , std 8.771634189554295e-05 
2023-04-20 04:45:19,182 INFO t_intercept: 0.0007598053735187868 , std 0.9340915550548454 
2023-04-20 04:45:19,182 INFO t_ofi_1: 1.8953231030826256 , std 2.1014083746596977 
2023-04-20 04:45:19,182 INFO t_ofi_2: 2.473889685135544 , std 1.5795321130645605 
2023-04-20 04:45:19,182 INFO t_ofi_3: 1.9131368559106476 , std 1.42455805499439 
2023-04-20 04:45:19,182 INFO t_ofi_4: 1.6091242961646326 , std 1.4605737653024815 
2023-04-20 04:45:19,182 INFO t_ofi_5: 1.3967452987426126 , std 1.4614824283652466 
2023-04-20 04:45:19,182 INFO t_ofi_6: 1.298688436633375 , std 1.4206496116029994 
2023-04-20 04:45:19,182 INFO t_ofi_7: 1.3301980062296122 , std 1.5197317917955406 
2023-04-20 04:45:19,182 INFO t_ofi_8: 1.1106218470262572 , std 1.4429894434977886 
2023-04-20 04:45:19,182 INFO t_ofi_9: 0.9117799071135163 , std 1.4410173492409866 
2023-04-20 04:45:19,182 INFO t_ofi_10: 1.1606811349360555 , std 1.5625810718840698 
2023-04-20 04:45:19,182 INFO p_intercept: 0.5285894572533313 , std 0.28398451616996073 
2023-04-20 04:45:19,182 INFO p_ofi_1: 0.21642985274112458 , std 0.29022047604218376 
2023-04-20 04:45:19,182 INFO p_ofi_2: 0.13800681440035945 , std 0.23605660029375403 
2023-04-20 04:45:19,182 INFO p_ofi_3: 0.19768264984969383 , std 0.2688091439032424 
2023-04-20 04:45:19,182 INFO p_ofi_4: 0.24548831353111622 , std 0.28993483293194455 
2023-04-20 04:45:19,182 INFO p_ofi_5: 0.280732904486708 , std 0.3004730258102627 
2023-04-20 04:45:19,182 INFO p_ofi_6: 0.2992030928527408 , std 0.30474678978328484 
2023-04-20 04:45:19,182 INFO p_ofi_7: 0.2883199671599745 , std 0.30276730115404593 
2023-04-20 04:45:19,182 INFO p_ofi_8: 0.3185305419415788 , std 0.3044129064956218 
2023-04-20 04:45:19,182 INFO p_ofi_9: 0.34865765446825847 , std 0.31122559000713734 
2023-04-20 04:45:19,182 INFO p_ofi_10: 0.306528430241405 , std 0.30701226235178763 
