2023-04-20 04:47:25,644 INFO Tickers: ['MMM']
2023-04-20 04:47:44,878 INFO Negative OS: -0.99183943269475 --- ticker MMM --- day 2018-01-24 --- time 41400
2023-04-20 04:47:57,235 INFO Negative OS: -0.0822529813568158 --- ticker MMM --- day 2018-09-12 --- time 48600
2023-04-20 04:47:59,867 INFO Negative OS: -0.1219967528354331 --- ticker MMM --- day 2018-10-30 --- time 41400
2023-04-20 04:48:02,707 INFO Negative OS: -0.3099360753854876 --- ticker MMM --- day 2018-12-21 --- time 37800
2023-04-20 04:48:04,624 INFO Negative OS: -2.327580719650992 --- ticker MMM --- day 2019-01-30 --- time 50400
2023-04-20 04:48:07,951 INFO Negative OS: -0.46334387965145396 --- ticker MMM --- day 2019-04-02 --- time 36000
2023-04-20 04:48:21,516 INFO in_r2: 0.848851404780504 , std 0.0818530613545704 
2023-04-20 04:48:21,516 INFO os_r2: 0.8046969314934348 , std 0.13813283761939432 
2023-04-20 04:48:21,516 INFO intercept: 7.405129932461938e-07 , std 1.1702025143301579e-05 
2023-04-20 04:48:21,516 INFO ofi_1: 9.407274624626715e-05 , std 8.959610594697667e-05 
2023-04-20 04:48:21,516 INFO ofi_2: 0.00010575367565862213 , std 8.308038625812672e-05 
2023-04-20 04:48:21,516 INFO ofi_3: 7.110174722224012e-05 , std 7.545860515106565e-05 
2023-04-20 04:48:21,516 INFO ofi_4: 4.595051882659355e-05 , std 7.407823967162316e-05 
2023-04-20 04:48:21,516 INFO ofi_5: 3.1879775108800316e-05 , std 7.164402636522991e-05 
2023-04-20 04:48:21,516 INFO ofi_6: 2.708310948548963e-05 , std 7.728510816401894e-05 
2023-04-20 04:48:21,516 INFO ofi_7: 2.7916604718918052e-05 , std 8.069556883853475e-05 
2023-04-20 04:48:21,516 INFO ofi_8: 2.6744089632308073e-05 , std 8.24373445190555e-05 
2023-04-20 04:48:21,516 INFO ofi_9: 2.0694470214334282e-05 , std 8.688800613230803e-05 
2023-04-20 04:48:21,516 INFO ofi_10: 2.231968951789815e-05 , std 8.229711202142573e-05 
2023-04-20 04:48:21,516 INFO t_intercept: 0.03190337499863798 , std 1.173607584245869 
2023-04-20 04:48:21,516 INFO t_ofi_1: 2.756399331725459 , std 1.707872636159825 
2023-04-20 04:48:21,516 INFO t_ofi_2: 2.57384671604341 , std 1.423071853447241 
2023-04-20 04:48:21,516 INFO t_ofi_3: 1.6074660411633945 , std 1.3052712857322093 
2023-04-20 04:48:21,516 INFO t_ofi_4: 1.0184031600537296 , std 1.2464510128964823 
2023-04-20 04:48:21,516 INFO t_ofi_5: 0.6745585541596034 , std 1.2013139389806946 
2023-04-20 04:48:21,516 INFO t_ofi_6: 0.5715285220704951 , std 1.2378784138529637 
2023-04-20 04:48:21,516 INFO t_ofi_7: 0.5465322230907139 , std 1.2092976950378707 
2023-04-20 04:48:21,516 INFO t_ofi_8: 0.5249446868183403 , std 1.2099776021125501 
2023-04-20 04:48:21,516 INFO t_ofi_9: 0.40021443720324995 , std 1.2321140170116613 
2023-04-20 04:48:21,516 INFO t_ofi_10: 0.5332897578650535 , std 1.3167336351067198 
2023-04-20 04:48:21,516 INFO p_intercept: 0.4704029972388384 , std 0.3024625443862957 
2023-04-20 04:48:21,516 INFO p_ofi_1: 0.11823658976674947 , std 0.2245561684373919 
2023-04-20 04:48:21,516 INFO p_ofi_2: 0.11268980861241436 , std 0.2134170661841168 
2023-04-20 04:48:21,516 INFO p_ofi_3: 0.24005650587172325 , std 0.28200556904404467 
2023-04-20 04:48:21,517 INFO p_ofi_4: 0.3366768614955985 , std 0.2986243031322077 
2023-04-20 04:48:21,517 INFO p_ofi_5: 0.3979541391806915 , std 0.30536241289850824 
2023-04-20 04:48:21,517 INFO p_ofi_6: 0.40521749595355133 , std 0.3074425240197523 
2023-04-20 04:48:21,517 INFO p_ofi_7: 0.41550915882408335 , std 0.3071700074533967 
2023-04-20 04:48:21,517 INFO p_ofi_8: 0.4117594024555222 , std 0.3003117976759593 
2023-04-20 04:48:21,517 INFO p_ofi_9: 0.42341234353886253 , std 0.30647407043797004 
2023-04-20 04:48:21,517 INFO p_ofi_10: 0.3900069273213898 , std 0.30474186953459653 
