2023-04-20 04:51:31,676 INFO Tickers: ['MS']
2023-04-20 04:52:31,356 INFO in_r2: 0.9908939394475615 , std 0.008628502330019583 
2023-04-20 04:52:31,356 INFO os_r2: 0.9858603900778563 , std 0.017715826019256135 
2023-04-20 04:52:31,356 INFO intercept: -1.7541336898611324e-07 , std 2.410980045081615e-06 
2023-04-20 04:52:31,356 INFO ofi_1: 2.7676543215038764e-05 , std 2.8446862749443516e-05 
2023-04-20 04:52:31,357 INFO ofi_2: 9.060032010651057e-05 , std 5.6144795639752944e-05 
2023-04-20 04:52:31,357 INFO ofi_3: 8.246629802320165e-05 , std 5.664292329896289e-05 
2023-04-20 04:52:31,357 INFO ofi_4: 6.456387398791669e-05 , std 6.0024642119927346e-05 
2023-04-20 04:52:31,357 INFO ofi_5: 0.00011035431392345382 , std 6.663391795916099e-05 
2023-04-20 04:52:31,357 INFO ofi_6: 0.0001291885255079037 , std 8.765091483581888e-05 
2023-04-20 04:52:31,357 INFO ofi_7: 0.00014474215386141474 , std 0.00010321799938882807 
2023-04-20 04:52:31,357 INFO ofi_8: 0.00013555137550928591 , std 0.00010975003507600887 
2023-04-20 04:52:31,357 INFO ofi_9: 0.00012515735945997877 , std 0.00011518710652521112 
2023-04-20 04:52:31,357 INFO ofi_10: 0.00016866158636856226 , std 0.0001258055918881281 
2023-04-20 04:52:31,357 INFO t_intercept: -0.1020409378276707 , std 1.1163435493493519 
2023-04-20 04:52:31,357 INFO t_ofi_1: 2.3275151432883714 , std 2.1015168551910737 
2023-04-20 04:52:31,357 INFO t_ofi_2: 3.9535177651743685 , std 2.2049927382313856 
2023-04-20 04:52:31,357 INFO t_ofi_3: 3.9290794225011627 , std 2.3062834168982063 
2023-04-20 04:52:31,357 INFO t_ofi_4: 3.183582008431512 , std 2.2469978299674347 
2023-04-20 04:52:31,357 INFO t_ofi_5: 4.2073544183939005 , std 2.6397664444306352 
2023-04-20 04:52:31,357 INFO t_ofi_6: 3.9836863905355777 , std 2.7676713846196157 
2023-04-20 04:52:31,357 INFO t_ofi_7: 3.6939300724440964 , std 2.528677247968514 
2023-04-20 04:52:31,357 INFO t_ofi_8: 3.200164834693889 , std 2.4615588427713773 
2023-04-20 04:52:31,357 INFO t_ofi_9: 2.9220717724571914 , std 2.4801402696805157 
2023-04-20 04:52:31,357 INFO t_ofi_10: 3.8102491926549225 , std 2.6452316077358633 
2023-04-20 04:52:31,357 INFO p_intercept: 0.4627998735509669 , std 0.29600086493158606 
2023-04-20 04:52:31,357 INFO p_ofi_1: 0.18234438503682643 , std 0.272393133178414 
2023-04-20 04:52:31,357 INFO p_ofi_2: 0.061343226244722014 , std 0.16668436062890565 
2023-04-20 04:52:31,357 INFO p_ofi_3: 0.06547818958355453 , std 0.1719165975343965 
2023-04-20 04:52:31,357 INFO p_ofi_4: 0.11076291521369688 , std 0.2206163480349978 
2023-04-20 04:52:31,357 INFO p_ofi_5: 0.06403544404926517 , std 0.17058399452194836 
2023-04-20 04:52:31,357 INFO p_ofi_6: 0.08501624322502921 , std 0.20050532595534515 
2023-04-20 04:52:31,357 INFO p_ofi_7: 0.08753668021591603 , std 0.19822786294273448 
2023-04-20 04:52:31,357 INFO p_ofi_8: 0.12112353758552519 , std 0.23367373843447578 
2023-04-20 04:52:31,357 INFO p_ofi_9: 0.1376563103604953 , std 0.24381866289150336 
2023-04-20 04:52:31,357 INFO p_ofi_10: 0.08488093164537956 , std 0.19872531999992235 
