2023-04-20 04:45:19,187 INFO Tickers: ['NFLX']
2023-04-20 04:46:09,297 INFO Negative OS: -0.0813461753703828 --- ticker NFLX --- day 2019-06-06 --- time 45000
2023-04-20 04:46:20,327 INFO in_r2: 0.8700887943309665 , std 0.05651047457474118 
2023-04-20 04:46:20,327 INFO os_r2: 0.8343507401811335 , std 0.07992512951181922 
2023-04-20 04:46:20,327 INFO intercept: 9.268356319839474e-07 , std 1.4254963695834067e-05 
2023-04-20 04:46:20,327 INFO ofi_1: 3.6365494247175e-05 , std 4.0511555620824454e-05 
2023-04-20 04:46:20,327 INFO ofi_2: 5.328723908980787e-05 , std 5.361865858175256e-05 
2023-04-20 04:46:20,327 INFO ofi_3: 5.2299261820684126e-05 , std 5.541481878586425e-05 
2023-04-20 04:46:20,327 INFO ofi_4: 4.1505242009213325e-05 , std 5.5219742521665614e-05 
2023-04-20 04:46:20,327 INFO ofi_5: 3.595074826901614e-05 , std 5.551959616777166e-05 
2023-04-20 04:46:20,327 INFO ofi_6: 3.2520618977852155e-05 , std 5.793226206181632e-05 
2023-04-20 04:46:20,327 INFO ofi_7: 3.1180019893654544e-05 , std 5.817310027436376e-05 
2023-04-20 04:46:20,327 INFO ofi_8: 2.8637163404375924e-05 , std 5.8256447444986586e-05 
2023-04-20 04:46:20,327 INFO ofi_9: 2.6971395396851684e-05 , std 5.565055850516823e-05 
2023-04-20 04:46:20,327 INFO ofi_10: 4.732103982007572e-05 , std 5.039036940338415e-05 
2023-04-20 04:46:20,327 INFO t_intercept: 0.0760525809042702 , std 1.1710372868978973 
2023-04-20 04:46:20,327 INFO t_ofi_1: 1.5292967173800533 , std 1.5144828329748907 
2023-04-20 04:46:20,327 INFO t_ofi_2: 1.6012231592420019 , std 1.3721727369196224 
2023-04-20 04:46:20,327 INFO t_ofi_3: 1.4598890387797177 , std 1.334497515635619 
2023-04-20 04:46:20,327 INFO t_ofi_4: 1.1488642026050009 , std 1.3245898063440658 
2023-04-20 04:46:20,327 INFO t_ofi_5: 0.9568244078155175 , std 1.2713235872148223 
2023-04-20 04:46:20,327 INFO t_ofi_6: 0.8448318879433457 , std 1.2954442371719217 
2023-04-20 04:46:20,327 INFO t_ofi_7: 0.8077458374909617 , std 1.2901712415965638 
2023-04-20 04:46:20,327 INFO t_ofi_8: 0.7267966822676772 , std 1.2756005672311186 
2023-04-20 04:46:20,327 INFO t_ofi_9: 0.7138066942680418 , std 1.2500551735132939 
2023-04-20 04:46:20,327 INFO t_ofi_10: 1.5592338332490152 , std 1.410335640186881 
2023-04-20 04:46:20,327 INFO p_intercept: 0.4616494887865219 , std 0.301186183832674 
2023-04-20 04:46:20,328 INFO p_ofi_1: 0.254508281862414 , std 0.2915518373101708 
2023-04-20 04:46:20,328 INFO p_ofi_2: 0.24117252213472892 , std 0.28519271400902363 
2023-04-20 04:46:20,328 INFO p_ofi_3: 0.2646893146002792 , std 0.29232193674631796 
2023-04-20 04:46:20,328 INFO p_ofi_4: 0.3186655622790936 , std 0.30566017182095667 
2023-04-20 04:46:20,328 INFO p_ofi_5: 0.348740659854807 , std 0.30449156647285175 
2023-04-20 04:46:20,328 INFO p_ofi_6: 0.36453558481411386 , std 0.30799596442003035 
2023-04-20 04:46:20,328 INFO p_ofi_7: 0.3697478661932654 , std 0.3081949799852674 
2023-04-20 04:46:20,328 INFO p_ofi_8: 0.3806938309946946 , std 0.30621868491818033 
2023-04-20 04:46:20,328 INFO p_ofi_9: 0.3913290986070112 , std 0.30936967889143174 
2023-04-20 04:46:20,328 INFO p_ofi_10: 0.2571029920287435 , std 0.29296529633145185 
