2023-04-20 04:44:39,426 INFO Tickers: ['NVDA']
2023-04-20 04:45:42,052 INFO in_r2: 0.9207636195511529 , std 0.04497377806752939 
2023-04-20 04:45:42,052 INFO os_r2: 0.8988821597491963 , std 0.06441260554433872 
2023-04-20 04:45:42,052 INFO intercept: 5.344005075704859e-07 , std 1.0636293292094473e-05 
2023-04-20 04:45:42,052 INFO ofi_1: 2.8783317870597068e-05 , std 3.455677838873506e-05 
2023-04-20 04:45:42,052 INFO ofi_2: 4.136553858126732e-05 , std 4.295146143505519e-05 
2023-04-20 04:45:42,052 INFO ofi_3: 4.13281341523402e-05 , std 4.6379592668199664e-05 
2023-04-20 04:45:42,052 INFO ofi_4: 3.760703408543146e-05 , std 4.810056666552759e-05 
2023-04-20 04:45:42,052 INFO ofi_5: 3.6000897700221735e-05 , std 4.98831992410272e-05 
2023-04-20 04:45:42,052 INFO ofi_6: 3.2801452062292575e-05 , std 4.975023191345312e-05 
2023-04-20 04:45:42,052 INFO ofi_7: 3.2701493009817396e-05 , std 4.871120099632358e-05 
2023-04-20 04:45:42,052 INFO ofi_8: 3.1351738229667824e-05 , std 4.7889960123089325e-05 
2023-04-20 04:45:42,052 INFO ofi_9: 2.8593805253583613e-05 , std 4.7450048823479095e-05 
2023-04-20 04:45:42,052 INFO ofi_10: 5.208919952484431e-05 , std 4.310303042558105e-05 
2023-04-20 04:45:42,052 INFO t_intercept: -0.0005342464713469902 , std 1.04715725405667 
2023-04-20 04:45:42,052 INFO t_ofi_1: 1.3689504599062114 , std 1.5030966598767594 
2023-04-20 04:45:42,052 INFO t_ofi_2: 1.4534545555564555 , std 1.3446095930527484 
2023-04-20 04:45:42,052 INFO t_ofi_3: 1.365296850150722 , std 1.3653929670772686 
2023-04-20 04:45:42,053 INFO t_ofi_4: 1.2172704957793257 , std 1.3533216371879888 
2023-04-20 04:45:42,053 INFO t_ofi_5: 1.1287170031385003 , std 1.332440366198555 
2023-04-20 04:45:42,053 INFO t_ofi_6: 1.0304808483255679 , std 1.3346598539139611 
2023-04-20 04:45:42,053 INFO t_ofi_7: 1.0410487777903439 , std 1.329732605144782 
2023-04-20 04:45:42,053 INFO t_ofi_8: 1.0244528216333142 , std 1.3530624046102322 
2023-04-20 04:45:42,053 INFO t_ofi_9: 0.9459312284390926 , std 1.350747071864207 
2023-04-20 04:45:42,053 INFO t_ofi_10: 2.1772417187552673 , std 1.579503271568025 
2023-04-20 04:45:42,053 INFO p_intercept: 0.48937798675227256 , std 0.2909079231491147 
2023-04-20 04:45:42,053 INFO p_ofi_1: 0.27767603051878875 , std 0.29640859656357943 
2023-04-20 04:45:42,053 INFO p_ofi_2: 0.2623846584421816 , std 0.2903171122183398 
2023-04-20 04:45:42,053 INFO p_ofi_3: 0.2891060842983128 , std 0.3019447472512709 
2023-04-20 04:45:42,053 INFO p_ofi_4: 0.30189556527132744 , std 0.301043635252997 
2023-04-20 04:45:42,053 INFO p_ofi_5: 0.324800138497429 , std 0.3065357188734428 
2023-04-20 04:45:42,053 INFO p_ofi_6: 0.33716390003296737 , std 0.3064526719575901 
2023-04-20 04:45:42,053 INFO p_ofi_7: 0.33785368131929544 , std 0.3055218593523461 
2023-04-20 04:45:42,053 INFO p_ofi_8: 0.3374454006235479 , std 0.3065902474745656 
2023-04-20 04:45:42,053 INFO p_ofi_9: 0.35619704428061455 , std 0.3101253278698794 
2023-04-20 04:45:42,053 INFO p_ofi_10: 0.1750297453114248 , std 0.2572862101475114 
