2023-04-20 04:45:33,567 INFO Tickers: ['PYPL']
2023-04-20 04:45:35,795 INFO Negative OS: -0.10837706234900901 --- ticker PYPL --- day 2017-02-09 --- time 48600
2023-04-20 04:46:41,266 INFO Negative OS: -0.21486231889801743 --- ticker PYPL --- day 2019-11-20 --- time 43200
2023-04-20 04:46:41,271 INFO Negative OS: -0.15641457822192062 --- ticker PYPL --- day 2019-11-20 --- time 45000
2023-04-20 04:46:42,832 INFO in_r2: 0.9638155883673544 , std 0.028539592146799214 
2023-04-20 04:46:42,833 INFO os_r2: 0.9530421835876848 , std 0.04803394736064579 
2023-04-20 04:46:42,833 INFO intercept: -7.479472565431274e-10 , std 4.497346683893205e-06 
2023-04-20 04:46:42,833 INFO ofi_1: 3.270192171989073e-05 , std 4.2482372089468047e-05 
2023-04-20 04:46:42,833 INFO ofi_2: 6.376345248432264e-05 , std 5.746766558300513e-05 
2023-04-20 04:46:42,833 INFO ofi_3: 6.941401666753222e-05 , std 5.9401144393581804e-05 
2023-04-20 04:46:42,833 INFO ofi_4: 6.998011531832767e-05 , std 6.165091225912536e-05 
2023-04-20 04:46:42,833 INFO ofi_5: 6.534752660739065e-05 , std 6.34433128511604e-05 
2023-04-20 04:46:42,833 INFO ofi_6: 7.008118289438424e-05 , std 6.651417459870207e-05 
2023-04-20 04:46:42,833 INFO ofi_7: 6.671931484018894e-05 , std 7.168851462770325e-05 
2023-04-20 04:46:42,833 INFO ofi_8: 7.072606894376957e-05 , std 7.331043409232905e-05 
2023-04-20 04:46:42,833 INFO ofi_9: 6.702475642296201e-05 , std 7.213363669619751e-05 
2023-04-20 04:46:42,833 INFO ofi_10: 8.181620566531215e-05 , std 7.017712165944005e-05 
2023-04-20 04:46:42,833 INFO t_intercept: 0.01709061927555009 , std 1.0242806354591294 
2023-04-20 04:46:42,833 INFO t_ofi_1: 1.4701004448670147 , std 1.7888117535484382 
2023-04-20 04:46:42,833 INFO t_ofi_2: 2.124595505841838 , std 1.98517523365223 
2023-04-20 04:46:42,833 INFO t_ofi_3: 2.209681322357594 , std 2.0726092311930167 
2023-04-20 04:46:42,833 INFO t_ofi_4: 2.21138268234294 , std 2.6893484025316097 
2023-04-20 04:46:42,833 INFO t_ofi_5: 2.06270484285867 , std 2.671109082627147 
2023-04-20 04:46:42,833 INFO t_ofi_6: 2.1570761362322073 , std 2.7195492763107043 
2023-04-20 04:46:42,833 INFO t_ofi_7: 1.9687927242883456 , std 2.268917160666337 
2023-04-20 04:46:42,833 INFO t_ofi_8: 2.0369437118537443 , std 2.2234342819505017 
2023-04-20 04:46:42,833 INFO t_ofi_9: 1.9845330078966745 , std 2.2607506177601517 
2023-04-20 04:46:42,833 INFO t_ofi_10: 2.664598824859728 , std 2.4246591544432428 
2023-04-20 04:46:42,833 INFO p_intercept: 0.4994197682259857 , std 0.29286190810340906 
2023-04-20 04:46:42,833 INFO p_ofi_1: 0.26754646265804766 , std 0.29949127195552017 
2023-04-20 04:46:42,833 INFO p_ofi_2: 0.2063004785621533 , std 0.27894799020571054 
2023-04-20 04:46:42,833 INFO p_ofi_3: 0.20029095308342992 , std 0.27361544871413024 
2023-04-20 04:46:42,833 INFO p_ofi_4: 0.20728135224025082 , std 0.27940026966020626 
2023-04-20 04:46:42,833 INFO p_ofi_5: 0.22835958187169902 , std 0.2846050244014289 
2023-04-20 04:46:42,833 INFO p_ofi_6: 0.2187996124328597 , std 0.2840931044360945 
2023-04-20 04:46:42,833 INFO p_ofi_7: 0.2331585155662888 , std 0.28766156171196594 
2023-04-20 04:46:42,833 INFO p_ofi_8: 0.22394653566157208 , std 0.2862364610999993 
2023-04-20 04:46:42,833 INFO p_ofi_9: 0.23934777857315054 , std 0.2901542392238808 
2023-04-20 04:46:42,833 INFO p_ofi_10: 0.1567508994488006 , std 0.2502964467506631 
