2023-04-20 04:47:25,312 INFO Tickers: ['QCOM']
2023-04-20 04:47:31,636 INFO Negative OS: -0.036141162584114594 --- ticker QCOM --- day 2017-04-25 --- time 50400
2023-04-20 04:47:48,872 INFO Negative OS: -0.3393563941441371 --- ticker QCOM --- day 2018-03-05 --- time 52200
2023-04-20 04:47:58,722 INFO Negative OS: -2.657940183363687 --- ticker QCOM --- day 2018-08-27 --- time 46800
2023-04-20 04:48:07,628 INFO Negative OS: -3.5713711498308385 --- ticker QCOM --- day 2019-02-05 --- time 50400
2023-04-20 04:48:11,618 INFO Negative OS: -0.20381085061729665 --- ticker QCOM --- day 2019-04-16 --- time 52200
2023-04-20 04:48:25,264 INFO in_r2: 0.9800919662987548 , std 0.022190288545933776 
2023-04-20 04:48:25,264 INFO os_r2: 0.9689097937654518 , std 0.08300386164327841 
2023-04-20 04:48:25,264 INFO intercept: -9.279692780198122e-08 , std 4.9041380005409576e-06 
2023-04-20 04:48:25,264 INFO ofi_1: 2.8330602069269567e-05 , std 3.5178785532083256e-05 
2023-04-20 04:48:25,264 INFO ofi_2: 6.802087539223788e-05 , std 5.419780729272998e-05 
2023-04-20 04:48:25,264 INFO ofi_3: 7.996642893237662e-05 , std 6.354180767692307e-05 
2023-04-20 04:48:25,264 INFO ofi_4: 8.262545516315837e-05 , std 7.713841813923228e-05 
2023-04-20 04:48:25,264 INFO ofi_5: 8.643122195988069e-05 , std 6.625867639072896e-05 
2023-04-20 04:48:25,265 INFO ofi_6: 9.813113344131038e-05 , std 7.627148948863901e-05 
2023-04-20 04:48:25,265 INFO ofi_7: 9.51715335668323e-05 , std 7.741826055878399e-05 
2023-04-20 04:48:25,265 INFO ofi_8: 9.419531377779153e-05 , std 8.77621179543064e-05 
2023-04-20 04:48:25,265 INFO ofi_9: 9.435552236983627e-05 , std 8.237136254808807e-05 
2023-04-20 04:48:25,265 INFO ofi_10: 0.00011151008504520758 , std 8.727731665192033e-05 
2023-04-20 04:48:25,265 INFO t_intercept: 0.01577986978984305 , std 1.142163063014256 
2023-04-20 04:48:25,265 INFO t_ofi_1: 2.0386454803726703 , std 2.185871299595258 
2023-04-20 04:48:25,265 INFO t_ofi_2: 2.9668021273182554 , std 2.5663882084911385 
2023-04-20 04:48:25,265 INFO t_ofi_3: 3.346915215466631 , std 2.7709017045129927 
2023-04-20 04:48:25,265 INFO t_ofi_4: 3.2814841895532583 , std 2.7041331635568926 
2023-04-20 04:48:25,265 INFO t_ofi_5: 3.3695600718931655 , std 2.9761485208886542 
2023-04-20 04:48:25,265 INFO t_ofi_6: 3.6015428226022093 , std 3.15888328319871 
2023-04-20 04:48:25,265 INFO t_ofi_7: 3.315575887091645 , std 3.027816569292763 
2023-04-20 04:48:25,265 INFO t_ofi_8: 3.1791938050190915 , std 2.8971425185993205 
2023-04-20 04:48:25,265 INFO t_ofi_9: 3.148656191294967 , std 2.8606842053757426 
2023-04-20 04:48:25,265 INFO t_ofi_10: 4.041560254337181 , std 3.1038902863418003 
2023-04-20 04:48:25,265 INFO p_intercept: 0.4652088134886652 , std 0.30088185214723595 
2023-04-20 04:48:25,265 INFO p_ofi_1: 0.21998813350260538 , std 0.2872018162374571 
2023-04-20 04:48:25,265 INFO p_ofi_2: 0.1356689213360123 , std 0.23731294839829992 
2023-04-20 04:48:25,265 INFO p_ofi_3: 0.1183402952402177 , std 0.22523732796607326 
2023-04-20 04:48:25,265 INFO p_ofi_4: 0.11449176215488378 , std 0.222118865745261 
2023-04-20 04:48:25,265 INFO p_ofi_5: 0.12057512931981841 , std 0.22808028016964113 
2023-04-20 04:48:25,265 INFO p_ofi_6: 0.11274375456396003 , std 0.2230045582981843 
2023-04-20 04:48:25,265 INFO p_ofi_7: 0.12470685370706285 , std 0.2332945825818808 
2023-04-20 04:48:25,265 INFO p_ofi_8: 0.13174034613421862 , std 0.2370439007462839 
2023-04-20 04:48:25,265 INFO p_ofi_9: 0.13546330286988362 , std 0.24092110780219433 
2023-04-20 04:48:25,265 INFO p_ofi_10: 0.08544845097441399 , std 0.19656573804845023 
