2023-04-20 04:50:53,919 INFO Tickers: ['SPGI']
2023-04-20 04:51:12,538 INFO Negative OS: -0.04652479049915281 --- ticker SPGI --- day 2018-02-06 --- time 37800
2023-04-20 04:51:12,776 INFO Negative OS: -0.31403976383377974 --- ticker SPGI --- day 2018-02-09 --- time 52200
2023-04-20 04:51:24,128 INFO Negative OS: -0.6349145980720485 --- ticker SPGI --- day 2018-10-10 --- time 48600
2023-04-20 04:51:24,192 INFO Negative OS: -0.49498511200905626 --- ticker SPGI --- day 2018-10-11 --- time 41400
2023-04-20 04:51:24,210 INFO Negative OS: -0.1167257630844667 --- ticker SPGI --- day 2018-10-11 --- time 50400
2023-04-20 04:51:24,888 INFO Negative OS: -0.18136133794841336 --- ticker SPGI --- day 2018-10-25 --- time 37800
2023-04-20 04:51:26,860 INFO Negative OS: -0.23449386197698963 --- ticker SPGI --- day 2018-12-07 --- time 43200
2023-04-20 04:51:26,881 INFO Negative OS: -0.35768175824162096 --- ticker SPGI --- day 2018-12-07 --- time 52200
2023-04-20 04:51:27,083 INFO Negative OS: -1.0870704662843784 --- ticker SPGI --- day 2018-12-12 --- time 41400
2023-04-20 04:51:27,102 INFO Negative OS: -0.35189138416039945 --- ticker SPGI --- day 2018-12-12 --- time 50400
2023-04-20 04:51:27,308 INFO Negative OS: -0.45522583673133 --- ticker SPGI --- day 2018-12-17 --- time 43200
2023-04-20 04:51:27,399 INFO Negative OS: -1.005154660840644 --- ticker SPGI --- day 2018-12-18 --- time 50400
2023-04-20 04:51:27,529 INFO Negative OS: -1.4339437381426166 --- ticker SPGI --- day 2018-12-20 --- time 41400
2023-04-20 04:51:28,156 INFO Negative OS: -0.17835176046348167 --- ticker SPGI --- day 2019-01-04 --- time 52200
2023-04-20 04:51:31,663 INFO Negative OS: -0.27200577727465736 --- ticker SPGI --- day 2019-03-19 --- time 45000
2023-04-20 04:51:38,393 INFO Negative OS: -1.6406616924948452 --- ticker SPGI --- day 2019-08-01 --- time 37800
2023-04-20 04:51:41,585 INFO Negative OS: -0.2850489875730944 --- ticker SPGI --- day 2019-10-03 --- time 36000
2023-04-20 04:51:45,039 INFO in_r2: 0.7548422936005248 , std 0.12523680817558638 
2023-04-20 04:51:45,039 INFO os_r2: 0.6596699539999399 , std 0.25392293351679585 
2023-04-20 04:51:45,039 INFO intercept: 1.0204128214321262e-07 , std 1.69754440649699e-05 
2023-04-20 04:51:45,039 INFO ofi_1: 0.00012321820647108206 , std 0.00016355287286312279 
2023-04-20 04:51:45,039 INFO ofi_2: 0.00012077036411149972 , std 0.0001365070915976518 
2023-04-20 04:51:45,039 INFO ofi_3: 8.980476376629353e-05 , std 0.00013912866313772667 
2023-04-20 04:51:45,039 INFO ofi_4: 5.285889281098592e-05 , std 0.00014364014474221902 
2023-04-20 04:51:45,039 INFO ofi_5: 5.7262614323698826e-05 , std 0.00021094670304618967 
2023-04-20 04:51:45,039 INFO ofi_6: 4.818479564962245e-05 , std 0.00019780301188749967 
2023-04-20 04:51:45,039 INFO ofi_7: 2.4996216477268764e-05 , std 0.00020757589750536182 
2023-04-20 04:51:45,039 INFO ofi_8: 2.4628184184511462e-05 , std 0.00017954248109382814 
2023-04-20 04:51:45,039 INFO ofi_9: 3.307640960093101e-05 , std 0.0001715267816138648 
2023-04-20 04:51:45,039 INFO ofi_10: 4.970938324875779e-05 , std 0.00017927412669396634 
2023-04-20 04:51:45,040 INFO t_intercept: 0.05692059979563567 , std 1.3535621966215277 
2023-04-20 04:51:45,040 INFO t_ofi_1: 3.434353287238246 , std 1.860800515935566 
2023-04-20 04:51:45,040 INFO t_ofi_2: 2.7709664446429523 , std 1.704741849440149 
2023-04-20 04:51:45,040 INFO t_ofi_3: 1.7977649650609706 , std 1.4439015031771356 
2023-04-20 04:51:45,040 INFO t_ofi_4: 1.0405517549914585 , std 1.3340122766275286 
2023-04-20 04:51:45,040 INFO t_ofi_5: 0.7468215784746977 , std 1.2819200154547445 
2023-04-20 04:51:45,040 INFO t_ofi_6: 0.55784080802193 , std 1.2700443249005775 
2023-04-20 04:51:45,040 INFO t_ofi_7: 0.4529192209033344 , std 1.2915135475369663 
2023-04-20 04:51:45,040 INFO t_ofi_8: 0.33055886554820063 , std 1.308701281039116 
2023-04-20 04:51:45,040 INFO t_ofi_9: 0.3535658916082524 , std 1.2992803666695951 
2023-04-20 04:51:45,040 INFO t_ofi_10: 0.6980589712732667 , std 1.5649125351703723 
2023-04-20 04:51:45,040 INFO p_intercept: 0.41414371372365577 , std 0.30956251365976944 
2023-04-20 04:51:45,040 INFO p_ofi_1: 0.0749570028754446 , std 0.19287235876661962 
2023-04-20 04:51:45,040 INFO p_ofi_2: 0.11534891495695292 , std 0.22144949454757476 
2023-04-20 04:51:45,040 INFO p_ofi_3: 0.21402620457232324 , std 0.2768157840796213 
2023-04-20 04:51:45,040 INFO p_ofi_4: 0.3286605528821743 , std 0.3106983265814232 
2023-04-20 04:51:45,040 INFO p_ofi_5: 0.3703135296044914 , std 0.3019770971494997 
2023-04-20 04:51:45,040 INFO p_ofi_6: 0.3962740563624534 , std 0.30545694104595056 
2023-04-20 04:51:45,040 INFO p_ofi_7: 0.39477129648902304 , std 0.3010543709982777 
2023-04-20 04:51:45,040 INFO p_ofi_8: 0.4274594319032919 , std 0.3114717726044904 
2023-04-20 04:51:45,040 INFO p_ofi_9: 0.40560640273169024 , std 0.3027862910343709 
2023-04-20 04:51:45,040 INFO p_ofi_10: 0.36176528348379033 , std 0.3177747723333327 
