2023-04-20 04:49:24,608 INFO Tickers: ['TFC']
2023-04-20 04:49:24,977 INFO in_r2: 0.963231069068157 , std 0.028960063194664275 
2023-04-20 04:49:24,977 INFO os_r2: 0.9587294725360097 , std 0.02500859258888068 
2023-04-20 04:49:24,977 INFO intercept: 1.6926656343261276e-06 , std 5.092641806462941e-06 
2023-04-20 04:49:24,977 INFO ofi_1: 5.2811978556434254e-05 , std 6.729058050083252e-05 
2023-04-20 04:49:24,977 INFO ofi_2: 0.00011141168031399617 , std 4.7495636936183787e-05 
2023-04-20 04:49:24,977 INFO ofi_3: 0.0001057358047687217 , std 6.138149565424151e-05 
2023-04-20 04:49:24,977 INFO ofi_4: 0.0001276751951205526 , std 7.06048987058308e-05 
2023-04-20 04:49:24,977 INFO ofi_5: 0.00012274840936376665 , std 4.281929733668304e-05 
2023-04-20 04:49:24,977 INFO ofi_6: 7.807418131832452e-05 , std 5.130908095700324e-05 
2023-04-20 04:49:24,977 INFO ofi_7: 7.154200770383835e-05 , std 0.00012813887098977024 
2023-04-20 04:49:24,977 INFO ofi_8: 8.053917965476407e-05 , std 7.559514223446051e-05 
2023-04-20 04:49:24,977 INFO ofi_9: 7.521368622893385e-05 , std 0.0001146796985586561 
2023-04-20 04:49:24,977 INFO ofi_10: 0.00010268527398339486 , std 0.00011674081707481499 
2023-04-20 04:49:24,977 INFO t_intercept: 0.42705187106348214 , std 0.9635797466063497 
2023-04-20 04:49:24,977 INFO t_ofi_1: 2.6014020952651573 , std 2.1536909378392197 
2023-04-20 04:49:24,977 INFO t_ofi_2: 3.4109968340348433 , std 1.706433544131663 
2023-04-20 04:49:24,977 INFO t_ofi_3: 3.1197251004290902 , std 1.8721663345370252 
2023-04-20 04:49:24,977 INFO t_ofi_4: 4.097160392736689 , std 2.6528666709833524 
2023-04-20 04:49:24,977 INFO t_ofi_5: 5.022599897448869 , std 2.890518981744933 
2023-04-20 04:49:24,977 INFO t_ofi_6: 3.271286027356594 , std 2.447054461821329 
2023-04-20 04:49:24,978 INFO t_ofi_7: 2.4533469969020376 , std 2.2534588112637453 
2023-04-20 04:49:24,978 INFO t_ofi_8: 1.7449174873114899 , std 1.470405468237672 
2023-04-20 04:49:24,978 INFO t_ofi_9: 1.1602464371621766 , std 1.5422737753844855 
2023-04-20 04:49:24,978 INFO t_ofi_10: 2.1951923337375496 , std 2.5708068656227123 
2023-04-20 04:49:24,978 INFO p_intercept: 0.49515106756333704 , std 0.287174705211223 
2023-04-20 04:49:24,978 INFO p_ofi_1: 0.11841521655688482 , std 0.18221546528028423 
2023-04-20 04:49:24,978 INFO p_ofi_2: 0.060646684988345266 , std 0.15216403060984052 
2023-04-20 04:49:24,978 INFO p_ofi_3: 0.10758454784715658 , std 0.22684562263559768 
2023-04-20 04:49:24,978 INFO p_ofi_4: 0.09329527608884075 , std 0.2195980718626658 
2023-04-20 04:49:24,978 INFO p_ofi_5: 0.026735024328248647 , std 0.08327486726495391 
2023-04-20 04:49:24,978 INFO p_ofi_6: 0.09430593419626472 , std 0.14280024819656995 
2023-04-20 04:49:24,978 INFO p_ofi_7: 0.14106700535347563 , std 0.23873671994427967 
2023-04-20 04:49:24,978 INFO p_ofi_8: 0.24143200500660358 , std 0.29574868510254376 
2023-04-20 04:49:24,978 INFO p_ofi_9: 0.33441419784088716 , std 0.27874398278693996 
2023-04-20 04:49:24,978 INFO p_ofi_10: 0.28347024922826697 , std 0.30484823610007356 
