2023-04-20 04:48:25,270 INFO Tickers: ['USB']
2023-04-20 04:48:25,419 INFO Negative OS: -1.1868806357639845 --- ticker USB --- day 2017-01-04 --- time 46800
2023-04-20 04:48:25,428 INFO Negative OS: -0.22937428704120877 --- ticker USB --- day 2017-01-04 --- time 50400
2023-04-20 04:49:22,195 INFO Negative OS: -0.09711813764894872 --- ticker USB --- day 2019-11-01 --- time 37800
2023-04-20 04:49:24,602 INFO in_r2: 0.9950480180970485 , std 0.007925805984737659 
2023-04-20 04:49:24,603 INFO os_r2: 0.9915899834027986 , std 0.03614199310779612 
2023-04-20 04:49:24,603 INFO intercept: 3.89197110637993e-08 , std 1.587487979356193e-06 
2023-04-20 04:49:24,603 INFO ofi_1: 2.2962194373485014e-05 , std 2.102549968088062e-05 
2023-04-20 04:49:24,603 INFO ofi_2: 7.299312027833026e-05 , std 4.262511771943823e-05 
2023-04-20 04:49:24,603 INFO ofi_3: 9.018528023020116e-05 , std 4.689424119831236e-05 
2023-04-20 04:49:24,603 INFO ofi_4: 0.00011025237169186912 , std 5.204449893728602e-05 
2023-04-20 04:49:24,603 INFO ofi_5: 0.00011158162957153373 , std 5.545956094149943e-05 
2023-04-20 04:49:24,603 INFO ofi_6: 0.00011840432640268162 , std 6.156484531601784e-05 
2023-04-20 04:49:24,603 INFO ofi_7: 0.00012287985168635268 , std 6.848890162186304e-05 
2023-04-20 04:49:24,603 INFO ofi_8: 0.00010244515341929428 , std 8.0352870722967e-05 
2023-04-20 04:49:24,603 INFO ofi_9: 0.00010005159486606233 , std 8.41863408618353e-05 
2023-04-20 04:49:24,603 INFO ofi_10: 0.000122590120281447 , std 9.470738899168524e-05 
2023-04-20 04:49:24,603 INFO t_intercept: 0.00680742881519443 , std 1.2323575861214005 
2023-04-20 04:49:24,603 INFO t_ofi_1: 3.0374332398335198 , std 2.3948411525577558 
2023-04-20 04:49:24,603 INFO t_ofi_2: 4.872261562512667 , std 2.4886849412584064 
2023-04-20 04:49:24,603 INFO t_ofi_3: 5.07379000427549 , std 2.4777483649268093 
2023-04-20 04:49:24,603 INFO t_ofi_4: 5.36270434014622 , std 2.5711867052713 
2023-04-20 04:49:24,603 INFO t_ofi_5: 4.9821274559534325 , std 2.549593739595141 
2023-04-20 04:49:24,603 INFO t_ofi_6: 4.948067883780483 , std 2.740464653786753 
2023-04-20 04:49:24,603 INFO t_ofi_7: 4.476065916727898 , std 2.69359384218994 
2023-04-20 04:49:24,603 INFO t_ofi_8: 3.4962320437176424 , std 2.6659960298273813 
2023-04-20 04:49:24,603 INFO t_ofi_9: 3.2518362032945167 , std 2.54450969666601 
2023-04-20 04:49:24,603 INFO t_ofi_10: 3.888525593168904 , std 2.877905713539233 
2023-04-20 04:49:24,603 INFO p_intercept: 0.43258414167970854 , std 0.3011274906985479 
2023-04-20 04:49:24,603 INFO p_ofi_1: 0.1297290853437197 , std 0.23944866905359338 
2023-04-20 04:49:24,603 INFO p_ofi_2: 0.04053368103491752 , std 0.14620684477312074 
2023-04-20 04:49:24,603 INFO p_ofi_3: 0.028973774759472694 , std 0.11633216489848273 
2023-04-20 04:49:24,603 INFO p_ofi_4: 0.02585332653689795 , std 0.11384907476732911 
2023-04-20 04:49:24,603 INFO p_ofi_5: 0.030210033956873786 , std 0.11831685201031726 
2023-04-20 04:49:24,603 INFO p_ofi_6: 0.03823540552164587 , std 0.13511374359573997 
2023-04-20 04:49:24,603 INFO p_ofi_7: 0.05523933306358979 , std 0.16313125782499777 
2023-04-20 04:49:24,603 INFO p_ofi_8: 0.1041198608797903 , std 0.21870307105425604 
2023-04-20 04:49:24,603 INFO p_ofi_9: 0.11005478881707373 , std 0.22087153622792463 
2023-04-20 04:49:24,603 INFO p_ofi_10: 0.08989763720040557 , std 0.210002880479409 
