2023-04-20 04:46:28,152 INFO Tickers: ['UTX']
2023-04-20 04:46:40,575 INFO Negative OS: -0.005291871355832978 --- ticker UTX --- day 2017-08-23 --- time 41400
2023-04-20 04:46:48,535 INFO Negative OS: -0.17452378951660008 --- ticker UTX --- day 2018-02-05 --- time 41400
2023-04-20 04:47:15,779 INFO Negative OS: -13.928177461207255 --- ticker UTX --- day 2019-06-18 --- time 36000
2023-04-20 04:47:22,769 INFO Negative OS: -0.06757202614285363 --- ticker UTX --- day 2019-10-28 --- time 50400
2023-04-20 04:47:25,307 INFO in_r2: 0.8928348643763672 , std 0.04994519676466051 
2023-04-20 04:47:25,307 INFO os_r2: 0.8673420299372923 , std 0.21787891096290815 
2023-04-20 04:47:25,307 INFO intercept: -6.800808312825865e-07 , std 6.691173223051853e-06 
2023-04-20 04:47:25,307 INFO ofi_1: 7.70005301592637e-05 , std 6.205861241215851e-05 
2023-04-20 04:47:25,307 INFO ofi_2: 9.887796181718926e-05 , std 6.674148145016133e-05 
2023-04-20 04:47:25,307 INFO ofi_3: 6.359612581578881e-05 , std 6.187091714838593e-05 
2023-04-20 04:47:25,307 INFO ofi_4: 4.4736980346310885e-05 , std 6.025667494695907e-05 
2023-04-20 04:47:25,307 INFO ofi_5: 3.3963476048983016e-05 , std 6.028123615116636e-05 
2023-04-20 04:47:25,307 INFO ofi_6: 3.187077753025551e-05 , std 6.0674918561259535e-05 
2023-04-20 04:47:25,307 INFO ofi_7: 2.6650204793983943e-05 , std 6.212478344417027e-05 
2023-04-20 04:47:25,307 INFO ofi_8: 3.0262563173093998e-05 , std 6.557461722837433e-05 
2023-04-20 04:47:25,307 INFO ofi_9: 2.570337315130346e-05 , std 6.859658462433423e-05 
2023-04-20 04:47:25,308 INFO ofi_10: 3.0360590995183497e-05 , std 6.493689964855904e-05 
2023-04-20 04:47:25,308 INFO t_intercept: -0.09394742616910108 , std 0.990738112245416 
2023-04-20 04:47:25,308 INFO t_ofi_1: 2.2464114512874325 , std 1.535393497058238 
2023-04-20 04:47:25,308 INFO t_ofi_2: 2.5001742550172037 , std 1.4423840202391547 
2023-04-20 04:47:25,308 INFO t_ofi_3: 1.5232994368131882 , std 1.2988298074007476 
2023-04-20 04:47:25,308 INFO t_ofi_4: 1.0819595098570636 , std 1.3099982082051373 
2023-04-20 04:47:25,308 INFO t_ofi_5: 0.8039295479671783 , std 1.276175693279162 
2023-04-20 04:47:25,308 INFO t_ofi_6: 0.7785241008547485 , std 1.2627143899867566 
2023-04-20 04:47:25,308 INFO t_ofi_7: 0.6171157654809125 , std 1.2656514565394958 
2023-04-20 04:47:25,308 INFO t_ofi_8: 0.6513469515164334 , std 1.2432203830105757 
2023-04-20 04:47:25,308 INFO t_ofi_9: 0.5618120765662612 , std 1.272616653325986 
2023-04-20 04:47:25,308 INFO t_ofi_10: 0.7082423450492948 , std 1.323014638931138 
2023-04-20 04:47:25,308 INFO p_intercept: 0.512212312295979 , std 0.29033220496935463 
2023-04-20 04:47:25,308 INFO p_ofi_1: 0.1663147760094975 , std 0.2574500429597884 
2023-04-20 04:47:25,308 INFO p_ofi_2: 0.12415745325007115 , std 0.22330692193862425 
2023-04-20 04:47:25,308 INFO p_ofi_3: 0.24982600455633472 , std 0.2837382170516062 
2023-04-20 04:47:25,308 INFO p_ofi_4: 0.3235298443754081 , std 0.30252987930836783 
2023-04-20 04:47:25,308 INFO p_ofi_5: 0.37067985936496567 , std 0.306787142347767 
2023-04-20 04:47:25,308 INFO p_ofi_6: 0.37350468418963184 , std 0.3062808316458092 
2023-04-20 04:47:25,308 INFO p_ofi_7: 0.3945552813859272 , std 0.3091042333781538 
2023-04-20 04:47:25,308 INFO p_ofi_8: 0.397253255729009 , std 0.3074899282999073 
2023-04-20 04:47:25,308 INFO p_ofi_9: 0.4061613968361413 , std 0.309713589027323 
2023-04-20 04:47:25,308 INFO p_ofi_10: 0.3817602438338186 , std 0.3099755467369563 
